,Concept_ID,da,mrj
0,Auge::N,øje,сӹнзӓ
1,Ohr::N,øre,пӹлӹш
2,Nase::N,næse,нер
3,Mund::N,mund,ышма
4,Zahn::N,tand,пӱ
5,Zunge::N,tunge,йӹлмӹ
6,Lippe::N,læbe,тӹрвӹ
7,Wange::N,kind,шӹргӹ
8,Gesicht::N,ansigt,лицӓ
9,Stirn::N,pande,лепкӓ
10,Haar::N,hår,ӱп
11,Schnurrbart::N,overskæg,öрш
12,Bart::N,skæg,пандаш
13,Kinn::N,hage,онгылаш
14,Kiefer[Anatomie]::N,kæbe,пӱ арата
15,Kehle::N,strube,логер
16,Hals::N,hals,шӱ
17,Genick::N,nakke,ланга
18,Kopf::N,hoved,вуй
19,Rücken::N,ryg,туп
20,Bauch::N,mave,мӹшкӹр
21,Nabel::N,navle,кӹлӹмдӹ
22,Busen::N,barm,цӹзӹ
23,Brust::N,bryst,мел
24,Schulter::N,skulder,ӹнгӹжӓ
25,Arm::N,arm,кид
26,Ellenbogen::N,albue,кӹнервуй
27,Hand::N,hånd,лапа
28,Handfläche::N,håndflade,кид лапа
29,Finger::N,finger,парня
30,Fingernagel::N,fingernegl,кӹч
31,Nagel[Anatomie]::N,negl,кӹч
32,Zeh::N,tå,парня
33,Fuß::N,fod,ял лапа
34,Ferse::N,hæl,ялгавал
35,Ferse::N,hæl,ял кавал
36,Knie::N,knæ,пылвуй
37,Oberschenkel::N,lår,ӓрдӹ
38,Bein::N,ben,ял
39,Körper::N,krop,монгыр
40,Körper::N,legeme,монгыр
41,Haut::N,hud,кавашты
42,Blut::N,blod,вӹр
43,Ader::N,åre,вӹршӓр
44,Sehne::N,sene,кукшышӱн
45,Knochen::N,ben,лу
46,Gehirn::N,hjerne,вим
47,Herz::N,hjerte,шӱм
48,Magen::N,mave,шӱм
49,Leber::N,lever,мокш
50,Atem::N,ånde,шӱлӹш
51,Hunger::N,sult,шужымаш
52,Träne::N,tåre,сӹнзӓвӹд
53,Geschmack::N,smag,тот
54,Geruch::N,lugt,пыш
55,Schlaf::N,søvn,ом
56,Traum::N,drøm,ом
57,Himmel::N,himmel,пӹлгом
58,Sonne::N,sol,кечӹ
59,Mond::N,måne,тӹлзӹ
60,Stern::N,stjerne,шӹдӹр
61,Luft::N,luft,юж
62,Luft::N,luft,воздух
63,Wind::N,vind,мардеж
64,Welle::N,bølge,ко
65,Welle::N,bølge,коэ
66,Wasser::N,vand,вӹд
67,Stein::N,sten,кӱ
68,Boden::N,jord,рок
69,Erde::N,jord,свет
70,Staub::N,støv,пырак
71,Rauch::N,røg,шӹкш
72,Funke::N,gnist,ип
73,Funke::N,gnist,тылип
74,Feuer::N,ild,тыл
75,Licht::N,lys,соты
76,Licht::N,lys,валгыды
77,Schatten::N,skygge,ӹмӹл
78,Wetter::N,vejr,игечӹ
79,Nebel::N,tåge,тӹтӹрӓ
80,Wolke::N,sky,пӹл
81,Regen::N,regn,юр
82,Schnee::N,sne,лым
83,Eis::N,is,и
84,Frost::N,frost,ӱштӹ
85,Kälte::N,kulde,ӱштӹ
86,Hitze::N,hede,шокшы
87,Raureif::N,rimfrost,пöрш
88,Regenbogen::N,regnbue,шанавӹл
89,Donner::N,torden,хӹдӹртӹш
90,Strömung::N,strømning,йогы
91,Tropfen::N,dråbe,капльы
92,Tropfen::N,dråbe,капльык
93,Schaum::N,skum,шонг
94,Schmutz::N,snavs,лявӹрӓ
95,See::N,sø,йӓр
96,Sumpf::N,sump,лӱкӹ
97,Moor::N,mose,куп
98,Wiese::N,eng,алык
99,Wald::N,skov,шӹргӹ
100,Hügel::N,høj,пӱгӹрикӓ
101,Hügel::N,bakke,пӱгӹрикӓ
102,Anhöhe::N,høj,кӱкшикӓ
103,Anhöhe::N,bakke,кӱкшикӓ
104,Berg::N,bjerg,кырык
105,Gipfel::N,top,неркӓ
106,Höhle::N,hule,ы́раж
107,Abhang::N,skrænt,полом
108,Abhang::N,skråning,полом
109,Quelle::N,kilde,вӹдсӹнзӓ
110,Bach::N,bæk,ӓнгӹр
111,Fluss::N,flod,вӹд
112,Ufer::N,bred,сир
113,Küste::N,kyst,сир
114,Festland::N,fastland,мӱлӓндӹ
115,Meer::N,hav,тангыж
116,Bucht::N,bugt,вӹдъял
117,Insel::N,ø,острок
118,Blume::N,blomst,пеледӹш
119,Gras::N,græs,шуды
120,Wurzel::N,rod,важ
121,Baum::N,træ,пушӓнгӹ
122,Stamm::N,stamme,пушӓнгӹ тӹнг
123,Rinde::N,bark,каргыж
124,Ast::N,gren,укш
125,Zweig::N,kvist,укш
126,Blatt::N,blad,листӹ
127,Birke::N,birk,куги
128,Kiefer[Baum]::N,fyrretræ,йӓктӹ
129,Weide[Baum]::N,piletræ,уа
130,Tanne::N,gran,кож
131,Horn::N,horn,шур
132,Feder::N,fjer,пын
133,Fell::N,skind,кавашты
134,Flügel::N,vinge,шылдыр
135,Klaue::N,klov,кӹч
136,Kralle::N,klo,лапа
137,Schwanz::N,hale,пач
138,Ei::N,æg,мыны
139,Nest::N,rede,пӹжӓш
140,Bau::N,bo,ыраж
141,Tier::N,dyr,во́льык
142,Herde::N,flok,кӹтö
143,Kuh::N,ko,ышкал
144,Bulle::N,tyr,ӱшкӱж
145,Pferd::N,hest,имни
146,Schaf::N,får,шарык
147,Schwein::N,gris,сасна
148,Hund::N,hund,пи
149,Katze::N,kat,коти
150,Bär::N,bjørn,мöскӓ
151,Eichhörnchen::N,egern,ур
152,Elch::N,elg,шарды
153,Fuchs::N,ræv,рӹвӹж
154,Hase::N,hare,морен
155,Maus::N,mus,каля
156,Wolf::N,ulv,пирӹ
157,Vogel::N,fugl,кек
158,Schwarm::N,sværm,цуца
159,Huhn::N,høne,цӹвӹ
160,Hahn::N,hane,ӓптӓн
161,Gans::N,gås,комбы
162,Adler::N,ørn,кучкыж
163,Ente::N,and,лыды
164,Eule::N,ugle,тымана
165,Kranich::N,trane,тырня
166,Kranich::N,trane,тыртня
167,Krähe::N,krage,лудыгарак
168,Kuckuck::N,gøg,куку
169,Schwan::N,svane,йӱксӹ
170,Fisch::N,fisk,кол
171,Barsch::N,aborre,алангы
172,Hecht::N,gedde,нуж
173,Hecht::N,gedde,нужгол
174,Schlange[Tier]::N,slange,кӹшкы
175,Wurm::N,orm,шукш
176,Spinne::N,edderkop,ӓнгӹремшӹ
177,Ameise::N,myre,кыткы
178,Laus::N,lus,ти
179,Mücke::N,myg,кужнер
180,Mücke::N,myg,кужынер
181,Fliege::N,flue,шӹнгӓ
182,Schmetterling::N,sommerfugl,лӹпӹ
183,Beere::N,bær,мöр
184,Apfel::N,æble,олма
185,Pilz::N,svamp,понгы
186,Zwiebel::N,løg,охыра
187,Saat::N,sæd,нӱшмӹ
188,Saat::N,sæd,нӱшмӱ
189,Korn::N,korn,пӹрцӹ
190,Heu::N,hø,шуды
191,Schale::N,skræl,аваха
192,Schale::N,skræl,карлангы
193,Grube::N,grav,йӓм
194,Falle::N,fælde,лӱдӹ
195,Falle::N,fælde,лӱдӹш
196,Schlinge::N,snare,онгы
197,Spur::N,spor,кишӓ
198,Asche::N,aske,ломых
199,Asche::N,aske,ломпыж
200,Dreck::N,snavs,лявӹрӓ
201,Eisen::N,jern,кӹртни
202,Gold::N,guld,шöртни
203,Gold::N,guld,шöртньӹ
204,Silber::N,sølv,ши
205,Kohle::N,kul,шӱ
206,Glas::N,glas,охоница
207,Lehm::N,ler,шун
208,Sand::N,sand,ошма
209,Mensch::N,mennesge,эдем
210,Mann::N,mand,пӱэргӹ
211,Frau::N,kvinde,ӹдӹрӓмӓш
212,Kind::N,barn,ӓзӓ
213,Kind::N,barn,шачшы
214,Junge::N,dreng,рвезӹ
215,Junge::N,dreng,ӹрвезӹ
216,Mädchen::N,pige,ӹдӹрӓш
217,Familie::N,familie,йиш
218,Familie::N,familie,семня
219,Großvater::N,bedstefar,тьоти
220,Großmutter::N,bedstemor,папа
221,Eltern::N,forældre,ӓтя-ӓвӓ
222,Vater::N,far,ӓтя
223,Mutter::N,mor,ӓвӓ
224,Sohn::N,søn,эргӹ
225,Tochter::N,datter,ӹдӹр
226,Bruder::N,bror,ӹза
227,Schwester::N,søster,ӓкӓ
228,Onkel::N,onkel,кугуза
229,Tante::N,tante,куака
230,Ehemann::N,ægtemand,мары
231,Ehefrau::N,hustru,вӓтӹ
232,Freude::N,glæde,ӹвӹртӹмӓш
233,Gelächter::N,latter,ваштылмаш
234,Glück::N,lykke,пиӓл
235,Kummer::N,sorg,ясы
236,Wunsch::N,ønske,охата
237,Wunsch::N,ønske,шанымаш
238,Lust::N,lyst,шӓр
239,Lust::N,lyst,охата
240,Lust::N,lyst,шанымаш
241,Geist::N,ånd,тух
242,Gedanke::N,tanke,шанымаш
243,Gedächtnis::N,hukommelse,ӓш
244,Verstand::N,forstand,ыш
245,Sinn::N,mening,кын
246,Sinn::N,betydning,кын
247,Grund::N,grund,вир
248,Wahrheit::N,sandhed,тöр
249,Gespräch::N,samtale,хытырымаш
250,Märchen::N,eventyr,ямак
251,Erzählung::N,fortælling,шайыштмаш
252,Nachricht::N,efterretning,увертӓрӹмӓш
253,Neuigkeit::N,nyhed,увер
254,Name::N,navn,лӹм
255,Rätsel::N,gåde,тышты
256,Rede::N,tale,шая
257,Rede::N,tale,шамак
258,Sprache::N,sprog,йӹлмӹ
259,Stimme::N,stemme,юк
260,Wort::N,ord,шамак
261,Zeichen::N,tegn,палӹ
262,Ruf::N,råb,сӹгӹрӹмӓш
263,Lärm::N,larm,юкланымащ
264,Laut::N,lyd,юк
265,Ton::N,tone,юк
266,Lied::N,sang,мыры
267,Ruhe::N,ro,тыр
268,Ruhe::N,hvile,тыр
269,Leute::N,folk,эдемвлӓ
270,Leute::N,mennesker,эдемвлӓ
271,Volk::N,folk,халык
272,Arbeit::N,arbejde,пӓшӓ
273,Gast::N,gæst,хына
274,Geschenk::N,gave,подарка
275,Spiel::N,leg,мадыш
276,Gesellschaft::N,selskab,йӓл
277,Gesellschaft::N,selskab,йӓлвлӓ
278,Hilfe::N,hjælp,палшык
279,Freund::N,ven,тӓнг
280,Kamerad::N,kammerat,тос
281,Angelegenheit::N,sag,дела
282,Angelegenheit::N,sag,йела
283,Angelegenheit::N,sag,йыла
284,Angelegenheit::N,sag,пӓшӓ
285,Angelegenheit::N,anliggende,дела
286,Angelegenheit::N,anliggende,йела
287,Angelegenheit::N,anliggende,йыла
288,Angelegenheit::N,anliggende,пӓшӓ
289,Anzahl::N,antal,шот
290,Art::N,art,цӹре
291,Stück::N,stykke,лаштык
292,Teil::N,del,пай
293,Teil::N,del,часть
294,Hälfte::N,halvdel,пел
295,Kreis::N,cirkel,тӹртӹш
296,Kreuz::N,kors,крестӹ
297,Kreuz::N,kryds,крестӹ
298,Linie::N,linie,
299,Strich::N,streg,
300,Abstand::N,afstand,ло
301,Entfernung::N,afstand,ло
302,Gegend::N,egn,вӓр
303,Platz::N,plads,вӓр
304,Ort::N,sted,вӓр
305,Seite::N,side,öрдӹж
306,Mitte::N,midte,ло
307,Gegenstand::N,genstand,хӓдӹр
308,Sache::N,sag,хӓдӹр
309,Rand::N,rand,шöр
310,Kante::N,kant,шöр
311,Ecke::N,hjørne,лык
312,Spitze::N,spids,вуй
313,Ende::N,ende,вуй
314,Ende::N,ende,мычаш
315,Loch::N,hul,ыраж
316,Winkel::N,vinkel,лык
317,Muster::N,mønster,тӹрлец
318,Größe::N,størrelse,кӱкшӹц
319,Länge::N,længde,кыт
320,Höhe::N,højde,кӱкшӹц
321,Gewicht::N,vægt,нелӹц
322,Menge::N,mængde,шот
323,Haufen::N,bunke,ара
324,Reihe::N,række,ряд
325,Boot::N,båd,пыш
326,Ruder::N,åre,вешлӓ
327,Schlitten::N,kælk,тир
328,Schlitten::N,slæde,тир
