,Concept_ID,az,lv
0,Auge::N,göz,син
1,Auge::N,göz,acs
2,Ohr::N,qulaq,пель
3,Ohr::N,qulaq,auss
4,Nase::N,burun,ныр
5,Nase::N,burun,deguns
6,Mund::N,ağız,вом
7,Mund::N,ağız,mute
8,Zahn::N,diş,пинь
9,Zahn::N,diş,zobs
10,Zunge::N,dil,кыв
11,Zunge::N,dil,mēle
12,Lippe::N,dodaq,вом дор
13,Lippe::N,dodaq,lūpa
14,Wange::N,yanaq,бан
15,Wange::N,yanaq,vaigs
16,Gesicht::N,üz,чужӧм
17,Gesicht::N,üz,seja
18,Gesicht::N,üz,ģīmis
19,Stirn::N,alın,плеш
20,Stirn::N,alın,кымӧс
21,Stirn::N,alın,piere
22,Haar::N,saç,си
23,Haar::N,saç,юрси
24,Haar::N,saç,mats
25,Schnurrbart::N,bığ,ус
26,Schnurrbart::N,bığ,пыртсим
27,Schnurrbart::N,bığ,ūsas
28,Bart::N,saqqal,тош
29,Bart::N,saqqal,bārda
30,Kinn::N,çənə,тшӧка
31,Kinn::N,çənə,zods
32,Kinn::N,çənə,smakrs
33,Kiefer[Anatomie]::N,çənə,черлы
34,Kiefer[Anatomie]::N,çənə,алака лы
35,Kiefer[Anatomie]::N,çənə,вомкӧтш лы
36,Kiefer[Anatomie]::N,çənə,žoklis
37,Kehle::N,boğaz,голя
38,Kehle::N,boğaz,rīkle
39,Hals::N,boyun,сьылі
40,Hals::N,boyun,kakls
41,Genick::N,ənsə,юрбӧр
42,Genick::N,ənsə,балябӧж
43,Genick::N,ənsə,sprands
44,Kopf::N,baş,юр
45,Kopf::N,baş,galva
46,Rücken::N,bel,мыш
47,Rücken::N,bel,mugura
48,Bauch::N,qarın,рушку
49,Bauch::N,qarın,vēders
50,Nabel::N,göbək,гӧг
51,Nabel::N,göbək,naba
52,Busen::N,məmə,морӧс
53,Busen::N,məmə,krūts
54,Brust::N,döş,морӧс
55,Brust::N,döş,krūts
56,Schulter::N,çiyin,пельпом
57,Schulter::N,çiyin,plecs
58,Arm::N,qol,ки
59,Arm::N,qol,roka
60,Arm::N,qol,delms
61,Ellenbogen::N,dirsək,гырддза
62,Ellenbogen::N,dirsək,elkonis
63,Hand::N,əl,ки
64,Hand::N,əl,roka
65,Hand::N,əl,plauksta
66,Handfläche::N,ovuc,ки пыдӧс
67,Handfläche::N,ovuc,delna
68,Handfläche::N,ovuc,plauksta
69,Finger::N,barmaq,чунь
70,Finger::N,barmaq,pirksts
71,Fingernagel::N,barmaq dırnağı,гыж
72,Fingernagel::N,barmaq dırnağı,nags
73,Nagel[Anatomie]::N,dırnak,гыж
74,Nagel[Anatomie]::N,dırnak,nags
75,Zeh::N,ayaq barmağı,кок чунь
76,Zeh::N,ayaq barmağı,pirksts
77,Fuß::N,ayaq,кок
78,Fuß::N,ayaq,kāja
79,Ferse::N,daban,кокбӧр
80,Ferse::N,daban,papēdis
81,Knie::N,diz,пидзӧс
82,Knie::N,diz,celis
83,Oberschenkel::N,bud,лядьвей
84,Oberschenkel::N,bud,бек
85,Oberschenkel::N,bud,ciska
86,Oberschenkel::N,bud,augšstilbs
87,Bein::N,qıç,кок
88,Bein::N,qıç,kāja
89,Körper::N,əndam,туша
90,Körper::N,əndam,вывтыр
91,Körper::N,əndam,miesa
92,Körper::N,əndam,ķermenis
93,Haut::N,dəri,ку
94,Haut::N,dəri,āda
95,Blut::N,qan,вир
96,Blut::N,qan,asins
97,Ader::N,damar,сӧн
98,Ader::N,damar,asinsvads
99,Sehne::N,vətər,вез
100,Sehne::N,vətər,dzīsla
101,Knochen::N,sümük,лы
102,Knochen::N,sümük,kauls
103,Gehirn::N,beyin,вем
104,Gehirn::N,beyin,smadzenes
105,Herz::N,ürək,сьӧлӧм
106,Herz::N,ürək,sirds
107,Magen::N,mədə,кынӧм
108,Magen::N,mədə,kuņģis
109,Leber::N,qara ciyər,мус
110,Leber::N,qara ciyər,aknas
111,Atem::N,nəfəs,лов
112,Atem::N,nəfəs,elpa
113,Hunger::N,aclıq,тшыг
114,Hunger::N,aclıq,bads
115,Hunger::N,aclıq,izsalkums
116,Träne::N,göz yaşı,синва
117,Träne::N,göz yaşı,asara
118,Geschmack::N,tam,кӧр
119,Geschmack::N,tam,чӧсмӧс
120,Geschmack::N,tam,garša
121,Geschmack::N,ləzzət,кӧр
122,Geschmack::N,ləzzət,чӧсмӧс
123,Geschmack::N,ləzzət,garša
124,Geruch::N,qoxu,зын
125,Geruch::N,qoxu,дук
126,Geruch::N,qoxu,smaka
127,Schlaf::N,yuxu,узьӧм
128,Schlaf::N,yuxu,miegs
129,Traum::N,röya,вӧт
130,Traum::N,röya,вӧтасьӧм
131,Traum::N,röya,sapnis
132,Himmel::N,göy,енэж
133,Himmel::N,göy,debess
134,Himmel::N,səma,енэж
135,Himmel::N,səma,debess
136,Sonne::N,günəş,шонді
137,Sonne::N,günəş,saule
138,Mond::N,ay,тӧлысь
139,Mond::N,ay,mēness
140,Stern::N,ulduz,кодзув
141,Stern::N,ulduz,zvaigzne
142,Luft::N,hava,сынӧд
143,Luft::N,hava,gaiss
144,Wind::N,yel,тӧв
145,Wind::N,yel,vējš
146,Wind::N,külək,тӧв
147,Wind::N,külək,vējš
148,Welle::N,dalğa,гы
149,Welle::N,dalğa,vilnis
150,Wasser::N,su,ва
151,Wasser::N,su,ūdens
152,Stein::N,daş,из
153,Stein::N,daş,akmens
154,Boden::N,yer,му
155,Boden::N,yer,augsne
156,Boden::N,zəmin,му
157,Boden::N,zəmin,augsne
158,Erde::N,yer torpaq,му
159,Erde::N,yer torpaq,му-ва
160,Erde::N,yer torpaq,zeme
161,Staub::N,toz,бус
162,Staub::N,toz,putekļi
163,Rauch::N,tüstü,тшын
164,Rauch::N,tüstü,dūmi
165,Funke::N,qığılcım,кинь
166,Funke::N,qığılcım,би кинь
167,Funke::N,qığılcım,dzirkstele
168,Feuer::N,od,би
169,Feuer::N,od,uguns
170,Licht::N,işıq,югӧр
171,Licht::N,işıq,gaisma
172,Schatten::N,kölgə,вуджӧр
173,Schatten::N,kölgə,ēna
174,Wetter::N,hava,поводдя
175,Wetter::N,hava,laiks
176,Nebel::N,duman,ру
177,Nebel::N,duman,онь
178,Nebel::N,duman,migla
179,Wolke::N,bulud,кымӧр
180,Wolke::N,bulud,mākonis
181,Regen::N,yağış,зэр
182,Regen::N,yağış,lietus
183,Regen::N,yağmur,зэр
184,Regen::N,yağmur,lietus
185,Schnee::N,qar,лым
186,Schnee::N,qar,sniegs
187,Eis::N,buz,йи
188,Eis::N,buz,ledus
189,Frost::N,ayaz,кӧдзыд
190,Frost::N,ayaz,sals
191,Kälte::N,soyuq,кӧдзыд
192,Kälte::N,soyuq,saltums
193,Kälte::N,soyuq,aukstums
194,Hitze::N,coşğunluq,пӧсь
195,Hitze::N,coşğunluq,гожӧд
196,Hitze::N,coşğunluq,karstums
197,Raureif::N,qırov,пуж
198,Raureif::N,qırov,гыӧр
199,Raureif::N,qırov,sarma
200,Regenbogen::N,göy qurşağı,ӧшкамӧшка
201,Regenbogen::N,göy qurşağı,varavīksne
202,Donner::N,göy gurultusu,гым
203,Donner::N,göy gurultusu,pērkons
204,Strömung::N,axın,ва ныр
205,Strömung::N,axın,визувтӧм
206,Strömung::N,axın,straume
207,Strömung::N,axın,strāvojums
208,Tropfen::N,damcı,войт
209,Tropfen::N,damcı,lāse
210,Schaum::N,köpük,быг
211,Schaum::N,köpük,быгзьӧм
212,Schaum::N,köpük,putas
213,Schmutz::N,çamır,няйт
214,Schmutz::N,çamır,dubļi
215,See::N,göl,ты
216,See::N,göl,ezers
217,Sumpf::N,bataqlıq,гыбад
218,Sumpf::N,bataqlıq,кад
219,Sumpf::N,bataqlıq,dumbrājs
220,Sumpf::N,bataqlıq,staignājs
221,Moor::N,bataqlıq,нюр
222,Moor::N,bataqlıq,purvs
223,Moor::N,bataqlıq,muklājs
224,Wiese::N,çəmən,видз
225,Wiese::N,çəmən,pļava
226,Wald::N,meşə,вӧр
227,Wald::N,meşə,mežs
228,Hügel::N,təpə,дзиб
229,Hügel::N,təpə,мыльк
230,Hügel::N,təpə,нӧрыс
231,Hügel::N,təpə,paugurs
232,Anhöhe::N,təpə,мыльк
233,Anhöhe::N,təpə,нӧрыс
234,Anhöhe::N,təpə,paugurs
235,Berg::N,dağ,чой
236,Berg::N,dağ,керӧс
237,Berg::N,dağ,kalns
238,Gipfel::N,zirvə,чук
239,Gipfel::N,zirvə,virsotne
240,Höhle::N,mağara,рудӧг
241,Höhle::N,mağara,ala
242,Abhang::N,yamac,ньывк
243,Abhang::N,yamac,бокша
244,Abhang::N,yamac,nogāze
245,Quelle::N,bulaq,ӧшмӧс
246,Quelle::N,bulaq,avots
247,Bach::N,kiçik çay,шор
248,Bach::N,kiçik çay,urga
249,Bach::N,kiçik çay,strauts
250,Fluss::N,çay,ю
251,Fluss::N,çay,upe
252,Ufer::N,kənar,вадор
253,Ufer::N,kənar,krasts
254,Küste::N,sahil,вадор
255,Küste::N,sahil,piekraste
256,Festland::N,materik,му
257,Festland::N,materik,sauszeme
258,Meer::N,dəniz,саридз
259,Meer::N,dəniz,jūra
260,Bucht::N,körfəz,куръя
261,Bucht::N,körfəz,līcis
262,Insel::N,ada,ді
263,Insel::N,ada,sala
264,Blume::N,çiçək,дзоридз
265,Blume::N,çiçək,puķe
266,Blume::N,çiçək,zieds
267,Gras::N,ot,турун
268,Gras::N,ot,zāle
269,Wurzel::N,kök,вуж
270,Wurzel::N,kök,sakne
271,Baum::N,ağac,пу
272,Baum::N,ağac,koks
273,Stamm::N,gövdə,пучер
274,Stamm::N,gövdə,stumbrs
275,Rinde::N,qabıq,кырсь
276,Rinde::N,qabıq,miza
277,Ast::N,şax,ув
278,Ast::N,şax,zars
279,Zweig::N,budaq,вож
280,Zweig::N,budaq,nozare
281,Blatt::N,yarpaq,кор
282,Blatt::N,yarpaq,lapa
283,Birke::N,tozağacı,кыдз
284,Birke::N,tozağacı,bērzs
285,Kiefer[Baum]::N,şam,пожӧм
286,Kiefer[Baum]::N,şam,priede
287,Weide[Baum]::N,söyüd,бадь
288,Weide[Baum]::N,söyüd,kārkls
289,Tanne::N,küknar,коз
290,Tanne::N,küknar,egle
291,Horn::N,buynuz,сюр
292,Horn::N,buynuz,rags
293,Feder::N,tük,гӧн
294,Feder::N,tük,тывборд
295,Feder::N,tük,spalva
296,Feder::N,lələk,гӧн
297,Feder::N,lələk,тывборд
298,Feder::N,lələk,spalva
299,Fell::N,xəz,ку
300,Fell::N,xəz,āda
301,Flügel::N,qanad,борд
302,Flügel::N,qanad,spārns
303,Klaue::N,pəncə,гыж
304,Klaue::N,pəncə,nags
305,Kralle::N,dırnaq,гыж
306,Kralle::N,dırnaq,nags
307,Schwanz::N,quyruq,бӧж
308,Schwanz::N,quyruq,ļipa
309,Ei::N,yumurta,кольк
310,Ei::N,yumurta,ola
311,Nest::N,yuva,поз
312,Nest::N,yuva,ligzda
313,Bau::N,yuva,горс
314,Bau::N,yuva,пырмӧс
315,Bau::N,yuva,гу
316,Bau::N,yuva,ala
317,Tier::N,heyvan,пемӧс
318,Tier::N,heyvan,dzīvnieks
319,Herde::N,sürü,стада
320,Herde::N,sürü,кельӧб
321,Herde::N,sürü,ganāmpulks
322,Kuh::N,inək,мӧс
323,Kuh::N,inək,govs
324,Bulle::N,öküz,ӧш
325,Bulle::N,öküz,bullis
326,Pferd::N,at,вӧв
327,Pferd::N,at,zirgs
328,Schaf::N,qoyun,ыж
329,Schaf::N,qoyun,aita
330,Schwein::N,donuz,порсь
331,Schwein::N,donuz,cūka
332,Hund::N,it,пон
333,Hund::N,it,suns
334,Hund::N,köpək,пон
335,Hund::N,köpək,suns
336,Katze::N,pişik,кань
337,Katze::N,pişik,kaķis
338,Bär::N,ayı,ош
339,Bär::N,ayı,lācis
340,Eichhörnchen::N,dələ,ур
341,Eichhörnchen::N,dələ,vāvere
342,Elch::N,sığın,йӧра
343,Elch::N,sığın,alnis
344,Fuchs::N,tülkü,руч
345,Fuchs::N,tülkü,lapsa
346,Hase::N,dovşan,кӧч
347,Hase::N,dovşan,zaķis
348,Maus::N,siçan,шыр
349,Maus::N,siçan,pele
350,Wolf::N,qurd,кӧин
351,Wolf::N,qurd,vilks
352,Vogel::N,quş,кай
353,Vogel::N,quş,лэбач
354,Vogel::N,quş,putns
355,Schwarm::N,sürü,чукӧр
356,Schwarm::N,sürü,spiets
