,Concept_ID,da,te
0,Auge::N,øje,కన్ను
1,Ohr::N,øre,చెవి
2,Nase::N,næse,ముక్కు
3,Mund::N,mund,నోరు
4,Zahn::N,tand,పల్లు
5,Zunge::N,tunge,నాలుక
6,Lippe::N,læbe,పెదవి
7,Wange::N,kind,చెంప
8,Gesicht::N,ansigt,ముఖము
9,Stirn::N,pande,నుదురు
10,Haar::N,hår,వెండ్రుక
11,Schnurrbart::N,overskæg,మీసము
12,Bart::N,skæg,గడ్డము
13,Kinn::N,hage,గడ్డము
14,Kiefer[Anatomie]::N,kæbe,దౌడ
15,Kehle::N,strube,గొంతు
16,Hals::N,hals,మెడ
17,Genick::N,nakke,మూపు
18,Kopf::N,hoved,తల
19,Rücken::N,ryg,వెన్ను
20,Bauch::N,mave,కడుపు
21,Nabel::N,navle,బొడ్డు
22,Busen::N,barm,స్తనము
23,Brust::N,bryst,ఱొమ్ము
24,Schulter::N,skulder,భుజము
25,Arm::N,arm,చేయి
26,Ellenbogen::N,albue,మోచేయి
27,Hand::N,hånd,చేయి
28,Handfläche::N,håndflade,అరచేయు
29,Finger::N,finger,చేతిప్రేలు
30,Fingernagel::N,fingernegl,గోరు
31,Nagel[Anatomie]::N,negl,గోరు
32,Zeh::N,tå,కాలిప్రేలు
33,Fuß::N,fod,అడుగు
34,Ferse::N,hæl,మడమ
35,Knie::N,knæ,మోకాలు
36,Oberschenkel::N,lår,తొడ
37,Bein::N,ben,కాలు
38,Körper::N,krop,కాయము
39,Körper::N,legeme,కాయము
40,Haut::N,hud,చర్మము
41,Blut::N,blod,రక్తము
42,Ader::N,åre,సిర
43,Sehne::N,sene,స్నాయువు
44,Knochen::N,ben,ఎముక
45,Gehirn::N,hjerne,మెదడు
46,Herz::N,hjerte,హృదయము
47,Magen::N,mave,కడుపు
48,Leber::N,lever,కాలేయము
49,Atem::N,ånde,ఉపిరి
50,Hunger::N,sult,ఆకలి
51,Träne::N,tåre,కన్నీటిచుక్క
52,Geschmack::N,smag,రుచి
53,Geruch::N,lugt,వాసన
54,Schlaf::N,søvn,నిద్ర
55,Traum::N,drøm,కల
56,Himmel::N,himmel,ఆకాశము
57,Sonne::N,sol,సూర్యుడు
58,Mond::N,måne,చంద్రుడు
59,Stern::N,stjerne,నక్షత్రము
60,Luft::N,luft,గాలి
61,Wind::N,vind,వీచుచున్నగాలి
62,Welle::N,bølge,అల
63,Wasser::N,vand,నీరు
64,Stein::N,sten,ఱాయి
65,Boden::N,jord,నేల
66,Erde::N,jord,మన్ను
67,Staub::N,støv,దుమ్ము
68,Rauch::N,røg,పొగ
69,Funke::N,gnist,అగ్నికణము
70,Feuer::N,ild,అగ్ని
71,Licht::N,lys,కాంతి
72,Schatten::N,skygge,నీడ
73,Wetter::N,vejr,వాతావరణ స్థితి
74,Nebel::N,tåge,పొగమంచు
75,Wolke::N,sky,మేఘము
76,Regen::N,regn,వాన
77,Schnee::N,sne,హిమము
78,Eis::N,is,మంచుగడ్డ
79,Frost::N,frost,పేరిన మంచు
80,Kälte::N,kulde,చలి
81,Hitze::N,hede,వేడిమి
82,Raureif::N,rimfrost,మంచు
83,Regenbogen::N,regnbue,ఇంద్రధనుస్సు
84,Donner::N,torden,ఉరుము
85,Strömung::N,strømning,ప్రవాహము
86,Tropfen::N,dråbe,చుక్క
87,Schaum::N,skum,నురుగు
88,Schmutz::N,snavs,మైల
89,See::N,sø,సరస్సు
90,Sumpf::N,sump,చిత్తడినేల
91,Moor::N,mose,చిత్తడినేల
92,Wiese::N,eng,పచ్చిక బయలు
93,Wald::N,skov,అడవి
94,Hügel::N,høj,చివ్నకొండ
95,Hügel::N,bakke,చివ్నకొండ
96,Anhöhe::N,høj,కొండ
97,Anhöhe::N,bakke,కొండ
98,Berg::N,bjerg,పర్వతము
99,Gipfel::N,top,శిఖరము
100,Höhle::N,hule,గుహ
101,Abhang::N,skrænt,ఏటవాలు
102,Abhang::N,skråning,ఏటవాలు
103,Quelle::N,kilde,మూలము
104,Bach::N,bæk,కాలువ
105,Fluss::N,flod,నది
106,Ufer::N,bred,తీరము
107,Küste::N,kyst,తీరము
108,Festland::N,fastland,భూమి
109,Meer::N,hav,సముద్రము
110,Bucht::N,bugt,మరుగు
111,Insel::N,ø,దీవి
112,Blume::N,blomst,పుష్పము
113,Gras::N,græs,పచ్చగడ్డి
114,Wurzel::N,rod,వేరు
115,Baum::N,træ,చెట్టు
116,Stamm::N,stamme,చెట్టుబోదె
117,Rinde::N,bark,చెట్టుపట్ట
118,Ast::N,gren,కొమ్మ
119,Zweig::N,kvist,చివుకు
120,Blatt::N,blad,ఆకు
121,Birke::N,birk,తరహా చెట్టు
122,Kiefer[Baum]::N,fyrretræ,దేవదారు చెట్టు
123,Weide[Baum]::N,piletræ,జాతిచెట్టు
124,Tanne::N,gran,దేవదారుచెట్టు
125,Horn::N,horn,కొమ్ము
126,Feder::N,fjer,ఈక
127,Fell::N,skind,తోలు
128,Flügel::N,vinge,ఱెక్క
129,Klaue::N,klov,వంకరగోరు
130,Kralle::N,klo,వంకరగోరు
131,Schwanz::N,hale,తోక
132,Ei::N,æg,గ్రుడ్డు
133,Nest::N,rede,పక్షిగూడు
134,Bau::N,bo,గుహ
135,Tier::N,dyr,జంతువు
136,Herde::N,flok,మంద
137,Kuh::N,ko,ఆవు
138,Bulle::N,tyr,గిత్త
139,Pferd::N,hest,గుఱ్ఱము
140,Schaf::N,får,గొఱ్ఱె
141,Schwein::N,gris,పంది
142,Hund::N,hund,కుక్క
143,Katze::N,kat,పిల్లి
144,Bär::N,bjørn,ఎలుగుబంటి
145,Eichhörnchen::N,egern,ఉడుత
146,Elch::N,elg,కణంజు
147,Fuchs::N,ræv,గుంటనక్క
148,Hase::N,hare,కుందేలు
149,Maus::N,mus,చిట్టెలుక
150,Wolf::N,ulv,తోడేలు
151,Vogel::N,fugl,పక్షి
152,Schwarm::N,sværm,గుంపు
153,Huhn::N,høne,కోడిపిల్ల
154,Hahn::N,hane,కోడివుంజు
155,Gans::N,gås,ఆడుబాతు
156,Adler::N,ørn,గ్రద్ద
157,Ente::N,and,పాట్టిబాతు
158,Eule::N,ugle,గ్రుడ్లగూబ
159,Kranich::N,trane,కొంగ
160,Krähe::N,krage,కాకి
161,Kuckuck::N,gøg,కోయల
162,Schwan::N,svane,హంస
163,Fisch::N,fisk,చేప
164,Barsch::N,aborre,ఒకచేఁప
165,Hecht::N,gedde,గండుమీను
166,Schlange[Tier]::N,slange,పాము
167,Wurm::N,orm,పురుగు
168,Spinne::N,edderkop,సాలె పురుగు
