,Concept_ID,tr,bg
0,Auge::N,göz,око
1,Ohr::N,kulak,ухо
2,Nase::N,burun,нос
3,Mund::N,ağız,уста
4,Zahn::N,diş,зъб
5,Zunge::N,dil,език
6,Lippe::N,dudak,устна
7,Wange::N,yanak,буза
8,Gesicht::N,yüz,лице
9,Gesicht::N,yüz,образ
10,Stirn::N,alın,чело
11,Haar::N,saç,коса
12,Haar::N,saç,косъм
13,Schnurrbart::N,bıyık,мустаци
14,Bart::N,sakal,брада
15,Kinn::N,çene,брада
16,Kinn::N,çene,брадичка
17,Kiefer[Anatomie]::N,çene,челюст
18,Kehle::N,boğaz,гърло
19,Hals::N,boyun,врат
20,Hals::N,gerdan,врат
21,Genick::N,ense,тил
22,Kopf::N,baş,глава
23,Kopf::N,kafa,глава
24,Rücken::N,arka,гръб
25,Bauch::N,karın,корем
26,Nabel::N,göbek,пъп
27,Busen::N,koyun,бозка
28,Brust::N,göğüs,гръд
29,Schulter::N,omuz,рамо
30,Schulter::N,omuz,плещи
31,Arm::N,kol,ръка
32,Ellenbogen::N,dirsek,лакът
33,Hand::N,el,ръка
34,Hand::N,el,китка
35,Handfläche::N,avuç,длан
36,Handfläche::N,el ayası,длан
37,Finger::N,parmak,пръст
38,Fingernagel::N,el tırnağı,нокът
39,Nagel[Anatomie]::N,tırnak,нокът
40,Zeh::N,ayak parmağı,пръст на крак
41,Fuß::N,ayak,крак
42,Fuß::N,ayak,нога
43,Ferse::N,topuk,пета
44,Knie::N,diz,коляно
45,Oberschenkel::N,uyluk,бедро
46,Bein::N,bacak,крак
47,Bein::N,bacak,нога
48,Körper::N,vücut,тяло
49,Haut::N,cilt,кожа
50,Blut::N,kan,кръв
51,Ader::N,damar,вена
52,Ader::N,damar,артерия
53,Sehne::N,kiriş,жила
54,Sehne::N,kiriş,сухожилие
55,Knochen::N,kemik,кост
56,Gehirn::N,beyin,мозък
57,Herz::N,kalp,сърце
58,Herz::N,yürek,сърце
59,Magen::N,mide,стомах
60,Leber::N,karaciğer,черен дроб
61,Atem::N,nefes,дишане
62,Hunger::N,açlık,глад
63,Träne::N,gözyaşı,сълза
64,Geschmack::N,tat,вкус
65,Geschmack::N,lezzet,вкус
66,Geruch::N,koku,миризма
67,Schlaf::N,uyku,сън
68,Traum::N,düş,сън
69,Traum::N,rüya,сън
70,Himmel::N,gök,небе
71,Sonne::N,güneş,слънце
72,Mond::N,ay,луна
73,Mond::N,ay,месец
74,Stern::N,yıldız,звезда
75,Luft::N,hava,въздух
76,Wind::N,yel,вятър
77,Wind::N,rüzgâr,вятър
78,Welle::N,dalga,вълна
79,Wasser::N,su,вода
80,Stein::N,taş,камък
81,Boden::N,yer,земя
82,Boden::N,yer,почва
83,Boden::N,zemin,земя
84,Boden::N,zemin,почва
85,Erde::N,toprak,земя
