,Concept_ID,vep,el
0,Auge::N,sil'm,μάτι
1,Auge::N,sil'm,οφθαλμός
2,Ohr::N,korv,αυτί
3,Nase::N,nena,μύτη
4,Mund::N,su,στόμα
5,Zahn::N,pi,δόντι
6,Zahn::N,hambaz,δόντι
7,Zunge::N,kel',γλώσσα
8,Lippe::N,hul',χείλος
9,Wange::N,modpolišk,παρειά
10,Wange::N,modpolišk,μάγουλο
11,Gesicht::N,mod,πρόσωπο
12,Stirn::N,oc,μέτωπο
13,Haar::N,tuk,μαλλιά
14,Haar::N,hibuz,μαλλιά
15,Schnurrbart::N,habinod,μουστάκι
16,Bart::N,bard,γένια
17,Kinn::N,löug,πιγούνι
18,Kiefer[Anatomie]::N,hambazlu,σαγόνι
19,Kehle::N,kurk,λαρύγγι
20,Hals::N,kagl,λαιμός
21,Genick::N,tagarai,σβέρκος
22,Kopf::N,pä,κεφάλι
23,Rücken::N,sel'g,ράχη
24,Bauch::N,vac,κοιλιά
25,Bauch::N,koht,κοιλιά
26,Nabel::N,naba,αφαλός
27,Busen::N,niža,στήθος
28,Brust::N,rind,στήθος
29,Schulter::N,oug,ώμος
30,Arm::N,käzi,χέρι
31,Arm::N,käzi,μπράτςο
32,Ellenbogen::N,künambruz,αγκώνας
33,Hand::N,käzi,χέρι
34,Hand::N,käzitera,χέρι
35,Handfläche::N,kämen,παλάμη
36,Finger::N,sor'm,δάχτυλο
37,Fingernagel::N,künz',νύχι
38,Nagel[Anatomie]::N,künz',νύχι
39,Zeh::N,barbaz,δάχτυλο του ποδιού
40,Fuß::N,jaug,πόδι
41,Ferse::N,kand,φτέρνα
42,Knie::N,komb,γόνατο
43,Knie::N,pol'v,γόνατο
44,Oberschenkel::N,riiže,μηρός
45,Bein::N,jaug,πόδι
46,Körper::N,hibj,σώμα
47,Körper::N,hibj,κορμί
48,Haut::N,nahk,πετσί
49,Blut::N,čak,αίμα
50,Blut::N,veri,αίμα
51,Ader::N,son',φλέβα
52,Sehne::N,jände,νεύρο
53,Sehne::N,jände,τένοντας
54,Knochen::N,lu,οστό
55,Knochen::N,lu,κόκκαλο
56,Gehirn::N,aivod,μυαλό
57,Gehirn::N,aivod,εγκέφαλος
58,Herz::N,südäin,καρδιά
59,Magen::N,südäikoht,στομάχι
60,Leber::N,maks,ήπαρ
61,Leber::N,maks,συκωτί
62,Atem::N,hengaiduz,αναπνοή
63,Hunger::N,näl'g,πείνα
64,Träne::N,kündal',δάκρυ
65,Geschmack::N,magu,γεύση
66,Geruch::N,haju,οσμή
67,Geruch::N,haju,μυρωδία
68,Schlaf::N,uni,ύπνος
69,Traum::N,unikuva,όνειρο
70,Himmel::N,taivaz,ουρανός
71,Sonne::N,päiväine,ήλιος
72,Mond::N,kudmaine,σελήνη
73,Mond::N,kudmaine,φεγγάρι
74,Stern::N,tähtaz,άστρο
75,Stern::N,tähtaz,αστέρι
76,Luft::N,il'm,αέρας
77,Wind::N,döl,αέρας
78,Wind::N,döl,άνεμος
79,Wind::N,tullei,αέρας
80,Wind::N,tullei,άνεμος
81,Welle::N,ald,κύμα
82,Welle::N,laineh,κύμα
83,Wasser::N,vezi,νερό
84,Stein::N,kivi,πέτρα
85,Boden::N,ma,χώμα
86,Boden::N,pohj,χώμα
87,Erde::N,ma,γη
88,Staub::N,pölü,σκόνη
89,Rauch::N,savu,καπνός
90,Funke::N,kibin,σπίθα
91,Funke::N,kibin,σπινθήρας
92,Feuer::N,lämoi,φωτιά
93,Licht::N,vauktuz,φως
94,Schatten::N,pil'vez,σκιά
95,Schatten::N,pil'vez,ίσκιος
96,Schatten::N,kuvahaine,σκιά
97,Schatten::N,kuvahaine,ίσκιος
98,Wetter::N,sä,καιρός
99,Nebel::N,sumeg,ομίχλη
100,Wolke::N,pil'v,σύννεφο
101,Regen::N,vihm,βροχή
102,Schnee::N,lumi,χιόνι
103,Eis::N,jä,πάγος
104,Frost::N,hala,παγωνία
105,Frost::N,pakaine,παγωνία
106,Kälte::N,vilu,κρύο
107,Kälte::N,vilu,ψύχος
108,Hitze::N,räk,ζέστη
109,Raureif::N,hüde,πάχνη
110,Regenbogen::N,jumalanbembel',ουράνιο τόξο
111,Donner::N,juru,βροντή
112,Donner::N,jumalanjuru,βροντή
113,Strömung::N,joksmuz,ρεύμα
114,Tropfen::N,tilkuine,στάλα
115,Schaum::N,vaht,αφρός
116,Schmutz::N,redu,βρωμιά
117,Schmutz::N,pačak,βρωμιά
118,See::N,järv,λίμνη
119,Sumpf::N,so,βάλτος
120,Moor::N,so,έλος
121,Wiese::N,nit,λιβάδι
122,Wald::N,mec,δάσος
123,Hügel::N,kukaz,λόφος
124,Anhöhe::N,kukaz,ύψωμα
125,Berg::N,mägi,όρος
126,Berg::N,mägi,βουνό
