,Concept_ID,cy,it
0,Auge::N,llygad,occhio
1,Ohr::N,clust,orecchio
2,Nase::N,trwyn,naso
3,Mund::N,ceg,bocca
4,Zahn::N,dant,dente
5,Zunge::N,tafod,lingua
6,Lippe::N,gwefus,labbro
7,Wange::N,boch,guancia
8,Gesicht::N,wyneb,viso
9,Gesicht::N,wyneb,faccia
10,Stirn::N,talcen,fronte
11,Haar::N,blew,capello
12,Schnurrbart::N,mwstas,baffi
13,Schnurrbart::N,mwstas,mustacchi
14,Bart::N,barf,barba
15,Kinn::N,gên,mento
16,Kiefer[Anatomie]::N,gên,mascella
17,Kehle::N,gwddf,gola
18,Hals::N,gwddf,collo
19,Genick::N,gwar,nuca
20,Genick::N,gwegil,nuca
21,Kopf::N,pen,capo
22,Kopf::N,pen,testa
23,Rücken::N,cefn,dorso
24,Rücken::N,cefn,schiena
25,Bauch::N,bol,ventre
26,Nabel::N,bogail,ombelico
27,Busen::N,bron,seno
28,Brust::N,brest,petto
29,Schulter::N,ysgwydd,spalla
30,Arm::N,braich,braccio
31,Ellenbogen::N,penelin,gomito
32,Hand::N,llaw,mano
33,Handfläche::N,palf,palma
34,Finger::N,bys,dito
35,Fingernagel::N,ewin,unghia
36,Nagel[Anatomie]::N,ewin,unghia
37,Zeh::N,bys troed,dito del piede
38,Fuß::N,troed,piede
39,Ferse::N,sawdl,tallone
40,Ferse::N,sawdl,calcagno
41,Knie::N,glin,ginocchio
42,Oberschenkel::N,clun,fèmore
43,Bein::N,coes,gamba
44,Körper::N,corff,corpo
45,Haut::N,croen,pelle
46,Blut::N,gwaed,sangue
47,Ader::N,gwythïen,vena
48,Sehne::N,gewyn,tèndine
49,Knochen::N,asgwrn,osso
50,Gehirn::N,ymennydd,cervello
51,Herz::N,calon,cuore
52,Magen::N,cylla,stòmaco
53,Magen::N,stumog,stòmaco
54,Leber::N,iau,fegato
55,Atem::N,anadl,fiato
56,Atem::N,anadl,respiro
57,Hunger::N,newyn,fame
58,Träne::N,deigryn,làcrima
59,Geschmack::N,cyflas,gusto
60,Geschmack::N,cyflas,sapore
61,Geruch::N,aroglau,odore
62,Schlaf::N,cwsg,sonno
63,Traum::N,breuddwyd,sogno
64,Himmel::N,awyr,cielo
65,Sonne::N,haul,sole
66,Mond::N,lleuad,luna
67,Stern::N,seren,stella
68,Luft::N,awyr,aria
69,Wind::N,gwynt,vento
70,Welle::N,ton,onda
71,Wasser::N,dŵr,acqua
72,Stein::N,carreg,sasso
73,Stein::N,carreg,pietra
74,Boden::N,llawr,suolo
75,Boden::N,llawr,terreno
76,Erde::N,pridd,terra
77,Staub::N,llwch,polvere
78,Rauch::N,mwg,fumo
79,Funke::N,gwreichioni,scintilla
80,Feuer::N,tân,fuoco
81,Licht::N,golau,luce
82,Schatten::N,cysgod,ombra
83,Wetter::N,tywydd,tempo
84,Nebel::N,niwl,nebbia
85,Wolke::N,cwmwl,nube
86,Wolke::N,cwmwl,nùvola
87,Regen::N,glaw,pioggia
88,Schnee::N,ôd,neve
89,Schnee::N,eira,neve
90,Eis::N,iâ,ghiaccio
91,Frost::N,rhew,gelo
92,Kälte::N,oerni,freddo
93,Kälte::N,annwyd,freddo
94,Hitze::N,gwres,caldo
95,Hitze::N,gwres,calura
96,Raureif::N,barrug,brina
97,Regenbogen::N,enfys,arcobaleno
98,Donner::N,tyrfau,tuono
99,Strömung::N,cerrynt,corrente
100,Tropfen::N,dafn,goccia
101,Tropfen::N,diferyn,goccia
102,Schaum::N,ewyn,spuma
103,Schaum::N,ewyn,schiuma
104,Schmutz::N,baw,sudiciume
105,Schmutz::N,budreddi,sudiciume
106,See::N,llyn,lago
107,Sumpf::N,cors,palude
108,Moor::N,rhos,torbiera
109,Wiese::N,dôl,prato
110,Wald::N,coedwig,bosco
111,Wald::N,coedwig,foresta
112,Hügel::N,bryn,colle
113,Hügel::N,bryn,collina
114,Anhöhe::N,bryn,altura
115,Berg::N,mynydd,monte
116,Berg::N,mynydd,montagna
117,Gipfel::N,copa,cima
118,Höhle::N,ogof,grotta
119,Höhle::N,ogof,caverna
120,Abhang::N,llethr,pendìo
121,Quelle::N,tarddiad,sorgente
122,Quelle::N,ffynhonnell,sorgente
123,Bach::N,nant,ruscello
124,Bach::N,afonig,ruscello
125,Bach::N,cornant,ruscello
126,Fluss::N,afon,fiume
127,Ufer::N,glan,riva
128,Küste::N,traeth,costa
129,Küste::N,arfordir,costa
130,Festland::N,tir,terraferma
131,Meer::N,môr,mare
132,Bucht::N,bae,cala
133,Insel::N,ynys,ìsola
134,Blume::N,blodyn,fiore
135,Gras::N,glaswellt,erba
136,Wurzel::N,gwreiddyn,radice
137,Baum::N,coeden,àlbero
138,Stamm::N,colfen,tronco
139,Stamm::N,boncyff,tronco
140,Rinde::N,rhisgl,corteccia
141,Ast::N,cangen,ramo
142,Zweig::N,cainc,ramo
143,Zweig::N,cangen,ramo
144,Blatt::N,deilen,foglia
145,Birke::N,bedwen,betulla
146,Kiefer[Baum]::N,pinwydden,pino
147,Weide[Baum]::N,helygen,sàlice
148,Tanne::N,ffynidwydden,abete
149,Horn::N,corn,corno
150,Feder::N,plufyn,penna
151,Fell::N,ffwr,manto
152,Fell::N,ffwr,pelame
153,Flügel::N,adain,ala
154,Klaue::N,crafanc,grinfia
155,Kralle::N,ewin,unghia
156,Kralle::N,ewin,artiglio
157,Schwanz::N,cwt,coda
158,Schwanz::N,cynffon,coda
159,Ei::N,wy,uovo
160,Nest::N,nyth,nido
161,Bau::N,ffau,covo
162,Tier::N,anifail,bestia
163,Tier::N,anifail,animale
164,Herde::N,praidd,gregge
165,Herde::N,diadell,gregge
166,Kuh::N,buwch,vacca
167,Bulle::N,tarw,toro
168,Pferd::N,ceffyl,cavallo
169,Schaf::N,dafad,pècora
170,Schwein::N,mochyn,porco
171,Schwein::N,mochyn,maiale
172,Hund::N,ci,cane
173,Katze::N,cath,gatta
174,Bär::N,arth,orso
175,Eichhörnchen::N,gwiwer,scoiàttolo
176,Elch::N,elc,alce
177,Fuchs::N,cadno,volpe
178,Hase::N,ysgyfarnog,lepre
179,Maus::N,llygoden,topo
180,Maus::N,llygoden,sorcio
181,Wolf::N,blaidd,lupo
182,Vogel::N,aderyn,uccello
183,Schwarm::N,haid,stormo
184,Huhn::N,cyw,gallina
185,Hahn::N,ceiliog,gallo
186,Gans::N,gŵydd,oca
187,Adler::N,eryr,àquila
188,Ente::N,hwyad,ànatra
189,Eule::N,tylluan,gufo
190,Eule::N,tylluan,civetta
191,Kranich::N,garan,gru
192,Kranich::N,crychydd,gru
193,Krähe::N,brân,cornacchia
194,Kuckuck::N,cog,cuccù
195,Kuckuck::N,cog,cùculo
196,Kuckuck::N,cwcw,cuccù
197,Kuckuck::N,cwcw,cùculo
198,Schwan::N,alarch,cigno
199,Fisch::N,pysgod,pesce
200,Barsch::N,draenog,pèrsico
201,Hecht::N,penhwyad,luccio
202,Schlange[Tier]::N,neidr,serpente
203,Wurm::N,abwydyn,baco
204,Wurm::N,abwydyn,verme
205,Wurm::N,pryf genwair,baco
206,Wurm::N,pryf genwair,verme
207,Spinne::N,cor,ragno
208,Spinne::N,pryf copyn,ragno
209,Ameise::N,morgrugyn,formica
210,Laus::N,lleuen,pidocchio
211,Mücke::N,gwybedyn,zanzara
212,Fliege::N,cleren,mosca
213,Schmetterling::N,glöyn byw,farfalla
214,Schmetterling::N,iâr fach yr haf,farfalla
215,Beere::N,aeronen,bacca
216,Apfel::N,afal,mela
217,Pilz::N,madarch,fungo
218,Zwiebel::N,nionyn,cipolla
219,Zwiebel::N,winwnsyn,cipolla
220,Saat::N,had,semente
221,Korn::N,grawn,grano
222,Heu::N,gwair,fieno
223,Schale::N,croen,buccia
224,Schale::N,plisgyn,buccia
225,Grube::N,pwll,cava
226,Grube::N,pwll,fossa
227,Grube::N,pydew,cava
228,Grube::N,pydew,fossa
229,Falle::N,magl,tràppola
230,Schlinge::N,cwlwm rhedeg,laccio
231,Spur::N,ôl,traccia
232,Asche::N,lludw,cenere
233,Dreck::N,baw,fango
234,Dreck::N,budreddi,fango
235,Eisen::N,haearn,ferro
236,Gold::N,aur,oro
237,Silber::N,arian,argento
238,Kohle::N,glo,carbone
239,Glas::N,gwydr,vetro
240,Lehm::N,clai,argilla
241,Sand::N,tywod,arena
242,Sand::N,tywod,sabbia
243,Mensch::N,dyn,uomo
244,Mensch::N,dyn,èssere umano
245,Mann::N,dyn,uomo
246,Frau::N,merch,donna
247,Frau::N,gwraig,donna
248,Kind::N,plentyn,bambino
249,Junge::N,hogyn,ragazzo
250,Junge::N,bachgen,ragazzo
251,Mädchen::N,merch,ragazza
252,Mädchen::N,geneth,ragazza
253,Familie::N,teulu,famiglia
254,Familie::N,tylwyth,famiglia
255,Großvater::N,taid,nonno
256,Großvater::N,tad-cu,nonno
257,Großmutter::N,nain,nonna
