,Concept_ID,en,fr
0,Auge::N,eye,œil
1,Ohr::N,ear,oreille
2,Nase::N,nose,nez
3,Mund::N,mouth,bouche
4,Zahn::N,tooth,dent
5,Zunge::N,tongue,langue
6,Lippe::N,lip,lèvre
7,Wange::N,cheek,joue
8,Gesicht::N,face,face
9,Gesicht::N,face,visage
10,Stirn::N,forehead,front
11,Haar::N,hair,cheveu
12,Schnurrbart::N,moustache,moustache
13,Bart::N,beard,barbe
14,Kinn::N,chin,menton
15,Kiefer[Anatomie]::N,jaw,mâchoire
16,Kehle::N,throat,gorge
17,Hals::N,neck,cou
18,Genick::N,nape,nuque
19,Kopf::N,head,tête
20,Rücken::N,back,dos
21,Rücken::N,spine,dos
22,Bauch::N,belly,ventre
23,Nabel::N,navel,nombril
24,Busen::N,bosom,sein
25,Brust::N,chest,poitrine
26,Brust::N,breast,poitrine
27,Schulter::N,shoulder,épaule
28,Arm::N,arm,bras
29,Ellenbogen::N,elbow,coude
30,Hand::N,hand,main
31,Handfläche::N,palm,paume
32,Finger::N,finger,doigt
33,Fingernagel::N,fingernail,ongle
34,Nagel[Anatomie]::N,nail,ongle
35,Zeh::N,toe,orteil
36,Zeh::N,toe,doigt de pied
37,Fuß::N,foot,pied
38,Ferse::N,heel,talon
39,Knie::N,knee,genou
40,Oberschenkel::N,thigh,cuisse
41,Bein::N,leg,jambe
42,Körper::N,body,corps
43,Haut::N,skin,peau
44,Blut::N,blood,sang
45,Ader::N,vein,veine
46,Sehne::N,sinew,tendon
47,Knochen::N,bone,os
48,Gehirn::N,brain,cerveau
49,Herz::N,heart,cœur
50,Magen::N,stomach,estomac
51,Leber::N,liver,foie
52,Atem::N,breath,haleine
53,Hunger::N,hunger,faim
54,Träne::N,tear,larme
55,Geschmack::N,flavour,goût
56,Geschmack::N,flavour,saveur
57,Geschmack::N,flavor,goût
58,Geschmack::N,flavor,saveur
59,Geruch::N,odour,odeur
60,Geruch::N,odor,odeur
61,Schlaf::N,sleep,sommeil
62,Traum::N,dream,songe
63,Himmel::N,sky,ciel
64,Sonne::N,sun,soleil
65,Mond::N,moon,lune
66,Stern::N,star,étoile
67,Luft::N,air,air
68,Wind::N,wind,vent
69,Welle::N,wave,vague
70,Wasser::N,water,eau
71,Stein::N,stone,pierre
72,Boden::N,soil,sol
73,Boden::N,soil,terrain
74,Boden::N,ground,sol
75,Boden::N,ground,terrain
76,Erde::N,earth,terre
77,Staub::N,dust,poussière
78,Rauch::N,smoke,fumée
79,Funke::N,spark,étincelle
