,Concept_ID,uz,et
0,Auge::N,ko'z,silm
1,Ohr::N,quloq,kõrv
2,Nase::N,burun,nina
3,Mund::N,og'iz,suu
4,Zahn::N,tish,hammas
5,Zunge::N,til,keel
6,Lippe::N,dudoq,huul
7,Wange::N,bet,põsk
8,Gesicht::N,yuz,nägu
9,Stirn::N,manglay,otsmik
10,Haar::N,soch,juus
11,Schnurrbart::N,mo'ylov,vurrud
12,Schnurrbart::N,mo'ylov,vuntsid
13,Bart::N,soqol,habe
14,Kinn::N,ängak,lõug
15,Kiefer[Anatomie]::N,iyak,lõualuu
16,Kehle::N,bo'g'iz,kõri
17,Hals::N,bo'yin,kael
18,Genick::N,gardan,kukal
19,Kopf::N,bosh,pea
20,Rücken::N,orqa,selg
21,Bauch::N,qorin,kõht
22,Nabel::N,kindik,naba
23,Busen::N,ämchak,rind
24,Brust::N,ko'krak,rind
25,Schulter::N,elka,õlg
26,Arm::N,bilak,käsivars
27,Ellenbogen::N,tirsak,küünarnukk
28,Hand::N,qo'l,käsi
29,Handfläche::N,kaft,pihk
30,Finger::N,barmoq,sõrm
31,Fingernagel::N,tirnoq,küüs
32,Nagel[Anatomie]::N,tirnoq,küüs
33,Zeh::N,oyoq barmog'i,varvas
34,Fuß::N,oyoq,jalg
35,Ferse::N,tovon,kand
36,Knie::N,tiz,põlv
37,Oberschenkel::N,son,reis
38,Bein::N,oyoq,jalg
39,Körper::N,badna,ihu
40,Körper::N,badna,keha
41,Haut::N,teri,nahk
42,Blut::N,qon,veri
43,Ader::N,qon tomir,veen
44,Sehne::N,tomir,kõõlus
45,Knochen::N,suyak,luu
46,Gehirn::N,miya,aju
47,Herz::N,qalb,süda
48,Magen::N,oshqozon,magu
49,Leber::N,bag'ir,maks
50,Atem::N,dam,hingeõhk
51,Atem::N,dam,hingamine
52,Hunger::N,ochlik,nälg
53,Träne::N,yosh,pisar
54,Geschmack::N,tam,maitse
55,Geruch::N,jid,lõhn
56,Schlaf::N,uyqu,uni
57,Traum::N,tush,unenägu
58,Himmel::N,osmon,taevas
59,Sonne::N,quyosh,päike
60,Mond::N,oy,kuu
61,Stern::N,yulduz,täht
62,Luft::N,havo,õhk
63,Wind::N,el,tuul
64,Welle::N,to'lqin,laine
65,Wasser::N,suv,vesi
66,Stein::N,tosh,kivi
67,Boden::N,tuproq,maa
68,Boden::N,tuproq,pinnas
69,Erde::N,er,maa
70,Staub::N,chang,põrm
71,Rauch::N,tutun,suits
72,Funke::N,yalt,säde
73,Feuer::N,o't,tuli
74,Licht::N,yorug',valgus
75,Schatten::N,soya,vari
76,Wetter::N,havo,ilm
77,Nebel::N,tuman,udu
78,Wolke::N,bulut,pilv
79,Regen::N,yomg'ir,sadu
80,Schnee::N,qor,lumi
81,Eis::N,muz,jää
82,Frost::N,ajoz,pakane
83,Kälte::N,ajoz,külm
84,Kälte::N,ajoz,külmus
85,Hitze::N,issiq,kuumus
86,Hitze::N,issiq,palavus
87,Raureif::N,qirov,härmatis
88,Regenbogen::N,kamalak,vikerkaar
89,Donner::N,guldur,kõu
90,Donner::N,guldur,müristamine
91,Strömung::N,oqim,voolus
92,Strömung::N,oqim,jõevool
93,Tropfen::N,tomchi,tilk
94,Schaum::N,ko'pik,vaht
95,Schmutz::N,gard,pori
96,Schmutz::N,gard,mustus
97,See::N,ko'l,järv
98,Sumpf::N,botqoq,soo
99,Moor::N,qir-adir,raba
100,Wiese::N,o'tzor,aas
101,Wiese::N,o'tzor,nurm
102,Wald::N,o'rmon,mets
103,Hügel::N,tepa,küngas
104,Anhöhe::N,adir,küngas
105,Berg::N,tog',mägi
106,Gipfel::N,cho'qqi,mäetipp
107,Höhle::N,kavak,koobas
108,Abhang::N,to'sh,nõlvak
109,Quelle::N,buloq,allikas
110,Bach::N,o'zan,oja
111,Fluss::N,daryo,jõgi
112,Ufer::N,sohil,kallas
113,Küste::N,qirg'oq,rannik
114,Festland::N,materik,mander
115,Festland::N,materik,maismaa
116,Meer::N,dengiz,meri
117,Bucht::N,qo'ltiq,laht
118,Insel::N,orol,saar
119,Blume::N,gul,lill
120,Gras::N,sabza,rohi
121,Wurzel::N,tub,juur
122,Wurzel::N,tomir,juur
123,Baum::N,daraxt,puu
124,Stamm::N,o'simta,tüvi
125,Rinde::N,qobiq,koor
126,Ast::N,shox,oks
127,Zweig::N,butoq,oks
128,Blatt::N,barg,leht
129,Birke::N,qayin,kask
130,Kiefer[Baum]::N,qarag'ay,mänd
131,Weide[Baum]::N,shum,paju
132,Tanne::N,archa,nulg
133,Horn::N,mugiz,sarv
134,Feder::N,par,sulg
135,Fell::N,mo'yna,karvkate
136,Fell::N,mo'yna,karusnahk
137,Flügel::N,qanot,tiib
138,Flügel::N,qanot,tiivik
139,Klaue::N,tirnoq,küüs
140,Kralle::N,tirnoq,küünis
141,Schwanz::N,quyruq,saba
142,Ei::N,tuxum,muna
143,Nest::N,oshyon,pesa
144,Bau::N,o'pqon,urg
145,Tier::N,hayvon,loom
146,Herde::N,gala,kari
147,Kuh::N,inak,lehm
148,Bulle::N,ho'kiz,pull
149,Pferd::N,ot,hobune
150,Schaf::N,qo'y,lammas
151,Schwein::N,cho'chqa,siga
152,Hund::N,it,koer
153,Katze::N,mushuk,kass
154,Bär::N,ayiq,karu
155,Eichhörnchen::N,tiyin,orav
156,Elch::N,los,põder
157,Fuchs::N,tulki,rebane
158,Hase::N,kuyon,jänes
159,Maus::N,sichqon,hiir
160,Wolf::N,bo'ri,hunt
161,Vogel::N,qush,lind
162,Schwarm::N,to'da,parv
163,Huhn::N,tovuq,kana
164,Hahn::N,xo'roz,kukk
