,Concept_ID,ja,ga
0,Auge::N,目,súil
1,Ohr::N,耳,cluas
2,Nase::N,鼻,soc
3,Mund::N,口,béal
4,Zahn::N,歯,fiacail
5,Zunge::N,舌,teanga
6,Lippe::N,唇,liopa
7,Wange::N,頬,grua
8,Wange::N,頬,leiceann
9,Gesicht::N,顔,éadan
10,Gesicht::N,顔,aghaidh
11,Stirn::N,額,baithis
12,Stirn::N,額,clár éadain
13,Haar::N,髪,gruaig
14,Schnurrbart::N,口髭,croiméal
15,Bart::N,髭,féasóg
16,Kinn::N,顎,smig
17,Kiefer[Anatomie]::N,顎,giall
18,Kehle::N,喉,scornach
19,Hals::N,首,muinéal
20,Genick::N,首,baic
21,Kopf::N,頭,ceann
22,Rücken::N,背中,droim
23,Bauch::N,腹,bolg
24,Bauch::N,お腹,bolg
25,Nabel::N,へそ,imleacán
26,Busen::N,乳房,cíoch
27,Brust::N,胸,brollach
28,Schulter::N,肩,gualainn
29,Arm::N,腕,lámh
30,Ellenbogen::N,肘,uillinn
31,Hand::N,手,lámh
32,Handfläche::N,手のひら,bos
33,Finger::N,指,méar
34,Fingernagel::N,爪,ionga
35,Nagel[Anatomie]::N,爪,ionga
36,Zeh::N,足の指,ladhar
37,Fuß::N,足,cos
38,Fuß::N,足,troigh
39,Ferse::N,かかと,sáil
40,Knie::N,膝,glúin
41,Oberschenkel::N,上腿,ceathrú
42,Bein::N,足,cos
43,Körper::N,体,corp
44,Körper::N,体,colainn
45,Haut::N,皮膚,cneas
46,Haut::N,皮膚,craiceann
47,Blut::N,血,fuil
48,Ader::N,血管,
49,Sehne::N,腱,teannán
50,Sehne::N,腱,féitheog
51,Knochen::N,骨,cnámh
52,Gehirn::N,脳,inchinn
53,Herz::N,心,croí
54,Herz::N,心臓,croí
55,Magen::N,胃,bolg
56,Magen::N,胃,goile
57,Leber::N,肝臓,ae
58,Atem::N,息,anáil
59,Atem::N,呼吸,anáil
60,Hunger::N,空腹,ocras
61,Träne::N,涙,deoir
62,Geschmack::N,味,blas
63,Geruch::N,匂い,boladh
64,Schlaf::N,睡眠,suan
65,Schlaf::N,睡眠,codladh
66,Traum::N,夢,taibhreamh
67,Himmel::N,空,spéir
68,Sonne::N,太陽,grian
69,Mond::N,月,ré
70,Mond::N,月,gealach
71,Stern::N,星,rinn
72,Stern::N,星,réalta
73,Luft::N,空気,aer
74,Wind::N,風,gaoth
75,Welle::N,波,tonn
76,Wasser::N,水,uisce
77,Stein::N,石,cloch
78,Boden::N,土地,talamh
79,Erde::N,土,cré
80,Erde::N,土,ithir
81,Staub::N,埃,dusta
82,Staub::N,埃,deannach
83,Rauch::N,煙,toit
84,Rauch::N,煙,deatach
85,Funke::N,火花,drithle
86,Feuer::N,火,tine
87,Licht::N,光,solas
88,Schatten::N,陰,scáth
89,Wetter::N,天気,aimsir
90,Nebel::N,霧,ceo
91,Wolke::N,雲,néal
92,Wolke::N,雲,scamall
93,Regen::N,雨,báisteach
94,Regen::N,雨,fearthainn
95,Schnee::N,雪,sneachta
96,Eis::N,氷,oighear
97,Frost::N,霜,sioc
98,Kälte::N,寒さ,fuacht
99,Hitze::N,暑さ,teas
100,Hitze::N,暑さ,teocht
101,Raureif::N,霧氷,sioc bán
102,Regenbogen::N,虹,stua ceatha
103,Regenbogen::N,虹,bogha báistí
104,Donner::N,雷,toirneach
105,Strömung::N,流れ,sruth
106,Tropfen::N,滴,deoir
107,Schaum::N,泡,cúr
108,Schmutz::N,汚れ,salachar
109,See::N,湖,loch
110,Sumpf::N,沼,portach
111,Moor::N,湿原,caorán
112,Moor::N,湿原,móinteán
113,Wiese::N,草原,cluain
114,Wiese::N,草原,móinéar
115,Wald::N,森,coill
116,Wald::N,森,foraois
117,Hügel::N,丘,ard
118,Anhöhe::N,高み,ard
119,Anhöhe::N,高み,ardán
120,Berg::N,山,sliabh
121,Gipfel::N,頂上,barr
122,Gipfel::N,頂上,mullach
123,Höhle::N,洞窟,uaimh
124,Höhle::N,洞窟,pluais
