,Concept_ID,ka,fr
0,Auge::N,თვალი,œil
1,Ohr::N,ყური,oreille
2,Nase::N,ცხვირი,nez
3,Mund::N,პირი,bouche
4,Zahn::N,კბილი,dent
5,Zunge::N,ენა,langue
6,Lippe::N,ბაგე,lèvre
7,Wange::N,ლოყა,joue
8,Gesicht::N,სახე,face
9,Gesicht::N,სახე,visage
10,Stirn::N,შუბლი,front
11,Haar::N,თმა,cheveu
12,Schnurrbart::N,ულვაში,moustache
13,Bart::N,წვერი,barbe
14,Kinn::N,ნიკაპი,menton
15,Kiefer[Anatomie]::N,ყბა,mâchoire
16,Kehle::N,ყელი,gorge
17,Hals::N,ყელი,cou
18,Hals::N,კისერი,cou
19,Genick::N,კეფა,nuque
20,Kopf::N,თავი,tête
21,Rücken::N,ზურგი,dos
22,Bauch::N,მუცელი,ventre
23,Nabel::N,ჭიპი,nombril
24,Busen::N,ძუძუ,sein
25,Brust::N,მკერდი,poitrine
26,Schulter::N,მხარი,épaule
27,Schulter::N,მკლავი,épaule
28,Arm::N,ხელი,bras
29,Ellenbogen::N,იდაყვი,coude
30,Hand::N,ხელი,main
31,Handfläche::N,ნები,paume
32,Handfläche::N,ხელისგული,paume
33,Finger::N,თითი,doigt
34,Fingernagel::N,ფრჩხილი,ongle
35,Nagel[Anatomie]::N,ფრჩხილი,ongle
36,Zeh::N,ფეხის თითი,orteil
37,Zeh::N,ფეხის თითი,doigt de pied
38,Fuß::N,ტერფი,pied
39,Fuß::N,ფეხისგული,pied
40,Ferse::N,ქუსლი,talon
41,Knie::N,მუხლი,genou
42,Oberschenkel::N,ბარძაყი,cuisse
43,Bein::N,ფეხი,jambe
44,Körper::N,ტანი,corps
45,Körper::N,სხეული,corps
46,Haut::N,კანი,peau
47,Blut::N,სისხლი,sang
48,Ader::N,ძარღვი,veine
49,Sehne::N,მყესი,tendon
50,Knochen::N,ძვალი,os
51,Gehirn::N,ტვინი,cerveau
52,Herz::N,გული,cœur
53,Magen::N,კუჭი,estomac
54,Leber::N,ღვიძლი,foie
55,Atem::N,სუნთქვა,haleine
56,Hunger::N,შიმშილი,faim
57,Träne::N,ცრემლი,larme
58,Geschmack::N,გემო,goût
59,Geschmack::N,გემო,saveur
60,Geruch::N,სუნი,odeur
61,Schlaf::N,ძილი,sommeil
62,Traum::N,სიზმარი,songe
63,Himmel::N,ცა,ciel
64,Sonne::N,მზე,soleil
65,Mond::N,მთვარე,lune
66,Stern::N,ვარსკვლავი,étoile
67,Luft::N,ჰაერი,air
68,Wind::N,ქარი,vent
69,Welle::N,ტალღა,vague
70,Wasser::N,წყალი,eau
71,Stein::N,ქვა,pierre
72,Boden::N,მიწა,sol
73,Boden::N,მიწა,terrain
74,Erde::N,ნიადაგი,terre
75,Staub::N,მტვერი,poussière
76,Rauch::N,ბოლი,fumée
77,Rauch::N,კვამლი,fumée
78,Funke::N,ნაკვესი,étincelle
79,Feuer::N,ცეცხლი,feu
80,Licht::N,შუქი,lumière
81,Licht::N,სინათლე,lumière
82,Schatten::N,ლანდი,ombre
83,Schatten::N,ჩრდილი,ombre
84,Wetter::N,ამინდი,temps
85,Nebel::N,ნისლი,brume
