,Concept_ID,ps,bn
0,Auge::N,سترګه,চক্ষু
1,Ohr::N,غوږ,কর্ণ
2,Nase::N,پوزه,নাক
3,Mund::N,خوله,মুখ
4,Zahn::N,غاښ,দাঁত
5,Zunge::N,جبه,জিহবা
6,Lippe::N,شونډه,অধর
7,Wange::N,باړخو,গণ্ড
8,Gesicht::N,مخ,মুখমণ্ডল
9,Stirn::N,تندی,কপাল
10,Stirn::N,وچولی,কপাল
11,Haar::N,وېښته,চুল
12,Schnurrbart::N,برېت,গোঁফ
13,Bart::N,ږیره,শ্মশ্রু
14,Kinn::N,زنه,চিবুক
15,Kiefer[Anatomie]::N,جامه,চোয়াল
16,Kehle::N,غاړه,কণ্ঠ
17,Hals::N,غاړه,গল
18,Genick::N,ورمېږ,ঘাড়
19,Kopf::N,سر,মাথা
20,Rücken::N,شا,পৃষ্ঠ
21,Bauch::N,نس,উদর
22,Bauch::N,ګېډه,উদর
23,Nabel::N,نوم,নাভি
24,Busen::N,تی,স্তন
25,Brust::N,سینه,বুক
26,Schulter::N,اوږه,স্কন্ধ
27,Arm::N,لاس,বাহু
28,Ellenbogen::N,څنګل,কনুই
29,Hand::N,لاس,হাত
30,Handfläche::N,ورغوی,করতল
31,Finger::N,ګوته,আঙ্গুল
32,Fingernagel::N,نوک,হাতের নখ
33,Nagel[Anatomie]::N,نوک,নখ
34,Zeh::N,ګوته,আঙ্গুল
35,Fuß::N,پښه,পা
36,Ferse::N,پونده,গোড়ালি
37,Knie::N,زنګون,হাঁটু
38,Oberschenkel::N,پتون,ঊরু
39,Bein::N,پښه,পা
40,Körper::N,ځان,দেহ
41,Haut::N,پوټکی,ত্বক
42,Blut::N,وینه,রক্ত
43,Ader::N,رګ,শিরা
44,Sehne::N,پله,কণ্ডরা
45,Knochen::N,هډوکی,অস্থি
46,Gehirn::N,ماغزه,মস্তিষ্ক
47,Herz::N,زړه,হৃৎপিণ্ড
48,Magen::N,معده,পাকস্থলী
49,Leber::N,ينه,যকৃৎ
50,Leber::N,ځیګر,যকৃৎ
51,Atem::N,نفس,শ্বাস
52,Hunger::N,ولږه,ক্ষুধা
53,Träne::N,اوښکه,অশ্রু
54,Geschmack::N,مزه,স্বাদ
55,Geschmack::N,خوند,স্বাদ
56,Geruch::N,بوی,গন্ধ
57,Schlaf::N,خوب,ঘুম
58,Traum::N,خوب,স্বপ্ন
59,Himmel::N,اسمان,আকাশ
60,Sonne::N,لمر,সূর্য
61,Mond::N,سپوږمۍ,চন্দ্র
62,Stern::N,ستوری,নক্ষত্র
63,Luft::N,هوا,বায়ু
64,Wind::N,ورښ,বাতাস
65,Welle::N,موج,ঢেউ
66,Welle::N,موج,তরঙ্গ
67,Wasser::N,اوبه,জল
68,Stein::N,ډبره,ঢিল
69,Stein::N,ډبره,প্রস্তর
70,Boden::N,مځکه,ভূতল
71,Erde::N,خاوره,ভূমি
72,Staub::N,ګرد,ধুলা
73,Staub::N,خاوره,ধুলা
74,Rauch::N,دود,ধোঁয়া
75,Rauch::N,لوګی,ধোঁয়া
76,Funke::N,سپرغۍ,স্ফুলিঙ্গ
77,Feuer::N,اور,অগ্নি
78,Licht::N,رڼا,আলো
79,Schatten::N,سیوری,ছায়া
80,Wetter::N,هوا,আবহাওয়া
81,Nebel::N,لړه,কুহেলিকা
82,Wolke::N,ورېځ,মেঘ
83,Regen::N,وریا,বৃষ্টি
84,Regen::N,باران,বৃষ্টি
85,Schnee::N,واوره,তুষার
86,Eis::N,یخ,বরফ
87,Eis::N,کنګل,বরফ
88,Frost::N,یخ,তুষার
89,Kälte::N,ساړه,শৈত্য
90,Hitze::N,تودوخي,তাপ
91,Raureif::N,سپینه پرخه,তুহিন
92,Regenbogen::N,بوډۍ ټال,রামধনু
