,Concept_ID,br,ar
0,Auge::N,lagad,عين
1,Ohr::N,skouarn,أذن
2,Nase::N,fri,أنف
3,Mund::N,genoù,فم
4,Zahn::N,dant,سن
5,Zunge::N,teod,لسان
6,Lippe::N,muzell,شفة
7,Wange::N,chot,خد
8,Wange::N,chot,وجنة
9,Gesicht::N,dremm,وجه
10,Stirn::N,tal,جبين
11,Haar::N,blev,شعر
12,Schnurrbart::N,mourenn,شارب
13,Bart::N,barv,لحية
14,Kinn::N,groñj,ذقن
15,Kiefer[Anatomie]::N,javed,فك
16,Kehle::N,gouzoug,حلق
17,Hals::N,gouzoug,عنق
18,Hals::N,gouzoug,رقبة
19,Genick::N,choug,قفا
20,Kopf::N,penn,رأس
21,Rücken::N,kein,ظهر
22,Bauch::N,kof,بطن
23,Nabel::N,begel,سرة
24,Busen::N,bronn,ثدي
25,Brust::N,bruched,صدر
26,Schulter::N,skoaz,كتف
27,Arm::N,brec'h,ذراع
28,Ellenbogen::N,ilin,كوع
29,Hand::N,dorn,يد
30,Handfläche::N,palv,كف
31,Finger::N,biz,إصبع
32,Fingernagel::N,ivin,ظفر
33,Nagel[Anatomie]::N,ivin,ظفر
34,Zeh::N,biz-troad,إصبع القدم
35,Fuß::N,troad,قدم
36,Ferse::N,seul,كعب
37,Knie::N,glin,ركبة
38,Oberschenkel::N,morzhed,فخذ
39,Bein::N,gar,ساق
40,Körper::N,korf,جسم
41,Haut::N,kroc'hen,بشرة
42,Blut::N,gwad,دم
43,Ader::N,gwazhi,عرق
44,Sehne::N,stir,طنب
45,Knochen::N,askorn,عظم
46,Gehirn::N,empenn,دماغ
47,Herz::N,kalon,قلب
48,Magen::N,stomog,معدة
49,Leber::N,avu,كبد
50,Atem::N,anal,نفس
51,Hunger::N,naon,جوع
52,Träne::N,daer,دمعة
53,Geschmack::N,blaz,طعم
54,Geschmack::N,blaz,مذاق
55,Geruch::N,c'hwezh,رائحة
56,Schlaf::N,kousked,نوم
57,Schlaf::N,kousked,منام
58,Traum::N,hune,حلم
59,Himmel::N,oabl,سماء
60,Sonne::N,heol,شمس
61,Mond::N,loar,قمر
62,Stern::N,steredenn,نجم
63,Stern::N,steredenn,كوكب
64,Luft::N,aer,هواء
65,Wind::N,avel,ريح
66,Welle::N,houlenn,موجة
67,Wasser::N,dour,ماء
68,Stein::N,maen,حجر
69,Boden::N,tachenn,تراب
70,Erde::N,douar,أرض
71,Staub::N,poultr,غبار
72,Rauch::N,moged,دخان
73,Funke::N,ful,شرارة
74,Feuer::N,tan,نار
75,Licht::N,gouloù,نور
76,Licht::N,gouloù,ضوء
77,Schatten::N,disheol,ظل
78,Schatten::N,disheol,فيء
79,Wetter::N,amzer,جو
80,Wetter::N,amzer,طقس
81,Nebel::N,brumenn,ضباب
82,Wolke::N,koumoulenn,غيمة
83,Wolke::N,koumoulenn,سحابة
84,Regen::N,glav,مطر
85,Schnee::N,erc'h,ثلج
86,Eis::N,skorn,جليد
87,Frost::N,rev,صقيع
88,Kälte::N,yen,برد
89,Hitze::N,tommder,حر
90,Hitze::N,tommder,حرارة
91,Raureif::N,frim,صقيع
92,Regenbogen::N,gwareg-ar-glav,قوس قزح
93,Donner::N,kurun,رعد
94,Strömung::N,red,تيار
95,Tropfen::N,bannac'h,قطرة
96,Tropfen::N,takenn,قطرة
97,Schaum::N,spoum,زبد
98,Schaum::N,spoum,رغوة
99,Schmutz::N,fank,وسخ
100,See::N,lenn,بحيرة
101,Sumpf::N,gwern,مستنقع
102,Moor::N,taouarc'heg,مستنقع
103,Wiese::N,prad,مرج
104,Wald::N,koad,غابة
105,Hügel::N,torgenn,تل
106,Anhöhe::N,run,تل
107,Berg::N,menez,جبل
108,Gipfel::N,barr,قمة
109,Höhle::N,kav,كهف
110,Abhang::N,naou,منحدر
111,Quelle::N,feunteun,منبع
112,Bach::N,gwazh,مجرى
113,Fluss::N,stêr,نهر
114,Ufer::N,ribl,ضفة
115,Küste::N,aod,ساحل
116,Festland::N,douar,بر
117,Meer::N,mor,بحر
118,Bucht::N,mor-bihan,خليج
119,Insel::N,enez,جزيرة
120,Blume::N,bleunienn,زهرة
121,Gras::N,geot,حشيش
122,Wurzel::N,gwrizienn,أصل
123,Baum::N,gwezenn,شجرة
124,Stamm::N,kef,جذع
125,Rinde::N,rusk,قشرة
126,Ast::N,barr,فرع
127,Zweig::N,bod,غصن
128,Blatt::N,delienn,ورقة
129,Birke::N,bezvenn,قضبان
130,Kiefer[Baum]::N,pinenn,صنوبرة
131,Weide[Baum]::N,halegenn,صفصاف
132,Tanne::N,sapenn,شوح
133,Tanne::N,sapenn,تبوب
134,Horn::N,korn,قرن
135,Feder::N,pluñv,ريشة
136,Fell::N,kreoñ,فرو
137,Flügel::N,askell,جناح
138,Klaue::N,skilf,مخلب
139,Kralle::N,skilf,مخلب
140,Schwanz::N,lost,ذيل
141,Ei::N,vi,بيض
142,Nest::N,neizh,عش
143,Bau::N,douarenn,جحر
144,Tier::N,loen,حيوان
145,Herde::N,tropell,قطيع
146,Kuh::N,buoc'h,بقرة
147,Bulle::N,tarv,ثور
148,Pferd::N,marc'h,خيل
149,Schaf::N,dañvad,شاة
150,Schwein::N,pemoc'h,خنزير
151,Hund::N,ki,كلب
152,Katze::N,kazh,قطة
153,Bär::N,arzh,دب
154,Eichhörnchen::N,gwiñver,سنجاب
155,Elch::N,karv-dour,موظ
156,Fuchs::N,louarn,ثعلب
157,Hase::N,gad,أرنب
158,Maus::N,logodenn,فأرة
159,Wolf::N,bleiz,ذئب
160,Vogel::N,labous,طير
161,Schwarm::N,nijad,سرب
162,Huhn::N,yar,دجاجة
163,Hahn::N,kilhog,ديك
164,Gans::N,gwazenn,وزة
165,Adler::N,erer,نسر
166,Ente::N,houad,بطة
167,Eule::N,toud,بوم
168,Kranich::N,garan,كركي
169,Krähe::N,bran,غراب
170,Kuckuck::N,koukoug,وقواق
171,Schwan::N,alarc'h,إوز عراقي
172,Fisch::N,pesk,سمك
173,Barsch::N,brell,فرخ أوربي
174,Hecht::N,beked,سمك الكراكي
175,Schlange[Tier]::N,naer,حية
176,Schlange[Tier]::N,naer,ثعبان
177,Wurm::N,preñv,دودة
178,Spinne::N,kevnidenn,عنكبوت
179,Ameise::N,merion,نملة
180,Laus::N,laouenn,قملة
181,Mücke::N,moustik,ناموسة
182,Fliege::N,kelienenn,ذبابة
183,Schmetterling::N,balafenn,فراشة
184,Beere::N,hog,حبة
185,Apfel::N,aval,تفاح
186,Pilz::N,kabell-touseg,فطر
187,Zwiebel::N,ognonenn,بصل
188,Saat::N,had,زرع
189,Korn::N,ed,حبة
190,Heu::N,foenn,دريس
191,Schale::N,peliadur,قشرة
192,Falle::N,pech,فخ
193,Falle::N,pech,مصيدة
194,Schlinge::N,krouglas,عروة
195,Asche::N,ludu,رماد
196,Dreck::N,fank,قذر
197,Eisen::N,houarn,حديد
198,Gold::N,aour,ذهب
199,Silber::N,arc'hant,فضة
200,Kohle::N,glaou,فحم
201,Glas::N,gwer,زجاج
202,Sand::N,traezh,رمل
203,Mensch::N,den,إنسان
204,Mann::N,den,رجل
205,Frau::N,maouez,امرأة
206,Kind::N,bugel,طفل
207,Junge::N,paotr,ولد
208,Mädchen::N,plac'h,بنت
209,Familie::N,familh,عائلة
210,Großvater::N,tad-kozh,جد
