,Concept_ID,uz,el
0,Auge::N,ko'z,μάτι
1,Auge::N,ko'z,οφθαλμός
2,Ohr::N,quloq,αυτί
3,Nase::N,burun,μύτη
4,Mund::N,og'iz,στόμα
5,Zahn::N,tish,δόντι
6,Zunge::N,til,γλώσσα
7,Lippe::N,dudoq,χείλος
8,Wange::N,bet,παρειά
9,Wange::N,bet,μάγουλο
10,Gesicht::N,yuz,πρόσωπο
11,Stirn::N,manglay,μέτωπο
12,Haar::N,soch,μαλλιά
13,Schnurrbart::N,mo'ylov,μουστάκι
14,Bart::N,soqol,γένια
15,Kinn::N,ängak,πιγούνι
16,Kiefer[Anatomie]::N,iyak,σαγόνι
17,Kehle::N,bo'g'iz,λαρύγγι
18,Hals::N,bo'yin,λαιμός
19,Genick::N,gardan,σβέρκος
20,Kopf::N,bosh,κεφάλι
21,Rücken::N,orqa,ράχη
22,Bauch::N,qorin,κοιλιά
23,Nabel::N,kindik,αφαλός
24,Busen::N,ämchak,στήθος
25,Brust::N,ko'krak,στήθος
26,Schulter::N,elka,ώμος
27,Arm::N,bilak,χέρι
28,Arm::N,bilak,μπράτςο
29,Ellenbogen::N,tirsak,αγκώνας
30,Hand::N,qo'l,χέρι
31,Handfläche::N,kaft,παλάμη
32,Finger::N,barmoq,δάχτυλο
33,Fingernagel::N,tirnoq,νύχι
34,Nagel[Anatomie]::N,tirnoq,νύχι
35,Zeh::N,oyoq barmog'i,δάχτυλο του ποδιού
36,Fuß::N,oyoq,πόδι
37,Ferse::N,tovon,φτέρνα
38,Knie::N,tiz,γόνατο
39,Oberschenkel::N,son,μηρός
40,Bein::N,oyoq,πόδι
41,Körper::N,badna,σώμα
42,Körper::N,badna,κορμί
43,Haut::N,teri,πετσί
44,Blut::N,qon,αίμα
45,Ader::N,qon tomir,φλέβα
46,Sehne::N,tomir,νεύρο
47,Sehne::N,tomir,τένοντας
48,Knochen::N,suyak,οστό
49,Knochen::N,suyak,κόκκαλο
50,Gehirn::N,miya,μυαλό
51,Gehirn::N,miya,εγκέφαλος
52,Herz::N,qalb,καρδιά
53,Magen::N,oshqozon,στομάχι
54,Leber::N,bag'ir,ήπαρ
55,Leber::N,bag'ir,συκωτί
56,Atem::N,dam,αναπνοή
57,Hunger::N,ochlik,πείνα
58,Träne::N,yosh,δάκρυ
59,Geschmack::N,tam,γεύση
60,Geruch::N,jid,οσμή
61,Geruch::N,jid,μυρωδία
62,Schlaf::N,uyqu,ύπνος
63,Traum::N,tush,όνειρο
64,Himmel::N,osmon,ουρανός
65,Sonne::N,quyosh,ήλιος
66,Mond::N,oy,σελήνη
67,Mond::N,oy,φεγγάρι
68,Stern::N,yulduz,άστρο
69,Stern::N,yulduz,αστέρι
70,Luft::N,havo,αέρας
71,Wind::N,el,αέρας
72,Wind::N,el,άνεμος
73,Welle::N,to'lqin,κύμα
74,Wasser::N,suv,νερό
75,Stein::N,tosh,πέτρα
76,Boden::N,tuproq,χώμα
77,Erde::N,er,γη
78,Staub::N,chang,σκόνη
79,Rauch::N,tutun,καπνός
80,Funke::N,yalt,σπίθα
81,Funke::N,yalt,σπινθήρας
82,Feuer::N,o't,φωτιά
83,Licht::N,yorug',φως
84,Schatten::N,soya,σκιά
85,Schatten::N,soya,ίσκιος
86,Wetter::N,havo,καιρός
87,Nebel::N,tuman,ομίχλη
88,Wolke::N,bulut,σύννεφο
89,Regen::N,yomg'ir,βροχή
90,Schnee::N,qor,χιόνι
91,Eis::N,muz,πάγος
92,Frost::N,ajoz,παγωνία
93,Kälte::N,ajoz,κρύο
94,Kälte::N,ajoz,ψύχος
95,Hitze::N,issiq,ζέστη
96,Raureif::N,qirov,πάχνη
97,Regenbogen::N,kamalak,ουράνιο τόξο
98,Donner::N,guldur,βροντή
99,Strömung::N,oqim,ρεύμα
100,Tropfen::N,tomchi,στάλα
101,Schaum::N,ko'pik,αφρός
102,Schmutz::N,gard,βρωμιά
103,See::N,ko'l,λίμνη
104,Sumpf::N,botqoq,βάλτος
105,Moor::N,qir-adir,έλος
106,Wiese::N,o'tzor,λιβάδι
107,Wald::N,o'rmon,δάσος
108,Hügel::N,tepa,λόφος
109,Anhöhe::N,adir,ύψωμα
110,Berg::N,tog',όρος
111,Berg::N,tog',βουνό
112,Gipfel::N,cho'qqi,κορυφή
113,Höhle::N,kavak,σπηλιά
114,Abhang::N,to'sh,πλαγιά
115,Quelle::N,buloq,πηγή
116,Quelle::N,buloq,βρύση
117,Bach::N,o'zan,ρυάκι
118,Fluss::N,daryo,ποτάμι
119,Fluss::N,daryo,ποταμός
120,Ufer::N,sohil,όχθη
121,Küste::N,qirg'oq,ακτή
122,Küste::N,qirg'oq,ακρογιαλιά
123,Festland::N,materik,στεριά
124,Meer::N,dengiz,θάλασσα
125,Bucht::N,qo'ltiq,κόλπος
126,Insel::N,orol,νησί
127,Insel::N,orol,νήσος
128,Blume::N,gul,άνθος
129,Blume::N,gul,λουλούδι
130,Gras::N,sabza,χόρτο
131,Gras::N,sabza,χορτάρι
132,Wurzel::N,tub,ρίζα
133,Wurzel::N,tomir,ρίζα
134,Baum::N,daraxt,δέντρο
135,Stamm::N,o'simta,κορμός
136,Rinde::N,qobiq,φλούδα
137,Ast::N,shox,κλαδί
138,Zweig::N,butoq,κλαδί
139,Zweig::N,butoq,κλάδος
140,Blatt::N,barg,φύλλο
141,Birke::N,qayin,σημύδα
142,Kiefer[Baum]::N,qarag'ay,πεύκο
143,Weide[Baum]::N,shum,ιτιά
144,Tanne::N,archa,έλατο
145,Horn::N,mugiz,κέρας
146,Horn::N,mugiz,κέρατο
147,Feder::N,par,φτερό
148,Fell::N,mo'yna,δέρμα
149,Fell::N,mo'yna,τομάρι
150,Flügel::N,qanot,πτερύγιο
151,Klaue::N,tirnoq,κουλό
152,Kralle::N,tirnoq,νύχι
153,Schwanz::N,quyruq,ουρά
154,Ei::N,tuxum,αβγό
155,Nest::N,oshyon,φωλιά
156,Bau::N,o'pqon,φωλιά
157,Tier::N,hayvon,ζώο
158,Herde::N,gala,κοπάδι
159,Kuh::N,inak,αγελάδα
160,Bulle::N,ho'kiz,ταύρος
161,Pferd::N,ot,άλογο
162,Schaf::N,qo'y,πρόβατο
163,Schwein::N,cho'chqa,γουρούνι
164,Hund::N,it,σκυλί
165,Hund::N,it,σκύλος
166,Katze::N,mushuk,γάτα
167,Bär::N,ayiq,άρκτος
168,Bär::N,ayiq,αρκούδα
169,Eichhörnchen::N,tiyin,βερβερίτσα
170,Elch::N,los,άλκη
171,Fuchs::N,tulki,αλεπού
172,Hase::N,kuyon,λαγός
173,Maus::N,sichqon,ποντικός
174,Wolf::N,bo'ri,λύκος
175,Vogel::N,qush,πουλί
176,Schwarm::N,to'da,σμήνος
177,Huhn::N,tovuq,κότα
178,Huhn::N,tovuq,όρνιθα
179,Hahn::N,xo'roz,πετεινός
180,Gans::N,g'oz,χήνα
181,Adler::N,burgut,αετός
182,Ente::N,o'rdak,πάπια
183,Eule::N,boyo'g'li,κουκουβάγια
184,Kranich::N,turna,γερανός
185,Krähe::N,qarg'a,καρακάξα
186,Kuckuck::N,kakku,κούκος
187,Schwan::N,oqkush,κύκνος
188,Fisch::N,baliq,ψάρι
189,Barsch::N,olabug'a,πέρκα
190,Hecht::N,cho'rtan,λούτσος
191,Schlange[Tier]::N,ilon,φίδι
192,Wurm::N,qurt,σκουλήκι
193,Spinne::N,o'rgimchak,αράχνη
194,Ameise::N,chumoli,μυρμήγκι
195,Laus::N,bit,ψείρα
196,Mücke::N,chivin,κουνούπι
197,Fliege::N,pashsha,μύγα
198,Schmetterling::N,kapalak,πεταλούδα
199,Beere::N,meva,ρόγα
200,Apfel::N,olma,μήλο
201,Pilz::N,qo'ziqorin,μανιτάρι
202,Zwiebel::N,piyoz,κρεμμύδι
