,Concept_ID,el,uk
0,Auge::N,μάτι,око
1,Auge::N,οφθαλμός,око
2,Ohr::N,αυτί,вухо
3,Nase::N,μύτη,ніс
4,Mund::N,στόμα,рот
5,Zahn::N,δόντι,зуб
6,Zunge::N,γλώσσα,язик
7,Lippe::N,χείλος,губа
8,Wange::N,παρειά,щока
9,Wange::N,μάγουλο,щока
10,Gesicht::N,πρόσωπο,обличчя
11,Stirn::N,μέτωπο,лоб
12,Haar::N,μαλλιά,волосся
13,Schnurrbart::N,μουστάκι,вуса
14,Bart::N,γένια,борода
15,Kinn::N,πιγούνι,підборіддя
16,Kiefer[Anatomie]::N,σαγόνι,щелепа
17,Kehle::N,λαρύγγι,горло
18,Hals::N,λαιμός,шия
19,Genick::N,σβέρκος,потилиця
20,Kopf::N,κεφάλι,голова
21,Rücken::N,ράχη,спина
22,Bauch::N,κοιλιά,живіт
23,Nabel::N,αφαλός,пупок
24,Busen::N,στήθος,груди
25,Brust::N,στήθος,груди
26,Schulter::N,ώμος,плече
27,Arm::N,χέρι,рука
28,Arm::N,μπράτςο,рука
29,Ellenbogen::N,αγκώνας,лікоть
30,Hand::N,χέρι,рука
31,Handfläche::N,παλάμη,долоня
32,Finger::N,δάχτυλο,палець
33,Fingernagel::N,νύχι,ніготь
34,Nagel[Anatomie]::N,νύχι,ніготь
35,Zeh::N,δάχτυλο του ποδιού,палець на нозі
36,Fuß::N,πόδι,нога
37,Ferse::N,φτέρνα,п’ятка
38,Knie::N,γόνατο,коліно
39,Oberschenkel::N,μηρός,стегно
40,Bein::N,πόδι,нога
41,Körper::N,σώμα,тіло
42,Körper::N,κορμί,тіло
43,Haut::N,πετσί,шкіра
44,Blut::N,αίμα,кров
45,Ader::N,φλέβα,вена
46,Sehne::N,νεύρο,сухожилля
47,Sehne::N,τένοντας,сухожилля
48,Knochen::N,οστό,кістка
49,Knochen::N,κόκκαλο,кістка
50,Gehirn::N,μυαλό,мозок
51,Gehirn::N,εγκέφαλος,мозок
52,Herz::N,καρδιά,серце
53,Magen::N,στομάχι,шлунок
54,Leber::N,ήπαρ,печінка
55,Leber::N,συκωτί,печінка
56,Atem::N,αναπνοή,дихання
57,Hunger::N,πείνα,голод
58,Träne::N,δάκρυ,сльоза
59,Geschmack::N,γεύση,смак
60,Geruch::N,οσμή,запах
61,Geruch::N,μυρωδία,запах
62,Schlaf::N,ύπνος,сон
63,Schlaf::N,ύπνος,сплячка
64,Traum::N,όνειρο,сон
65,Himmel::N,ουρανός,небо
66,Sonne::N,ήλιος,сонце
67,Mond::N,σελήνη,місяць
68,Mond::N,φεγγάρι,місяць
69,Stern::N,άστρο,зірка
70,Stern::N,αστέρι,зірка
71,Luft::N,αέρας,повітря
72,Wind::N,αέρας,вітер
73,Wind::N,άνεμος,вітер
74,Welle::N,κύμα,хвиля
75,Wasser::N,νερό,вода
76,Stein::N,πέτρα,камінь
77,Boden::N,χώμα,ґрунт
78,Erde::N,γη,земля
79,Staub::N,σκόνη,пил
80,Rauch::N,καπνός,дим
81,Funke::N,σπίθα,іскра
82,Funke::N,σπινθήρας,іскра
83,Feuer::N,φωτιά,вогонь
84,Licht::N,φως,світло
85,Schatten::N,σκιά,тінь
86,Schatten::N,ίσκιος,тінь
87,Wetter::N,καιρός,погода
88,Nebel::N,ομίχλη,туман
89,Wolke::N,σύννεφο,хмара
90,Regen::N,βροχή,дощ
91,Schnee::N,χιόνι,сніг
92,Eis::N,πάγος,лід
93,Frost::N,παγωνία,мороз
94,Kälte::N,κρύο,холод
95,Kälte::N,ψύχος,холод
96,Hitze::N,ζέστη,жар
97,Raureif::N,πάχνη,іній
98,Regenbogen::N,ουράνιο τόξο,райдуга
99,Donner::N,βροντή,грім
100,Strömung::N,ρεύμα,струмина
101,Tropfen::N,στάλα,крапля
102,Schaum::N,αφρός,піна
103,Schmutz::N,βρωμιά,бруд
104,See::N,λίμνη,озеро
105,Sumpf::N,βάλτος,драговина
106,Moor::N,έλος,болото
107,Wiese::N,λιβάδι,луг
108,Wiese::N,λιβάδι,лука
109,Wald::N,δάσος,ліс
110,Hügel::N,λόφος,горб
111,Anhöhe::N,ύψωμα,височина
112,Berg::N,όρος,гора
113,Berg::N,βουνό,гора
114,Gipfel::N,κορυφή,вершина
115,Höhle::N,σπηλιά,печера
116,Abhang::N,πλαγιά,схил
117,Quelle::N,πηγή,джерело
118,Quelle::N,βρύση,джерело
119,Bach::N,ρυάκι,струмок
120,Fluss::N,ποτάμι,річка
121,Fluss::N,ποταμός,річка
122,Ufer::N,όχθη,берег
123,Küste::N,ακτή,узбережжя
124,Küste::N,ακρογιαλιά,узбережжя
125,Festland::N,στεριά,суша
126,Meer::N,θάλασσα,море
127,Bucht::N,κόλπος,бухта
128,Bucht::N,κόλπος,затока
129,Insel::N,νησί,острів
130,Insel::N,νήσος,острів
131,Blume::N,άνθος,квітка
132,Blume::N,λουλούδι,квітка
133,Gras::N,χόρτο,трава
134,Gras::N,χορτάρι,трава
135,Wurzel::N,ρίζα,корінь
136,Baum::N,δέντρο,дерево
137,Stamm::N,κορμός,стовбур
138,Rinde::N,φλούδα,кора
139,Ast::N,κλαδί,гілка
140,Zweig::N,κλαδί,галузь
141,Zweig::N,κλάδος,галузь
142,Blatt::N,φύλλο,лист
143,Birke::N,σημύδα,береза
144,Kiefer[Baum]::N,πεύκο,сосна
145,Weide[Baum]::N,ιτιά,верба
146,Tanne::N,έλατο,ялиця
147,Horn::N,κέρας,ріг
148,Horn::N,κέρατο,ріг
149,Feder::N,φτερό,перо
150,Fell::N,δέρμα,хутро
151,Fell::N,τομάρι,хутро
152,Flügel::N,πτερύγιο,крило
153,Klaue::N,κουλό,кіготь
154,Kralle::N,νύχι,лапа
155,Schwanz::N,ουρά,хвіст
156,Ei::N,αβγό,яйце
157,Nest::N,φωλιά,гніздо
158,Bau::N,φωλιά,лігво
159,Tier::N,ζώο,тварина
160,Herde::N,κοπάδι,стадо
161,Kuh::N,αγελάδα,корова
162,Bulle::N,ταύρος,бик
163,Bulle::N,ταύρος,бугай
164,Pferd::N,άλογο,кінь
165,Schaf::N,πρόβατο,вівця
166,Schwein::N,γουρούνι,свиня
167,Hund::N,σκυλί,собака
168,Hund::N,σκύλος,собака
169,Katze::N,γάτα,кішка
170,Bär::N,άρκτος,ведмідь
171,Bär::N,αρκούδα,ведмідь
172,Eichhörnchen::N,βερβερίτσα,білка
173,Elch::N,άλκη,лось
174,Fuchs::N,αλεπού,лисиця
175,Hase::N,λαγός,заєць
176,Maus::N,ποντικός,миша
177,Wolf::N,λύκος,вовк
178,Vogel::N,πουλί,птах
179,Schwarm::N,σμήνος,зграя
180,Huhn::N,κότα,курка
181,Huhn::N,όρνιθα,курка
182,Hahn::N,πετεινός,півень
183,Gans::N,χήνα,гуска
184,Adler::N,αετός,орел
185,Ente::N,πάπια,качка
186,Eule::N,κουκουβάγια,сова
187,Kranich::N,γερανός,журавель
188,Krähe::N,καρακάξα,ворона
189,Kuckuck::N,κούκος,зозуля
190,Schwan::N,κύκνος,лебідь
191,Fisch::N,ψάρι,риба
192,Barsch::N,πέρκα,окунь
193,Hecht::N,λούτσος,щука
194,Schlange[Tier]::N,φίδι,змія
195,Wurm::N,σκουλήκι,черв’як
196,Spinne::N,αράχνη,павук
197,Ameise::N,μυρμήγκι,мурашка
198,Laus::N,ψείρα,воша
199,Mücke::N,κουνούπι,комар
200,Fliege::N,μύγα,муха
201,Schmetterling::N,πεταλούδα,метелик
202,Beere::N,ρόγα,ягода
203,Apfel::N,μήλο,яблуко
204,Pilz::N,μανιτάρι,гриб
205,Zwiebel::N,κρεμμύδι,цибуля
206,Saat::N,σπόρος,сім’я
207,Korn::N,σπυρί,зерно
208,Heu::N,σανός,сіно
209,Schale::N,τσόφλι,шкірка
210,Grube::N,λάκκος,яма
211,Falle::N,παγίδα,пастка
212,Schlinge::N,θηλειά,петля
213,Spur::N,ίχνος,слід
214,Asche::N,στάχτη,зола
215,Asche::N,στάχτη,попіл
216,Dreck::N,βρωμιά,бруд
217,Eisen::N,σίδερο,залізо
218,Gold::N,μάλαμα,золото
219,Gold::N,χρυσάφι,золото
220,Silber::N,ασήμι,срібло
221,Silber::N,άργυρος,срібло
222,Kohle::N,κάρβουνο,вугілля
223,Glas::N,γυαλί,скло
224,Lehm::N,πηλός,глина
225,Sand::N,άμμος,пісок
226,Mensch::N,άνθρωπος,людина
227,Mann::N,άνδρας,чоловік
228,Frau::N,γυναίκα,жінка
229,Kind::N,παιδί,дитина
230,Junge::N,αγόρι,хлопець
231,Mädchen::N,κοπέλα,дівчина
232,Mädchen::N,κορίτσι,дівчина
233,Familie::N,οικογένεια,сім’я
234,Familie::N,οικογένεια,родина
235,Großvater::N,παππούς,дідусь
236,Großmutter::N,γιαγιά,бабуся
237,Eltern::N,γονείς,батьки
238,Vater::N,πατέρας,батько
239,Mutter::N,μητέρα,мати
240,Sohn::N,γιος,син
241,Tochter::N,κόρη,дочка
242,Bruder::N,αδελφός,брат
243,Schwester::N,αδελφή,сестра
244,Onkel::N,θείος,дядько
245,Tante::N,θεία,тітка
246,Ehemann::N,σύζυγος,чоловік
247,Ehefrau::N,σύζυγος,жінка
248,Ehefrau::N,σύζυγος,дружина
249,Freude::N,χαρά,радощі
250,Gelächter::N,γέλια,сміх
251,Glück::N,ευτυχία,щастя
252,Kummer::N,έγνοια,горе
253,Wunsch::N,επιθυμία,бажання
254,Lust::N,όρεξη,бажання
255,Geist::N,πνέυμα,дух
256,Gedanke::N,σκέψη,думка
257,Gedächtnis::N,μνήμη,пам’ять
258,Verstand::N,νους,розум
259,Sinn::N,νόημα,зміст
260,Sinn::N,νόημα,значення
261,Grund::N,λόγος,причина
262,Wahrheit::N,αλήθεια,правда
263,Gespräch::N,συνομιλία,розмова
264,Märchen::N,παραμύθι,байка
265,Erzählung::N,διήγημα,повість
266,Erzählung::N,διήγημα,оповідання
267,Nachricht::N,είδηση,повідомлення
268,Neuigkeit::N,νέο,новина
269,Name::N,όνομα,ім’я
270,Rätsel::N,αίνιγμα,загадка
271,Rede::N,λόγος,промова
272,Rede::N,ομιλία,промова
273,Sprache::N,γλώσσα,мова
274,Stimme::N,φωνή,голос
275,Wort::N,λέξη,слово
276,Zeichen::N,σημείο,знак
277,Ruf::N,κραυγή,оклик
278,Lärm::N,θόρυβος,шум
279,Laut::N,ήχος,звук
280,Ton::N,ήχος,тон
281,Ton::N,τόνος,тон
282,Lied::N,τραγούδι,пісня
283,Ruhe::N,ησυχία,спокій
284,Leute::N,κόσμος,люди
285,Leute::N,άνθρωποι,люди
286,Volk::N,λαός,народ
287,Arbeit::N,εργασία,робота
288,Gast::N,επισκέπτης,гість
289,Geschenk::N,δώρο,подарунок
290,Spiel::N,παιχνίδι,гра
291,Gesellschaft::N,κοινωνία,товариство
292,Hilfe::N,βοήθεια,допомога
293,Freund::N,φίλος,друг
294,Freund::N,φίλος,приятель
295,Kamerad::N,σύντροφος,товариш
296,Angelegenheit::N,υπόθεση,справа
297,Anzahl::N,αριθμός,число
298,Art::N,είδος,рід
299,Stück::N,κομμάτι,кусок
300,Teil::N,μέρος,частина
301,Hälfte::N,μισό,половина
302,Kreis::N,κύκλος,круг
303,Kreis::N,κύκλος,коло
304,Kreuz::N,σταυρός,хрест
305,Linie::N,γραμμή,лінія
306,Strich::N,γραμμή,штрих
307,Abstand::N,απόσταση,проміжок
308,Entfernung::N,απόσταση,відстань
309,Gegend::N,περιοχή,місцевість
310,Gegend::N,τοποθεσία,місцевість
311,Platz::N,χώρος,площа
312,Ort::N,τόπος,місце
313,Seite::N,πλευρά,сторона
314,Mitte::N,μέση,середина
315,Gegenstand::N,αντικείμενο,предмет
316,Sache::N,πράγμα,річ
317,Rand::N,άκρη,край
318,Rand::N,χείλος,край
319,Kante::N,άκρη,ребро
320,Ecke::N,γωνιά,ріг
321,Spitze::N,μύτη,кінчик
322,Ende::N,άκρη,кінець
323,Loch::N,τρύπα,діра
324,Winkel::N,γωνία,куток
325,Muster::N,σχέδιο,узор
326,Größe::N,μέγεθος,розмір
327,Länge::N,μήκος,довжина
328,Höhe::N,ύψος,висота
329,Gewicht::N,βάρος,вага
330,Menge::N,ποσότητα,кількість
331,Haufen::N,σωρός,купа
332,Reihe::N,αράδα,ряд
333,Boot::N,βάρκα,човен
334,Ruder::N,κουπί,весло
335,Schlitten::N,έλκηθρο,сани
336,Ski::N,σκι,лижа
337,Lagerfeuer::N,φωτιά,вогнище
338,Last::N,φορτίο,тягар
339,Last::N,φορτίο,вантаж
340,Gang::N,δρόμος,хід
341,Schritt::N,βήμα,крок
342,Norden::N,βορράς,північ
343,Süden::N,νότος,південь
344,Westen::N,δύση,захід
345,Osten::N,ανατολή,схід
346,Holz::N,ξύλο,дрова
347,Brett::N,σανίδι,дошка
348,Platte::N,πλάκα,плита
349,Stütze::N,στήριγμα,підпірка
350,Stange::N,ραβδί,жердина
351,Stange::N,κοντός,жердина
352,Stock::N,ξύλο,палиця
353,Stock::N,μπαστούνι,палиця
354,Stab::N,ραβδί,палиця
355,Rohr::N,σωλήνας,труба
356,Haus::N,σπίτι,дім
357,Haus::N,σπίτι,хата
358,Heim::N,σπίτι,житло
359,Ofen::N,σόμπα,піч
360,Ofen::N,θερμάστρα,піч
361,Fußboden::N,πάτωμα,підлога
362,Tisch::N,τραπέζι,стіл
363,Stuhl::N,καρέκλα,стілець
364,Wiege::N,κούνια,колиска
365,Bett::N,κρεβάτι,ліжко
366,Bett::N,κρεβάτι,постіль
367,Regal::N,ράφι,полиця
368,Kiste::N,κιβώτιο,ящик
369,Fenster::N,παράθυρο,вікно
370,Tür::N,πόρτα,двері
371,Tor::N,πύλη,ворота
372,Zaun::N,φράχτης,паркан
373,Zaun::N,φράχτης,огорожа
374,Dach::N,στέγη,дах
375,Leiter::N,σκάλα,драбина
376,Leiter::N,κλίμακα,драбина
377,Besen::N,σκούπα,мітла
378,Spaten::N,φτυάρι,заступ
379,Schaufel::N,φτυάρι,совок
380,Schaufel::N,φτυάρι,лопата
381,Gabel::N,πιρούνι,виделка
382,Löffel::N,κουτάλι,ложка
383,Messer::N,μαχαίρι,ніж
384,Nagel::N,καρφί,цвях
385,Netz::N,δίχτυ,сіть
386,Haken::N,γάντζος,крюк
387,Haken::N,αγκίστρι,крюк
388,Griff::N,λαβή,ручка
389,Griff::N,λαβή,держак
390,Schloss::N,κλειδαριά,замок
391,Bild::N,εικόνα,картина
392,Figur::N,ανάστημα,фігура
393,Puppe::N,κούκλα,лялька
394,Beutel::N,πουγγί,мішечок
395,Beutel::N,πουγγί,торбинка
396,Bündel::N,δεμάτι,в’язка
397,Tasche::N,τσάντα,сумка
398,Eimer::N,κουβάς,відро
399,Deckel::N,καπάκι,кришка
400,Geschirr::N,σκεύη,посуд
401,Sack::N,σάκος,мішок
402,Tasse::N,φλιτζάνι,чашка
403,Topf::N,χύτρα,горщик
404,Kessel::N,καζάνι,котел
405,Essen::N,φαγητό,їжа
406,Nahrung::N,τροφή,харч
407,Speise::N,φαγητό,страва
408,Fleisch::N,κρέας,м’ясо
409,Getreide::N,σιτάρι,хліб
410,Getreide::N,σιτάρι,збіжжя
411,Brei::N,χυλός,каша
412,Brot::N,ψωμί,хліб
413,Brot::N,άρτος,хліб
414,Scheibe::N,φέτα,скибочка
415,Fett::N,πάχος,жир
416,Butter::N,βούτυρο,масло
417,Öl::N,λάδι,олія
418,Salz::N,αλάτι,сіль
419,Suppe::N,σούπα,суп
420,Honig::N,μέλι,мед
421,Milch::N,γάλα,молоко
422,Tee::N,τσάι,чай
423,Leder::N,πετσί,шкіра
424,Wolle::N,μαλλί,шерсть
425,Stoff::N,ύφασμα,тканина
426,Nadel::N,βελόνα,голка
427,Faden::N,κλωστή,нитка
428,Knopf::N,κουμπί,ґудзик
429,Knoten::N,κόμπος,вузол
430,Farbe::N,μπογιά,фарба
431,Kleidung::N,ρούχα,одяг
432,Kleidung::N,ρούχα,убрання
433,Kleidung::N,ενδυμασία,одяг
434,Kleidung::N,ενδυμασία,убрання
435,Hemd::N,πουκάμισο,сорочка
436,Kragen::N,κολάρο,комір
437,Ärmel::N,μανίκι,рукав
438,Hose::N,πανταλόνι,брюки
439,Gürtel::N,ζώνη,пояс
440,Mütze::N,σκούφος,шапка
441,Schuh::N,παπούτσι,ботинок
442,Stiefel::N,μπότα,чобіт
443,Ring::N,δαχτυλίδι,кільце
444,Band::N,κορδέλα,стрічка
445,Kamm::N,χτένα,гребінець
446,Spiegel::N,καθρέφτης,дзеркало
447,Riemen::N,λουρί,ремінь
448,Schnur::N,κορδόνι,вірьовка
449,Leine::N,σχοινί,шворка
450,Decke::N,κουβέρτα,ковдра
451,Kissen::N,μαξιλάρι,подушка
452,Tuch::N,πανί,хустка
