,Concept_ID,ku,sl
0,Auge::N,çav,okó
1,Ohr::N,guh,uhó
2,Nase::N,bêvil,nós
3,Mund::N,dev,ústa
4,Zahn::N,didan,zób
5,Zunge::N,ziman,jêzik
6,Lippe::N,lêv,ústnica
7,Wange::N,dêm,líce
8,Wange::N,hinarik,líce
9,Gesicht::N,rû,oblíčje
10,Stirn::N,enî,čêlo
11,Haar::N,por,lás
12,Schnurrbart::N,simbêl,bŕki
13,Bart::N,rih,bráda
14,Kinn::N,zenî,bráda
15,Kiefer[Anatomie]::N,arguşk,čeljúst
16,Kehle::N,qirik,gŕlo
17,Hals::N,stû,vrát
18,Hals::N,qirik,vrát
19,Genick::N,stû,zatílnik
20,Kopf::N,serî,gláva
21,Rücken::N,pişt,hrbèt
22,Bauch::N,ûr,trébuh
23,Bauch::N,zik,trébuh
24,Nabel::N,navik,pópek
25,Busen::N,sîng,nédrja
26,Brust::N,sîng,pŕsi
27,Schulter::N,mil,ráma
28,Schulter::N,mil,plêče
29,Arm::N,çepil,rôka
30,Ellenbogen::N,enîşk,komólec
31,Hand::N,dest,rôka
32,Handfläche::N,kefadest,dlán
33,Finger::N,tilî,pŕst
34,Fingernagel::N,neynuk,nóht na rôki
35,Nagel[Anatomie]::N,bizmar,nóht
36,Zeh::N,tilî linga,pŕst na nôgi
37,Fuß::N,ling,nôga
38,Ferse::N,pahnî,pêta
39,Knie::N,kabok,koléno
40,Oberschenkel::N,rahn,stêgno
41,Bein::N,çip,nôga
42,Körper::N,laş,teló
43,Körper::N,gowde,teló
44,Haut::N,çerm,kóža
45,Blut::N,xwîn,krí
46,Ader::N,reh,žíla
47,Sehne::N,reh,kíta
48,Knochen::N,hestî,kóst
49,Gehirn::N,mêjî,možgáni
50,Herz::N,dil,srcé
51,Magen::N,navêş,želódec
52,Leber::N,kezeb,jétra
53,Atem::N,hilm,díh
54,Hunger::N,birçîtî,glád
55,Träne::N,hêstir,sólza
56,Geschmack::N,tam,okús
57,Geruch::N,bêhn,vónj
58,Schlaf::N,xew,sèn
59,Schlaf::N,xew,spánec
60,Traum::N,xewn,sánje
61,Himmel::N,ezman,nebó
62,Sonne::N,roj,sónce
63,Mond::N,heyv,lúna
64,Mond::N,heyv,mésec
65,Stern::N,stêrk,zvézda
66,Luft::N,ba,zràk
67,Wind::N,ba,véter
68,Welle::N,şewl,vál
69,Wasser::N,av,vôda
70,Stein::N,kevir,kámen
71,Boden::N,herd,tlà
72,Erde::N,ax,pŕst
73,Erde::N,ax,zêmlja
74,Staub::N,toz,práh
75,Rauch::N,dû,dìm
76,Funke::N,çirûşk,ískra
77,Feuer::N,agir,ôgenj
78,Licht::N,ronahî,lúč
79,Schatten::N,sî,sénca
80,Wetter::N,hewa,vrême
81,Nebel::N,mij,meglà
82,Wolke::N,ewr,oblák
83,Regen::N,baran,dèž
84,Schnee::N,berf,snég
85,Eis::N,qeşa,léd
86,Frost::N,xûsik,zmrzál
87,Kälte::N,serma,mràz
88,Hitze::N,germayî,pripéka
89,Raureif::N,şext,ívje
90,Raureif::N,şext,slána
91,Regenbogen::N,heftreng,mávrica
92,Donner::N,gire-gir,gròm
93,Strömung::N,şewl,strúja
94,Tropfen::N,dilop,káplja
95,Schaum::N,kef,péna
96,Schmutz::N,gemar,nesnága
97,See::N,gol,jézero
98,Sumpf::N,hezek,močvírje
99,Moor::N,mafêl,bárje
100,Wiese::N,sûrik,trávnik
101,Wald::N,çiya,lés
102,Wald::N,çiya,gòzd
103,Wald::N,daristan,lés
104,Wald::N,daristan,gòzd
105,Hügel::N,gir,brég
106,Hügel::N,gir,goríca
107,Anhöhe::N,sere gir,gríč
108,Anhöhe::N,sere gir,višína
109,Berg::N,kaş,gôra
110,Berg::N,kaş,planína
111,Gipfel::N,sere gir,vŕh
112,Höhle::N,şikeft,jáma
113,Höhle::N,şikeft,votlína
114,Abhang::N,kaş,pobóčje
115,Quelle::N,kanî,izvír
116,Bach::N,çem,pôtok
117,Fluss::N,çem,réka
118,Fluss::N,rûbar,réka
119,Ufer::N,kevî,brég
120,Küste::N,berav,obála
121,Küste::N,berav,obréžje
122,Festland::N,bejahî,celína
123,Festland::N,bejahî,kopnína
124,Meer::N,behr,mórje
125,Bucht::N,derav,zalív
126,Insel::N,girav,ôtok
127,Blume::N,kulînk,cvetlíca
128,Gras::N,giha,tráva
129,Wurzel::N,reh,korenína
130,Baum::N,dar,drevó
131,Stamm::N,bavik,dêblo
132,Rinde::N,qaqil,lúbje
133,Rinde::N,qaqil,skórja
134,Ast::N,gulî,véja
135,Zweig::N,şax,véja
136,Blatt::N,pel,líst
137,Birke::N,dara sipî,bréza
138,Kiefer[Baum]::N,dara bî,bòr
139,Weide[Baum]::N,dara belalûk,vŕba
140,Tanne::N,merx,hója
141,Horn::N,strô,róg
142,Feder::N,pîrtîk,peró
143,Fell::N,heyar,kŕzno
144,Flügel::N,per,krílo
145,Klaue::N,napîk,párkelj
146,Kralle::N,dinik,krémpelj
147,Kralle::N,dirnax,krémpelj
148,Schwanz::N,dûv,rèp
149,Ei::N,hêk,jájce
150,Nest::N,hêlîn,gnézdo
151,Bau::N,avahî,brlòg
152,Tier::N,heywan,živál
153,Herde::N,hoz,čréda
154,Kuh::N,çêlek,kráva
155,Bulle::N,ga,bìk
156,Pferd::N,hesp,kònj
157,Schaf::N,mîh,ôvca
158,Schwein::N,beraz,svínja
159,Hund::N,seh,pès
160,Katze::N,pişîk,máčka
161,Bär::N,hirç,mêdved
162,Eichhörnchen::N,pilûr,véverica
163,Elch::N,pazkovî,lós
164,Fuchs::N,rovî,lisíca
