,Concept_ID,uz,eu
0,Auge::N,ko'z,begi
1,Ohr::N,quloq,belarri
2,Nase::N,burun,sudur
3,Mund::N,og'iz,aho
4,Zahn::N,tish,hortz
5,Zunge::N,til,mihi
6,Lippe::N,dudoq,ezpain
7,Wange::N,bet,masail
8,Gesicht::N,yuz,aurpegi
9,Stirn::N,manglay,bekoki
10,Haar::N,soch,ile
11,Haar::N,soch,bilo
12,Schnurrbart::N,mo'ylov,bibote
13,Schnurrbart::N,mo'ylov,sudurpeko
14,Bart::N,soqol,bizar
15,Kinn::N,ängak,kokots
16,Kiefer[Anatomie]::N,iyak,masailezur
17,Kehle::N,bo'g'iz,eztarri
18,Hals::N,bo'yin,sama
19,Genick::N,gardan,garondo
20,Kopf::N,bosh,buru
21,Rücken::N,orqa,bizkar
22,Bauch::N,qorin,sabel
23,Nabel::N,kindik,zilbor
24,Busen::N,ämchak,titi
25,Busen::N,ämchak,ugatz
26,Brust::N,ko'krak,bular
27,Schulter::N,elka,besaburu
28,Arm::N,bilak,beso
29,Ellenbogen::N,tirsak,ukondo
30,Hand::N,qo'l,esku
31,Handfläche::N,kaft,ahur
32,Finger::N,barmoq,hatz
33,Fingernagel::N,tirnoq,azazkal
34,Nagel[Anatomie]::N,tirnoq,azazkal
35,Zeh::N,oyoq barmog'i,behatz
36,Fuß::N,oyoq,oin
37,Ferse::N,tovon,orpo
38,Ferse::N,tovon,oinburu
39,Knie::N,tiz,belaun
40,Oberschenkel::N,son,izter
41,Bein::N,oyoq,zango
42,Körper::N,badna,soin
43,Haut::N,teri,azal
44,Blut::N,qon,odol
45,Ader::N,qon tomir,zain
46,Sehne::N,tomir,gihar-zain
47,Knochen::N,suyak,hezur
48,Gehirn::N,miya,garun
49,Gehirn::N,miya,burmuin
50,Herz::N,qalb,bihotz
51,Magen::N,oshqozon,urdail
52,Leber::N,bag'ir,gibel
53,Atem::N,dam,hats
54,Atem::N,dam,arnasa
55,Hunger::N,ochlik,gose
56,Träne::N,yosh,malko
57,Geschmack::N,tam,dasta
58,Geruch::N,jid,usain
59,Schlaf::N,uyqu,lo
60,Traum::N,tush,amets
61,Himmel::N,osmon,zeru
62,Sonne::N,quyosh,eguzki
63,Mond::N,oy,ilargi
64,Stern::N,yulduz,izar
65,Luft::N,havo,aire
66,Wind::N,el,haize
67,Welle::N,to'lqin,uhin
68,Welle::N,to'lqin,olatu
69,Wasser::N,suv,ur
70,Stein::N,tosh,harri
71,Boden::N,tuproq,lur
72,Boden::N,tuproq,zoru
73,Erde::N,er,lur
74,Staub::N,chang,hauts
75,Rauch::N,tutun,ke
76,Funke::N,yalt,zirta
77,Funke::N,yalt,txinparta
78,Feuer::N,o't,su
79,Licht::N,yorug',argi
80,Schatten::N,soya,itzal
81,Schatten::N,soya,geriza
82,Wetter::N,havo,eguraldi
83,Nebel::N,tuman,laino
84,Wolke::N,bulut,hodei
85,Regen::N,yomg'ir,euri
86,Schnee::N,qor,elur
87,Eis::N,muz,horma
88,Frost::N,ajoz,izotzaldi
89,Kälte::N,ajoz,hotz
90,Hitze::N,issiq,bero
91,Raureif::N,qirov,antzigar
92,Regenbogen::N,kamalak,ostadar
93,Regenbogen::N,kamalak,ortzadar
94,Donner::N,guldur,ostots
95,Donner::N,guldur,ihurtzuri
96,Strömung::N,oqim,laster
97,Tropfen::N,tomchi,xorta
98,Schaum::N,ko'pik,bits
99,Schmutz::N,gard,lohi
100,Schmutz::N,gard,zikin
101,See::N,ko'l,laku
102,See::N,ko'l,aintzira
103,Sumpf::N,botqoq,zingira
104,Moor::N,qir-adir,zohikaztegi
105,Wiese::N,o'tzor,larre
106,Wiese::N,o'tzor,belardi
107,Wald::N,o'rmon,baso
108,Wald::N,o'rmon,oihan
109,Hügel::N,tepa,muino
110,Hügel::N,tepa,pentoka
111,Anhöhe::N,adir,garai
112,Anhöhe::N,adir,goragune
113,Berg::N,tog',mendi
114,Gipfel::N,cho'qqi,gain
115,Gipfel::N,cho'qqi,tontor
116,Höhle::N,kavak,kobazulo
117,Abhang::N,to'sh,aldapa
118,Quelle::N,buloq,iturri
119,Quelle::N,buloq,iturbegi
120,Bach::N,o'zan,lats
121,Bach::N,o'zan,erreka
122,Fluss::N,daryo,ibai
123,Fluss::N,daryo,uhaitz
124,Ufer::N,sohil,bazter
125,Küste::N,qirg'oq,itsasalde
126,Festland::N,materik,lehor
127,Meer::N,dengiz,itsaso
128,Bucht::N,qo'ltiq,golko
129,Insel::N,orol,irla
130,Insel::N,orol,uharte
131,Blume::N,gul,lili
132,Gras::N,sabza,belar
133,Wurzel::N,tub,zuztar
134,Wurzel::N,tub,sustrai
135,Wurzel::N,tomir,zuztar
136,Wurzel::N,tomir,sustrai
137,Baum::N,daraxt,zuhaitz
138,Stamm::N,o'simta,enbor
139,Rinde::N,qobiq,azal
140,Ast::N,shox,adar
141,Zweig::N,butoq,abar
142,Blatt::N,barg,hosto
143,Birke::N,qayin,urki
144,Kiefer[Baum]::N,qarag'ay,ler
145,Weide[Baum]::N,shum,zume
146,Weide[Baum]::N,shum,sahats
147,Tanne::N,archa,izei
148,Horn::N,mugiz,adar
149,Feder::N,par,luma
150,Feder::N,par,hegaki
151,Fell::N,mo'yna,ile
152,Fell::N,mo'yna,larru
153,Flügel::N,qanot,hego
154,Klaue::N,tirnoq,atzapar
155,Kralle::N,tirnoq,erpe
156,Kralle::N,tirnoq,atzapar
157,Schwanz::N,quyruq,isats
158,Schwanz::N,quyruq,buztan
159,Ei::N,tuxum,arrautza
160,Nest::N,oshyon,habia
161,Bau::N,o'pqon,ohantze
162,Tier::N,hayvon,abere
163,Tier::N,hayvon,piztia
