,Concept_ID,de,is
0,Auge::N,Auge,auga
1,Ohr::N,Ohr,eyra
2,Nase::N,Nase,nef
3,Mund::N,Mund,munnur
4,Zahn::N,Zahn,tönn
5,Zunge::N,Zunge,tunga
6,Lippe::N,Lippe,vör
7,Wange::N,Wange,kinn
8,Wange::N,Wange,vangi
9,Gesicht::N,Gesicht,andlit
10,Stirn::N,Stirn,enni
11,Haar::N,Haar,hár
12,Schnurrbart::N,Schnurrbart,yfirskegg
13,Bart::N,Bart,skegg
14,Kinn::N,Kinn,haka
15,Kiefer[Anatomie]::N,Kiefer,kjálki
16,Kiefer[Anatomie]::N,Kiefer,skoltur
17,Kehle::N,Kehle,kverk
18,Hals::N,Hals,háls
19,Genick::N,Genick,hnakki
20,Kopf::N,Kopf,höfuð
21,Rücken::N,Rücken,hryggur
22,Bauch::N,Bauch,kviður
23,Nabel::N,Nabel,nafli
24,Busen::N,Busen,barmur
25,Brust::N,Brust,brjóst
26,Schulter::N,Schulter,öxl
27,Arm::N,Arm,armur
28,Ellenbogen::N,Ellenbogen,olnbogi
29,Hand::N,Hand,hönd
30,Handfläche::N,Handfläche,lófi
31,Finger::N,Finger,fingur
32,Fingernagel::N,Fingernagel,fingurnögl
33,Nagel[Anatomie]::N,Nagel,nögl
34,Zeh::N,Zeh,tá
35,Fuß::N,Fuß,fótur
36,Ferse::N,Ferse,hæll
37,Knie::N,Knie,kné
38,Oberschenkel::N,Oberschenkel,læri
39,Bein::N,Bein,fótleggur
40,Körper::N,Körper,búkur
41,Körper::N,Körper,líkami
42,Haut::N,Haut,húð
43,Haut::N,Haut,skinn
44,Blut::N,Blut,blóð
45,Ader::N,Ader,æð
46,Sehne::N,Sehne,sin
47,Knochen::N,Knochen,bein
48,Gehirn::N,Gehirn,heili
49,Herz::N,Herz,hjarta
50,Magen::N,Magen,magi
51,Leber::N,Leber,lifur
52,Atem::N,Atem,andi
53,Atem::N,Atem,andardráttur
54,Hunger::N,Hunger,hungur
55,Träne::N,Träne,tár
56,Geschmack::N,Geschmack,smekkur
57,Geruch::N,Geruch,lykt
58,Schlaf::N,Schlaf,svefn
59,Traum::N,Traum,draumur
60,Himmel::N,Himmel,himinn
61,Sonne::N,Sonne,sól
62,Mond::N,Mond,tungl
63,Stern::N,Stern,stjarna
64,Luft::N,Luft,loft
65,Wind::N,Wind,vindur
66,Welle::N,Welle,alda
67,Welle::N,Welle,bylgja
68,Wasser::N,Wasser,vatn
69,Stein::N,Stein,steinn
70,Boden::N,Boden,botn
71,Erde::N,Erde,jörð
72,Staub::N,Staub,ryk
73,Staub::N,Staub,duft
74,Rauch::N,Rauch,reykur
75,Funke::N,Funke,neisti
76,Feuer::N,Feuer,eldur
77,Licht::N,Licht,ljós
78,Schatten::N,Schatten,skuggi
79,Wetter::N,Wetter,veður
80,Nebel::N,Nebel,þoka
81,Wolke::N,Wolke,ský
82,Regen::N,Regen,regn
83,Schnee::N,Schnee,snjór
84,Eis::N,Eis,ís
85,Frost::N,Frost,frost
86,Kälte::N,Kälte,kuldi
87,Hitze::N,Hitze,hiti
88,Raureif::N,Raureif,hrím
89,Regenbogen::N,Regenbogen,regnbogi
90,Donner::N,Donner,þruma
91,Strömung::N,Strömung,straumur
92,Tropfen::N,Tropfen,dropi
93,Schaum::N,Schaum,froða
94,Schmutz::N,Schmutz,óhreinindi
95,See::N,See,stöðuvatn
96,Sumpf::N,Sumpf,fen
97,Moor::N,Moor,mýri
98,Wiese::N,Wiese,engi
99,Wald::N,Wald,skógur
100,Hügel::N,Hügel,hæð
101,Hügel::N,Hügel,hóll
102,Anhöhe::N,Anhöhe,hæð
103,Anhöhe::N,Anhöhe,hóll
104,Berg::N,Berg,fell
105,Berg::N,Berg,fjall
106,Gipfel::N,Gipfel,tindur
107,Höhle::N,Höhle,hellir
108,Abhang::N,Abhang,hlíð
109,Abhang::N,Abhang,brekka
110,Quelle::N,Quelle,lind
111,Quelle::N,Quelle,uppspretta
112,Bach::N,Bach,lækur
113,Fluss::N,Fluss,á
114,Fluss::N,Fluss,fljót
115,Ufer::N,Ufer,árbakki
116,Ufer::N,Ufer,sjávarbakki
117,Küste::N,Küste,strönd
118,Festland::N,Festland,meginland
119,Meer::N,Meer,haf
120,Meer::N,Meer,sjór
121,Bucht::N,Bucht,vík
122,Insel::N,Insel,eyja
123,Blume::N,Blume,blóm
124,Gras::N,Gras,gras
125,Wurzel::N,Wurzel,rót
126,Baum::N,Baum,tré
127,Stamm::N,Stamm,stofn
128,Rinde::N,Rinde,börkur
129,Ast::N,Ast,grein
130,Zweig::N,Zweig,angi
131,Zweig::N,Zweig,kvistur
132,Blatt::N,Blatt,blað
133,Birke::N,Birke,birki
134,Kiefer[Baum]::N,Kiefer,fura
135,Weide[Baum]::N,Weide,víðir
136,Tanne::N,Tanne,greni
137,Horn::N,Horn,horn
138,Feder::N,Feder,fjöður
139,Fell::N,Fell,skinn
140,Flügel::N,Flügel,vængur
141,Klaue::N,Klaue,kló
142,Kralle::N,Kralle,kló
143,Schwanz::N,Schwanz,rófa
144,Schwanz::N,Schwanz,skott
145,Ei::N,Ei,egg
146,Nest::N,Nest,hreiður
147,Bau::N,Bau,greni
148,Bau::N,Bau,bæli
149,Tier::N,Tier,dýr
150,Herde::N,Herde,hjörð
151,Kuh::N,Kuh,kýr
152,Bulle::N,Bulle,boli
153,Pferd::N,Pferd,hestur
154,Schaf::N,Schaf,kind
155,Schwein::N,Schwein,svín
156,Hund::N,Hund,hundur
157,Katze::N,Katze,köttur
158,Bär::N,Bär,björn
159,Eichhörnchen::N,Eichhörnchen,íkorni
160,Elch::N,Elch,elgur
161,Fuchs::N,Fuchs,refur
162,Hase::N,Hase,héri
163,Maus::N,Maus,mús
164,Wolf::N,Wolf,úlfur
165,Vogel::N,Vogel,fugl
166,Schwarm::N,Schwarm,sægur
167,Huhn::N,Huhn,hæna
168,Hahn::N,Hahn,hani
169,Gans::N,Gans,gæs
170,Adler::N,Adler,örn
171,Ente::N,Ente,önd
172,Eule::N,Eule,uggla
173,Kranich::N,Kranich,trana
174,Krähe::N,Krähe,kráka
175,Kuckuck::N,Kuckuck,gaukur
176,Schwan::N,Schwan,svanur
177,Fisch::N,Fisch,fiskur
178,Barsch::N,Barsch,aborri
179,Hecht::N,Hecht,gedda
180,Schlange[Tier]::N,Schlange,naðra
181,Wurm::N,Wurm,ormur
182,Spinne::N,Spinne,kónguló
183,Ameise::N,Ameise,maur
184,Laus::N,Laus,lús
185,Mücke::N,Mücke,mý
186,Mücke::N,Mücke,mýfluga
187,Fliege::N,Fliege,fluga
188,Schmetterling::N,Schmetterling,fiðrildi
189,Beere::N,Beere,ber
190,Apfel::N,Apfel,epli
191,Pilz::N,Pilz,sveppur
192,Zwiebel::N,Zwiebel,laukur
193,Saat::N,Saat,fræ
194,Saat::N,Saat,útsæði
195,Korn::N,Korn,korn
196,Heu::N,Heu,hey
