,Concept_ID,no,os
0,Auge::N,øye,цӕст
1,Ohr::N,øre,хъус
2,Nase::N,nese,фындз
3,Mund::N,munn,дзых
4,Zahn::N,tann,дӕндаг
5,Zunge::N,tunge,ӕвзаг
6,Lippe::N,leppe,был
7,Wange::N,kinn,рус
8,Wange::N,kinn,уадул
9,Wange::N,kinn,ӕхсӕрфарс
10,Gesicht::N,fjes,цӕсгом
11,Gesicht::N,ansikt,цӕсгом
12,Stirn::N,panne,ных
13,Haar::N,hår,хил
14,Schnurrbart::N,bart,рихи
15,Bart::N,skjegg,зачъе
16,Kinn::N,hake,роцъо
17,Kiefer[Anatomie]::N,kjeve,ӕфсӕр
18,Kehle::N,strupe,хъуыр
19,Hals::N,hals,къубал
20,Genick::N,nakke,къӕбут
21,Kopf::N,hode,сӕр
22,Rücken::N,rygg,фӕсонтӕ
23,Bauch::N,buk,гуыбын
24,Bauch::N,mage,гуыбын
25,Nabel::N,navle,бикъ
26,Busen::N,barm,дзидзи
27,Brust::N,bryst,риу
28,Schulter::N,skulder,уӕхск
29,Arm::N,arm,цонг
30,Ellenbogen::N,albue,рæмбын
31,Hand::N,hånd,къух
32,Handfläche::N,håndflate,армытъӕпӕн
33,Finger::N,finger,ӕнруылдз
34,Fingernagel::N,fingernegl,ных
35,Nagel[Anatomie]::N,negl,ных
36,Zeh::N,tå,къух
37,Fuß::N,fot,фад
38,Ferse::N,hæl,зӕвӕт
39,Knie::N,kne,уӕраг
40,Oberschenkel::N,lår,агъд
41,Bein::N,bein,зӕнг
42,Körper::N,kropp,буар
43,Körper::N,legeme,буар
44,Haut::N,hud,царм
45,Haut::N,skinn,царм
46,Blut::N,blod,туг
47,Ader::N,åre,дадзин
48,Ader::N,åre,тугдадзин
49,Sehne::N,sene,хъиутæ
50,Sehne::N,sene,нуар
51,Knochen::N,bein,стӕг
52,Knochen::N,knokkel,стӕг
53,Gehirn::N,hjerne,магъз
54,Herz::N,hjerte,зӕрдӕ
55,Magen::N,mage,ахсӕн
56,Leber::N,lever,игæр
57,Atem::N,pust,улӕфт
58,Hunger::N,sult,стонг
59,Träne::N,tåre,цæссыг
60,Geschmack::N,smak,ад
61,Geruch::N,lukt,смаг
62,Schlaf::N,søvn,хуыссӕг
63,Traum::N,drøm,фын
64,Himmel::N,himmel,арв
65,Himmel::N,himmel,уӕларв
66,Sonne::N,sol,хур
67,Mond::N,måne,мӕй
