,Concept_ID,ca,es
0,Auge::N,ull,ojo
1,Ohr::N,orella,oreja
2,Nase::N,nas,nariz
3,Mund::N,boca,boca
4,Zahn::N,dent,diente
5,Zunge::N,llēngua,lengua
6,Lippe::N,llavi,labio
7,Wange::N,galta,mejilla
8,Gesicht::N,cara,cara
9,Stirn::N,front,frente
10,Haar::N,cabēll,cabello
11,Schnurrbart::N,bigoti,bigote
12,Bart::N,barba,barba
13,Kinn::N,mentó,barbilla
14,Kinn::N,barbeta,barbilla
15,Kiefer[Anatomie]::N,queix,mandíbula
16,Kiefer[Anatomie]::N,mandíbula,mandíbula
17,Kehle::N,gola,garganta
18,Kehle::N,gorja,garganta
19,Hals::N,coll,cuello
20,Genick::N,nuca,nuca
21,Genick::N,nuca,cerviz
22,Kopf::N,cap,cabeza
23,Rücken::N,esquena,espalda
24,Bauch::N,panxa,vientre
25,Nabel::N,llombrígol,ombligo
26,Busen::N,pit,pecho
27,Busen::N,mama,pecho
28,Brust::N,pit,pecho
29,Schulter::N,espatlla,hombro
30,Arm::N,braç,brazo
31,Ellenbogen::N,colze,codo
32,Hand::N,mà,mano
33,Handfläche::N,palma,palma
34,Finger::N,dit,dedo
35,Fingernagel::N,ungla,uña
36,Nagel[Anatomie]::N,ungla,uña
37,Zeh::N,dit del peu,dedo del pie
38,Fuß::N,peu,pie
39,Ferse::N,taló,talón
40,Knie::N,genoll,rodilla
41,Oberschenkel::N,cuixa,muslo
42,Bein::N,cama,pierna
43,Körper::N,cos,cuerpo
44,Haut::N,pell,piel
45,Blut::N,sang,sangre
46,Ader::N,vena,vena
47,Sehne::N,tendó,tendón
48,Knochen::N,os,hueso
49,Gehirn::N,cervell,cerebro
50,Gehirn::N,cervell,encéfalo
51,Herz::N,cor,corazón
52,Magen::N,estómac,estómago
53,Leber::N,fetge,hígado
54,Atem::N,alè,aliento
55,Atem::N,hàlit,aliento
56,Hunger::N,fam,hambre
57,Hunger::N,gana,hambre
58,Träne::N,llàgrima,lágrima
59,Geschmack::N,gust,gusto
60,Geschmack::N,sabor,gusto
61,Geruch::N,olor,olor
62,Schlaf::N,son,sueño
63,Traum::N,somni,sueño
64,Traum::N,somni,ensueño
65,Himmel::N,celm,cielo
