,Concept_ID,ku,ko
0,Auge::N,çav,눈
1,Ohr::N,guh,귀
2,Nase::N,bêvil,코
3,Mund::N,dev,입
4,Zahn::N,didan,이
5,Zunge::N,ziman,혀
6,Lippe::N,lêv,입술
7,Wange::N,dêm,뺨
8,Wange::N,hinarik,뺨
9,Gesicht::N,rû,얼굴
10,Stirn::N,enî,이마
11,Haar::N,por,털
12,Schnurrbart::N,simbêl,윗수몀
13,Schnurrbart::N,simbêl,코밑수염
14,Bart::N,rih,수엄
15,Kinn::N,zenî,아래턱
16,Kiefer[Anatomie]::N,arguşk,턱
17,Kehle::N,qirik,인후
18,Hals::N,stû,목
19,Hals::N,qirik,목
20,Genick::N,stû,먹덜이
21,Kopf::N,serî,머리
22,Rücken::N,pişt,든
23,Bauch::N,ûr,배
24,Bauch::N,zik,배
25,Nabel::N,navik,배꼽
26,Busen::N,sîng,가슴속
27,Brust::N,sîng,가슴
28,Schulter::N,mil,어깨
29,Arm::N,çepil,팔
30,Ellenbogen::N,enîşk,팔쿰치
31,Hand::N,dest,손
32,Handfläche::N,kefadest,손바닥
33,Finger::N,tilî,속가락
34,Fingernagel::N,neynuk,손톱
35,Nagel[Anatomie]::N,bizmar,손톱
36,Zeh::N,tilî linga,발가락
37,Fuß::N,ling,발
38,Ferse::N,pahnî,발꿈치
39,Knie::N,kabok,무릎
40,Oberschenkel::N,rahn,허벅다리
41,Bein::N,çip,다리
42,Körper::N,laş,구간
43,Körper::N,gowde,구간
44,Haut::N,çerm,살갗
45,Blut::N,xwîn,피
46,Ader::N,reh,정맥
47,Sehne::N,reh,현
48,Knochen::N,hestî,뼈
49,Gehirn::N,mêjî,뇌
50,Gehirn::N,mêjî,뇌수
51,Herz::N,dil,염통
52,Magen::N,navêş,위
53,Leber::N,kezeb,간
54,Atem::N,hilm,기식
55,Hunger::N,birçîtî,공복
56,Träne::N,hêstir,눈물
57,Geschmack::N,tam,기호
58,Geruch::N,bêhn,냄새
59,Schlaf::N,xew,수면
60,Traum::N,xewn,쿰
61,Himmel::N,ezman,하늘
62,Sonne::N,roj,해
63,Mond::N,heyv,달
64,Stern::N,stêrk,별
65,Luft::N,ba,동준
66,Luft::N,ba,가스채
67,Wind::N,ba,바람
68,Welle::N,şewl,물결
69,Wasser::N,av,물
