,Concept_ID,el,it
0,Auge::N,μάτι,occhio
1,Auge::N,οφθαλμός,occhio
2,Ohr::N,αυτί,orecchio
3,Nase::N,μύτη,naso
4,Mund::N,στόμα,bocca
5,Zahn::N,δόντι,dente
6,Zunge::N,γλώσσα,lingua
7,Lippe::N,χείλος,labbro
8,Wange::N,παρειά,guancia
9,Wange::N,μάγουλο,guancia
10,Gesicht::N,πρόσωπο,viso
11,Gesicht::N,πρόσωπο,faccia
12,Stirn::N,μέτωπο,fronte
13,Haar::N,μαλλιά,capello
14,Schnurrbart::N,μουστάκι,baffi
15,Schnurrbart::N,μουστάκι,mustacchi
16,Bart::N,γένια,barba
17,Kinn::N,πιγούνι,mento
18,Kiefer[Anatomie]::N,σαγόνι,mascella
19,Kehle::N,λαρύγγι,gola
20,Hals::N,λαιμός,collo
21,Genick::N,σβέρκος,nuca
22,Kopf::N,κεφάλι,capo
23,Kopf::N,κεφάλι,testa
24,Rücken::N,ράχη,dorso
25,Rücken::N,ράχη,schiena
26,Bauch::N,κοιλιά,ventre
27,Nabel::N,αφαλός,ombelico
28,Busen::N,στήθος,seno
29,Brust::N,στήθος,petto
30,Schulter::N,ώμος,spalla
31,Arm::N,χέρι,braccio
32,Arm::N,μπράτςο,braccio
33,Ellenbogen::N,αγκώνας,gomito
34,Hand::N,χέρι,mano
35,Handfläche::N,παλάμη,palma
36,Finger::N,δάχτυλο,dito
37,Fingernagel::N,νύχι,unghia
38,Nagel[Anatomie]::N,νύχι,unghia
39,Zeh::N,δάχτυλο του ποδιού,dito del piede
40,Fuß::N,πόδι,piede
41,Ferse::N,φτέρνα,tallone
42,Ferse::N,φτέρνα,calcagno
43,Knie::N,γόνατο,ginocchio
44,Oberschenkel::N,μηρός,fèmore
45,Bein::N,πόδι,gamba
46,Körper::N,σώμα,corpo
47,Körper::N,κορμί,corpo
48,Haut::N,πετσί,pelle
49,Blut::N,αίμα,sangue
50,Ader::N,φλέβα,vena
51,Sehne::N,νεύρο,tèndine
52,Sehne::N,τένοντας,tèndine
53,Knochen::N,οστό,osso
54,Knochen::N,κόκκαλο,osso
55,Gehirn::N,μυαλό,cervello
56,Gehirn::N,εγκέφαλος,cervello
57,Herz::N,καρδιά,cuore
58,Magen::N,στομάχι,stòmaco
59,Leber::N,ήπαρ,fegato
60,Leber::N,συκωτί,fegato
61,Atem::N,αναπνοή,fiato
62,Atem::N,αναπνοή,respiro
63,Hunger::N,πείνα,fame
64,Träne::N,δάκρυ,làcrima
65,Geschmack::N,γεύση,gusto
66,Geschmack::N,γεύση,sapore
67,Geruch::N,οσμή,odore
68,Geruch::N,μυρωδία,odore
69,Schlaf::N,ύπνος,sonno
70,Traum::N,όνειρο,sogno
71,Himmel::N,ουρανός,cielo
72,Sonne::N,ήλιος,sole
73,Mond::N,σελήνη,luna
74,Mond::N,φεγγάρι,luna
75,Stern::N,άστρο,stella
76,Stern::N,αστέρι,stella
77,Luft::N,αέρας,aria
78,Wind::N,αέρας,vento
79,Wind::N,άνεμος,vento
80,Welle::N,κύμα,onda
81,Wasser::N,νερό,acqua
82,Stein::N,πέτρα,sasso
83,Stein::N,πέτρα,pietra
84,Boden::N,χώμα,suolo
85,Boden::N,χώμα,terreno
86,Erde::N,γη,terra
87,Staub::N,σκόνη,polvere
88,Rauch::N,καπνός,fumo
89,Funke::N,σπίθα,scintilla
90,Funke::N,σπινθήρας,scintilla
91,Feuer::N,φωτιά,fuoco
92,Licht::N,φως,luce
93,Schatten::N,σκιά,ombra
94,Schatten::N,ίσκιος,ombra
95,Wetter::N,καιρός,tempo
96,Nebel::N,ομίχλη,nebbia
97,Wolke::N,σύννεφο,nube
98,Wolke::N,σύννεφο,nùvola
99,Regen::N,βροχή,pioggia
100,Schnee::N,χιόνι,neve
101,Eis::N,πάγος,ghiaccio
102,Frost::N,παγωνία,gelo
103,Kälte::N,κρύο,freddo
104,Kälte::N,ψύχος,freddo
105,Hitze::N,ζέστη,caldo
106,Hitze::N,ζέστη,calura
