,Concept_ID,hy,ce
0,Auge::N,աչք,бӏаьрг
1,Ohr::N,ականջ,лерг
2,Nase::N,քիթ,мара
3,Mund::N,բերան,бага
4,Zahn::N,ատամ,церг
5,Zunge::N,լեզու,мотт
6,Lippe::N,շրթունք,балда
7,Wange::N,այտ,бесни
8,Wange::N,թուշ,бесни
9,Gesicht::N,դեմք,юьхь
10,Stirn::N,ճակատ,хьаж
11,Haar::N,մազ,мас
12,Schnurrbart::N,բեղ,мекх
13,Bart::N,մորուք,маж
14,Kinn::N,կզակ,чӏениг
15,Kiefer[Anatomie]::N,ծնոտ,мочхал
16,Kehle::N,կոկորդ,къамкъарг
17,Hals::N,վիզ,ворта
18,Hals::N,պարանոց,ворта
19,Genick::N,ծոծրակ,кӏесаркӏаг
20,Kopf::N,գլուխ,корта
21,Rücken::N,մեջք,букъ
22,Bauch::N,փոր,кийра
23,Bauch::N,որովայն,кийра
24,Nabel::N,պորտ,цӏонга
25,Busen::N,ծոց,зударийн накха
26,Brust::N,կուրծք,накха
27,Schulter::N,ուս,белш
28,Arm::N,թեւ,пхьарс
29,Arm::N,բազուկ,пхьарс
30,Ellenbogen::N,արմունկ,пхьаьрсан гола
31,Hand::N,ձեռք,куьг
32,Handfläche::N,ափ,кераюкъ
33,Finger::N,մատ,пӏелг
34,Fingernagel::N,եղունգ,мӏара
35,Nagel[Anatomie]::N,եղունգ,мӏара
36,Zeh::N,ոտքի մատ,кога пӏелг
37,Fuß::N,ոտք,ког
38,Ferse::N,գարշապար,кӏажа
39,Knie::N,ծունկ,гола
40,Oberschenkel::N,ազդր,варе
41,Bein::N,ոտք,ког
42,Körper::N,մարմին,хӏума
43,Haut::N,մաշկ,чкъор
44,Blut::N,արյուն,цӏий
45,Ader::N,երակ,пха
46,Sehne::N,ջիղ,хьорзам
47,Sehne::N,ձգտան,хьорзам
48,Knochen::N,ոսկոր,даьӏахк
49,Gehirn::N,խելք,хье
50,Herz::N,սիրտ,дог
51,Magen::N,ստամոքս,зорх
52,Leber::N,լյարդ,доӏах
53,Atem::N,շունչ,садеӏар
54,Hunger::N,քաղց,мацалла
55,Träne::N,արտասուք,бӏаьрхи
56,Geschmack::N,համ,чам
57,Geschmack::N,բուրմունք,чам
58,Geruch::N,հոտ,хьожа
59,Geruch::N,բուրում,хьожа
60,Schlaf::N,քուն,наб
61,Traum::N,երազ,гӏан
62,Himmel::N,երկինք,стигал
63,Sonne::N,արեւ,малх
64,Mond::N,լուսին,бутт
65,Stern::N,աստղ,седа
66,Luft::N,օդ,xӏаваъ
67,Wind::N,քամի,мох
68,Welle::N,ալիք,тулгӏе
69,Wasser::N,ջուր,хи
70,Stein::N,քար,тӏулг
71,Boden::N,գետին,цӏенкъа
72,Erde::N,հող,латта
73,Staub::N,փոշի,чан
74,Rauch::N,ծուխ,кӏур
75,Funke::N,կայծ,суй
76,Feuer::N,կրակ,цӏе
77,Feuer::N,հրդեհ,цӏе
78,Licht::N,լույս,серло
79,Schatten::N,ստվեր,ӏиндагӏ
80,Wetter::N,եղանակ,хенан хӏоттам
81,Nebel::N,մեգ,дохк
82,Nebel::N,մառախուղ,дохк
83,Wolke::N,ամպ,марха
84,Regen::N,անձրև,догӏа
85,Schnee::N,ձյուն,ло
86,Eis::N,սառույց,ша
87,Frost::N,սառնամանիք,шело
88,Kälte::N,դող,шело
89,Hitze::N,շոգ,йовхо
90,Raureif::N,ցօղեղեամ,йис
91,Regenbogen::N,ծիածան,стелаӏад
92,Donner::N,որոտ,ткъес
93,Strömung::N,հոսանք,дӏаэхар
94,Strömung::N,հոսանք,дӏасалелар
95,Tropfen::N,կաթիլ,тӏадам
96,Schaum::N,փրփուր,чопа
97,Schmutz::N,կեղտ,хатт
98,See::N,լիճ,ӏам
99,Sumpf::N,ճահիճ,уьшал
100,Moor::N,ճահիճ,уьшал
101,Wiese::N,մարգագետին,бай
102,Wald::N,անտառ,хьун
103,Hügel::N,բլուր,гу
104,Hügel::N,բլուր,шу
105,Hügel::N,բլուր,барз
106,Anhöhe::N,բարձունք,акъари
107,Berg::N,լեռ,лам
108,Gipfel::N,գագաթ,бохь
109,Gipfel::N,կատար,бохь
110,Höhle::N,քարայր,хьех
111,Abhang::N,լանջ,басе
112,Abhang::N,զառիվայր,басе
113,Quelle::N,աղբյուր,шовда
114,Bach::N,վտակ,татол
115,Fluss::N,գետ,хи
116,Ufer::N,ծովափ,хийист
117,Küste::N,ափ,йист
118,Küste::N,ծովափ,йист
119,Festland::N,ցամաք,латта
120,Meer::N,ծով,xӏорд
121,Bucht::N,հաչիւն,чож
122,Insel::N,վղզի,гӏайре
123,Blume::N,ծաղիկ,зезаг
124,Gras::N,խոտ,буц
125,Wurzel::N,արմատ,орам
126,Baum::N,ծառ,дитт
127,Stamm::N,իրան,гӏад
128,Stamm::N,իրան,тайпа
129,Rinde::N,կեղեւ,кевстиг
130,Rinde::N,հաչոց,кевстиг
131,Ast::N,ճյուղ,га
132,Zweig::N,ճյուղ,га
133,Blatt::N,տերեւ,гӏа
134,Birke::N,ցարասի,дакх
135,Kiefer[Baum]::N,սոճի,бага
136,Weide[Baum]::N,ուռենի,дак
137,Tanne::N,եղեւին,база
138,Feder::N,փետուր,пелаг
139,Fell::N,մորթի,цӏока
140,Flügel::N,թեւ,тӏам
141,Klaue::N,չանչ,мӏара
142,Kralle::N,ճանկ,тlод
143,Schwanz::N,պոչ,цӏога
144,Ei::N,ձու,xӏoa
145,Nest::N,բույն,бен
146,Bau::N,որջ,lуьрг
147,Bau::N,բայոց,lуьрг
148,Tier::N,կենդանի,дийнат
149,Herde::N,հոտ,жа
150,Kuh::N,կով,етт
151,Bulle::N,ցուլ,сту
152,Pferd::N,ձի,говр
153,Schaf::N,ոչխար,жий
154,Schaf::N,ոչխար,уьстагӏ
155,Schwein::N,խոզ,хьакха
156,Hund::N,շուն,жӏаьла
157,Katze::N,կատու,цициг
158,Bär::N,արջ,ча
159,Eichhörnchen::N,սկյուռ,тарсал
160,Elch::N,հիւսիսային եղջերու,сай
161,Fuchs::N,աղվես,цхьогал
162,Hase::N,նապաստակ,пхьагал
163,Maus::N,մուկ,дахка
164,Wolf::N,գայլ,борз
165,Vogel::N,թռչուն,олхазар
166,Schwarm::N,երամ,
167,Huhn::N,հավ,котам
168,Hahn::N,աքաղաղ,нӏаьна
169,Hahn::N,աքաղաղ,боргӏал
170,Gans::N,սագ,гӏаз
171,Adler::N,արծիվ,aьрзу
172,Ente::N,բադ,бад
173,Eule::N,բու,бухӏа
174,Kranich::N,կռունկ,гӏаргӏули
175,Krähe::N,ագռավ,къиг
176,Kuckuck::N,կուկու,aттйокх
177,Schwan::N,կարապ,гӏургӏаз
178,Fisch::N,ձուկ,чӏара
179,Barsch::N,պերկես,окунь
180,Hecht::N,գայլաձուկ,гӏазкхийн чӏара
181,Schlange[Tier]::N,օձ,лаьхьа
182,Wurm::N,որդ,нӏаьна
183,Wurm::N,ճիճու,нӏаьна
184,Spinne::N,սարդ,гезг
185,Ameise::N,միջյուն,зингат
186,Laus::N,ոջիլ,меза
187,Laus::N,ոջիլ,гӏениг
188,Mücke::N,մժղուկ,чуьрк
189,Fliege::N,ճանճ,моза
190,Schmetterling::N,թիթեռ,полла
191,Beere::N,հատապտուղ,цӏазам
192,Apfel::N,խնձոր,ӏаж
193,Pilz::N,սունկ,жӏаьлин нускал
194,Zwiebel::N,սոխ,xох
195,Saat::N,սերմ,чlу
196,Korn::N,հատիկ,буьртиг
197,Heu::N,խոտ,йол
198,Schale::N,կեղեւ,пардо
199,Grube::N,փոս,ор
200,Falle::N,ծուղակ,кӏело
201,Schlinge::N,խեղդան,
202,Spur::N,հետք,лар
203,Asche::N,մոխիր,чим
204,Dreck::N,աղտ,мода
205,Eisen::N,երկաթ,эчиг
206,Gold::N,ոսկի,деши
207,Silber::N,արծաթ,дети
208,Kohle::N,քարածուխ,кӏора
209,Glas::N,ապակի,aнгали
210,Lehm::N,կավ,поппар
211,Sand::N,ավազ,гӏум
212,Mensch::N,մարդ,адам
213,Mann::N,մարդ,майра
214,Mann::N,տղամարդ,майра
215,Frau::N,կին,зуда
216,Kind::N,զավակ,бер
217,Junge::N,տղա,жимха
218,Mädchen::N,աղջիկ,жима йоӏ
219,Familie::N,ընտանիք,доьзал
220,Großvater::N,պապ,ненада
221,Großmutter::N,տատ,денана
222,Eltern::N,ծնողներ,да-нана
223,Vater::N,հայր,да
224,Mutter::N,մայր,нана
225,Sohn::N,որդի,кӏант
226,Tochter::N,աղջիկ,йоӏ
227,Tochter::N,դուստր,йоӏ
228,Bruder::N,եղբայր,ваша
229,Schwester::N,քույր,йиша
230,Onkel::N,քեռի,деваша
231,Onkel::N,հորեղբայր,деваша
232,Tante::N,մորաքույր,дейиша
233,Ehemann::N,մարդ,майра
234,Ehemann::N,ամուսին,майра
235,Ehefrau::N,կին ամուսին,зуда
236,Freude::N,ուրախություն,самукъа
237,Freude::N,ուրախություն,хазахетар
238,Gelächter::N,ծիծաղ,белам
239,Glück::N,երջանկություն,ирс
