,Concept_ID,de,kv
0,Auge::N,Auge,син
1,Ohr::N,Ohr,пель
2,Nase::N,Nase,ныр
3,Mund::N,Mund,ӧм
4,Zahn::N,Zahn,пинь
5,Zunge::N,Zunge,кыв
6,Lippe::N,Lippe,тырп
7,Wange::N,Wange,рожабан
8,Gesicht::N,Gesicht,бан
9,Stirn::N,Stirn,кымӧс
10,Haar::N,Haar,юрси
11,Schnurrbart::N,Schnurrbart,уссэз
12,Bart::N,Bart,тош
13,Kinn::N,Kinn,тшӧка
14,Kiefer[Anatomie]::N,Kiefer,ан
15,Kehle::N,Kehle,юан
16,Hals::N,Hals,юан
17,Genick::N,Genick,юр бӧр
18,Kopf::N,Kopf,юр
19,Rücken::N,Rücken,мышк
20,Bauch::N,Bauch,кынӧм
21,Nabel::N,Nabel,гӧг
22,Busen::N,Busen,морос
23,Brust::N,Brust,морос
24,Schulter::N,Schulter,пельпон
25,Arm::N,Arm,ки
26,Ellenbogen::N,Ellenbogen,гырдзза
27,Hand::N,Hand,кикар
28,Handfläche::N,Handfläche,ки пыдӧс
29,Finger::N,Finger,чунь
30,Fingernagel::N,Fingernagel,гыж
31,Nagel[Anatomie]::N,Nagel,гыж
32,Zeh::N,Zeh,чунь
33,Fuß::N,Fuß,кокпыдӧс
34,Ferse::N,Ferse,кокдзир
35,Knie::N,Knie,пидзӧс
36,Oberschenkel::N,Oberschenkel,лядьбей
37,Bein::N,Bein,кок
38,Körper::N,Körper,вывтыр
39,Haut::N,Haut,кучик
40,Blut::N,Blut,вир
41,Ader::N,Ader,сӧн
42,Sehne::N,Sehne,жила
43,Knochen::N,Knochen,коска
44,Gehirn::N,Gehirn,вем
45,Herz::N,Herz,сьӧлӧм
46,Magen::N,Magen,жӧвдӧк
47,Leber::N,Leber,мус
48,Atem::N,Atem,лолалӧм
49,Hunger::N,Hunger,тшыг
50,Träne::N,Träne,синва
51,Geschmack::N,Geschmack,кӧр
52,Geruch::N,Geruch,дук
53,Schlaf::N,Schlaf,он
54,Traum::N,Traum,вӧт
55,Himmel::N,Himmel,небо
56,Sonne::N,Sonne,шондi
57,Mond::N,Mond,тӧлiсь
58,Stern::N,Stern,кӧдзыв
59,Luft::N,Luft,ру
60,Wind::N,Wind,тӧв
61,Welle::N,Welle,гы
62,Wasser::N,Wasser,ва
63,Stein::N,Stein,из
64,Boden::N,Boden,му
65,Erde::N,Erde,му
66,Staub::N,Staub,бус
67,Rauch::N,Rauch,тшын
68,Funke::N,Funke,бичир
69,Feuer::N,Feuer,би
70,Licht::N,Licht,би
71,Schatten::N,Schatten,вуджӧр
72,Wetter::N,Wetter,погоддя
73,Nebel::N,Nebel,туман
74,Wolke::N,Wolke,кымӧр
75,Regen::N,Regen,зэр
76,Schnee::N,Schnee,лым
77,Eis::N,Eis,йы
78,Frost::N,Frost,мороз
79,Kälte::N,Kälte,кӧдзыт
80,Hitze::N,Hitze,ӧд
81,Raureif::N,Raureif,кижа
82,Regenbogen::N,Regenbogen,енӧшка
83,Donner::N,Donner,гым
84,Strömung::N,Strömung,визывтӧм
85,Tropfen::N,Tropfen,тёп
86,Schaum::N,Schaum,быг
87,Schmutz::N,Schmutz,нять
88,See::N,See,ты
89,Sumpf::N,Sumpf,арай
90,Moor::N,Moor,нюр
91,Wiese::N,Wiese,видз
92,Wald::N,Wald,вӧр
93,Hügel::N,Hügel,мыльк
94,Anhöhe::N,Anhöhe,вывтас
95,Anhöhe::N,Anhöhe,вылынін
96,Berg::N,Berg,керӧс
97,Gipfel::N,Gipfel,йыв
98,Höhle::N,Höhle,нора
99,Abhang::N,Abhang,покат
100,Quelle::N,Quelle,больган
101,Bach::N,Bach,шор
102,Fluss::N,Fluss,ю
103,Ufer::N,Ufer,берег
104,Küste::N,Küste,берег
105,Festland::N,Festland,му
106,Meer::N,Meer,море
107,Bucht::N,Bucht,курья
108,Insel::N,Insel,
109,Blume::N,Blume,цветок
110,Gras::N,Gras,турун
111,Wurzel::N,Wurzel,вуж
112,Baum::N,Baum,пу
113,Stamm::N,Stamm,мыр
114,Stamm::N,Stamm,кер
115,Rinde::N,Rinde,кач
116,Ast::N,Ast,ув
117,Zweig::N,Zweig,ув
118,Blatt::N,Blatt,лист
119,Birke::N,Birke,кыдз
120,Kiefer[Baum]::N,Kiefer,пожум
121,Weide[Baum]::N,Weide,бадь
122,Tanne::N,Tanne,кӧз
123,Horn::N,Horn,сюр
124,Feder::N,Feder,гӧн
125,Fell::N,Fell,кучик
126,Flügel::N,Flügel,борд
127,Klaue::N,Klaue,гыж
128,Kralle::N,Kralle,кабыр
129,Schwanz::N,Schwanz,бӧж
130,Ei::N,Ei,кольть
131,Nest::N,Nest,поз
132,Bau::N,Bau,осьта
133,Bau::N,Bau,нора
134,Tier::N,Tier,зверь
135,Herde::N,Herde,гурт
136,Kuh::N,Kuh,мӧс
137,Bulle::N,Bulle,ӧшка
138,Pferd::N,Pferd,вӧв
139,Schaf::N,Schaf,баля
140,Schwein::N,Schwein,порсь
141,Hund::N,Hund,пон
142,Katze::N,Katze,кань
143,Bär::N,Bär,ош
144,Eichhörnchen::N,Eichhörnchen,ур
145,Elch::N,Elch,вӧр мӧс
146,Fuchs::N,Fuchs,руч
147,Hase::N,Hase,кӧч
148,Maus::N,Maus,шыр
149,Wolf::N,Wolf,кӧин
150,Vogel::N,Vogel,кай
151,Schwarm::N,Schwarm,стая
152,Schwarm::N,Schwarm,чукӧр
153,Huhn::N,Huhn,курӧг
154,Hahn::N,Hahn,петух
155,Hahn::N,Hahn,ай курӧг
156,Gans::N,Gans,дзодзог
157,Adler::N,Adler,куч
158,Adler::N,Adler,кутш
159,Ente::N,Ente,утка
160,Eule::N,Eule,тупка
161,Kranich::N,Kranich,тури
162,Krähe::N,Krähe,рака
163,Kuckuck::N,Kuckuck,кӧк
164,Schwan::N,Schwan,юсь
165,Fisch::N,Fisch,чери
166,Barsch::N,Barsch,ёкыш
167,Hecht::N,Hecht,сирпинь
168,Schlange[Tier]::N,Schlange,змей
169,Wurm::N,Wurm,номыр
170,Spinne::N,Spinne,черань
171,Ameise::N,Ameise,кӧдзывкар
172,Laus::N,Laus,ляпа той
173,Mücke::N,Mücke,ном
174,Fliege::N,Fliege,гут
175,Schmetterling::N,Schmetterling,бабыв
176,Beere::N,Beere,ягӧд
177,Apfel::N,Apfel,яблоко
178,Pilz::N,Pilz,тшак
179,Zwiebel::N,Zwiebel,грез
180,Saat::N,Saat,кӧдзыс
181,Korn::N,Korn,сю
182,Heu::N,Heu,турун
183,Schale::N,Schale,кыш
184,Schale::N,Schale,киль
185,Grube::N,Grube,яма
186,Falle::N,Falle,нальк
187,Falle::N,Falle,кляпча
188,Schlinge::N,Schlinge,лӧч
189,Spur::N,Spur,туй
190,Asche::N,Asche,пӧим
191,Dreck::N,Dreck,нять
192,Eisen::N,Eisen,кӧрт
193,Gold::N,Gold,зарни
