,Concept_ID,he,la
0,Auge::N,עין,oculus
1,Ohr::N,אזן,auris
2,Nase::N,אף,nasus
3,Nase::N,חטם,nasus
4,Mund::N,פה,os
5,Zahn::N,שן,dens
6,Zunge::N,לשון,lingua
7,Lippe::N,שפה,labrum
8,Wange::N,לחי,gena
9,Gesicht::N,פנים,vultus
10,Stirn::N,מצח,frons
11,Haar::N,שערה,capillus
12,Schnurrbart::N,שפם,barba labri superioris
13,Bart::N,זקן,barba
14,Kinn::N,סנטר,mentum
15,Kiefer[Anatomie]::N,לסת,mala
16,Kehle::N,גרון,iugulums
17,Hals::N,צואר,collum
18,Genick::N,ערף,cervices
19,Kopf::N,ראש,caput
20,Rücken::N,גב,tergum
21,Bauch::N,בטן,venter
22,Nabel::N,טבור,umbilicus
23,Busen::N,שד,sinus
24,Brust::N,חזה,pectus
25,Schulter::N,כתף,umerus
26,Arm::N,זרוע,bracchium
27,Ellenbogen::N,מרפק,cubitum
28,Hand::N,יד,manus
29,Handfläche::N,כף יד,palma
30,Finger::N,אצבע,digitus
31,Fingernagel::N,צפרן,unguiculus
32,Nagel[Anatomie]::N,צפרן,unguis
33,Zeh::N,אצבע,digitus
34,Fuß::N,רגל,pes
35,Ferse::N,עקב,calx
36,Knie::N,ברך,genu
37,Oberschenkel::N,ירך,femur
38,Bein::N,רגל,crus
39,Körper::N,גוף,corpus
40,Haut::N,עור,cutis
41,Haut::N,עור,pellis
42,Blut::N,דם,sanguis
43,Ader::N,וריד,vena
44,Sehne::N,גיד,nervus
45,Knochen::N,עצם,os
46,Gehirn::N,מוח,cerebrum
47,Herz::N,לב,cor
48,Herz::N,לב,animus
49,Magen::N,קבה,stomachus
50,Leber::N,כבד,iecur
51,Atem::N,נשימה,spiritus
52,Hunger::N,רעב,fames
53,Träne::N,דמעה,lacrima
54,Geschmack::N,טעם,sapor
55,Geschmack::N,טעם,gustus
56,Geruch::N,ריח,odor
57,Schlaf::N,שנה,somnus
58,Traum::N,חלום,somnium
59,Himmel::N,שמים,caelum
60,Sonne::N,שמש,sol
61,Mond::N,ירח,luna
62,Stern::N,כוכב,sidus
63,Stern::N,כוכב,stella
64,Luft::N,אויר,aer
65,Wind::N,רוח,ventus
66,Welle::N,גל,unda
67,Wasser::N,מים,aqua
68,Stein::N,אבן,lapis
69,Boden::N,קרקע,solum
70,Erde::N,אדמה,terra
71,Staub::N,אבק,pulvis
72,Rauch::N,עשן,fumus
73,Funke::N,ניצוץ,scintilla
74,Feuer::N,אש,ignis
75,Licht::N,אור,lux
76,Licht::N,אור,lumen
77,Schatten::N,צל,umbra
78,Wetter::N,מזג אויר,caelum
79,Wetter::N,מזג אויר,tempestas
80,Nebel::N,ערפל,nebula
81,Wolke::N,ענן,nubes
82,Regen::N,גשם,imber
83,Regen::N,גשם,pluvia
84,Schnee::N,שלג,nix
85,Eis::N,קרח,glacies
86,Frost::N,צנה,gelu
87,Kälte::N,קר,frigus
88,Hitze::N,חם,calor
89,Hitze::N,חם,aestus
90,Raureif::N,כפור,pruina
91,Regenbogen::N,קשת,arcus
92,Donner::N,רעם,tonitrus
93,Strömung::N,זרימה,fluctus
94,Tropfen::N,טפה,gutta
95,Schaum::N,קצף,spuma
96,Schmutz::N,לכלוך,sordes
97,Schmutz::N,לכלוך,squalor
98,See::N,אגם,lacus
99,Sumpf::N,בצה,palus
100,Moor::N,בצה,palus
101,Wiese::N,מרעה,pratum
102,Wald::N,יער,silva
103,Hügel::N,תל,collis
104,Anhöhe::N,מעלה,specula
105,Berg::N,הר,mons
