,Concept_ID,fr,cs
0,Auge::N,œil,oko
1,Ohr::N,oreille,ucho
2,Nase::N,nez,nos
3,Mund::N,bouche,pusa
4,Zahn::N,dent,zub
5,Zunge::N,langue,jazyk
6,Lippe::N,lèvre,ret
7,Wange::N,joue,tvář
8,Gesicht::N,face,obličej
9,Gesicht::N,visage,obličej
10,Stirn::N,front,čelo
11,Haar::N,cheveu,vlas
12,Haar::N,cheveu,vlasy
13,Schnurrbart::N,moustache,kníry
14,Bart::N,barbe,vousy
15,Kinn::N,menton,brada
16,Kiefer[Anatomie]::N,mâchoire,čelist
17,Kehle::N,gorge,hrdlo
18,Hals::N,cou,krk
19,Genick::N,nuque,týl
20,Kopf::N,tête,hlava
21,Rücken::N,dos,záda
22,Rücken::N,dos,hřbet
23,Bauch::N,ventre,břicho
24,Nabel::N,nombril,pupek
25,Busen::N,sein,ňadra
26,Brust::N,poitrine,prsa
27,Schulter::N,épaule,plece
28,Schulter::N,épaule,rameno
29,Arm::N,bras,ruka
30,Ellenbogen::N,coude,loket
31,Hand::N,main,ruka
32,Handfläche::N,paume,dlaň
33,Finger::N,doigt,prst
34,Fingernagel::N,ongle,nehet
35,Nagel[Anatomie]::N,ongle,nehet
36,Zeh::N,orteil,prst u nohy
37,Zeh::N,doigt de pied,prst u nohy
38,Fuß::N,pied,noha
39,Ferse::N,talon,pata
40,Knie::N,genou,koleno
41,Oberschenkel::N,cuisse,stehno
42,Bein::N,jambe,noha
43,Körper::N,corps,tělo
44,Haut::N,peau,kůže
45,Blut::N,sang,krev
46,Ader::N,veine,céva
47,Sehne::N,tendon,šlacha
48,Knochen::N,os,kost
49,Gehirn::N,cerveau,mozek
50,Herz::N,cœur,srdce
51,Magen::N,estomac,žaludek
52,Leber::N,foie,játra
53,Atem::N,haleine,dech
54,Hunger::N,faim,hlad
55,Träne::N,larme,slza
56,Geschmack::N,goût,vkus
57,Geschmack::N,saveur,vkus
58,Geruch::N,odeur,vůně
59,Geruch::N,odeur,zápach
60,Schlaf::N,sommeil,spánek
61,Traum::N,songe,sen
62,Himmel::N,ciel,nebe
63,Sonne::N,soleil,slunce
64,Mond::N,lune,měsíc
65,Stern::N,étoile,hvězda
66,Luft::N,air,vzduch
67,Wind::N,vent,vítr
68,Welle::N,vague,vlna
69,Wasser::N,eau,voda
70,Stein::N,pierre,kámen
71,Boden::N,sol,půda
