,Concept_ID,es,fr
0,Auge::N,ojo,œil
1,Ohr::N,oreja,oreille
2,Nase::N,nariz,nez
3,Mund::N,boca,bouche
4,Zahn::N,diente,dent
5,Zunge::N,lengua,langue
6,Lippe::N,labio,lèvre
7,Wange::N,mejilla,joue
8,Gesicht::N,cara,face
9,Gesicht::N,cara,visage
10,Stirn::N,frente,front
11,Haar::N,cabello,cheveu
12,Schnurrbart::N,bigote,moustache
13,Bart::N,barba,barbe
14,Kinn::N,barbilla,menton
15,Kiefer[Anatomie]::N,mandíbula,mâchoire
16,Kehle::N,garganta,gorge
17,Hals::N,cuello,cou
18,Genick::N,nuca,nuque
19,Genick::N,cerviz,nuque
20,Kopf::N,cabeza,tête
21,Rücken::N,espalda,dos
22,Bauch::N,vientre,ventre
23,Nabel::N,ombligo,nombril
24,Busen::N,pecho,sein
25,Brust::N,pecho,poitrine
26,Schulter::N,hombro,épaule
27,Arm::N,brazo,bras
28,Ellenbogen::N,codo,coude
29,Hand::N,mano,main
30,Handfläche::N,palma,paume
31,Finger::N,dedo,doigt
32,Fingernagel::N,uña,ongle
33,Nagel[Anatomie]::N,uña,ongle
34,Zeh::N,dedo del pie,orteil
35,Zeh::N,dedo del pie,doigt de pied
36,Fuß::N,pie,pied
37,Ferse::N,talón,talon
38,Knie::N,rodilla,genou
39,Oberschenkel::N,muslo,cuisse
40,Bein::N,pierna,jambe
41,Körper::N,cuerpo,corps
42,Haut::N,piel,peau
43,Blut::N,sangre,sang
44,Ader::N,vena,veine
45,Sehne::N,tendón,tendon
46,Knochen::N,hueso,os
47,Gehirn::N,cerebro,cerveau
48,Gehirn::N,encéfalo,cerveau
49,Herz::N,corazón,cœur
50,Magen::N,estómago,estomac
51,Leber::N,hígado,foie
52,Atem::N,aliento,haleine
53,Hunger::N,hambre,faim
54,Träne::N,lágrima,larme
55,Geschmack::N,gusto,goût
56,Geschmack::N,gusto,saveur
57,Geruch::N,olor,odeur
58,Schlaf::N,sueño,sommeil
59,Traum::N,sueño,songe
60,Traum::N,ensueño,songe
61,Himmel::N,cielo,ciel
62,Sonne::N,sol,soleil
63,Mond::N,luna,lune
64,Stern::N,estrella,étoile
65,Luft::N,aire,air
66,Wind::N,viento,vent
67,Welle::N,ola,vague
68,Welle::N,onda,vague
69,Wasser::N,agua,eau
70,Stein::N,piedra,pierre
71,Boden::N,suelo,sol
72,Boden::N,suelo,terrain
73,Erde::N,tierra,terre
74,Staub::N,polvo,poussière
75,Rauch::N,humo,fumée
76,Funke::N,chispa,étincelle
77,Feuer::N,fuego,feu
78,Licht::N,luz,lumière
79,Schatten::N,sombra,ombre
80,Wetter::N,tiempo,temps
81,Nebel::N,niebla,brume
82,Nebel::N,niebla,brouillard
83,Wolke::N,nube,nuage
84,Regen::N,lluvia,pluie
