,Concept_ID,eu,myv
0,Auge::N,begi,сельме
1,Ohr::N,belarri,пиле
2,Nase::N,sudur,судо
3,Mund::N,aho,курго
4,Zahn::N,hortz,пей
5,Zunge::N,mihi,кель
6,Lippe::N,ezpain,турва
7,Wange::N,masail,чамабока
8,Wange::N,masail,чамаумарь
9,Gesicht::N,aurpegi,чама
10,Stirn::N,bekoki,коня
11,Haar::N,ile,черь
12,Haar::N,bilo,черь
13,Schnurrbart::N,bibote,ус
14,Schnurrbart::N,bibote,муюк
15,Schnurrbart::N,sudurpeko,ус
16,Schnurrbart::N,sudurpeko,муюк
17,Bart::N,bizar,сакал
18,Kinn::N,kokots,уло
19,Kiefer[Anatomie]::N,masailezur,пейпакар
20,Kiefer[Anatomie]::N,masailezur,пейловажа
21,Kehle::N,eztarri,кирьгапарь
22,Hals::N,sama,кирьга
23,Genick::N,garondo,човонь
24,Kopf::N,buru,пря
25,Rücken::N,bizkar,копорь
26,Bauch::N,sabel,пеке
27,Nabel::N,zilbor,почо
28,Busen::N,titi,поте
29,Busen::N,ugatz,поте
30,Brust::N,bular,меште
31,Schulter::N,besaburu,лавтов
32,Arm::N,beso,кедь
33,Ellenbogen::N,ukondo,кенерепакарь
34,Hand::N,esku,кедь
35,Handfläche::N,ahur,кедькуншка
36,Handfläche::N,ahur,кедьлапушка
37,Finger::N,hatz,сур
38,Fingernagel::N,azazkal,кенже
39,Nagel[Anatomie]::N,azazkal,кенже
40,Zeh::N,behatz,пильге сур
41,Fuß::N,oin,пильге
42,Ferse::N,orpo,кочкаря
43,Ferse::N,oinburu,кочкаря
44,Knie::N,belaun,эле
45,Knie::N,belaun,эзне
46,Knie::N,belaun,кумажа
47,Oberschenkel::N,izter,качо
48,Bein::N,zango,пильге
49,Körper::N,soin,рунго
50,Haut::N,azal,киське
51,Blut::N,odol,верь
52,Ader::N,zain,сан
53,Sehne::N,gihar-zain,коське сан
54,Knochen::N,hezur,пакарь
55,Gehirn::N,garun,удем
56,Gehirn::N,burmuin,удем
57,Herz::N,bihotz,седей
58,Magen::N,urdail,пеке
59,Leber::N,gibel,максо
60,Atem::N,hats,лексема
61,Atem::N,hats,оймень таргсема
62,Atem::N,arnasa,лексема
63,Atem::N,arnasa,оймень таргсема
64,Hunger::N,gose,вачочи
65,Träne::N,malko,селведь
66,Geschmack::N,dasta,тансть
67,Geruch::N,usain,чине
68,Schlaf::N,lo,удома
69,Traum::N,amets,он
70,Himmel::N,zeru,менель
71,Sonne::N,eguzki,чи
72,Mond::N,ilargi,ков
73,Stern::N,izar,теште
74,Luft::N,aire,кошт
75,Wind::N,haize,варма
76,Welle::N,uhin,толкун
77,Welle::N,olatu,толкун
78,Wasser::N,ur,ведь
79,Stein::N,harri,кев
80,Boden::N,lur,мода
81,Boden::N,zoru,мода
82,Erde::N,lur,мастор
83,Staub::N,hauts,пуль
84,Rauch::N,ke,качамо
85,Funke::N,zirta,сятко
86,Funke::N,txinparta,сятко
87,Feuer::N,su,тол
88,Licht::N,argi,валдо
89,Schatten::N,itzal,сулей
90,Schatten::N,itzal,сулейкс
91,Schatten::N,geriza,сулей
92,Schatten::N,geriza,сулейкс
93,Wetter::N,eguraldi,ушо
94,Nebel::N,laino,сув
95,Wolke::N,hodei,пель
96,Regen::N,euri,пиземс
97,Schnee::N,elur,лов
98,Eis::N,horma,эй
99,Frost::N,izotzaldi,кельме
100,Kälte::N,hotz,якшамо
101,Hitze::N,bero,пси
102,Raureif::N,antzigar,лекш
103,Regenbogen::N,ostadar,пурьгинечирьке
104,Regenbogen::N,ostadar,пурьгинеёнкс
105,Regenbogen::N,ortzadar,пурьгинечирьке
106,Regenbogen::N,ortzadar,пурьгинеёнкс
107,Donner::N,ostots,пурьгине
108,Donner::N,ihurtzuri,пурьгине
109,Strömung::N,laster,чудема
110,Strömung::N,laster,чудевкс
111,Tropfen::N,xorta,петнявкс
112,Schaum::N,bits,чов
113,Schmutz::N,lohi,рудаз
114,Schmutz::N,zikin,рудаз
115,See::N,laku,эрьке
116,See::N,aintzira,эрьке
117,Sumpf::N,zingira,чей
118,Moor::N,zohikaztegi,чей
119,Wiese::N,larre,луга
120,Wiese::N,belardi,луга
121,Wald::N,baso,вирь
122,Wald::N,oihan,вирь
123,Hügel::N,muino,губорь
124,Hügel::N,muino,пандыне
125,Hügel::N,pentoka,губорь
126,Hügel::N,pentoka,пандыне
127,Anhöhe::N,garai,губорь
128,Anhöhe::N,garai,пандыне
129,Anhöhe::N,goragune,губорь
130,Anhöhe::N,goragune,пандыне
131,Berg::N,mendi,пандо
132,Gipfel::N,gain,пря
133,Gipfel::N,tontor,пря
134,Höhle::N,kobazulo,пещера
135,Abhang::N,aldapa,пандочама
136,Quelle::N,iturri,ушодкс
137,Quelle::N,iturbegi,ушодкс
138,Bach::N,lats,чудикерькс
139,Bach::N,erreka,чудикерькс
140,Fluss::N,ibai,лей
141,Fluss::N,uhaitz,лей
142,Ufer::N,bazter,чире
143,Küste::N,itsasalde,лейчире
144,Festland::N,lehor,мода
145,Meer::N,itsaso,моря
146,Bucht::N,golko,усия
147,Insel::N,irla,усия
