,Concept_ID,os,mn
0,Auge::N,цӕст,нүд
1,Ohr::N,хъус,чих
2,Nase::N,фындз,хамар
3,Mund::N,дзых,ам
4,Zahn::N,дӕндаг,шүд
5,Zunge::N,ӕвзаг,хэл
6,Lippe::N,был,уруул
7,Wange::N,рус,хацар
8,Wange::N,уадул,хацар
9,Wange::N,ӕхсӕрфарс,хацар
10,Gesicht::N,цӕсгом,царай
11,Gesicht::N,цӕсгом,нүүр
12,Stirn::N,ных,дух
13,Haar::N,хил,үс
14,Schnurrbart::N,рихи,дээд сахал
15,Schnurrbart::N,рихи,живэр сахал
16,Bart::N,зачъе,сахал
17,Kinn::N,роцъо,эрүү
18,Kiefer[Anatomie]::N,ӕфсӕр,эрүү
19,Kehle::N,хъуыр,хоолой
20,Hals::N,къубал,хүзүү
21,Genick::N,къӕбут,шил
22,Genick::N,къӕбут,хүзүү
23,Kopf::N,сӕр,толгой
24,Rücken::N,фӕсонтӕ,ар
25,Rücken::N,фӕсонтӕ,нуруу
26,Bauch::N,гуыбын,хэвлий
27,Bauch::N,гуыбын,гэдэс
28,Nabel::N,бикъ,хүйс
29,Busen::N,дзидзи,хөх
30,Brust::N,риу,цээж
31,Schulter::N,уӕхск,мөр
32,Schulter::N,уӕхск,бугалга
33,Arm::N,цонг,гар
34,Ellenbogen::N,рæмбын,тохой
35,Hand::N,къух,гар
36,Hand::N,къух,алга
37,Handfläche::N,армытъӕпӕн,алга
38,Finger::N,ӕнруылдз,хуруу
39,Fingernagel::N,ных,хурууны хумс
40,Nagel[Anatomie]::N,ных,хумс
41,Zeh::N,къух,хуруу
42,Fuß::N,фад,хөл
43,Ferse::N,зӕвӕт,өсгий
44,Knie::N,уӕраг,өвдөг
45,Oberschenkel::N,агъд,гуя
46,Bein::N,зӕнг,хөл
47,Körper::N,буар,бие
48,Haut::N,царм,арьс
49,Blut::N,туг,цус
50,Ader::N,дадзин,судас
51,Ader::N,тугдадзин,судас
52,Sehne::N,хъиутæ,бүлх
53,Sehne::N,хъиутæ,шандас
54,Sehne::N,нуар,бүлх
55,Sehne::N,нуар,шандас
56,Knochen::N,стӕг,яс
57,Gehirn::N,магъз,тархи
58,Herz::N,зӕрдӕ,зүрх
59,Magen::N,ахсӕн,ходоод
60,Leber::N,игæр,элэг
61,Atem::N,улӕфт,амьсгаа
62,Hunger::N,стонг,өлсгөлөн
63,Träne::N,цæссыг,нулимс
64,Geschmack::N,ад,амт
65,Geruch::N,смаг,үнэр
66,Schlaf::N,хуыссӕг,нойр
67,Traum::N,фын,зүүд
68,Himmel::N,арв,тэнгэр
69,Himmel::N,арв,огторгуй
70,Himmel::N,уӕларв,тэнгэр
71,Himmel::N,уӕларв,огторгуй
72,Sonne::N,хур,нар
73,Mond::N,мӕй,сар
74,Stern::N,стъалы,од
75,Luft::N,уӕлдӕф,агаар
76,Wind::N,дымгӕ,салхи
77,Welle::N,уылӕн,долгио
78,Welle::N,уылӕн,давалгаа
79,Wasser::N,дон,ус
80,Stein::N,дур,чулуу
81,Boden::N,зӕхх,хөрс
82,Erde::N,сыджыт,газар
83,Erde::N,сыджыт,шороо
84,Staub::N,рыг,тоос
85,Rauch::N,фӕздӕг,утаа
86,Funke::N,цӕхӕр,оч
87,Feuer::N,зынг,гал
88,Licht::N,рухс,гэрэл
89,Licht::N,рухс,гэгээ
90,Schatten::N,аууон,сүүдэр
91,Wetter::N,боныхъӕд,тэнгэр
92,Wetter::N,боныхъӕд,цаг уур
93,Nebel::N,мигъ,будан
94,Wolke::N,ӕврагъ,үүл
95,Regen::N,уарын,бороо
96,Schnee::N,мит,цас
97,Eis::N,их,мөс
98,Frost::N,ихæн,хүйт
99,Kälte::N,уазал,хүйт
100,Hitze::N,ӕнтӕф,халуун
101,Raureif::N,халас,цан
102,Raureif::N,халас,хяруу
103,Regenbogen::N,арвырон,солонго
104,Regenbogen::N,арвырдын,солонго
105,Donner::N,æрвнæрын,тэнгэрийн дуу
106,Strömung::N,цыд,урсгал
107,Tropfen::N,æртах,дусал
108,Schaum::N,фынк,хөөс
109,Schmutz::N,цъыф,хир
110,Schmutz::N,цъыф,шавхай
111,See::N,цад,нуур
112,Sumpf::N,цъыфдзаст,намаг
113,Sumpf::N,цъыфдзаст,балчиг
114,Moor::N,цъыфдзаст,хүлрийн намаг
115,Wiese::N,уыгӕрдӕн,нуга
116,Wald::N,хъӕд,ой
117,Hügel::N,обау,болдог
118,Hügel::N,къуыбыр,болдог
119,Anhöhe::N,уæлвæз,гүвээ
120,Anhöhe::N,уæлхох,гүвээ
121,Berg::N,хох,уул
122,Gipfel::N,цъупп,орой
123,Gipfel::N,цъупп,оргил
124,Höhle::N,лӕгӕт,агуй
125,Abhang::N,къул,хүр
126,Quelle::N,суадон,булаг
127,Bach::N,мӕсчъыдон,горхи
128,Fluss::N,дон,гол
129,Fluss::N,дон,мөрөн
130,Fluss::N,цӕугӕдон,гол
131,Fluss::N,цӕугӕдон,мөрөн
132,Ufer::N,был,эрэг
133,Küste::N,донбыл,эрэг
134,Festland::N,сурзæхх,хуурай газар
135,Meer::N,денджыз,далай
136,Meer::N,денджыз,тэнгис
137,Bucht::N,донбакæлæн,булан
138,Bucht::N,донбакæлæн,далайн тохой
139,Insel::N,сакъадах,арал
140,Blume::N,дидинӕг,цэцэг
141,Gras::N,кӕрдӕг,өвс
142,Gras::N,кӕрдӕг,ногоо
143,Wurzel::N,уидаг,үндэс
144,Baum::N,бӕлас,мод
145,Stamm::N,хӕтӕл,иш
146,Stamm::N,хӕтӕл,гуалин
147,Rinde::N,цъар,холтос
148,Ast::N,арх,гишүү
149,Zweig::N,къалиу,салаа
150,Blatt::N,сыф,навч
151,Birke::N,бæрз,хус
152,Kiefer[Baum]::N,нӕзы,нарс
153,Weide[Baum]::N,хӕрис,уд
154,Weide[Baum]::N,хӕрис,бургас
155,Tanne::N,наз,гачуур
156,Horn::N,сыкъа,эвэр
157,Feder::N,сис,өд
158,Fell::N,царм,арьс
159,Flügel::N,базыр,жигүүр
160,Flügel::N,базыр,далавч
161,Klaue::N,ных,савар
162,Klaue::N,ных,хумс
163,Kralle::N,дзӕмбы,савар
164,Schwanz::N,къӕдзил,сүүл
165,Ei::N,айк,өндөг
166,Nest::N,ахстон,үүр
167,Bau::N,хуынкъ,нүх
168,Bau::N,хуынкъ,элүү
169,Tier::N,сырд,амьтан
170,Tier::N,сырд,адгуус
171,Tier::N,цӕрӕгой,амьтан
172,Tier::N,цӕрӕгой,адгуус
173,Herde::N,дзуг,сүрэг
174,Herde::N,рӕгъау,сүрэг
175,Kuh::N,хъуг,үнээ
176,Bulle::N,гал,бух
177,Pferd::N,бӕх,морь
178,Pferd::N,бӕх,адуу
179,Schaf::N,фыс,хонь
180,Schwein::N,хуы,гахай
181,Hund::N,куыдз,нохой
182,Katze::N,гӕды,муур
183,Katze::N,гӕды,мигуй
184,Bär::N,арс,баавгай
185,Eichhörnchen::N,æхсæрæг,хэрэм
186,Elch::N,цæгатаг саг,хандгай
187,Fuchs::N,рувас,үнэг
188,Hase::N,тæрхъус,туулай
189,Maus::N,мыст,хулгана
190,Wolf::N,бирӕгъ,чоно
191,Vogel::N,цъиу,шувуу
192,Vogel::N,маргъ,шувуу
193,Schwarm::N,бал,сүрэг
194,Huhn::N,карк,тахиа
195,Hahn::N,уасӕг,эр тахиа
196,Gans::N,хъаз,галуу
197,Adler::N,цӕргӕс,бүргэд
198,Ente::N,ацц,нугас
199,Eule::N, уыг,ууль
200,Eule::N,сидахъ,ууль
201,Kranich::N,зырнæг,тогоруу
202,Kranich::N,хърихъупп,тогоруу
203,Krähe::N,халон,хэрээ
204,Kuckuck::N,гаккук,хөхөө
205,Schwan::N,доныхъаз,хун
206,Fisch::N,кӕсаг,загас
207,Barsch::N,окунь,алгана
208,Hecht::N,хихор кӕсаг,цурхай
209,Schlange[Tier]::N,калм,могой
210,Wurm::N,зулкъ,өт
211,Wurm::N,зулкъ,хорхой
212,Wurm::N,къуыдыргалм,өт
213,Wurm::N,къуыдыргалм,хорхой
214,Spinne::N,хӕлуарӕг,аалз
215,Ameise::N,мæлдзыг,шоргоолж
216,Laus::N,сыст,бөөс
217,Mücke::N,къогъо,шумуул
218,Fliege::N,бындз,ялаа
219,Schmetterling::N,гæлæбу,эрвээхэй
220,Beere::N,гагадыргъ,жимсгэнэ
221,Apfel::N,фӕткъуы,алим
222,Pilz::N,зокъо,мөөг
223,Pilz::N,къозо,мөөг
224,Zwiebel::N,хъӕдындз,сонгино
225,Saat::N,тауинаг,тариа
226,Saat::N,мыггаг,тариа
227,Korn::N,мыггаг,үр
228,Korn::N,мыггаг,мөхлөг
229,Korn::N,тауинаг,үр
230,Korn::N,тауинаг,мөхлөг
231,Heu::N,хос,өвс
232,Schale::N,цъар,хальс
233,Grube::N,урм,алам
234,Grube::N,урм,нүх
235,Grube::N,къахт,алам
236,Grube::N,къахт,нүх
237,Grube::N,дзыхъхъ,алам
238,Grube::N,дзыхъхъ,нүх
239,Falle::N,цъысым,хавх
240,Falle::N,цъысым,занга
241,Falle::N,къӕппӕг,хавх
242,Falle::N,къӕппӕг,занга
243,Schlinge::N,цасм,урхи
244,Spur::N,фæд,мөр
245,Asche::N,фӕнык,үнс
246,Asche::N,ӕртхутӕг,үнс
247,Dreck::N,цъыф,хир
248,Eisen::N,ӕфсӕйнаг,төмөр
249,Gold::N,сыгъзӕрин,алт
250,Silber::N,ӕвзист,мөнгө
251,Kohle::N,ӕвзалы,нүүрс
252,Glas::N,авг,шил
253,Lehm::N,ӕлыг,шавар
254,Sand::N,змис,элс
255,Mensch::N,лӕг,хүн
256,Mensch::N,адӕймаг,хүн
257,Mensch::N,удгоймаг,хүн
258,Mann::N,лӕг,эр
259,Mann::N,лӕг,эрэгтэй
260,Mann::N,нӕлгоймаг,эр
261,Mann::N,нӕлгоймаг,эрэгтэй
262,Frau::N,сылгоймаг,эмэгтэй
263,Frau::N,сылгоймаг,хатагтай
264,Kind::N,сывӕллон,хүүхэд
265,Junge::N,лӕппу,хүү
266,Mädchen::N,чызг,охин
267,Mädchen::N,чызг,бүсгүй
268,Familie::N,бинонтæ,айл
269,Großvater::N,фыдыфыд,өвгөн аав
270,Großvater::N,мадыфыд,өвгөн аав
271,Großmutter::N,фыды мад,эмэг эх
272,Großmutter::N,фыды мад,эмгээ
273,Großmutter::N,мады мад,эмэг эх
274,Großmutter::N,мады мад,эмгээ
275,Eltern::N,ныййарджытæ,эцэг эх
276,Vater::N,фыд,аав
277,Vater::N,фыд,эцэг
278,Mutter::N,мад,эх
279,Mutter::N,мад,ээж
280,Sohn::N,фырт,хүү
281,Tochter::N,чызг,охин
282,Bruder::N,ӕфсымӕр,ах
283,Bruder::N,ӕфсымӕр,дүү
284,Schwester::N,хо,эгч
285,Schwester::N,хо,охин дүү
286,Onkel::N,фыдыфсымӕр,авга ах
287,Onkel::N,фыдыфсымӕр,нагац ах
288,Tante::N,мадыхо,авга эгч
289,Tante::N,мадыхо,нагац эгч
290,Ehemann::N,мой,нөхөр
291,Ehefrau::N,ус,эхнэр
292,Ehefrau::N,ус,гэргий
293,Freude::N,цин,баяр
294,Freude::N,цин,баясгалан
295,Freude::N,циндзинад,баяр
296,Freude::N,циндзинад,баясгалан
297,Gelächter::N,худын,инээдэм
298,Gelächter::N,худт,инээдэм
299,Gelächter::N,худæг,инээдэм
300,Glück::N,амонд,жаргалан
301,Kummer::N,хъыг,гаслан
302,Wunsch::N,бӕллиц,ерөөл
303,Lust::N,монц,дур
304,Lust::N,монц,хүсэл
305,Geist::N,уд,оюун
306,Gedanke::N,хъуыды,сэтгэл
307,Gedächtnis::N,мысæн,ой
308,Gedächtnis::N,мысæн,цээж
309,Gedächtnis::N,мысын,ой
310,Gedächtnis::N,мысын,цээж
311,Gedächtnis::N,зæрдылдарын,ой
312,Gedächtnis::N,зæрдылдарын,цээж
313,Verstand::N,зонд,ухаан
314,Sinn::N,нысаниуæг,утга
315,Grund::N,ӕфсон,учир
316,Wahrheit::N,æцæг,үнэн
317,Gespräch::N,ныхас,яриа
318,Märchen::N,аргъау,явган үлгэр
319,Erzählung::N,радзырд,тууж
320,Nachricht::N,уац,мэдээ
321,Neuigkeit::N,хабар,сонин
322,Name::N,ном,нэр
323,Rätsel::N,уыци-уыци,оньсого
324,Rätsel::N,базон-базон,оньсого
