,Concept_ID,myv,kl
0,Auge::N,сельме,isi
1,Ohr::N,пиле,siut
2,Nase::N,судо,
3,Mund::N,курго,paaq
4,Mund::N,курго,qaneq
5,Zahn::N,пей,kigut
6,Zunge::N,кель,oqaq
7,Lippe::N,турва,qarloq
8,Wange::N,чамабока,ersaq
9,Wange::N,чамаумарь,ersaq
10,Gesicht::N,чама,kiinaq
11,Stirn::N,коня,qaaq
12,Haar::N,черь,meqqoq
13,Schnurrbart::N,ус,
14,Schnurrbart::N,муюк,
15,Bart::N,сакал,umik
16,Kinn::N,уло,talloq
17,Kiefer[Anatomie]::N,пейпакар,alleroq
18,Kiefer[Anatomie]::N,пейловажа,alleroq
19,Kehle::N,кирьгапарь,malaq
20,Hals::N,кирьга,qungaseq
21,Genick::N,човонь,pukusuk
22,Kopf::N,пря,niaqoq
23,Rücken::N,копорь,qimerlut
24,Bauch::N,пеке,naaq
25,Nabel::N,почо,qalaseq
26,Busen::N,поте,iviangeq
27,Brust::N,меште,iviangeq
28,Schulter::N,лавтов,ersik
29,Schulter::N,лавтов,assaqqoq
30,Arm::N,кедь,taleq
31,Ellenbogen::N,кенерепакарь,ikusik
32,Hand::N,кедь,assak
33,Handfläche::N,кедькуншка,itumak
34,Handfläche::N,кедьлапушка,itumak
35,Finger::N,сур,inuak
36,Fingernagel::N,кенже,kikiak
37,Nagel[Anatomie]::N,кенже,kukik
38,Zeh::N,пильге сур,isigak
39,Fuß::N,пильге,
40,Ferse::N,кочкаря,kimmik
41,Knie::N,эле,seeqqoq
42,Knie::N,эзне,seeqqoq
43,Knie::N,кумажа,seeqqoq
44,Oberschenkel::N,качо,uppat
45,Oberschenkel::N,качо,quttoraq
46,Bein::N,пильге,isigak
47,Körper::N,рунго,timi
48,Haut::N,киське,mattak
49,Blut::N,верь,aak
50,Ader::N,сан,taqaq
51,Sehne::N,коське сан,ujalu
52,Sehne::N,коське сан,ujaloq
53,Knochen::N,пакарь,saanikut
54,Gehirn::N,удем,qarasaq
55,Herz::N,седей,uummat
56,Magen::N,пеке,aqajaroq
57,Leber::N,максо,tinguk
58,Atem::N,лексема,anerneq
59,Atem::N,оймень таргсема,anerneq
60,Hunger::N,вачочи,kaanneq
61,Träne::N,селведь,qia
62,Träne::N,селведь,qiak
63,Geschmack::N,тансть,qilanaartuut
64,Geruch::N,чине,tipi
65,Geruch::N,чине,tipik
66,Schlaf::N,удома,
67,Traum::N,он,sinnattoq
68,Traum::N,он,sinnattugaq
69,Himmel::N,менель,qilak
70,Sonne::N,чи,seqineq
71,Mond::N,ков,qaammat
72,Stern::N,теште,ulloriaq
73,Luft::N,кошт,silaannaq
74,Wind::N,варма,anori
75,Wind::N,варма,anorsarik
76,Welle::N,толкун,aalappaa
77,Wasser::N,ведь,imeq
78,Stein::N,кев,ujarak
79,Boden::N,мода,nateq
80,Erde::N,мастор,issoq
81,Staub::N,пуль,pujualanerit
82,Staub::N,пуль,pujoralanerit
83,Rauch::N,качамо,iseq
84,Rauch::N,качамо,pujoq
85,Funke::N,сятко,illoorneq
86,Feuer::N,тол,inneq
87,Licht::N,валдо,qaamaneq
88,Schatten::N,сулей,tarraq
89,Schatten::N,сулейкс,tarraq
90,Wetter::N,ушо,sila
91,Nebel::N,сув,pujoq
92,Wolke::N,пель,nuia
93,Regen::N,пиземс,sialuk
94,Schnee::N,лов,aput
95,Eis::N,эй,siku
96,Frost::N,кельме,issi
97,Frost::N,кельме,issik
98,Kälte::N,якшамо,issi
99,Hitze::N,пси,kianneq
100,Hitze::N,пси,kiassuseq
101,Raureif::N,лекш,kaneq
102,Regenbogen::N,пурьгинечирьке,neriusaaq
103,Regenbogen::N,пурьгинеёнкс,neriusaaq
104,Donner::N,пурьгине,kalleq
105,Strömung::N,чудема,
106,Strömung::N,чудевкс,
107,Tropfen::N,петнявкс,kuseriarneq
108,Schaum::N,чов,qapuk
109,Schmutz::N,рудаз,minguk
110,See::N,эрьке,taseq
111,Sumpf::N,чей,maqulluk
112,Moor::N,чей,
113,Wiese::N,луга,masarsuk
114,Wald::N,вирь,
115,Hügel::N,губорь,qattuneq
116,Hügel::N,губорь,majuariaq
117,Hügel::N,губорь,majorajaaq
118,Hügel::N,губорь,qaqqannguaq
119,Hügel::N,пандыне,qattuneq
120,Hügel::N,пандыне,majuariaq
121,Hügel::N,пандыне,majorajaaq
122,Hügel::N,пандыне,qaqqannguaq
123,Anhöhe::N,губорь,
124,Anhöhe::N,пандыне,
125,Berg::N,пандо,qaqqaq
126,Gipfel::N,пря,
127,Höhle::N,пещера,qaarusuk
128,Abhang::N,пандочама,ippik
129,Abhang::N,пандочама,sivinganeq
130,Abhang::N,пандочама,sivingajaaq
131,Abhang::N,пандочама,kussangajaaq
132,Quelle::N,ушодкс,
133,Bach::N,чудикерькс,kuunnguaq
134,Fluss::N,лей,kuuk
135,Ufer::N,чире,sissap sinaa
136,Küste::N,лейчире,sineriak
137,Festland::N,мода,
138,Meer::N,моря,imaq
139,Bucht::N,усия,ikeq
140,Bucht::N,усия,kangerluk
141,Bucht::N,усия,kangerliumaneq
142,Insel::N,усия,qeqertaq
143,Blume::N,цеця,naasoq
144,Gras::N,тикше,ivigaq
145,Wurzel::N,юр,niulutaq
146,Wurzel::N,ундокс,niulutaq
147,Baum::N,чувто,orpik
148,Stamm::N,рунго,kanaartaq
149,Rinde::N,суд,ameraq
150,Rinde::N,керь,ameraq
151,Ast::N,морго,avalequt
152,Zweig::N,тарад,avalequt
153,Blatt::N,лопа,pilutaq
154,Birke::N,килей,patitsit
155,Kiefer[Baum]::N,пиче,
156,Weide[Baum]::N,каль,palleq
157,Tanne::N,куз,orsuerneq
158,Horn::N,сюро,nassuk
159,Feder::N,толга,suluk
160,Fell::N,пона,ameq
161,Flügel::N,сёлмо,suluk
162,Flügel::N,сёлмо,isaroq
163,Klaue::N,кенже,kukik
164,Kralle::N,кенже,kukik
165,Schwanz::N,пуло,pamioq
166,Schwanz::N,пуло,paperuusaq
167,Ei::N,ал,mannik
168,Nest::N,пизэ,ullut
169,Bau::N,варя,ini
170,Bau::N,пизе,ini
171,Tier::N,ракша,uumasoq
172,Herde::N,стада,unguukkat
173,Kuh::N,скал,ussik
174,Bulle::N,бука,angukulak
175,Bulle::N,бука,anguteralak
176,Bulle::N,бука,angutikulooq
177,Pferd::N,лишме,
178,Schaf::N,реве,sava
179,Schwein::N,туво,puuluki
180,Hund::N,пине,qimmeq
181,Hund::N,киска,qimmeq
182,Katze::N,псака,puisaaq
183,Bär::N,овто,allaq
184,Eichhörnchen::N,ур,sissinnguaq
185,Elch::N,сярдо,
186,Fuchs::N,ривезь,terianniaq
187,Hase::N,нумоло,ukaleq
188,Maus::N,чеерь,teriannguaq
189,Wolf::N,верьгиз,amaroq
190,Vogel::N,нармунь,timmiaq
191,Schwarm::N,полк,
192,Schwarm::N,стада,
193,Huhn::N,сараз,kukkukooq
194,Huhn::N,сараз,marloraaqaaq
195,Hahn::N,атякш,kiasiusaq
196,Gans::N,гала,nerleq
197,Gans::N,мацей,nerleq
198,Adler::N,куцькан,nattoralik
199,Adler::N,тумоатякш,nattoralik
200,Ente::N,яксярго,
201,Eule::N,корж,uppik
202,Kranich::N,карго,qorlorfik
203,Krähe::N,варака,tuluatsiaq
204,Kuckuck::N,куко,kukkooq
205,Schwan::N,локсей,qussuk
206,Fisch::N,кал,aalisagaq
207,Barsch::N,окунь,
208,Hecht::N,щука,
209,Schlange[Tier]::N,гуй,pulateriarsuk
210,Schlange[Tier]::N,гуй,pulateriaarsuk
211,Wurm::N,сукс,
212,Spinne::N,шанжав,aasiaq
213,Spinne::N,шанжав,nissavaarsuk
214,Ameise::N,коткудав,uniaaluk
215,Laus::N,сий,kumak
216,Mücke::N,сеське,ippernaq
217,Fliege::N,карво,ippernaq
218,Schmetterling::N,нимиляв,paluaq
219,Schmetterling::N,нимиляв,pakkaluaq
220,Schmetterling::N,нимиляв,utsuppaluaq
221,Schmetterling::N,нимиляв,taqaleqisaaq
222,Beere::N,умарь,paarmaq
223,Beere::N,умарь,paarngaq
224,Apfel::N,умарь,iipili
225,Pilz::N,панго,anngiusaq
226,Zwiebel::N,чурька,uanitsoq
227,Saat::N,видьметь,naatsiiassaq
228,Korn::N,сюро,maannineq
229,Heu::N,тикше,
230,Schale::N,кедь,niutsivik
231,Schale::N,кедь,ilulissaq qaartussaq
232,Schale::N,ваткавкс,niutsivik
233,Schale::N,ваткавкс,ilulissaq qaartussaq
234,Grube::N,латко,itersaq
235,Falle::N,тувор,pualavoq
236,Falle::N,кундамка,pualavoq
237,Schlinge::N,килькш,orseq
238,Schlinge::N,килькш,norloq
239,Spur::N,челькс,tumaa
240,Spur::N,пильгеки,tumaa
241,Asche::N,кулов,arsat
242,Dreck::N,рудаз,minguk
243,Eisen::N,кшни,savimineq
244,Eisen::N,кшни,saffiugassaq
245,Gold::N,сырне,kuulti
246,Silber::N,сия,siilviuvoq
247,Kohle::N,сэдь,aamarsuit aamaruutissat
248,Kohle::N,уголия,aamarsuit aamaruutissat
249,Glas::N,сулика,igalaaq
250,Glas::N,сулика,imertarfik
251,Glas::N,сулика,igalaamineq
252,Lehm::N,сёвонь,marraq
253,Sand::N,човар,sioqqat
254,Mensch::N,ломань,inuk
255,Mensch::N,ломань,silamiu
256,Mann::N,аля,angut
257,Mann::N,цёраломань,angut
258,Frau::N,ава,arnaq
259,Kind::N,эйкакш,meeraq
260,Junge::N,цёрыне,nukappiaraq
261,Mädchen::N,тейтерне,arnannguaq
262,Familie::N,семия,ilaqutakka
263,Familie::N,семия,ilaqutariit
264,Großvater::N,покштя,aatak
265,Großmutter::N,баба,aanaq
266,Eltern::N,тетят-ават,angajoqqaat
267,Vater::N,тетя,ataata
268,Vater::N,тетя,ataataq
269,Mutter::N,ава,anaana
270,Sohn::N,цёра,erneq
271,Tochter::N,тейтерь,panik
272,Bruder::N,леля,ani
273,Bruder::N,леля,aqqaluk
274,Bruder::N,леля,qatanngut
275,Bruder::N,ялакс,ani
276,Bruder::N,ялакс,aqqaluk
277,Bruder::N,ялакс,qatanngut
278,Schwester::N,сазор,naja
279,Schwester::N,сазор,aleqa
280,Schwester::N,сазор,qatanngut
281,Onkel::N,леля,akkak
282,Tante::N,патя,aja
283,Tante::N,патя,ajak
284,Tante::N,патя,atsak
285,Ehemann::N,мирде,ui
286,Ehefrau::N,ни,nuliaq
287,Freude::N,кеняркс,tipaatsussuseq
288,Gelächter::N,ракамо,illaq
289,Gelächter::N,пейдема,illaq
290,Glück::N,уцяска,usornaat
291,Glück::N,уцяска,usornarsuseq
292,Kummer::N,рискс,
293,Kummer::N,мелявкс,
294,Wunsch::N,мель,kissaat
295,Wunsch::N,бажамо,kissaat
296,Lust::N,бажамо,illigussuseq
297,Lust::N,бажамо,piummaseq
298,Geist::N,ойме,anerneq
299,Geist::N,ойме,toornaq
300,Gedanke::N,мель,isumassaq
301,Gedächtnis::N,мель,eqqaamannissuseq
302,Verstand::N,прев,isuma
303,Verstand::N,прев,sianissut
304,Verstand::N,прев,misigissut
305,Verstand::N,прев,sianissuseq
306,Verstand::N,прев,silaqassuseq
307,Sinn::N,толк,isuma
308,Sinn::N,смысла,isuma
309,Grund::N,тувтал,patsit
310,Wahrheit::N,видечи,sallusuissut
311,Gespräch::N,кортнема,
312,Märchen::N,ёвкс,oqalualaarut
313,Märchen::N,ёвкс,oqaluasaaq
314,Erzählung::N,ёвтнема,oqaluttuaq
315,Nachricht::N,куля,oqaassut
316,Nachricht::N,куля,oqqersuut
317,Neuigkeit::N,куля,tusarnartaq
318,Name::N,лем,ateq
319,Rätsel::N,содамоёвкс,nalorsitsaarut
320,Rede::N,кортамо,oqaluuseq
321,Sprache::N,кель,oqaatsit
322,Stimme::N,ваигель,erinaq
323,Stimme::N,ваигель,qarluuseq
324,Wort::N,вал,oqaasii
325,Zeichen::N,теште,nalunaaqqut
326,Ruf::N,тердема,qaaqqussut
327,Lärm::N,шалнома,perpaluk
