,Concept_ID,sah,lbe
0,Auge::N,харах,я
1,Ohr::N,кулгаах,вичӏи
2,Nase::N,мурун,май
3,Mund::N,айах,кьацӏ
4,Zahn::N,тиис,ккарччи
5,Zunge::N,тыл,маз
6,Lippe::N,уос,мурччи
7,Wange::N,иэдэс,чӏав
8,Gesicht::N,сирэй,лажин
9,Stirn::N,сүүс,ненттабакӏ
10,Haar::N,баттах,чӏара
11,Schnurrbart::N,уос бытыга,ссирссилтту
12,Bart::N,сэҥийэ бытыга,чӏири
13,Kinn::N,сэҥийэ,лунттубакӏ
14,Kiefer[Anatomie]::N,сыҥаах,ххинчулул
15,Kehle::N,тамах,кьакьари
16,Kehle::N,күөмэй,кьакьари
17,Hals::N,моой,ссурссу
18,Genick::N,кэтэх,махъабакӏ
19,Kopf::N,бас,бакӏ
20,Rücken::N,көҕүс,ттиликӏ
21,Bauch::N,ис,лякьа
22,Nabel::N,киин,цӏумуккутӏ
23,Busen::N,эмиий,ккукку
24,Brust::N,түөс,хъазам
25,Schulter::N,сарын,хъачӏ
26,Arm::N,илии,ка
27,Ellenbogen::N,тоҕонох,ссюрхъ
28,Hand::N,илии,бартка
29,Handfläche::N,ытыс,хъат
30,Handfläche::N,ытыс,битӏянхъ
31,Finger::N,тарбах,кӏисса
32,Fingernagel::N,тыҥырах,михь
33,Nagel[Anatomie]::N,тыҥырах,михь
34,Zeh::N,тарбах,кӏисса
35,Fuß::N,уллуҥах,чӏанччан
36,Ferse::N,тилэх,никъа
37,Knie::N,тобук,ник
38,Knie::N,дьилбэк,ник
39,Oberschenkel::N,уллук,жира
40,Oberschenkel::N,өттүк,жира
41,Bein::N,атах,ччан
42,Körper::N,бэйэ,чурх
43,Haut::N,тирии,бурчу
44,Blut::N,хаан,оь
45,Ader::N,вена,тунну
46,Ader::N,күөх_тымыр,тунну
47,Sehne::N,иҥиир,хьхьа
48,Knochen::N,уҥуох,ттаркӏ
49,Knochen::N,уҥгуох,ттаркӏ
50,Gehirn::N,мэйии,ня
51,Herz::N,сүрэх,дакӏ
52,Herz::N,сүрэх,къюкӏ
53,Magen::N,куртах,лякьа
54,Leber::N,быар,
55,Atem::N,тыын,ссихӏ ласаву
56,Atem::N,тыын,ссихӏ бигьаву
57,Hunger::N,аас,ккаши
58,Träne::N,харах уута,макь
59,Geschmack::N,амтан,тӏин
60,Geschmack::N,амтан,тӏааьн
61,Geruch::N,сыт,кьанкь
62,Schlaf::N,утуйуу,шану
63,Traum::N,түүл,макӏру
64,Himmel::N,халлаан,ссав
65,Sonne::N,күн,баргъ
66,Mond::N,ый,барз
67,Stern::N,сулус,цӏуку
68,Luft::N,салгын,гьава
69,Wind::N,тыал,марч
70,Welle::N,долгун,щатӏи
71,Welle::N,балхаан,щатӏи
72,Wasser::N,уу,щин
73,Stein::N,таас,чару
74,Boden::N,сир,аьрщи
75,Erde::N,буор,аьрщи
76,Staub::N,быыл,ххит
77,Rauch::N,буруо,пуркӏу
78,Funke::N,кыым,пиягь
79,Feuer::N,уот,цӏу
80,Licht::N,уот,чани
81,Schatten::N,күлүк,ххют
82,Wetter::N,күн-дьыл,гьава
83,Nebel::N,туман,шархь ттурлу
84,Wolke::N,былыт,ттурлу
85,Regen::N,самыыр,гъарал
86,Schnee::N,хаар,марххала
87,Eis::N,муус,микӏ
88,Frost::N,тымныы,дяркъу
89,Frost::N,тымныы,замгьар
90,Kälte::N,тымныы,дяркъу
91,Hitze::N,куйаас,кӏиришиву
92,Raureif::N,кырыа,сил
93,Raureif::N,кырыа,бурса
94,Regenbogen::N,кустук,ссурул ккуртта
95,Donner::N,этиҥ,къув
96,Strömung::N,сүүрүк,экьинанаву
97,Tropfen::N,таммах,кӏунтӏ
98,Tropfen::N,хааппыла,кӏунтӏ
99,Schaum::N,күүгэн,хьама
100,Schmutz::N,кир,кьяркьи
101,See::N,күөл,бяр
102,Sumpf::N,бадараан,кунцӏа
103,Moor::N,дьэбэрэ,
104,Wiese::N,ходуһа,кьан
105,Wald::N,ойуур,вацӏа
106,Hügel::N,булгунньах,бакӏу
107,Anhöhe::N,үрдэл,
108,Berg::N,хайа,зунтту
109,Gipfel::N,чыпчаал,мицӏ
110,Höhle::N,хайа_хаспаҕа,нух
111,Höhle::N,көҥүс,нух
112,Abhang::N,эниэ,сун
113,Quelle::N,дьүүктэ,дайдихьу
114,Quelle::N,дьүүктэ,бакӏ
115,Bach::N,үрүйэ,чӏрир нех
116,Fluss::N,өрүс,нех
117,Ufer::N,биэрэк,зума
118,Küste::N,кытыл,зумаинхалу
119,Küste::N,кытыл,зуманицӏалу
120,Festland::N,кураанах сир,кьири
121,Meer::N,муора,хьхьири
122,Bucht::N,хомо,
123,Bucht::N,бухта,
124,Insel::N,арыы,жазира
125,Blume::N,сибэкки,тӏутӏи
126,Gras::N,от,уртту
127,Wurzel::N,силис,мархха
128,Baum::N,мас,мурхь
129,Stamm::N,умнас,ттарцӏ
130,Rinde::N,хатырык,ккамара
131,Ast::N,мутук,матӏи
132,Zweig::N,лабаа,къяртта
133,Blatt::N,сэбирдэх,чӏапӏи
134,Birke::N,хатыҥ,кӏялахӏи
135,Birke::N,хатыҥ,кӏялахӏилул мурхь
136,Kiefer[Baum]::N,бэс,ттар
137,Kiefer[Baum]::N,бэс,ттарлил мурхь
138,Weide[Baum]::N,үөт,щавщи
139,Weide[Baum]::N,талах,щавщи
140,Tanne::N,харыйа,ттарлил мурхь
141,Horn::N,муос,хъи
142,Feder::N,куорсун,лелуххул тӏиму
143,Fell::N,тирии,бурчу
144,Flügel::N,кынат,хъа
145,Flügel::N,кынат,ххурупӏайрал тӏиму
146,Klaue::N,тыҥырах,михь
147,Kralle::N,баппаҕай,ххяппа
148,Schwanz::N,кутурук,магъ
149,Ei::N,сымыыт,ккунук
150,Nest::N,уйа,кюру
151,Bau::N,хороон,цукъуккутӏ
152,Tier::N,кыыл,хӏайван
153,Tier::N,харамай,хӏайван
154,Herde::N,үөр,газу
155,Kuh::N,ынах,оьл
156,Bulle::N,оҕус,ниц
157,Pferd::N,сылгы,чу
158,Schaf::N,овца,тта
159,Schwein::N,сибиинньэ,дунгъуз
160,Hund::N,ыт,ккаччи
161,Katze::N,куоска,ччиту
162,Bär::N,эһэ,цуша
163,Eichhörnchen::N,тииҥ,бюрхттукку
164,Elch::N,тайах,ниц-бюрин
165,Fuchs::N,саһыл,цулчӏа
166,Fuchs::N,саһыл,куча цулчӏа
167,Hase::N,куобах,бюрх
168,Maus::N,кутуйах,кӏулу
169,Wolf::N,бөрө,барцӏ
170,Vogel::N,көтөр,лелуххи
171,Schwarm::N,бөлөх,гьухъала
172,Huhn::N,куурусса,аьнакӏи
173,Hahn::N,бөтүүк,ажари
174,Gans::N,хаас,къаз
175,Adler::N,хотой,барзу
176,Ente::N,кус,урдак
177,Eule::N,мэкчиргэ,ису
178,Eule::N,мэкчиргэ,ччиккумяв
179,Kranich::N,туруйа,кьурукь
180,Krähe::N,тураах,хъатӏу
181,Kuckuck::N,кэҕэ,ччикку
182,Schwan::N,куба,урттил къаз
183,Fisch::N,балык,чавахъ
184,Barsch::N,алыһар,
185,Hecht::N,сордон,
186,Schlange[Tier]::N,моҕой,шатта
187,Schlange[Tier]::N,эриэн үөн,шатта
188,Wurm::N,үөн,кьюнукьай шатта
189,Spinne::N,ооҕуй,ххялцу
190,Ameise::N,кымырдаҕас,митӏикьукьу
191,Laus::N,быт,
192,Mücke::N,кумаар,мичӏак
193,Fliege::N,сахсырҕа,зимиз
194,Schmetterling::N,лыах,чӏимучӏали
195,Schmetterling::N,үрүмэччи,чӏимучӏали
