,Concept_ID,pt,ja
0,Auge::N,olho,目
1,Ohr::N,orelha,耳
2,Nase::N,nariz,鼻
3,Mund::N,boca,口
4,Zahn::N,dente,歯
5,Zunge::N,língua,舌
6,Lippe::N,lábio,唇
7,Wange::N,face,頬
8,Gesicht::N,cara,顔
9,Gesicht::N,rosto,顔
10,Stirn::N,testa,額
11,Haar::N,cabelo,髪
12,Schnurrbart::N,bigode,口髭
13,Bart::N,barba,髭
14,Kinn::N,queixo,顎
15,Kiefer[Anatomie]::N,maxila,顎
16,Kiefer[Anatomie]::N,mandíbula,顎
17,Kehle::N,garganta,喉
18,Hals::N,colo,首
19,Hals::N,pescoço,首
20,Genick::N,nuca,首
21,Kopf::N,cabeça,頭
22,Rücken::N,dorso,背中
23,Rücken::N,costas,背中
24,Bauch::N,ventre,腹
25,Bauch::N,ventre,お腹
26,Bauch::N,barriga,腹
27,Bauch::N,barriga,お腹
28,Nabel::N,umbigo,へそ
29,Busen::N,seio,乳房
30,Brust::N,peito,胸
31,Schulter::N,ombro,肩
32,Arm::N,braço,腕
33,Ellenbogen::N,cotovelo,肘
34,Hand::N,mão,手
35,Handfläche::N,palma,手のひら
36,Handfläche::N,palma da mão,手のひら
37,Finger::N,dedo,指
38,Fingernagel::N,unha,爪
39,Nagel[Anatomie]::N,unha,爪
40,Zeh::N,dedo do pé,足の指
41,Fuß::N,pé,足
42,Ferse::N,calcanhar,かかと
43,Knie::N,joelho,膝
44,Oberschenkel::N,coxa,上腿
45,Bein::N,perna,足
46,Körper::N,corpo,体
47,Haut::N,pele,皮膚
48,Blut::N,sangue,血
49,Ader::N,veia,血管
50,Sehne::N,tendão,腱
51,Knochen::N,osso,骨
52,Gehirn::N,cérebro,脳
53,Herz::N,coração,心
54,Herz::N,coração,心臓
55,Magen::N,estômago,胃
56,Leber::N,fígado,肝臓
57,Atem::N,fôlego,息
58,Atem::N,fôlego,呼吸
59,Hunger::N,fome,空腹
60,Träne::N,lágrima,涙
61,Geschmack::N,gosto,味
62,Geruch::N,odor,匂い
63,Geruch::N,cheiro,匂い
64,Schlaf::N,sono,睡眠
65,Traum::N,sonho,夢
66,Himmel::N,céu,空
67,Sonne::N,sol,太陽
68,Mond::N,lua,月
69,Stern::N,estrela,星
70,Luft::N,ar,空気
71,Wind::N,vento,風
72,Welle::N,onda,波
73,Wasser::N,água,水
74,Stein::N,pedra,石
75,Boden::N,solo,土地
76,Erde::N,terra,土
77,Staub::N,pó,埃
78,Rauch::N,fumo,煙
79,Funke::N,faísca,火花
80,Funke::N,centelha,火花
81,Feuer::N,fogo,火
82,Licht::N,luz,光
83,Schatten::N,sombra,陰
84,Wetter::N,tempo,天気
85,Nebel::N,nevoeiro,霧
86,Wolke::N,nuvem,雲
87,Regen::N,chuva,雨
88,Schnee::N,neve,雪
89,Eis::N,gelo,氷
90,Frost::N,gelo,霜
91,Frost::N,geada,霜
92,Kälte::N,frio,寒さ
93,Hitze::N,ardor,暑さ
94,Raureif::N,geada,霧氷
95,Regenbogen::N,arco-iris,虹
96,Donner::N,trovão,雷
97,Strömung::N,corrente,流れ
98,Tropfen::N,gota,滴
99,Schaum::N,espuma,泡
100,Schmutz::N,sujidade,汚れ
101,Schmutz::N,imundície,汚れ
102,See::N,lago,湖
103,Sumpf::N,charco,沼
104,Sumpf::N,pântano,沼
105,Moor::N,pântano,湿原
106,Wiese::N,prado,草原
107,Wald::N,bosque,森
108,Wald::N,floresta,森
