,Concept_ID,lt,et
0,Auge::N,akis,silm
1,Ohr::N,ausis,kõrv
2,Nase::N,nosis,nina
3,Mund::N,burna,suu
4,Zahn::N,dantis,hammas
5,Zunge::N,liežuvis,keel
6,Lippe::N,lūpa,huul
7,Wange::N,žandas,põsk
8,Wange::N,skruostas,põsk
9,Gesicht::N,veidas,nägu
10,Stirn::N,kakta,otsmik
11,Haar::N,plaukai,juus
12,Schnurrbart::N,ūsai,vurrud
13,Schnurrbart::N,ūsai,vuntsid
14,Bart::N,barzda,habe
15,Kinn::N,smakras,lõug
16,Kiefer[Anatomie]::N,žandikaulis,lõualuu
17,Kehle::N,gerklė,kõri
18,Hals::N,kaklas,kael
19,Genick::N,sprandas,kukal
20,Kopf::N,galva,pea
21,Rücken::N,nugara,selg
22,Bauch::N,pilvas,kõht
23,Nabel::N,bamba,naba
24,Busen::N,krūtinė,rind
25,Brust::N,krūtis,rind
26,Schulter::N,petys,õlg
27,Arm::N,ranka,käsivars
28,Ellenbogen::N,alkūnė,küünarnukk
29,Hand::N,ranka,käsi
30,Hand::N,plaštaka,käsi
31,Handfläche::N,delnas,pihk
32,Handfläche::N,plaštaka,pihk
33,Finger::N,pirštas,sõrm
34,Fingernagel::N,nagas,küüs
35,Nagel[Anatomie]::N,nagas,küüs
36,Zeh::N,pirštas,varvas
37,Fuß::N,pėda,jalg
38,Ferse::N,kulnas,kand
39,Knie::N,kelis,põlv
40,Oberschenkel::N,kulšis,reis
41,Oberschenkel::N,šlaunis,reis
42,Bein::N,koja,jalg
43,Körper::N,kūnas,ihu
44,Körper::N,kūnas,keha
45,Haut::N,oda,nahk
46,Blut::N,kraujas,veri
47,Ader::N,kraujagyslė,veen
48,Sehne::N,sausgyslė,kõõlus
49,Knochen::N,kaulas,luu
50,Gehirn::N,smegenys,aju
51,Herz::N,širdis,süda
52,Magen::N,skrandis,magu
53,Leber::N,kepenys,maks
54,Atem::N,kvapas,hingeõhk
55,Atem::N,kvapas,hingamine
56,Hunger::N,badas,nälg
57,Hunger::N,alkis,nälg
58,Träne::N,ašara,pisar
59,Geschmack::N,skonis,maitse
60,Geruch::N,kvapas,lõhn
61,Schlaf::N,miegas,uni
62,Traum::N,sapnas,unenägu
63,Himmel::N,dangus,taevas
64,Sonne::N,saulė,päike
65,Mond::N,mėnulis,kuu
66,Stern::N,žvaigždė,täht
67,Luft::N,oras,õhk
68,Wind::N,vėjas,tuul
69,Welle::N,banga,laine
70,Welle::N,vilnis,laine
71,Wasser::N,vanduo,vesi
72,Stein::N,akmuo,kivi
73,Boden::N,žemė,maa
74,Boden::N,žemė,pinnas
75,Boden::N,dugnas,maa
76,Boden::N,dugnas,pinnas
77,Erde::N,žemė,maa
78,Staub::N,dulkės,põrm
79,Rauch::N,dūmai,suits
80,Funke::N,kibirkštis,säde
81,Feuer::N,ugnis,tuli
82,Licht::N,šviesa,valgus
83,Schatten::N,paūksmė,vari
84,Wetter::N,oras,ilm
85,Nebel::N,migla,udu
86,Nebel::N,rūkas,udu
87,Wolke::N,debesis,pilv
88,Regen::N,lietus,sadu
89,Schnee::N,sniegas,lumi
90,Eis::N,ledas,jää
91,Frost::N,šalna,pakane
92,Kälte::N,šaltis,külm
93,Kälte::N,šaltis,külmus
94,Hitze::N,karštis,kuumus
95,Hitze::N,karštis,palavus
96,Raureif::N,šerkšnas,härmatis
97,Regenbogen::N,vaivorykštė,vikerkaar
98,Donner::N,perkūnas,kõu
99,Donner::N,perkūnas,müristamine
100,Donner::N,griaustinis,kõu
101,Donner::N,griaustinis,müristamine
102,Strömung::N,tėkmė,voolus
103,Strömung::N,tėkmė,jõevool
104,Tropfen::N,lašas,tilk
105,Schaum::N,putos,vaht
106,Schmutz::N,purvas,pori
107,Schmutz::N,purvas,mustus
108,See::N,ežeras,järv
109,Sumpf::N,klampynė,soo
110,Sumpf::N,liūnas,soo
111,Moor::N,pelkė,raba
112,Wiese::N,pieva,aas
113,Wiese::N,pieva,nurm
114,Wald::N,miškas,mets
115,Hügel::N,kalva,küngas
116,Anhöhe::N,kauburys,küngas
117,Berg::N,kalnas,mägi
118,Gipfel::N,viršūnė,mäetipp
119,Höhle::N,ola,koobas
120,Abhang::N,šlaitas,nõlvak
121,Abhang::N,nuokalnė,nõlvak
122,Quelle::N,versmė,allikas
123,Quelle::N,šaltinis,allikas
124,Bach::N,upelis,oja
125,Fluss::N,upė,jõgi
126,Ufer::N,krantas,kallas
127,Küste::N,pajūris,rannik
128,Festland::N,sausuma,mander
129,Festland::N,sausuma,maismaa
130,Meer::N,jūra,meri
131,Bucht::N,įlanka,laht
132,Bucht::N,užutekis,laht
133,Insel::N,sala,saar
134,Blume::N,gėlė,lill
135,Gras::N,žolė,rohi
136,Wurzel::N,šaknis,juur
137,Baum::N,medis,puu
138,Stamm::N,kamienas,tüvi
139,Rinde::N,žievė,koor
140,Ast::N,šaka,oks
141,Zweig::N,šakelė,oks
142,Blatt::N,lapas,leht
143,Birke::N,beržas,kask
144,Kiefer[Baum]::N,pušis,mänd
145,Weide[Baum]::N,karklas,paju
146,Tanne::N,eglė,nulg
147,Tanne::N,kėnis,nulg
148,Horn::N,ragas,sarv
149,Feder::N,plunksna,sulg
150,Fell::N,kailis,karvkate
151,Fell::N,kailis,karusnahk
152,Flügel::N,sparnas,tiib
153,Flügel::N,sparnas,tiivik
154,Klaue::N,kanopa,küüs
155,Kralle::N,nagas,küünis
156,Schwanz::N,uodega,saba
157,Ei::N,kiaušinis,muna
158,Nest::N,gūžta,pesa
159,Nest::N,lizdas,pesa
160,Bau::N,ola,urg
161,Tier::N,gyvūnas,loom
162,Herde::N,banda,kari
163,Herde::N,kaimenė,kari
164,Kuh::N,karvė,lehm
165,Bulle::N,bulius,pull
166,Pferd::N,arklys,hobune
167,Schaf::N,avis,lammas
168,Schwein::N,kiaulė,siga
169,Hund::N,šuo,koer
170,Katze::N,katė,kass
171,Bär::N,lokys,karu
172,Eichhörnchen::N,voveraitė,orav
173,Elch::N,briedis,põder
174,Fuchs::N,lapė,rebane
175,Hase::N,kiškas,jänes
176,Maus::N,pelė,hiir
177,Wolf::N,vilkas,hunt
178,Vogel::N,paukštis,lind
179,Schwarm::N,spiečius,parv
180,Huhn::N,višta,kana
181,Hahn::N,gaidys,kukk
182,Gans::N,žąsis,hani
183,Adler::N,erelis,kotkas
184,Ente::N,antis,part
185,Eule::N,pelėda,kakk
186,Eule::N,pelėda,öökull
187,Kranich::N,gervė,kurg
188,Krähe::N,varna,vares
189,Kuckuck::N,gegužė,kägu
190,Schwan::N,gulbė,luik
191,Fisch::N,žuvis,kala
192,Barsch::N,ešerys,ahven
193,Hecht::N,lydeka,haug
194,Schlange[Tier]::N,gyvatė,uss
195,Wurm::N,kirmėlė,uss
196,Wurm::N,kirmėlė,vagel
197,Spinne::N,voras,ämblik
198,Ameise::N,skruzdė,sipelgas
199,Laus::N,utėlė,täi
200,Mücke::N,uodas,sääsk
201,Fliege::N,musė,kärbes
202,Schmetterling::N,drugys,liblikas
203,Schmetterling::N,peteliškė,liblikas
204,Beere::N,uoga,mari
205,Apfel::N,obuolys,õun
206,Pilz::N,grybas,seen
207,Zwiebel::N,svogūnas,sibul
208,Saat::N,sėkla,seeme
209,Korn::N,grūdai,iva
210,Korn::N,grūdai,tera
211,Heu::N,šienas,hein
212,Schale::N,žievelė,koor
213,Grube::N,duobė,kaevand
214,Falle::N,pinklės,lõks
215,Falle::N,pinklės,püünis
216,Falle::N,žabangai,lõks
217,Falle::N,žabangai,püünis
218,Schlinge::N,kilpa,aas
219,Spur::N,vėžė,jälg
220,Spur::N,pėdos,jälg
221,Spur::N,pėdsakas,jälg
222,Asche::N,pelenai,tuhk
223,Dreck::N,purvas,saast
224,Dreck::N,purvas,mustus
225,Eisen::N,geležis,raud
226,Gold::N,auksas,kuld
227,Silber::N,sidabras,hõbe
228,Kohle::N,anglis,süsi
229,Glas::N,stiklas,klaas
230,Lehm::N,molis,savi
231,Sand::N,smėlis,liiv
232,Mensch::N,žmogus,inimene
233,Mann::N,vyras,mees
234,Mann::N,vyriškis,mees
235,Frau::N,moteris,naine
236,Kind::N,vaikas,laps
237,Junge::N,vaikinas,poiss
238,Junge::N,berniukas,poiss
239,Mädchen::N,mergytė,tüdruk
240,Mädchen::N,mergaitė,tüdruk
241,Familie::N,šeima,perekond
242,Großvater::N,senelis,vanaisa
243,Großmutter::N,senelė,vanaema
244,Eltern::N,tėvai,vanemad
245,Vater::N,tėvas,isa
246,Mutter::N,motina,ema
247,Sohn::N,sūnus,poeg
248,Tochter::N,duktė,tütar
249,Bruder::N,brolis,vend
250,Schwester::N,sesuo,õde
251,Onkel::N,dėdė,onu
252,Tante::N,teta,tädi
253,Ehemann::N,vyras,mees
254,Ehemann::N,vyras,abikaasa
255,Ehefrau::N,žmona,naine
256,Ehefrau::N,žmona,abikaasa
257,Freude::N,džiaugsmas,rõõm
258,Gelächter::N,juokas,naer
259,Glück::N,laimė,õnn
260,Kummer::N,vargas,mure
261,Kummer::N,vargas,kurbus
262,Kummer::N,rūpestis,mure
263,Kummer::N,rūpestis,kurbus
264,Wunsch::N,troškimas,soov
265,Wunsch::N,pageidavimas,soov
266,Lust::N,noras,himu
267,Lust::N,geidulys,himu
268,Geist::N,dvasia,vaim
269,Gedanke::N,mintis,mõte
270,Gedächtnis::N,atmintis,mälu
271,Verstand::N,protas,aru
272,Verstand::N,protas,mõistus
273,Sinn::N,prasmė,tähendus
274,Grund::N,priežastis,põhjus
275,Wahrheit::N,tiesa,tõde
276,Wahrheit::N,teisybė,tõde
277,Gespräch::N,pokalbis,kõne
278,Gespräch::N,pokalbis,vestlus
279,Märchen::N,pasaka,muinasjutt
280,Erzählung::N,apsakymas,jutustus
281,Erzählung::N,pasakojimas,jutustus
282,Nachricht::N,žinia,teade
283,Neuigkeit::N,naujiena,uudis
284,Name::N,vardas,nimi
285,Rätsel::N,mįslė,mõistatus
286,Rede::N,kalba,kõne
287,Sprache::N,kalba,keel
288,Stimme::N,balsas,hääl
289,Wort::N,žodis,sõna
290,Zeichen::N,žymė,märk
291,Zeichen::N,ženklas,märk
292,Ruf::N,šauksmas,hüüe
293,Lärm::N,triukšmas,müra
294,Laut::N,garsas,hääl
295,Ton::N,tonas,toon
296,Ton::N,garsas,toon
297,Lied::N,daina,laul
298,Lied::N,giesmė,laul
299,Ruhe::N,ramybė,rahu
300,Ruhe::N,ramybė,vaikus
301,Ruhe::N,ramumas,rahu
302,Ruhe::N,ramumas,vaikus
303,Leute::N,žmonės,inimesed
304,Volk::N,tauta,rahvas
305,Arbeit::N,darbas,töö
306,Arbeit::N,triūsas,töö
307,Gast::N,svečias,külaline
308,Geschenk::N,dovana,kingitus
309,Spiel::N,žaismas,mäng
310,Spiel::N,žaidimas,mäng
311,Gesellschaft::N,draugija,selts
312,Gesellschaft::N,kompanija,selts
313,Hilfe::N,pagalba,abi
314,Freund::N,draugas,sõber
315,Freund::N,bičiulis,sõber
316,Kamerad::N,draugas,sõber
317,Angelegenheit::N,dalykas,asi
318,Angelegenheit::N,reikalas,asi
319,Anzahl::N,kiekis,arv
320,Anzahl::N,kiekis,hulk
321,Anzahl::N,skaičius,arv
322,Anzahl::N,skaičius,hulk
323,Art::N,rūšis,liik
324,Stück::N,gabalas,tükk
325,Teil::N,dalis,osa
326,Hälfte::N,pusė,pool
327,Kreis::N,ratas,ring
328,Kreis::N,apskritis,ring
329,Kreis::N,apskritimas,ring
330,Kreuz::N,kryžius,rist
331,Linie::N,linija,joon
332,Strich::N,brėžis,joon
333,Strich::N,brūkšnys,joon
334,Abstand::N,atstumas,vahe
335,Entfernung::N,atstumas,kaugus
336,Entfernung::N,atstumas,vahemaa
337,Gegend::N,vietovė,ümbrus
338,Platz::N,vieta,ruum
339,Ort::N,vieta,paik
340,Ort::N,vietovė,paik
341,Seite::N,pusė,pool
342,Seite::N,šonas,pool
343,Mitte::N,vidurys,keskpaik
344,Gegenstand::N,dalykas,ese
345,Sache::N,daiktas,ese
346,Rand::N,kraštas,äär
347,Rand::N,kraštas,serv
348,Rand::N,pakraštys,äär
