,Concept_ID,hr,ko
0,Auge::N,oko,눈
1,Ohr::N,uho,귀
2,Nase::N,nos,코
3,Mund::N,usta,입
4,Zahn::N,zub,이
5,Zunge::N,jezik,혀
6,Lippe::N,usna,입술
7,Wange::N,obraz,뺨
8,Gesicht::N,lice,얼굴
9,Stirn::N,čelo,이마
10,Haar::N,kosa,털
11,Schnurrbart::N,brkovi,윗수몀
12,Schnurrbart::N,brkovi,코밑수염
13,Bart::N,brada,수엄
14,Kinn::N,brada,아래턱
15,Kinn::N,podbradak,아래턱
16,Kiefer[Anatomie]::N,čeljust,턱
17,Kehle::N,grlo,인후
18,Hals::N,vrat,목
19,Genick::N,zatiljak,먹덜이
20,Kopf::N,glava,머리
21,Rücken::N,leđa,든
22,Rücken::N,hrbat,든
23,Bauch::N,trbuh,배
24,Nabel::N,pupak,배꼽
25,Busen::N,sisa,가슴속
26,Busen::N,njedra,가슴속
27,Brust::N,prsa,가슴
28,Schulter::N,rame,어깨
29,Schulter::N,pleći,어깨
30,Arm::N,ruka,팔
31,Ellenbogen::N,lakat,팔쿰치
32,Hand::N,ruka,손
33,Handfläche::N,dlan,손바닥
34,Finger::N,prst,속가락
35,Fingernagel::N,nokat,손톱
36,Nagel[Anatomie]::N,nokat,손톱
37,Zeh::N,nozni prst,발가락
38,Fuß::N,noga,발
39,Fuß::N,stopalo,발
40,Ferse::N,peta,발꿈치
41,Knie::N,koljeno,무릎
42,Oberschenkel::N,bedro,허벅다리
43,Bein::N,noga,다리
44,Körper::N,tijelo,구간
45,Haut::N,put,살갗
46,Haut::N,koža,살갗
47,Blut::N,krv,피
48,Ader::N,žila,정맥
49,Sehne::N,tetiva,현
50,Knochen::N,kost,뼈
51,Herz::N,srce,염통
52,Magen::N,stomak,위
53,Magen::N,želudac,위
54,Leber::N,jetra,간
55,Atem::N,dah,기식
56,Hunger::N,glad,공복
57,Träne::N,suza,눈물
58,Geschmack::N,ukus,기호
59,Geruch::N,njuh,냄새
60,Geruch::N,miris,냄새
61,Schlaf::N,san,수면
62,Traum::N,san,쿰
63,Himmel::N,nebo,하늘
64,Sonne::N,sunce,해
65,Mond::N,mjesec,달
66,Stern::N,zvijezda,별
67,Luft::N,zrak,동준
68,Luft::N,zrak,가스채
69,Wind::N,vjetar,바람
70,Welle::N,val,물결
71,Welle::N,talas,물결
72,Wasser::N,voda,물
73,Stein::N,kamen,돌
74,Boden::N,tlo,바닥
75,Boden::N,zemlja,바닥
76,Erde::N,zemlja,흙
77,Staub::N,prah,먼지
78,Staub::N,prašina,먼지
79,Rauch::N,dim,연기
