,Concept_ID,is,cs
0,Auge::N,auga,oko
1,Ohr::N,eyra,ucho
2,Nase::N,nef,nos
3,Mund::N,munnur,pusa
4,Zahn::N,tönn,zub
5,Zunge::N,tunga,jazyk
6,Lippe::N,vör,ret
7,Wange::N,kinn,tvář
8,Wange::N,vangi,tvář
9,Gesicht::N,andlit,obličej
10,Stirn::N,enni,čelo
11,Haar::N,hár,vlas
12,Haar::N,hár,vlasy
13,Schnurrbart::N,yfirskegg,kníry
14,Bart::N,skegg,vousy
15,Kinn::N,haka,brada
16,Kiefer[Anatomie]::N,kjálki,čelist
17,Kiefer[Anatomie]::N,skoltur,čelist
18,Kehle::N,kverk,hrdlo
19,Hals::N,háls,krk
20,Genick::N,hnakki,týl
21,Kopf::N,höfuð,hlava
22,Rücken::N,hryggur,záda
23,Rücken::N,hryggur,hřbet
24,Bauch::N,kviður,břicho
25,Nabel::N,nafli,pupek
26,Busen::N,barmur,ňadra
27,Brust::N,brjóst,prsa
28,Schulter::N,öxl,plece
29,Schulter::N,öxl,rameno
30,Arm::N,armur,ruka
31,Ellenbogen::N,olnbogi,loket
32,Hand::N,hönd,ruka
33,Handfläche::N,lófi,dlaň
34,Finger::N,fingur,prst
35,Fingernagel::N,fingurnögl,nehet
36,Nagel[Anatomie]::N,nögl,nehet
37,Zeh::N,tá,prst u nohy
38,Fuß::N,fótur,noha
39,Ferse::N,hæll,pata
40,Knie::N,kné,koleno
41,Oberschenkel::N,læri,stehno
42,Bein::N,fótleggur,noha
43,Körper::N,búkur,tělo
44,Körper::N,líkami,tělo
45,Haut::N,húð,kůže
46,Haut::N,skinn,kůže
47,Blut::N,blóð,krev
48,Ader::N,æð,céva
49,Sehne::N,sin,šlacha
50,Knochen::N,bein,kost
51,Gehirn::N,heili,mozek
52,Herz::N,hjarta,srdce
53,Magen::N,magi,žaludek
54,Leber::N,lifur,játra
55,Atem::N,andi,dech
56,Atem::N,andardráttur,dech
57,Hunger::N,hungur,hlad
58,Träne::N,tár,slza
59,Geschmack::N,smekkur,vkus
60,Geruch::N,lykt,vůně
61,Geruch::N,lykt,zápach
62,Schlaf::N,svefn,spánek
63,Traum::N,draumur,sen
64,Himmel::N,himinn,nebe
65,Sonne::N,sól,slunce
66,Mond::N,tungl,měsíc
67,Stern::N,stjarna,hvězda
68,Luft::N,loft,vzduch
