,Concept_ID,ru,ps
0,Auge::N,глаз,سترګه
1,Ohr::N,ухо,غوږ
2,Nase::N,нос,پوزه
3,Mund::N,рот,خوله
4,Zahn::N,зуб,غاښ
5,Zunge::N,язык,جبه
6,Lippe::N,губа,شونډه
7,Wange::N,щека,باړخو
8,Gesicht::N,лицо,مخ
9,Stirn::N,лоб,تندی
10,Stirn::N,лоб,وچولی
11,Haar::N,волос,وېښته
12,Haar::N,волосы,وېښته
13,Schnurrbart::N,ус,برېت
14,Schnurrbart::N,усы,برېت
15,Bart::N,борода,ږیره
16,Kinn::N,подбородок,زنه
17,Kiefer[Anatomie]::N,челюсть,جامه
18,Kehle::N,горло,غاړه
19,Hals::N,шея,غاړه
20,Genick::N,затылок,ورمېږ
21,Kopf::N,голова,سر
22,Rücken::N,спина,شا
23,Bauch::N,живот,نس
24,Bauch::N,живот,ګېډه
25,Nabel::N,пупок,نوم
26,Busen::N,женская грудь,تی
27,Brust::N,грудь,سینه
28,Schulter::N,плечо,اوږه
29,Arm::N,рука,لاس
30,Ellenbogen::N,локоть,څنګل
31,Hand::N,кисть,لاس
32,Handfläche::N,ладонь,ورغوی
33,Finger::N,палец,ګوته
34,Fingernagel::N,ноготь,نوک
35,Nagel[Anatomie]::N,ноготь,نوک
36,Zeh::N,палец,ګوته
37,Fuß::N,ступня,پښه
38,Ferse::N,пята,پونده
39,Ferse::N,пятка,پونده
40,Knie::N,колено,زنګون
41,Oberschenkel::N,бедро,پتون
42,Bein::N,нога,پښه
43,Körper::N,тело,ځان
44,Haut::N,кожа,پوټکی
45,Blut::N,кровь,وینه
46,Ader::N,вена,رګ
47,Ader::N,сосуд,رګ
48,Sehne::N,жила,پله
49,Sehne::N,тетива,پله
50,Sehne::N,сухожилие,پله
51,Knochen::N,кость,هډوکی
52,Gehirn::N,мозг,ماغزه
53,Herz::N,сердце,زړه
54,Magen::N,желудок,معده
55,Leber::N,печень,ينه
56,Leber::N,печень,ځیګر
57,Atem::N,дух,نفس
58,Atem::N,дыхание,نفس
59,Hunger::N,голод,ولږه
60,Träne::N,слеза,اوښکه
61,Geschmack::N,вкус,مزه
62,Geschmack::N,вкус,خوند
63,Geruch::N,запах,بوی
64,Schlaf::N,сон,خوب
65,Traum::N,сновидение,خوب
66,Himmel::N,небо,اسمان
67,Sonne::N,солнце,لمر
68,Mond::N,луна,سپوږمۍ
69,Stern::N,звезда,ستوری
70,Luft::N,воздух,هوا
71,Wind::N,ветер,ورښ
72,Welle::N,волна,موج
73,Wasser::N,вода,اوبه
74,Stein::N,камень,ډبره
75,Boden::N,почва,مځکه
76,Erde::N,земля,خاوره
77,Staub::N,пыль,ګرد
78,Staub::N,пыль,خاوره
79,Rauch::N,дым,دود
80,Rauch::N,дым,لوګی
81,Funke::N,искра,سپرغۍ
82,Feuer::N,огонь,اور
83,Licht::N,свет,رڼا
84,Schatten::N,тень,سیوری
85,Wetter::N,погода,هوا
86,Nebel::N,туман,لړه
87,Wolke::N,облако,ورېځ
88,Regen::N,дождь,وریا
89,Regen::N,дождь,باران
90,Schnee::N,снег,واوره
91,Eis::N,лед,یخ
92,Eis::N,лед,کنګل
93,Frost::N,мороз,یخ
94,Kälte::N,холод,ساړه
95,Hitze::N,жара,تودوخي
96,Raureif::N,иней,سپینه پرخه
97,Regenbogen::N,радуга,بوډۍ ټال
98,Regenbogen::N,радуга,سره زرغونه
99,Donner::N,гром,تالنده
100,Strömung::N,течение,بهېدنه
