,Concept_ID,mdf,et
0,Auge::N,сельме,silm
1,Ohr::N,пиле,kõrv
2,Nase::N,шалхка,nina
3,Mund::N,курга,suu
4,Zahn::N,пей,hammas
5,Zunge::N,кяль,keel
6,Lippe::N,търва́,huul
7,Wange::N,щёка,põsk
8,Gesicht::N,шама,nägu
9,Stirn::N,коня,otsmik
10,Haar::N,шя́ярь,juus
11,Schnurrbart::N,уса́,vurrud
12,Schnurrbart::N,уса́,vuntsid
13,Bart::N,сакал,habe
14,Kinn::N,ула,lõug
15,Kiefer[Anatomie]::N,саласка,lõualuu
16,Kehle::N,кълдома,kõri
17,Kehle::N,кърга́парь,kõri
18,Hals::N,сялдаз,kael
19,Genick::N,шовонь,kukal
20,Kopf::N,пря,pea
21,Rücken::N,копорь,selg
22,Bauch::N,пеке,kõht
23,Nabel::N,по́кон,naba
24,Busen::N,потя,rind
25,Brust::N,мяште,rind
26,Schulter::N,лафту,õlg
27,Arm::N,кядь,käsivars
28,Ellenbogen::N,кенерьба́карь,küünarnukk
29,Hand::N,кядь,käsi
30,Handfläche::N,кядьлапш,pihk
31,Finger::N,сур,sõrm
32,Fingernagel::N,кенже,küüs
33,Nagel[Anatomie]::N,кенже,küüs
34,Zeh::N,пильгосу́р,varvas
35,Fuß::N,пильге,jalg
36,Fuß::N,пильгелапа,jalg
37,Ferse::N,кочкяря,kand
38,Knie::N,эль,põlv
39,Knie::N,пълма́нжа,põlv
40,Oberschenkel::N,пильгепукша,reis
41,Bein::N,пильге,jalg
42,Körper::N,ро́нга,ihu
43,Körper::N,ро́нга,keha
44,Körper::N,по́нда,ihu
45,Körper::N,по́нда,keha
46,Haut::N,киське,nahk
47,Blut::N,вер,veri
48,Ader::N,сан,veen
49,Ader::N,верза́н,veen
50,Sehne::N,коське сан,kõõlus
51,Knochen::N,пакарь,luu
52,Gehirn::N,уй,aju
53,Herz::N,седи,süda
54,Magen::N,коткърдазь,magu
55,Leber::N,макса,maks
56,Atem::N,лекома,hingeõhk
57,Atem::N,лекома,hingamine
58,Atem::N,ваймонь тарксема,hingeõhk
59,Atem::N,ваймонь тарксема,hingamine
60,Hunger::N,вачеши,nälg
61,Träne::N,сельмове́дь,pisar
62,Geschmack::N,таньф,maitse
63,Geruch::N,шине,lõhn
64,Schlaf::N,удома́,uni
65,Traum::N,он,unenägu
66,Himmel::N,менель,taevas
67,Sonne::N,ши,päike
68,Mond::N,ков,kuu
69,Stern::N,тяште,täht
70,Luft::N,кожф,õhk
71,Wind::N,варма,tuul
72,Welle::N,тавла,laine
73,Wasser::N,ведь,vesi
74,Stein::N,кев,kivi
75,Boden::N,мода,maa
76,Boden::N,мода,pinnas
77,Boden::N,потмакс,maa
78,Boden::N,потмакс,pinnas
79,Erde::N,мода,maa
80,Erde::N,мастор,maa
81,Staub::N,пуль,põrm
82,Rauch::N,качам,suits
83,Funke::N,ця́тка,säde
84,Feuer::N,тол,tuli
85,Licht::N,ва́лда,valgus
86,Schatten::N,цильф,vari
87,Wetter::N,уша,ilm
88,Nebel::N,тума́н,udu
89,Wolke::N,ковол,pilv
90,Regen::N,пизем,sadu
91,Schnee::N,лов,lumi
92,Eis::N,эй,jää
93,Frost::N,ке́льме,pakane
94,Kälte::N,якшама,külm
95,Kälte::N,якшама,külmus
96,Hitze::N,пси,kuumus
97,Hitze::N,пси,palavus
98,Raureif::N,леш,härmatis
99,Regenbogen::N,а́тямъёнга,vikerkaar
100,Donner::N,атям,kõu
101,Donner::N,атям,müristamine
102,Strömung::N,шудема́,voolus
103,Strömung::N,шудема́,jõevool
104,Tropfen::N,путькс,tilk
105,Tropfen::N,пътняфкс,tilk
106,Schaum::N,шов,vaht
107,Schmutz::N,ърда́з,pori
108,Schmutz::N,ърда́з,mustus
109,See::N,эрьхке,järv
110,Sumpf::N,шяй,soo
111,Moor::N,шяй,raba
112,Wiese::N,луга,aas
113,Wiese::N,луга,nurm
114,Wald::N,вирь,mets
115,Hügel::N,губо́р,küngas
116,Hügel::N,пандоня,küngas
117,Anhöhe::N,губо́р,küngas
118,Berg::N,панда,mägi
119,Gipfel::N,пря,mäetipp
120,Höhle::N,у́нда,koobas
121,Abhang::N,па́нда ша́ма,nõlvak
122,Quelle::N,эшиня,allikas
123,Bach::N,шудерькс,oja
124,Fluss::N,ляй,jõgi
125,Ufer::N,търва́,kallas
126,Küste::N,ляйтърва́,rannik
127,Festland::N,мода,mander
128,Festland::N,мода,maismaa
129,Meer::N,моря,meri
130,Bucht::N,ведьуське,laht
131,Insel::N,цёнга,saar
132,Blume::N,панчф,lill
133,Gras::N,тише,rohi
134,Wurzel::N,юр,juur
135,Wurzel::N,ункс,juur
136,Baum::N,шуфта,puu
137,Stamm::N,ро́нга,tüvi
138,Rinde::N,кер,koor
139,Ast::N,морга,oks
140,Zweig::N,тарад,oks
141,Blatt::N,лопа,leht
142,Birke::N,ке́лу,kask
143,Kiefer[Baum]::N,пиче,mänd
144,Weide[Baum]::N,каль,paju
145,Tanne::N,куз,nulg
146,Horn::N,сюра,sarv
147,Feder::N,толга,sulg
148,Fell::N,кедь,karvkate
149,Fell::N,кедь,karusnahk
150,Flügel::N,паця,tiib
151,Flügel::N,паця,tiivik
152,Klaue::N,кенже,küüs
153,Kralle::N,кенже,küünis
154,Schwanz::N,пула,saba
155,Ei::N,ал,muna
156,Nest::N,пиза,pesa
157,Bau::N,пиза,urg
158,Tier::N,жува́та,loom
159,Herde::N,нал,kari
160,Herde::N,стада,kari
161,Kuh::N,скал,lehm
162,Kuh::N,тракс,lehm
163,Bulle::N,бука,pull
164,Pferd::N,лишме,hobune
165,Schaf::N,уча́,lammas
166,Schwein::N,тува,siga
167,Hund::N,пине,koer
168,Katze::N,катоня,kass
169,Katze::N,аваката,kass
170,Bär::N,офта,karu
171,Eichhörnchen::N,ур,orav
172,Elch::N,ся́рда,põder
173,Fuchs::N,келазь,rebane
174,Hase::N,ну́мол,jänes
175,Maus::N,шеер,hiir
176,Wolf::N,върьгаз,hunt
177,Vogel::N,нармонь,lind
178,Schwarm::N,ко́вол,parv
179,Schwarm::N,ме́швеле,parv
180,Huhn::N,сараз,kana
181,Hahn::N,а́тякш,kukk
182,Gans::N,маци,hani
183,Adler::N,куцькан,kotkas
184,Ente::N,яксярга,part
185,Eule::N,ко́рож,kakk
186,Eule::N,ко́рож,öökull
187,Kranich::N,ка́рга,kurg
188,Krähe::N,ва́рси,vares
189,Kuckuck::N,ку́ку,kägu
190,Schwan::N,ло́ксти,luik
191,Fisch::N,кал,kala
192,Barsch::N,о́кунь,ahven
193,Hecht::N,щу́ка,haug
194,Schlange[Tier]::N,куй,uss
195,Wurm::N,сукс,uss
196,Wurm::N,сукс,vagel
197,Spinne::N,унжа́,ämblik
198,Ameise::N,панжам,sipelgas
199,Laus::N,си,täi
200,Mücke::N,ся́ське,sääsk
201,Fliege::N,кару,kärbes
202,Schmetterling::N,ме́лав,liblikas
203,Beere::N,и́мож,mari
204,Apfel::N,марь,õun
205,Pilz::N,панга,seen
206,Zwiebel::N,шурьхкя́,sibul
207,Saat::N,видьмот,seeme
208,Korn::N,сёра,iva
209,Korn::N,сёра,tera
210,Heu::N,тише,hein
211,Schale::N,кедь,koor
212,Grube::N,лотка,kaevand
213,Falle::N,туфкс,lõks
214,Falle::N,туфкс,püünis
215,Falle::N,кунда́ма,lõks
216,Falle::N,кунда́ма,püünis
217,Schlinge::N,килькш,aas
218,Spur::N,пильгоки́,jälg
219,Asche::N,кулу,tuhk
220,Dreck::N,ърда́з,saast
221,Dreck::N,ърда́з,mustus
222,Eisen::N,кшни,raud
223,Gold::N,ока,kuld
224,Gold::N,золота,kuld
225,Silber::N,сия́,hõbe
226,Kohle::N,седь,süsi
227,Kohle::N,седьвальмя,süsi
228,Glas::N,кля́нцек,klaas
229,Lehm::N,сёвонь,savi
230,Sand::N,шува́р,liiv
231,Mensch::N,ломань,inimene
232,Mann::N,аля,mees
233,Mann::N,цёраломань,mees
234,Frau::N,ава,naine
235,Kind::N,идь,laps
236,Kind::N,шаба,laps
237,Junge::N,цёраня,poiss
238,Mädchen::N,стирня́,tüdruk
239,Familie::N,тнал,perekond
240,Familie::N,семья,perekond
241,Großvater::N,атя,vanaisa
242,Großvater::N,щя́тя,vanaisa
243,Großmutter::N,баба,vanaema
244,Eltern::N,тя́дят-а́лят,vanemad
245,Vater::N,аля,isa
246,Mutter::N,ава,ema
247,Mutter::N,тядя,ema
248,Sohn::N,цёра,poeg
249,Tochter::N,стирь,tütar
250,Bruder::N,дуган,vend
251,Bruder::N,пяльне,vend
252,Schwester::N,ака,õde
253,Schwester::N,сазор,õde
254,Onkel::N,оця,onu
255,Onkel::N,патя,onu
256,Onkel::N,щеня́,onu
257,Tante::N,ака,tädi
258,Tante::N,щака,tädi
259,Ehemann::N,мирде,mees
260,Ehemann::N,мирде,abikaasa
261,Ehefrau::N,ърьвя́,naine
262,Ehefrau::N,ърьвя́,abikaasa
263,Freude::N,ке́нярдема,rõõm
264,Gelächter::N,рахсема,naer
265,Glück::N,паваз,õnn
266,Kummer::N,ризф,mure
267,Kummer::N,ризф,kurbus
268,Kummer::N,пичефкс,mure
269,Kummer::N,пичефкс,kurbus
270,Wunsch::N,мяль,soov
271,Wunsch::N,таколдома,soov
272,Lust::N,таколдома,himu
273,Geist::N,вайме,vaim
274,Gedanke::N,мяль,mõte
275,Gedächtnis::N,прявий,mälu
276,Verstand::N,прявий,aru
277,Verstand::N,прявий,mõistus
278,Sinn::N,ён,tähendus
279,Grund::N,туфта́л,põhjus
280,Wahrheit::N,ви́де,tõde
281,Wahrheit::N,видеши́,tõde
282,Gespräch::N,корхтама,kõne
283,Gespräch::N,корхтама,vestlus
284,Märchen::N,ёфкс,muinasjutt
285,Erzählung::N,азкс,jutustus
286,Nachricht::N,куля́,teade
287,Neuigkeit::N,куля́,uudis
288,Name::N,лем,nimi
289,Rätsel::N,со́дама ёфкс,mõistatus
290,Rede::N,вал,kõne
291,Rede::N,корхтама,kõne
292,Sprache::N,кяль,keel
293,Stimme::N,вайгяль,hääl
294,Wort::N,вал,sõna
295,Zeichen::N,тя́ште,märk
296,Zeichen::N,тя́штькс,märk
297,Ruf::N,тердема,hüüe
298,Lärm::N,гайф,müra
299,Lärm::N,жалакодома,müra
300,Laut::N,вайгяль,hääl
301,Ton::N,вайгяль,toon
302,Lied::N,мора,laul
303,Ruhe::N,сетьме,rahu
304,Ruhe::N,сетьме,vaikus
305,Leute::N,ломатть,inimesed
306,Volk::N,наро́д,rahvas
307,Arbeit::N,тев,töö
308,Gast::N,и́нжи,külaline
309,Gast::N,ко́нак,külaline
310,Geschenk::N,казне,kingitus
311,Spiel::N,налхкома,mäng
312,Spiel::N,налхксема,mäng
313,Gesellschaft::N,кружок,selts
314,Hilfe::N,лездома,abi
315,Freund::N,я́лга,sõber
316,Kamerad::N,я́лга,sõber
317,Angelegenheit::N,тев,asi
318,Anzahl::N,лувкс,arv
319,Anzahl::N,лувкс,hulk
320,Art::N,вид,liik
321,Stück::N,пакш,tükk
322,Teil::N,часть,osa
323,Teil::N,пялькс,osa
324,Hälfte::N,пяле,pool
325,Kreis::N,шаркс,ring
326,Kreuz::N,крёз,rist
327,Linie::N,межа,joon
328,Linie::N,китькс,joon
329,Strich::N,межа,joon
330,Abstand::N,ётка,vahe
331,Entfernung::N,ётка,kaugus
332,Entfernung::N,ётка,vahemaa
333,Gegend::N,ва́ста,ümbrus
334,Gegend::N,перьфпя́ль,ümbrus
335,Platz::N,ва́ста,ruum
336,Ort::N,ва́ста,paik
337,Seite::N,пяле,pool
338,Mitte::N,кучка́,keskpaik
339,Gegenstand::N,веща,ese
340,Sache::N,тев,ese
341,Sache::N,веща,ese
342,Rand::N,пе,äär
343,Rand::N,пе,serv
344,Kante::N,и́рдез,kant
345,Ecke::N,ужа,nurk
346,Spitze::N,пря,teravik
347,Ende::N,пе,ots
348,Ende::N,пе,jupp
349,Loch::N,варя,auk
350,Winkel::N,ужа,nurk
351,Muster::N,сёрма,muster
352,Größe::N,серь,suurus
353,Länge::N,кува́лма,pikkus
354,Höhe::N,серь,kõrgus
355,Gewicht::N,сталма,kaal
356,Gewicht::N,сталма,raskus
357,Menge::N,лувкс,arv
358,Menge::N,лувкс,hulk
359,Haufen::N,мар,hunnik
360,Reihe::N,ряд,rivi
361,Boot::N,венеж,paat
362,Ruder::N,миле,aer
363,Schlitten::N,ну́рда,saan
364,Ski::N,сокс,suusk
365,Lagerfeuer::N,то́лмар,lõke
366,Last::N,канкс,koorem
367,Last::N,сталма,koorem
368,Gang::N,молема,käik
369,Schritt::N,аськолкс,samm
370,Norden::N,якшама шире,põhi
371,Süden::N,ля́мбе ши́ре,lõuna
372,Westen::N,ши валгома шире,lääs
373,Osten::N,шинь стяма шире,ida
374,Holz::N,вирь,puu
375,Holz::N,шуфта,puu
376,Brett::N,лавця,saelaud
377,Platte::N,плита́,plaat
378,Stütze::N,неже,tugi
379,Stange::N,олга,latt
380,Stange::N,олга,teivas
381,Stock::N,байдек,kepp
382,Stab::N,олгоня,varras
383,Rohr::N,турама,toru
384,Haus::N,куд,maja
385,Heim::N,куд,kodu
386,Ofen::N,пянакуд,ahi
387,Fußboden::N,кия́кс,põrand
388,Tisch::N,шра,laud
389,Tisch::N,моркш,laud
390,Stuhl::N,стул,tool
391,Wiege::N,нюря́м,häll
392,Wiege::N,нюря́м,kätki
393,Bett::N,ацам,voodi
394,Regal::N,лавцяланга,riiul
395,Kiste::N,парга,kast
396,Fenster::N,валмья,aken
397,Tür::N,кенкш,uks
398,Tor::N,ортат,värav
399,Zaun::N,перяфкс,aed
400,Zaun::N,перяфкс,tara
401,Dach::N,кудпря,katus
402,Leiter::N,куцема,redel
403,Besen::N,тяльме,luud
404,Spaten::N,ка́йме,labidas
405,Schaufel::N,ко́поня,kühvel
406,Schaufel::N,ця́рдом,kühvel
407,Gabel::N,ця́нгоня,kahvel
408,Löffel::N,куцю,lusikas
409,Messer::N,пеель,nuga
410,Nagel::N,эска,nael
411,Haken::N,кя́чказ,haak
412,Haken::N,кя́чказ,konks
413,Griff::N,недь,sang
414,Griff::N,недь,käepide
415,Griff::N,кунда́мка,sang
416,Griff::N,кунда́мка,käepide
417,Schloss::N,замо́к,lukk
418,Bild::N,карти́на,pilt
419,Figur::N,ронга-понда,kuju
420,Figur::N,ронга-понда,kujund
421,Puppe::N,ня́ка,nukk
422,Beutel::N,кяскав,paun
423,Bündel::N,кярьме,kimp
424,Tasche::N,кошяльня,kott
425,Eimer::N,ве́дарка,pang
426,Eimer::N,ве́дарка,ämber
427,Deckel::N,тавадкс,kaas
428,Deckel::N,вельхкс,kaas
429,Geschirr::N,кядьге,nõud
430,Sack::N,кяскав,kott
431,Tasse::N,ша́ваня,tass
432,Topf::N,кавозь,pada
433,Kessel::N,сргавозь,pada
434,Essen::N,ярхцама,söök
435,Nahrung::N,ярхцампяль,toit
436,Speise::N,ярхцама,roog
437,Fleisch::N,пал,liha
438,Fleisch::N,сиволь,liha
439,Getreide::N,сёра,teravili
440,Brei::N,ям,puder
441,Brot::N,кши,sai
442,Brot::N,кши,leib
443,Scheibe::N,кочам,viil
444,Scheibe::N,кочам,viilukas
445,Fett::N,куя́,rasv
446,Butter::N,вай,või
447,Öl::N,вай,õli
448,Salz::N,сал,sool
449,Suppe::N,шонгарям,supp
450,Suppe::N,коршампяль,supp
451,Honig::N,медь,mesi
452,Milch::N,лофца,piim
453,Tee::N,чай,tee
454,Leder::N,кедь,nahk
455,Wolle::N,пона,vill
456,Stoff::N,котф,kangas
457,Nadel::N,салмокс,nõel
458,Faden::N,сюре,niit
459,Knopf::N,пуня,nööp
460,Knoten::N,сюлма,sõlm
461,Farbe::N,архтомбяль,värv
462,Kleidung::N,щам,riided
