,Concept_ID,sq,mn
0,Auge::N,sy,нүд
1,Ohr::N,vesh,чих
2,Nase::N,hundë,хамар
3,Mund::N,gojë,ам
4,Zahn::N,dhëmb,шүд
5,Zunge::N,gjuhë,хэл
6,Lippe::N,buzë,уруул
7,Wange::N,faqe,хацар
8,Wange::N,mollëz,хацар
9,Gesicht::N,fytyrë,царай
10,Gesicht::N,fytyrë,нүүр
11,Stirn::N,ballë,дух
12,Haar::N,flokë,үс
13,Schnurrbart::N,mustaqe,дээд сахал
14,Schnurrbart::N,mustaqe,живэр сахал
15,Bart::N,mjekër,сахал
16,Kinn::N,mjekër,эрүү
17,Kiefer[Anatomie]::N,nofull,эрүү
18,Kehle::N,fyt,хоолой
19,Kehle::N,grykë,хоолой
20,Hals::N,qafë,хүзүү
21,Genick::N,arrëz,шил
22,Genick::N,arrëz,хүзүү
23,Kopf::N,kokë,толгой
24,Rücken::N,kurriz,ар
25,Rücken::N,kurriz,нуруу
26,Bauch::N,bark,хэвлий
27,Bauch::N,bark,гэдэс
28,Nabel::N,kërthizë,хүйс
29,Busen::N,gji,хөх
30,Brust::N,gjoks,цээж
31,Brust::N,kraharor,цээж
32,Schulter::N,sup,мөр
33,Schulter::N,sup,бугалга
34,Schulter::N,krah,мөр
35,Schulter::N,krah,бугалга
36,Arm::N,krah,гар
37,Ellenbogen::N,bërryl,тохой
38,Hand::N,dorë,гар
39,Hand::N,dorë,алга
40,Handfläche::N,pëllëmbë,алга
41,Finger::N,gisht,хуруу
42,Fingernagel::N,thua,хурууны хумс
43,Nagel[Anatomie]::N,thua,хумс
44,Zeh::N,gisht i këmbës,хуруу
45,Fuß::N,këmbë,хөл
46,Ferse::N,thembër,өсгий
47,Knie::N,gju,өвдөг
48,Oberschenkel::N,kofshë,гуя
49,Bein::N,këmbë,хөл
50,Körper::N,trup,бие
51,Haut::N,lëkurë,арьс
52,Blut::N,gjak,цус
53,Ader::N,venë,судас
54,Sehne::N,dell,бүлх
55,Sehne::N,dell,шандас
56,Knochen::N,asht,яс
57,Knochen::N,kockë,яс
58,Gehirn::N,tru,тархи
59,Herz::N,zemër,зүрх
60,Magen::N,stomak,ходоод
61,Leber::N,mëlçi,элэг
62,Atem::N,frymë,амьсгаа
63,Hunger::N,uri,өлсгөлөн
64,Träne::N,lot,нулимс
65,Geschmack::N,shije,амт
66,Geruch::N,erë,үнэр
67,Schlaf::N,gjumë,нойр
68,Traum::N,ëndërr,зүүд
69,Himmel::N,qiell,тэнгэр
70,Himmel::N,qiell,огторгуй
71,Sonne::N,diell,нар
72,Mond::N,hënë,сар
73,Stern::N,yll,од
74,Luft::N,ajër,агаар
75,Wind::N,erë,салхи
76,Welle::N,valë,долгио
77,Welle::N,valë,давалгаа
78,Welle::N,dallgë,долгио
79,Welle::N,dallgë,давалгаа
80,Wasser::N,ujë,ус
81,Stein::N,gur,чулуу
82,Boden::N,tokë,хөрс
83,Boden::N,truall,хөрс
84,Erde::N,dhe,газар
85,Erde::N,dhe,шороо
86,Erde::N,baltë,газар
87,Erde::N,baltë,шороо
88,Staub::N,pluhur,тоос
89,Rauch::N,tym,утаа
90,Funke::N,xixë,оч
91,Funke::N,shkëndijë,оч
92,Feuer::N,zjarr,гал
93,Licht::N,dritë,гэрэл
94,Licht::N,dritë,гэгээ
95,Schatten::N,hije,сүүдэр
