,Concept_ID,ka,ca
0,Auge::N,თვალი,ull
1,Ohr::N,ყური,orella
2,Nase::N,ცხვირი,nas
3,Mund::N,პირი,boca
4,Zahn::N,კბილი,dent
5,Zunge::N,ენა,llēngua
6,Lippe::N,ბაგე,llavi
7,Wange::N,ლოყა,galta
8,Gesicht::N,სახე,cara
9,Stirn::N,შუბლი,front
10,Haar::N,თმა,cabēll
11,Schnurrbart::N,ულვაში,bigoti
12,Bart::N,წვერი,barba
13,Kinn::N,ნიკაპი,mentó
14,Kinn::N,ნიკაპი,barbeta
15,Kiefer[Anatomie]::N,ყბა,queix
16,Kiefer[Anatomie]::N,ყბა,mandíbula
17,Kehle::N,ყელი,gola
18,Kehle::N,ყელი,gorja
19,Hals::N,ყელი,coll
20,Hals::N,კისერი,coll
21,Genick::N,კეფა,nuca
22,Kopf::N,თავი,cap
23,Rücken::N,ზურგი,esquena
24,Bauch::N,მუცელი,panxa
25,Nabel::N,ჭიპი,llombrígol
26,Busen::N,ძუძუ,pit
27,Busen::N,ძუძუ,mama
28,Brust::N,მკერდი,pit
29,Schulter::N,მხარი,espatlla
30,Schulter::N,მკლავი,espatlla
31,Arm::N,ხელი,braç
32,Ellenbogen::N,იდაყვი,colze
33,Hand::N,ხელი,mà
34,Handfläche::N,ნები,palma
35,Handfläche::N,ხელისგული,palma
36,Finger::N,თითი,dit
37,Fingernagel::N,ფრჩხილი,ungla
38,Nagel[Anatomie]::N,ფრჩხილი,ungla
39,Zeh::N,ფეხის თითი,dit del peu
40,Fuß::N,ტერფი,peu
41,Fuß::N,ფეხისგული,peu
42,Ferse::N,ქუსლი,taló
43,Knie::N,მუხლი,genoll
44,Oberschenkel::N,ბარძაყი,cuixa
45,Bein::N,ფეხი,cama
46,Körper::N,ტანი,cos
47,Körper::N,სხეული,cos
48,Haut::N,კანი,pell
49,Blut::N,სისხლი,sang
50,Ader::N,ძარღვი,vena
51,Sehne::N,მყესი,tendó
52,Knochen::N,ძვალი,os
53,Gehirn::N,ტვინი,cervell
54,Herz::N,გული,cor
55,Magen::N,კუჭი,estómac
56,Leber::N,ღვიძლი,fetge
57,Atem::N,სუნთქვა,alè
58,Atem::N,სუნთქვა,hàlit
59,Hunger::N,შიმშილი,fam
60,Hunger::N,შიმშილი,gana
61,Träne::N,ცრემლი,llàgrima
62,Geschmack::N,გემო,gust
63,Geschmack::N,გემო,sabor
64,Geruch::N,სუნი,olor
65,Schlaf::N,ძილი,son
66,Traum::N,სიზმარი,somni
67,Himmel::N,ცა,celm
68,Sonne::N,მზე,sol
69,Mond::N,მთვარე,lluna
70,Stern::N,ვარსკვლავი,estel
71,Stern::N,ვარსკვლავი,estrella
72,Luft::N,ჰაერი,aire
73,Wind::N,ქარი,vent
74,Welle::N,ტალღა,ona
75,Wasser::N,წყალი,āigua
76,Stein::N,ქვა,pedra
77,Boden::N,მიწა,sòl
78,Erde::N,ნიადაგი,terra
79,Staub::N,მტვერი,pols
80,Rauch::N,ბოლი,fum
81,Rauch::N,კვამლი,fum
82,Funke::N,ნაკვესი,guspira
83,Funke::N,ნაკვესი,centella
84,Feuer::N,ცეცხლი,foc
85,Licht::N,შუქი,llum
86,Licht::N,სინათლე,llum
87,Schatten::N,ლანდი,ombra
88,Schatten::N,ჩრდილი,ombra
89,Wetter::N,ამინდი,temps
90,Nebel::N,ნისლი,boira
91,Wolke::N,ღრუბელი,núvol
92,Regen::N,წვიმა,pluja
93,Schnee::N,თოვლი,neu
94,Eis::N,თოში,gel
95,Eis::N,თოში,glaç
96,Eis::N,ყინული,gel
97,Eis::N,ყინული,glaç
98,Frost::N,ყინვა,glaçada
99,Kälte::N,სიცივე,fred
100,Hitze::N,სიცხე,calor
101,Raureif::N,ჭირხლი,gebre
102,Raureif::N,თრთვილი,gebre
103,Regenbogen::N,ცისარტყელა,arc iris
104,Donner::N,ქუხილი,tro
105,Strömung::N,დინება,corrent
106,Tropfen::N,წვეთი,gota
107,Schaum::N,ქაფი,escuma
108,Schaum::N,დორბლი,escuma
109,Schmutz::N,ჭუჭყი,brutícia
110,Schmutz::N,ტალახი,brutícia
111,See::N,ტბა,llac
112,Sumpf::N,ჭაობი,pantà
113,Moor::N,ტორფნარი,pantà
