,Concept_ID,mhr,cs
0,Auge::N,шинча́,oko
1,Ohr::N,пы́лыш,ucho
2,Nase::N,нер,nos
3,Mund::N,умша́,pusa
4,Zahn::N,пӱй,zub
5,Zunge::N,йы́лме,jazyk
6,Lippe::N,тӱ́рвӧ,ret
7,Wange::N,шӱ́ргӧ,tvář
8,Gesicht::N,чури́й,obličej
9,Stirn::N,саҥга́,čelo
10,Haar::N,ӱп,vlas
11,Haar::N,ӱп,vlasy
12,Schnurrbart::N,ӧ́рыш,kníry
13,Bart::N,понда́ш,vousy
14,Kinn::N,оҥыла́ш,brada
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,čelist
16,Kiefer[Anatomie]::N,пӱйората́,čelist
17,Kehle::N,лога́р,hrdlo
18,Hals::N,шӱй,krk
19,Genick::N,шӱйло́дыш,týl
20,Kopf::N,вуй,hlava
21,Rücken::N,туп,záda
22,Rücken::N,туп,hřbet
23,Bauch::N,мӱ́шкыр,břicho
24,Nabel::N,кы́лымде,pupek
25,Busen::N,чы́зе,ňadra
26,Brust::N,оҥ,prsa
27,Schulter::N,ва́че,plece
28,Schulter::N,ва́че,rameno
29,Arm::N,кид,ruka
30,Ellenbogen::N,кынерву́й,loket
31,Hand::N,кид,ruka
32,Hand::N,копа́,ruka
33,Handfläche::N,со́во,dlaň
34,Finger::N,парня́,prst
35,Fingernagel::N,кидкӱ́ч,nehet
36,Fingernagel::N,парнягӱ́ч,nehet
37,Nagel[Anatomie]::N,кӱч,nehet
38,Zeh::N,йолварня́,prst u nohy
39,Fuß::N,йол,noha
40,Fuß::N,йолкопа́,noha
41,Ferse::N,тага́н,pata
42,Knie::N,пулву́й,koleno
43,Oberschenkel::N,э́рде,stehno
44,Bein::N,йол,noha
45,Körper::N,кап,tělo
46,Haut::N,кова́ште,kůže
47,Blut::N,вӱр,krev
48,Ader::N,шӧн,céva
49,Sehne::N,шӧн,šlacha
50,Sehne::N,кӱсе́н,šlacha
51,Knochen::N,лу,kost
52,Gehirn::N,вем,mozek
53,Gehirn::N,вуйве́м,mozek
54,Herz::N,шӱм,srdce
55,Magen::N,пага́р,žaludek
56,Leber::N,мокш,játra
57,Atem::N,шӱ́лыш,dech
58,Hunger::N,шужыма́ш,hlad
59,Träne::N,шинчавӱ́д,slza
60,Geschmack::N,там,vkus
61,Geruch::N,пуш,vůně
62,Geruch::N,пуш,zápach
