,Concept_ID,kn,da
0,Auge::N,ಕಣ್ಣು,øje
1,Ohr::N,ಕಿವಿ,øre
2,Nase::N,ಮೂಗು,næse
3,Mund::N,ಬಾಯಿ,mund
4,Zahn::N,ಹಲ್ಲು,tand
5,Zunge::N,ನಾಲಿಗೆ,tunge
6,Lippe::N,ತುಟಿ,læbe
7,Wange::N,ಗಲ್ಲ,kind
8,Gesicht::N,ಮುಖ,ansigt
9,Stirn::N,ಹಣೆ,pande
10,Haar::N,ಕೂದಲು,hår
11,Schnurrbart::N,ಮೀಸೆ,overskæg
12,Bart::N,ಗಡ್ಡ,skæg
13,Kinn::N,ಗದ್ದ,hage
14,Kiefer[Anatomie]::N,ದವಡೆ,kæbe
15,Kehle::N,ಗಂಟಲು,strube
16,Hals::N,ಕೊರಳು,hals
17,Genick::N,ಹಿಂಗತ್ತು,nakke
18,Kopf::N,ತಲೆ,hoved
19,Rücken::N,ಬೆನ್ನು,ryg
20,Bauch::N,ಹೊಟ್ಟೆ,mave
21,Nabel::N,ಹೊಕ್ಕುಳು,navle
22,Busen::N,ಸ್ತನ,barm
23,Brust::N,ಎದೆ,bryst
24,Schulter::N,ಭುಜ,skulder
25,Arm::N,ತೋಳು,arm
26,Ellenbogen::N,ಮೊಣಕೈ,albue
27,Hand::N,ಕೈ,hånd
28,Handfläche::N,ಅಂಗೈ,håndflade
29,Finger::N,ಕೈಬೆರಳು,finger
30,Fingernagel::N,ಉಗುರು,fingernegl
31,Nagel[Anatomie]::N,ಉಗುರು,negl
32,Zeh::N,ಕಾಲ್ಬೆರಳು,tå
33,Fuß::N,ಪಾದ,fod
34,Ferse::N,ಹಿಮ್ಮಡಿ,hæl
35,Knie::N,ಮಂಡಿ,knæ
36,Oberschenkel::N,ತೊಡೆ,lår
37,Bein::N,ಕಾಲು,ben
38,Körper::N,ದೇಹ,krop
39,Körper::N,ದೇಹ,legeme
40,Haut::N,ಚರ್ಮ,hud
41,Blut::N,ರಕ್ತ,blod
42,Ader::N,ನರ,åre
43,Sehne::N,ನರ,sene
44,Knochen::N,ಮೂಳೆ,ben
45,Gehirn::N,ಮಿದುಳು,hjerne
46,Herz::N,ಹೃದಯ,hjerte
47,Magen::N,ಉದರ,mave
48,Leber::N,ಯಕೃತ್ತು,lever
49,Atem::N,ಉಸಿರು,ånde
50,Hunger::N,ಹಸಿವು,sult
51,Träne::N,ಕಣ್ಣೀರು,tåre
52,Geschmack::N,ರುಚಿ,smag
53,Geruch::N,ವಾಸನೆ,lugt
54,Schlaf::N,ನಿದ್ರೆ,søvn
55,Traum::N,ಕನಸು,drøm
56,Himmel::N,ಬಾನು,himmel
57,Sonne::N,ಸೂರ್ಯ,sol
58,Mond::N,ಚಂದ್ರ,måne
59,Stern::N,ಚುಕ್ಕಿ,stjerne
60,Luft::N,ವಾಯು,luft
61,Wind::N,ಗಾಳಿ,vind
62,Welle::N,ಅಲೆ,bølge
63,Wasser::N,ನೀರು,vand
64,Stein::N,ಕಲ್ಲು,sten
65,Boden::N,ನೆಲ,jord
66,Erde::N,ಭೂಮಿ,jord
67,Staub::N,ದೂಳು,støv
68,Rauch::N,ಹೊಗೆ,røg
69,Funke::N,ಕಿಡಿ,gnist
70,Feuer::N,ಬೆಂಕಿ,ild
71,Licht::N,ಬೆಳಕು,lys
72,Schatten::N,ನೆರಳು,skygge
73,Wetter::N,ಹವ,vejr
74,Nebel::N,ಮಂಜು,tåge
75,Wolke::N,ಮೋಡ,sky
76,Regen::N,ಮಳೆ,regn
77,Schnee::N,ಹಿಮ,sne
78,Eis::N,ಮಂಜುಗಡ್ಡೆ,is
79,Frost::N,ಮಂಜು,frost
80,Kälte::N,ಹಿಮ,kulde
81,Hitze::N,ಉಷ್ಣ,hede
82,Raureif::N,ಇಬ್ಬನಿ,rimfrost
83,Regenbogen::N,ಇಂದ್ರಚಾಪ,regnbue
84,Donner::N,ಗುಡುಗು,torden
85,Strömung::N,ಪ್ರವಾಹ,strømning
86,Tropfen::N,ತೊಟ್ಟು,dråbe
87,Schaum::N,ನೊರೆ,skum
88,Schmutz::N,ಕಸ,snavs
89,See::N,ಸರೋವರ,sø
90,Sumpf::N,ಜೌಗುಸ್ಥಳ,sump
91,Moor::N,ಬಂಜರು ಭೂಮಿ,mose
92,Wiese::N,ಹುಲ್ಲುಗಾವಲು,eng
93,Wald::N,ಕಾಡು,skov
94,Hügel::N,ಗುಡ್ಡೆ,høj
95,Hügel::N,ಗುಡ್ಡೆ,bakke
96,Anhöhe::N,ದಿಬ್ಬ,høj
97,Anhöhe::N,ದಿಬ್ಬ,bakke
98,Berg::N,ಮಲೆ,bjerg
99,Berg::N,ಪರ್ವತ,bjerg
100,Gipfel::N,ಶೃಂಗ,top
101,Höhle::N,ಗುಹೆ,hule
102,Abhang::N,ಇಳಿಜಾರು,skrænt
103,Abhang::N,ಇಳಿಜಾರು,skråning
104,Quelle::N,ಮೂಲ,kilde
105,Bach::N,ತೊರೆ,bæk
106,Fluss::N,ನದಿ,flod
107,Ufer::N,ತೀರ,bred
108,Küste::N,ದಂಡೆ,kyst
109,Festland::N,ಭೂಮಿ,fastland
110,Meer::N,ಕಡಲು,hav
111,Bucht::N,ಖಾರಿ,bugt
112,Insel::N,ದ್ವೀಪ,ø
113,Blume::N,ಸುಮ,blomst
114,Gras::N,ಹುಲ್ಲು,græs
115,Wurzel::N,ಬೇರು,rod
116,Baum::N,ಮರ,træ
117,Stamm::N,ಕಾಂಡ,stamme
118,Rinde::N,ತೂಗಟಿ,bark
119,Ast::N,ಶಾಖೆ,gren
120,Zweig::N,ರೆಂಬೆ,kvist
121,Blatt::N,ಎಲೆ,blad
122,Birke::N,ಬರ್ಚ್ ಮರ,birk
123,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,fyrretræ
124,Weide[Baum]::N,ವಿಲೋಮರ,piletræ
125,Tanne::N,ಭದ್ರದಾರು,gran
126,Horn::N,ಕೊಂಬು,horn
127,Feder::N,ಪುಕ್ಕ,fjer
128,Fell::N,ರೋಮ,skind
129,Flügel::N,ರೆಕ್ಕೆ,vinge
130,Klaue::N,ಪಂಜ,klov
131,Kralle::N,ಉಗುರು,klo
132,Schwanz::N,ಬಾಲ,hale
133,Ei::N,ಮೊಟ್ಟೆ,æg
134,Nest::N,ಗೂಡು,rede
135,Bau::N,ಅಡಗುದಾಣ,bo
136,Tier::N,ಪ್ರಾಣಿ,dyr
137,Herde::N,ಗುಂಪು,flok
138,Kuh::N,ಹಸು,ko
139,Bulle::N,ಗೂಳಿ,tyr
140,Pferd::N,ಕುದುರೆ,hest
141,Schaf::N,ಕುರಿ,får
142,Schwein::N,ಹಂದಿ,gris
143,Hund::N,ನಾಯಿ,hund
144,Katze::N,ಬೆಕ್ಕು,kat
145,Bär::N,ಕರಡಿ,bjørn
146,Eichhörnchen::N,ಉಡುತೆ,egern
147,Elch::N,ಕಡವೆ,elg
148,Fuchs::N,ನರಿ,ræv
149,Hase::N,ಮೊಲ,hare
150,Maus::N,ಇಲಿ,mus
151,Wolf::N,ತೋಳ,ulv
152,Vogel::N,ಪಕ್ಷಿ,fugl
153,Schwarm::N,ಗುಂಪು,sværm
154,Huhn::N,ಚಿಕ್,høne
155,Hahn::N,ಹುಂಜ,hane
156,Gans::N,ವರಟೆ,gås
157,Adler::N,ಗರುಡ,ørn
158,Ente::N,ಬಾತು,and
159,Eule::N,ಗೂಬೆ,ugle
160,Kranich::N,ಕೊಕ್ಕರ,trane
161,Krähe::N,ಕಾಗೆ,krage
162,Kuckuck::N,ಕೋಗಿಲೆ,gøg
163,Schwan::N,ಹಂಸಪಕ್ಷಿ,svane
164,Fisch::N,ಮೀನು,fisk
165,Barsch::N,ಪರ್ಚ್ ಮೀನು,aborre
166,Hecht::N,ಪೈಕ್ ಮೀನು,gedde
167,Schlange[Tier]::N,ಹಾವು,slange
168,Wurm::N,ಹುಳು,orm
169,Spinne::N,ಊರ್ಣನಾಭ,edderkop
170,Ameise::N,ಇರುವೆ,myre
171,Laus::N,ಹೇನು,lus
172,Mücke::N,ಸೊಳ್ಳೆ,myg
173,Fliege::N,ನೊಣ,flue
174,Schmetterling::N,ಪತಂಗ,sommerfugl
175,Beere::N,ನಯವಣ್ಣು,bær
176,Apfel::N,ಸೇಬು,æble
177,Pilz::N,ಅಣಬೆ,svamp
178,Zwiebel::N,ನೀರುಳ್ಳಿ,løg
179,Saat::N,ಬಿತ್ತ,sæd
180,Korn::N,ಬೀಜ,korn
181,Heu::N,ಕರಡ,hø
182,Schale::N,ಹೊಟ್ಟು,skræl
183,Grube::N,ಗುಂಡಿ,grav
184,Falle::N,ಬೋನು,fælde
185,Schlinge::N,ಉರುಲು,snare
186,Spur::N,ಜಾಡು,spor
187,Asche::N,ಬೂದಿ,aske
188,Dreck::N,ಹೊಲಸು,snavs
189,Eisen::N,ಕಬ್ಬಿಣ,jern
190,Gold::N,ಚಿನ್ನ,guld
191,Silber::N,ಬೆಳ್ಳಿ,sølv
192,Kohle::N,ಕಲ್ಲಿದ್ದಲು,kul
193,Glas::N,ಗಾಜು,glas
194,Lehm::N,ಜೇಡಿಮಣ್ಣು,ler
195,Sand::N,ಮರಳು,sand
196,Mensch::N,ಪುರುಷ,mennesge
197,Mann::N,ಆಳು,mand
198,Frau::N,ಹೆಣ್ಣು,kvinde
199,Kind::N,ಮಗು,barn
200,Junge::N,ಹುಡುಗ,dreng
201,Mädchen::N,ಹುಡುಗಿ,pige
202,Familie::N,ಕುಟುಂಬ,familie
203,Großvater::N,ಅಜ್ಜ,bedstefar
204,Großmutter::N,ಅಮ್ಮ,bedstemor
205,Eltern::N,ಹೆತ್ತವರು,forældre
206,Vater::N,ತಂದೆ,far
207,Mutter::N,ಅಮ್ಮ,mor
208,Sohn::N,ಮಗ ,søn
209,Tochter::N,ಮಗಳು,datter
210,Bruder::N,ತಮ್ಮ,bror
211,Schwester::N,ತಂಗಿ,søster
212,Onkel::N,ಸೋದರಮಾವ,onkel
213,Onkel::N,ದೊಡ್ಡಪ್ಪ,onkel
214,Tante::N,ಚಿಕ್ಕಮ್ಮ,tante
215,Ehemann::N,ಗಂಡ,ægtemand
216,Ehefrau::N,ಹೆಂಡತಿ,hustru
217,Freude::N,ನಲಿವು,glæde
218,Gelächter::N,ನಗೆ,latter
219,Glück::N,ಆನಂದ,lykke
220,Kummer::N,ದುಃಖ,sorg
221,Wunsch::N,ಬಯಕೆ,ønske
222,Lust::N,ಇಷ್ಟ,lyst
223,Geist::N,ಆತ್ಮ,ånd
224,Gedanke::N,ಯೋಚನೆ,tanke
225,Gedächtnis::N,ಸ್ಮರಣೆ,hukommelse
226,Verstand::N,ಮನಸ್ಸು,forstand
227,Sinn::N,ಅರ್ಥ,mening
228,Sinn::N,ಅರ್ಥ,betydning
229,Grund::N,ಕಾರಣ,grund
230,Wahrheit::N,ಸತ್ಯ,sandhed
231,Gespräch::N,ಸಂಭಾಷಣೆ,samtale
232,Märchen::N,ಸುಳ್ಳು ಕಥೆ,eventyr
233,Erzählung::N,ಕಥೆ,fortælling
234,Nachricht::N,ಸಂದೇಶ,efterretning
235,Neuigkeit::N,ಸುದ್ದಿ,nyhed
236,Name::N,ಹೆಸರು,navn
237,Rätsel::N,ಒಗಟು,gåde
238,Rede::N,ಮಾತು,tale
239,Sprache::N,ಭಾಷೆ,sprog
240,Stimme::N,ಧ್ವನಿ,stemme
241,Wort::N,ಮಾತು,ord
242,Zeichen::N,ಗುರುತು,tegn
243,Ruf::N,ಕೂಗು,råb
244,Lärm::N,ಸದ್ದು,larm
245,Laut::N,ಶಬ್ದ,lyd
246,Ton::N,ನಾದ,tone
247,Lied::N,ಗಾನ,sang
248,Ruhe::N,ಶಾಂತಿ,ro
249,Ruhe::N,ಶಾಂತಿ,hvile
250,Leute::N,ಮಂದಿ,folk
251,Leute::N,ಮಂದಿ,mennesker
252,Volk::N,ಜನಾಂಗ,folk
253,Arbeit::N,ಕೆಲಸ,arbejde
254,Gast::N,ಅತಿಥಿ,gæst
255,Geschenk::N,ಕಾಣಿಕೆ,gave
256,Spiel::N,ಆಟ,leg
257,Gesellschaft::N,ಸಂಗ,selskab
258,Hilfe::N,ಸಹಾಯ,hjælp
259,Freund::N,ಸ್ನೇಹಿತ,ven
260,Kamerad::N,ಜೊತೆಗಾರ,kammerat
261,Angelegenheit::N,ವಿಚಾರ,sag
262,Angelegenheit::N,ವಿಚಾರ,anliggende
263,Anzahl::N,ಎಣಿಕೆ,antal
264,Art::N,ತರ,art
265,Stück::N,ತುಂಡು,stykke
