,Concept_ID,ba,cy
0,Auge::N,күҙ,llygad
1,Ohr::N,ҡолаҡ,clust
2,Nase::N,танау,trwyn
3,Mund::N,ауыҙ,ceg
4,Zahn::N,теш,dant
5,Zunge::N,тел,tafod
6,Lippe::N,ирен,gwefus
7,Wange::N,яцаҡтар,boch
8,Gesicht::N,бит,wyneb
9,Stirn::N,маңлай,talcen
10,Haar::N,сәс,blew
11,Schnurrbart::N,мылтыҡ,mwstas
12,Bart::N,һаҡал,barf
13,Kinn::N,эйэк,gên
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,gên
15,Kehle::N,тамаҡ,gwddf
16,Hals::N,муйын,gwddf
17,Genick::N,соңҡа,gwar
18,Genick::N,соңҡа,gwegil
19,Kopf::N,баш,pen
20,Rücken::N,арҡа,cefn
21,Bauch::N,ҡорһаҡ,bol
22,Nabel::N,кендек,bogail
23,Busen::N,күкрәк,bron
24,Brust::N,түш,brest
25,Schulter::N,яурын,ysgwydd
26,Arm::N,ҡул,braich
27,Ellenbogen::N,терһәк,penelin
28,Hand::N,ҡул,llaw
29,Hand::N,ҡул суғы,llaw
30,Handfläche::N,ус төбө,palf
31,Finger::N,бармаҡ,bys
32,Fingernagel::N,тырнаҡ,ewin
33,Nagel[Anatomie]::N,тырнаҡ,ewin
34,Zeh::N,бармаҡ,bys troed
35,Fuß::N,табан,troed
36,Ferse::N,үксә,sawdl
37,Knie::N,тубыҡ,glin
38,Oberschenkel::N,сандыр,clun
39,Bein::N,аяҡ,coes
40,Körper::N,тән,corff
41,Haut::N,тире,croen
42,Blut::N,ҡан,gwaed
43,Ader::N,тамыр,gwythïen
44,Sehne::N,һеңер,gewyn
45,Sehne::N,тарамыш,gewyn
46,Knochen::N,һойәк,asgwrn
47,Gehirn::N,мейе,ymennydd
48,Herz::N,йорәк,calon
49,Magen::N,ашҡаҙан,cylla
50,Magen::N,ашҡаҙан,stumog
51,Leber::N,бауыр,iau
52,Atem::N,һулыш,anadl
53,Hunger::N,аслыҡ,newyn
54,Träne::N,күҙ иәше,deigryn
55,Geschmack::N,тәм,cyflas
56,Geruch::N,еҫ,aroglau
57,Schlaf::N,йоҡлау,cwsg
58,Traum::N,төш,breuddwyd
59,Himmel::N,күк,awyr
60,Sonne::N,ҡояш,haul
61,Mond::N,ай,lleuad
62,Stern::N,йондоҙ,seren
63,Luft::N,һауа,awyr
64,Wind::N,ел,gwynt
65,Welle::N,тулҡын,ton
66,Wasser::N,һыу,dŵr
67,Stein::N,таш,carreg
68,Boden::N,тупраҡ,llawr
69,Erde::N,балсҡ,pridd
70,Staub::N,туҙан,llwch
71,Rauch::N,төтөн,mwg
72,Funke::N,осҡон,gwreichioni
73,Feuer::N,ут,tân
74,Licht::N,яҡтылыҡ,golau
75,Schatten::N,күләгә,cysgod
76,Wetter::N,һауа торошо,tywydd
77,Nebel::N,төман,niwl
78,Wolke::N,болот,cwmwl
79,Regen::N,ямғыр,glaw
80,Schnee::N,ҡар,ôd
81,Schnee::N,ҡар,eira
82,Eis::N,боҙ,iâ
83,Frost::N,һалҡын,rhew
84,Kälte::N,һыуыҡ,oerni
85,Kälte::N,һыуыҡ,annwyd
86,Hitze::N,томра,gwres
87,Hitze::N,эҫелек,gwres
88,Raureif::N,ҡырау,barrug
89,Regenbogen::N,йәйғор,enfys
90,Donner::N,күк күкрәү,tyrfau
91,Strömung::N,ағым,cerrynt
92,Tropfen::N,тамсы,dafn
93,Tropfen::N,тамсы,diferyn
94,Schaum::N,күбек,ewyn
95,Schmutz::N,батҡаҡ,baw
96,Schmutz::N,батҡаҡ,budreddi
97,See::N,күл,llyn
98,Sumpf::N,һаҙлык,cors
99,Moor::N,һаҙ,rhos
100,Wiese::N,болон,dôl
101,Wald::N,урман,coedwig
102,Hügel::N,түбә,bryn
103,Anhöhe::N,түбә,bryn
104,Anhöhe::N,ҡалҡыулыҡ,bryn
105,Berg::N,тау,mynydd
106,Gipfel::N,түбә,copa
107,Höhle::N,мәмерйә,ogof
108,Abhang::N,ипкен,llethr
109,Quelle::N,шишмә,tarddiad
110,Quelle::N,шишмә,ffynhonnell
111,Bach::N,шишмә,nant
112,Bach::N,шишмә,afonig
113,Bach::N,шишмә,cornant
114,Fluss::N,йылға,afon
115,Ufer::N,яр,glan
116,Küste::N,яр буйы,traeth
117,Küste::N,яр буйы,arfordir
118,Festland::N,ҡоро ер,tir
119,Meer::N,диңгез,môr
120,Bucht::N,бухта,bae
121,Insel::N,үтрау,ynys
122,Blume::N,сәскә,blodyn
123,Gras::N,үлән,glaswellt
