,Concept_ID,uk,is
0,Auge::N,око,auga
1,Ohr::N,вухо,eyra
2,Nase::N,ніс,nef
3,Mund::N,рот,munnur
4,Zahn::N,зуб,tönn
5,Zunge::N,язик,tunga
6,Lippe::N,губа,vör
7,Wange::N,щока,kinn
8,Wange::N,щока,vangi
9,Gesicht::N,обличчя,andlit
10,Stirn::N,лоб,enni
11,Haar::N,волосся,hár
12,Schnurrbart::N,вуса,yfirskegg
13,Bart::N,борода,skegg
14,Kinn::N,підборіддя,haka
15,Kiefer[Anatomie]::N,щелепа,kjálki
16,Kiefer[Anatomie]::N,щелепа,skoltur
17,Kehle::N,горло,kverk
18,Hals::N,шия,háls
19,Genick::N,потилиця,hnakki
20,Kopf::N,голова,höfuð
21,Rücken::N,спина,hryggur
22,Bauch::N,живіт,kviður
23,Nabel::N,пупок,nafli
24,Busen::N,груди,barmur
25,Brust::N,груди,brjóst
26,Schulter::N,плече,öxl
27,Arm::N,рука,armur
28,Ellenbogen::N,лікоть,olnbogi
29,Hand::N,рука,hönd
30,Handfläche::N,долоня,lófi
31,Finger::N,палець,fingur
32,Fingernagel::N,ніготь,fingurnögl
33,Nagel[Anatomie]::N,ніготь,nögl
34,Zeh::N,палець на нозі,tá
35,Fuß::N,нога,fótur
36,Ferse::N,п’ятка,hæll
37,Knie::N,коліно,kné
38,Oberschenkel::N,стегно,læri
39,Bein::N,нога,fótleggur
40,Körper::N,тіло,búkur
41,Körper::N,тіло,líkami
42,Haut::N,шкіра,húð
43,Haut::N,шкіра,skinn
44,Blut::N,кров,blóð
45,Ader::N,вена,æð
46,Sehne::N,сухожилля,sin
47,Knochen::N,кістка,bein
48,Gehirn::N,мозок,heili
49,Herz::N,серце,hjarta
50,Magen::N,шлунок,magi
51,Leber::N,печінка,lifur
52,Atem::N,дихання,andi
53,Atem::N,дихання,andardráttur
54,Hunger::N,голод,hungur
55,Träne::N,сльоза,tár
56,Geschmack::N,смак,smekkur
57,Geruch::N,запах,lykt
58,Schlaf::N,сон,svefn
59,Schlaf::N,сплячка,svefn
60,Traum::N,сон,draumur
61,Himmel::N,небо,himinn
62,Sonne::N,сонце,sól
63,Mond::N,місяць,tungl
64,Stern::N,зірка,stjarna
65,Luft::N,повітря,loft
66,Wind::N,вітер,vindur
67,Welle::N,хвиля,alda
68,Welle::N,хвиля,bylgja
69,Wasser::N,вода,vatn
70,Stein::N,камінь,steinn
71,Boden::N,ґрунт,botn
72,Erde::N,земля,jörð
73,Staub::N,пил,ryk
74,Staub::N,пил,duft
75,Rauch::N,дим,reykur
76,Funke::N,іскра,neisti
77,Feuer::N,вогонь,eldur
78,Licht::N,світло,ljós
79,Schatten::N,тінь,skuggi
80,Wetter::N,погода,veður
81,Nebel::N,туман,þoka
82,Wolke::N,хмара,ský
83,Regen::N,дощ,regn
84,Schnee::N,сніг,snjór
85,Eis::N,лід,ís
86,Frost::N,мороз,frost
87,Kälte::N,холод,kuldi
88,Hitze::N,жар,hiti
89,Raureif::N,іній,hrím
90,Regenbogen::N,райдуга,regnbogi
91,Donner::N,грім,þruma
92,Strömung::N,струмина,straumur
93,Tropfen::N,крапля,dropi
94,Schaum::N,піна,froða
95,Schmutz::N,бруд,óhreinindi
96,See::N,озеро,stöðuvatn
97,Sumpf::N,драговина,fen
98,Moor::N,болото,mýri
99,Wiese::N,луг,engi
100,Wiese::N,лука,engi
101,Wald::N,ліс,skógur
102,Hügel::N,горб,hæð
103,Hügel::N,горб,hóll
104,Anhöhe::N,височина,hæð
105,Anhöhe::N,височина,hóll
106,Berg::N,гора,fell
107,Berg::N,гора,fjall
108,Gipfel::N,вершина,tindur
109,Höhle::N,печера,hellir
110,Abhang::N,схил,hlíð
111,Abhang::N,схил,brekka
112,Quelle::N,джерело,lind
113,Quelle::N,джерело,uppspretta
114,Bach::N,струмок,lækur
115,Fluss::N,річка,á
116,Fluss::N,річка,fljót
117,Ufer::N,берег,árbakki
118,Ufer::N,берег,sjávarbakki
119,Küste::N,узбережжя,strönd
120,Festland::N,суша,meginland
121,Meer::N,море,haf
122,Meer::N,море,sjór
123,Bucht::N,бухта,vík
124,Bucht::N,затока,vík
125,Insel::N,острів,eyja
126,Blume::N,квітка,blóm
127,Gras::N,трава,gras
128,Wurzel::N,корінь,rót
129,Baum::N,дерево,tré
130,Stamm::N,стовбур,stofn
131,Rinde::N,кора,börkur
132,Ast::N,гілка,grein
133,Zweig::N,галузь,angi
134,Zweig::N,галузь,kvistur
135,Blatt::N,лист,blað
136,Birke::N,береза,birki
137,Kiefer[Baum]::N,сосна,fura
138,Weide[Baum]::N,верба,víðir
139,Tanne::N,ялиця,greni
140,Horn::N,ріг,horn
141,Feder::N,перо,fjöður
142,Fell::N,хутро,skinn
143,Flügel::N,крило,vængur
144,Klaue::N,кіготь,kló
145,Kralle::N,лапа,kló
146,Schwanz::N,хвіст,rófa
147,Schwanz::N,хвіст,skott
148,Ei::N,яйце,egg
149,Nest::N,гніздо,hreiður
150,Bau::N,лігво,greni
151,Bau::N,лігво,bæli
152,Tier::N,тварина,dýr
153,Herde::N,стадо,hjörð
154,Kuh::N,корова,kýr
155,Bulle::N,бик,boli
156,Bulle::N,бугай,boli
157,Pferd::N,кінь,hestur
158,Schaf::N,вівця,kind
159,Schwein::N,свиня,svín
160,Hund::N,собака,hundur
161,Katze::N,кішка,köttur
162,Bär::N,ведмідь,björn
163,Eichhörnchen::N,білка,íkorni
164,Elch::N,лось,elgur
165,Fuchs::N,лисиця,refur
166,Hase::N,заєць,héri
167,Maus::N,миша,mús
168,Wolf::N,вовк,úlfur
169,Vogel::N,птах,fugl
170,Schwarm::N,зграя,sægur
171,Huhn::N,курка,hæna
172,Hahn::N,півень,hani
173,Gans::N,гуска,gæs
174,Adler::N,орел,örn
175,Ente::N,качка,önd
176,Eule::N,сова,uggla
177,Kranich::N,журавель,trana
178,Krähe::N,ворона,kráka
179,Kuckuck::N,зозуля,gaukur
180,Schwan::N,лебідь,svanur
181,Fisch::N,риба,fiskur
182,Barsch::N,окунь,aborri
183,Hecht::N,щука,gedda
184,Schlange[Tier]::N,змія,naðra
185,Wurm::N,черв’як,ormur
186,Spinne::N,павук,kónguló
187,Ameise::N,мурашка,maur
188,Laus::N,воша,lús
189,Mücke::N,комар,mý
190,Mücke::N,комар,mýfluga
191,Fliege::N,муха,fluga
192,Schmetterling::N,метелик,fiðrildi
193,Beere::N,ягода,ber
194,Apfel::N,яблуко,epli
195,Pilz::N,гриб,sveppur
196,Zwiebel::N,цибуля,laukur
197,Saat::N,сім’я,fræ
198,Saat::N,сім’я,útsæði
199,Korn::N,зерно,korn
200,Heu::N,сіно,hey
201,Schale::N,шкірка,hýði
202,Grube::N,яма,gryfja
203,Falle::N,пастка,gildra
204,Schlinge::N,петля,snara
205,Spur::N,слід,spor
206,Asche::N,зола,aska
207,Asche::N,попіл,aska
208,Dreck::N,бруд,óþverri
209,Eisen::N,залізо,járn
210,Gold::N,золото,gull
211,Silber::N,срібло,silfur
212,Kohle::N,вугілля,kol
213,Glas::N,скло,gler
214,Lehm::N,глина,leir
215,Sand::N,пісок,sandur
216,Mensch::N,людина,maður
217,Mensch::N,людина,manneskja
218,Mann::N,чоловік,maður
219,Mann::N,чоловік,karlmaður
220,Frau::N,жінка,kona
221,Kind::N,дитина,barn
222,Kind::N,дитина,krakki
223,Junge::N,хлопець,drengur
224,Mädchen::N,дівчина,stelpa
225,Familie::N,сім’я,fjölskylda
226,Familie::N,родина,fjölskylda
227,Großvater::N,дідусь,afi
228,Großmutter::N,бабуся,amma
229,Eltern::N,батьки,foreldrar
230,Vater::N,батько,faðir
231,Mutter::N,мати,móðir
232,Sohn::N,син,sonur
233,Tochter::N,дочка,dóttir
234,Bruder::N,брат,bróðir
235,Schwester::N,сестра,systir
236,Onkel::N,дядько,föðurbróðir
237,Tante::N,тітка,frænka
238,Tante::N,тітка,móðursystir
239,Ehemann::N,чоловік,eiginmaður
240,Ehefrau::N,жінка,eiginkona
241,Ehefrau::N,дружина,eiginkona
242,Freude::N,радощі,gleði
243,Gelächter::N,сміх,hlátur
244,Glück::N,щастя,gæfa
245,Kummer::N,горе,sorg
246,Wunsch::N,бажання,ósk
247,Lust::N,бажання,fýsn
248,Lust::N,бажання,löngun
249,Geist::N,дух,andi
250,Gedanke::N,думка,hugsun
251,Gedächtnis::N,пам’ять,minni
252,Verstand::N,розум,vit
253,Sinn::N,зміст,merking
254,Sinn::N,значення,merking
255,Grund::N,причина,ástæða
256,Wahrheit::N,правда,sannleikur
257,Gespräch::N,розмова,samtal
258,Märchen::N,байка,ævintýri
259,Erzählung::N,повість,saga
260,Erzählung::N,оповідання,saga
261,Nachricht::N,повідомлення,frétt
262,Neuigkeit::N,новина,frétt
263,Name::N,ім’я,nafn
264,Rätsel::N,загадка,gáta
265,Rede::N,промова,ræða
266,Sprache::N,мова,mál
267,Sprache::N,мова,tungumál
268,Stimme::N,голос,rödd
269,Wort::N,слово,orð
270,Zeichen::N,знак,tákn
271,Zeichen::N,знак,merki
272,Ruf::N,оклик,kall
273,Lärm::N,шум,hávaði
274,Laut::N,звук,hljóð
275,Ton::N,тон,tónn
276,Lied::N,пісня,ljóð
277,Lied::N,пісня,söngur
278,Ruhe::N,спокій,ró
279,Ruhe::N,спокій,kyrrð
280,Leute::N,люди,fólk
281,Volk::N,народ,þjóð
282,Arbeit::N,робота,vinna
283,Gast::N,гість,gestur
284,Geschenk::N,подарунок,gjöf
285,Spiel::N,гра,leikur
286,Gesellschaft::N,товариство,selskapur
287,Hilfe::N,допомога,hjálp
288,Freund::N,друг,vinur
289,Freund::N,приятель,vinur
290,Kamerad::N,товариш,félagi
291,Angelegenheit::N,справа,mál
292,Angelegenheit::N,справа,málefni
293,Anzahl::N,число,tala
294,Anzahl::N,число,fjöldi
295,Art::N,рід,tegund
296,Stück::N,кусок,biti
297,Stück::N,кусок,stykki
298,Teil::N,частина,hluti
299,Teil::N,частина,partur
300,Hälfte::N,половина,helmingur
301,Kreis::N,круг,hringur
302,Kreis::N,коло,hringur
303,Kreuz::N,хрест,kross
304,Kreuz::N,хрест,krossmark
305,Linie::N,лінія,lína
306,Strich::N,штрих,strik
307,Abstand::N,проміжок,millibil
308,Entfernung::N,відстань,fjarlægð
309,Gegend::N,місцевість,hérað
310,Platz::N,площа,pláss
311,Ort::N,місце,staður
312,Seite::N,сторона,hlið
313,Mitte::N,середина,miðja
314,Gegenstand::N,предмет,hlutur
315,Sache::N,річ,mál
316,Rand::N,край,brún
317,Kante::N,ребро,rönd
318,Ecke::N,ріг,horn
319,Spitze::N,кінчик,oddur
320,Ende::N,кінець,endi
