,Concept_ID,no,he
0,Auge::N,øye,עין
1,Ohr::N,øre,אזן
2,Nase::N,nese,אף
3,Nase::N,nese,חטם
4,Mund::N,munn,פה
5,Zahn::N,tann,שן
6,Zunge::N,tunge,לשון
7,Lippe::N,leppe,שפה
8,Wange::N,kinn,לחי
9,Gesicht::N,fjes,פנים
10,Gesicht::N,ansikt,פנים
11,Stirn::N,panne,מצח
12,Haar::N,hår,שערה
13,Schnurrbart::N,bart,שפם
14,Bart::N,skjegg,זקן
15,Kinn::N,hake,סנטר
16,Kiefer[Anatomie]::N,kjeve,לסת
17,Kehle::N,strupe,גרון
18,Hals::N,hals,צואר
19,Genick::N,nakke,ערף
20,Kopf::N,hode,ראש
21,Rücken::N,rygg,גב
22,Bauch::N,buk,בטן
23,Bauch::N,mage,בטן
24,Nabel::N,navle,טבור
25,Busen::N,barm,שד
26,Brust::N,bryst,חזה
27,Schulter::N,skulder,כתף
28,Arm::N,arm,זרוע
29,Ellenbogen::N,albue,מרפק
30,Hand::N,hånd,יד
31,Handfläche::N,håndflate,כף יד
32,Finger::N,finger,אצבע
33,Fingernagel::N,fingernegl,צפרן
34,Nagel[Anatomie]::N,negl,צפרן
35,Zeh::N,tå,אצבע
36,Fuß::N,fot,רגל
37,Ferse::N,hæl,עקב
38,Knie::N,kne,ברך
39,Oberschenkel::N,lår,ירך
40,Bein::N,bein,רגל
41,Körper::N,kropp,גוף
42,Körper::N,legeme,גוף
43,Haut::N,hud,עור
44,Haut::N,skinn,עור
45,Blut::N,blod,דם
46,Ader::N,åre,וריד
47,Sehne::N,sene,גיד
48,Knochen::N,bein,עצם
49,Knochen::N,knokkel,עצם
50,Gehirn::N,hjerne,מוח
51,Herz::N,hjerte,לב
52,Magen::N,mage,קבה
53,Leber::N,lever,כבד
54,Atem::N,pust,נשימה
55,Hunger::N,sult,רעב
56,Träne::N,tåre,דמעה
57,Geschmack::N,smak,טעם
58,Geruch::N,lukt,ריח
59,Schlaf::N,søvn,שנה
60,Traum::N,drøm,חלום
61,Himmel::N,himmel,שמים
62,Sonne::N,sol,שמש
63,Mond::N,måne,ירח
64,Stern::N,stjerne,כוכב
65,Luft::N,luft,אויר
66,Wind::N,vind,רוח
67,Welle::N,bølge,גל
68,Wasser::N,vann,מים
69,Stein::N,stein,אבן
70,Boden::N,bakke,קרקע
71,Erde::N,jord,אדמה
72,Staub::N,støv,אבק
73,Rauch::N,røyk,עשן
74,Funke::N,gnist,ניצוץ
75,Feuer::N,ild,אש
76,Licht::N,lys,אור
77,Schatten::N,skygge,צל
78,Wetter::N,vær,מזג אויר
79,Nebel::N,tåke,ערפל
80,Wolke::N,sky,ענן
81,Regen::N,regn,גשם
82,Schnee::N,snø,שלג
83,Eis::N,is,קרח
84,Frost::N,frost,צנה
85,Kälte::N,kulde,קר
86,Hitze::N,hete,חם
87,Raureif::N,rimfrost,כפור
88,Regenbogen::N,regnbue,קשת
89,Donner::N,torden,רעם
90,Strömung::N,strømning,זרימה
91,Tropfen::N,dråpe,טפה
92,Schaum::N,skum,קצף
93,Schmutz::N,søl,לכלוך
94,Schmutz::N,skitt,לכלוך
95,See::N,sjø,אגם
96,Sumpf::N,sump,בצה
97,Sumpf::N,myrlende,בצה
98,Moor::N,myr,בצה
99,Moor::N,myrhei,בצה
100,Wiese::N,eng,מרעה
