,Concept_ID,ca,pt
0,Auge::N,ull,olho
1,Ohr::N,orella,orelha
2,Nase::N,nas,nariz
3,Mund::N,boca,boca
4,Zahn::N,dent,dente
5,Zunge::N,llēngua,língua
6,Lippe::N,llavi,lábio
7,Wange::N,galta,face
8,Gesicht::N,cara,cara
9,Gesicht::N,cara,rosto
10,Stirn::N,front,testa
11,Haar::N,cabēll,cabelo
12,Schnurrbart::N,bigoti,bigode
13,Bart::N,barba,barba
14,Kinn::N,mentó,queixo
15,Kinn::N,barbeta,queixo
16,Kiefer[Anatomie]::N,queix,maxila
17,Kiefer[Anatomie]::N,queix,mandíbula
18,Kiefer[Anatomie]::N,mandíbula,maxila
19,Kiefer[Anatomie]::N,mandíbula,mandíbula
20,Kehle::N,gola,garganta
21,Kehle::N,gorja,garganta
22,Hals::N,coll,colo
23,Hals::N,coll,pescoço
24,Genick::N,nuca,nuca
25,Kopf::N,cap,cabeça
26,Rücken::N,esquena,dorso
27,Rücken::N,esquena,costas
28,Bauch::N,panxa,ventre
29,Bauch::N,panxa,barriga
30,Nabel::N,llombrígol,umbigo
31,Busen::N,pit,seio
32,Busen::N,mama,seio
33,Brust::N,pit,peito
34,Schulter::N,espatlla,ombro
35,Arm::N,braç,braço
36,Ellenbogen::N,colze,cotovelo
37,Hand::N,mà,mão
38,Handfläche::N,palma,palma
39,Handfläche::N,palma,palma da mão
40,Finger::N,dit,dedo
41,Fingernagel::N,ungla,unha
42,Nagel[Anatomie]::N,ungla,unha
43,Zeh::N,dit del peu,dedo do pé
44,Fuß::N,peu,pé
45,Ferse::N,taló,calcanhar
46,Knie::N,genoll,joelho
47,Oberschenkel::N,cuixa,coxa
48,Bein::N,cama,perna
49,Körper::N,cos,corpo
50,Haut::N,pell,pele
51,Blut::N,sang,sangue
52,Ader::N,vena,veia
53,Sehne::N,tendó,tendão
54,Knochen::N,os,osso
55,Gehirn::N,cervell,cérebro
56,Herz::N,cor,coração
57,Magen::N,estómac,estômago
58,Leber::N,fetge,fígado
59,Atem::N,alè,fôlego
60,Atem::N,hàlit,fôlego
61,Hunger::N,fam,fome
62,Hunger::N,gana,fome
63,Träne::N,llàgrima,lágrima
64,Geschmack::N,gust,gosto
65,Geschmack::N,sabor,gosto
66,Geruch::N,olor,odor
67,Geruch::N,olor,cheiro
68,Schlaf::N,son,sono
69,Traum::N,somni,sonho
70,Himmel::N,celm,céu
71,Sonne::N,sol,sol
72,Mond::N,lluna,lua
73,Stern::N,estel,estrela
74,Stern::N,estrella,estrela
75,Luft::N,aire,ar
76,Wind::N,vent,vento
77,Welle::N,ona,onda
78,Wasser::N,āigua,água
79,Stein::N,pedra,pedra
80,Boden::N,sòl,solo
81,Erde::N,terra,terra
82,Staub::N,pols,pó
83,Rauch::N,fum,fumo
84,Funke::N,guspira,faísca
85,Funke::N,guspira,centelha
86,Funke::N,centella,faísca
87,Funke::N,centella,centelha
88,Feuer::N,foc,fogo
89,Licht::N,llum,luz
90,Schatten::N,ombra,sombra
91,Wetter::N,temps,tempo
92,Nebel::N,boira,nevoeiro
93,Wolke::N,núvol,nuvem
94,Regen::N,pluja,chuva
95,Schnee::N,neu,neve
96,Eis::N,gel,gelo
97,Eis::N,glaç,gelo
98,Frost::N,glaçada,gelo
99,Frost::N,glaçada,geada
100,Kälte::N,fred,frio
101,Hitze::N,calor,ardor
102,Raureif::N,gebre,geada
103,Regenbogen::N,arc iris,arco-iris
104,Donner::N,tro,trovão
105,Strömung::N,corrent,corrente
106,Tropfen::N,gota,gota
107,Schaum::N,escuma,espuma
108,Schmutz::N,brutícia,sujidade
109,Schmutz::N,brutícia,imundície
110,See::N,llac,lago
111,Sumpf::N,pantà,charco
112,Sumpf::N,pantà,pântano
113,Moor::N,pantà,pântano
114,Wiese::N,prat,prado
115,Wiese::N,prada,prado
116,Wald::N,bosc,bosque
117,Wald::N,bosc,floresta
118,Hügel::N,puig,colina
119,Hügel::N,pujol,colina
120,Anhöhe::N,turó,alto
121,Anhöhe::N,turó,outeiro
122,Berg::N,muntanya,monte
123,Berg::N,muntanya,montanha
124,Gipfel::N,cim,pico
125,Höhle::N,cova,caverna
126,Abhang::N,coster,encosta
127,Quelle::N,font,fonte
128,Bach::N,riera,regato
129,Bach::N,riera,ribeiro
130,Fluss::N,riu,rio
131,Ufer::N,riba,beira
132,Küste::N,costa,costa
133,Festland::N,terra ferma,terra firme
134,Meer::N,mar,mar
135,Bucht::N,cala,baía
136,Bucht::N,badia,baía
137,Insel::N,illa,ilha
138,Blume::N,flor,flor
139,Gras::N,herba,erva
140,Wurzel::N,rel,raiz
141,Wurzel::N,arrel,raiz
142,Baum::N,arbre,árvore
143,Stamm::N,tronc,tronco
144,Rinde::N,escorça,casca
145,Ast::N,branca,ramo
146,Zweig::N,ram,galho
147,Blatt::N,fulla,folha
148,Birke::N,bedoll,bétula
149,Kiefer[Baum]::N,pi,pinheiro
150,Weide[Baum]::N,salze,salgueiro
151,Tanne::N,avet,abeto
152,Horn::N,corn,corno
153,Horn::N,corn,chifre
154,Horn::N,banya,corno
155,Horn::N,banya,chifre
156,Feder::N,ploma,pena
157,Fell::N,pell,pele
158,Flügel::N,ala,asa
159,Klaue::N,urpa,pata
160,Kralle::N,grapa,unha
