,Concept_ID,cv,sv
0,Auge::N,куҫ,öga
1,Ohr::N,хӑлха,öra
2,Nase::N,сӑмса,näsa
3,Mund::N,ҫӑвар,mun
4,Zahn::N,шӑл,tand
5,Zunge::N,чӗлхе,tunga
6,Lippe::N,тута,läpp
7,Wange::N,пит ҫӑмарти,kind
8,Gesicht::N,пит,syn
9,Gesicht::N,пит,ansikte
10,Gesicht::N,пит-куҫ,syn
11,Gesicht::N,пит-куҫ,ansikte
12,Stirn::N,ҫамка,panna
13,Haar::N,ҫӳҫ,hår
14,Schnurrbart::N,усси,mustasch
15,Bart::N,сухал,skägg
16,Kinn::N,янах,haka
17,Kiefer[Anatomie]::N,янах,käke
18,Kehle::N,пыр,strupe
19,Kehle::N,карланкӑ,strupe
20,Hals::N,пыр,hals
21,Genick::N,ӗнсе,nacke
22,Kopf::N,пуҫ,huvud
23,Rücken::N,ҫурӑм,rygg
24,Nabel::N,кӑвапа,navel
25,Busen::N,кӑкӑр,barm
26,Brust::N,умӗ,bröst
27,Schulter::N,хул пуҫҫи,skuldra
28,Arm::N,алӑ,arm
29,Ellenbogen::N,чавса,armbåge
30,Hand::N,алӑ сыппи,hand
31,Handfläche::N,ал лаппи,handflata
32,Finger::N,пӳрне,finger
33,Fingernagel::N,чӗрне,fingernagel
34,Nagel[Anatomie]::N,чӗрне,nagel
35,Zeh::N,пӳрне,tå
36,Fuß::N,ура лаппи,fot
37,Ferse::N,кӗле,häl
38,Knie::N,чӗркуҫҫи,knä
39,Oberschenkel::N,пӗҫӗ,lår
40,Bein::N,ура,ben
41,Körper::N,ӳт,kropp
42,Körper::N,ӳт-пӳ,kropp
43,Haut::N,тир,hud
44,Haut::N,тир,skinn
45,Blut::N,юн,blod
46,Ader::N,вена,åder
47,Sehne::N,шӑнӑр,sena
48,Knochen::N,шӑмӑ,ben
49,Gehirn::N,миме,hjärna
50,Herz::N,чӗре,hjärta
51,Magen::N,хырӑмлӑх,mage
52,Leber::N,пӗвер,lever
53,Atem::N,сывлав,anda
54,Atem::N,сывлав,andedräkt
55,Hunger::N,выҫлӑх,svält
56,Hunger::N,выҫлӑх,hunger
57,Träne::N,куҫҫуль,tår
58,Geschmack::N,техӗм,smak
59,Geruch::N,шӑршӑ,lukt
60,Schlaf::N,ыйхӑ,sömn
61,Traum::N,тӗлӗк,dröm
62,Himmel::N,пӗлӗт,himmel
63,Sonne::N,хӗвел,sol
64,Mond::N,уйӑх,måne
65,Stern::N,ҫӑлтӑр,stjärna
66,Luft::N,сывлӑш,luft
67,Wind::N,ҫил,vind
68,Welle::N,хум,våg
69,Welle::N,хум,bölja
70,Wasser::N,шыв,vatten
71,Wasser::N,шыв-шур,vatten
72,Stein::N,чул,sten
73,Boden::N,тӑпра,mark
74,Erde::N,ҫӗр,jord
75,Staub::N,тусан,damm
76,Rauch::N,тӗтӗм,rök
77,Funke::N,хӗм,gnista
78,Feuer::N,вут,eld
79,Feuer::N,ҫулӑм,eld
80,Licht::N,ҫутӑ,ljus
81,Schatten::N,сулхӑн,skugga
82,Wetter::N,ҫанталӑк,väder
83,Nebel::N,тӗтре,dimma
84,Nebel::N,тӗтре,töcken
85,Wolke::N,пӗлӗт,sky
86,Wolke::N,пӗлӗт,moln
87,Regen::N,ҫумӑр,regn
88,Schnee::N,юр,snö
89,Eis::N,пӑр,is
90,Frost::N,сивӗ,frost
91,Kälte::N,сивӗ,köld
92,Hitze::N,вӗри,hetta
93,Hitze::N,шӑрӑх,hetta
94,Raureif::N,пас,rimfrost
95,Regenbogen::N,асамат кӗперӗ,regnbåge
96,Donner::N,аслати,åska
97,Donner::N,аслати,dunder
98,Strömung::N,юхӑ,strömning
99,Tropfen::N,тумлам,dropper
100,Schaum::N,кӑпӑк,skum
101,Schmutz::N,пылчӑк,lort
102,Schmutz::N,пылчӑк,smuts
103,See::N,кӳлӗ,sjö
104,Sumpf::N,шур,träsk
105,Sumpf::N,шурлӑх,träsk
106,Moor::N,торфлӑ шурлӑх,myr
107,Moor::N,торфлӑ шурлӑх,mosse
108,Wiese::N,улӑх,äng
109,Wiese::N,ҫаран,äng
110,Wald::N,вӑрман,skog
111,Hügel::N,сӑрт,höjd
112,Hügel::N,сӑрт,kulle
113,Hügel::N,тӗмеске,höjd
114,Hügel::N,тӗмеске,kulle
115,Anhöhe::N,сӑрт,höjd
116,Anhöhe::N,сӑрт,backe
117,Berg::N,ту,berg
118,Berg::N,ту,fjäll
119,Gipfel::N,тӳпе,topp
120,Höhle::N,ҫӗр хӑвӑлӗ,håla
121,Höhle::N,ҫӗр хӑвӑлӗ,grotta
122,Abhang::N,тӑвайкки,slänt
123,Abhang::N,тӑвайкки,sluttning
124,Quelle::N,ҫӑл куҫ,källa
125,Bach::N,пӗчӗк шыв,bäck
126,Fluss::N,юхан шыв,älv
127,Fluss::N,юхан шыв,flod
128,Ufer::N,ҫыран,strand
129,Küste::N,тинӗс ҫыранӗ,kust
130,Festland::N,тип ҫӗр,fastland
131,Meer::N,тинӗс,hav
132,Bucht::N,тинӗс кукӑрӗ,vik
133,Bucht::N,тинӗс кукӑрӗ,bukt
