,Concept_ID,ab,uz
0,Auge::N,ала,ko'z
1,Ohr::N,алымҳа,quloq
2,Nase::N,аҧынҵа,burun
3,Mund::N,аҧышə,og'iz
4,Zahn::N,ахаҧыц,tish
5,Zunge::N,абз,til
6,Lippe::N,ақьышə,dudoq
7,Wange::N,аӡамҩа,bet
8,Gesicht::N,аҿы,yuz
9,Stirn::N,алахь,manglay
10,Haar::N,ахəыц,soch
11,Schnurrbart::N,аҧаҵа,mo'ylov
12,Bart::N,ажакьа,soqol
13,Kinn::N,ацламкəыгə,ängak
14,Kiefer[Anatomie]::N,ацламҳəа,iyak
15,Kehle::N,ахəда,bo'g'iz
16,Hals::N,ахəда,bo'yin
17,Genick::N,ахəдаџьал,gardan
18,Kopf::N,ахы,bosh
19,Rücken::N,азқəа,orqa
20,Bauch::N,амгəа,qorin
21,Nabel::N,аҷапан,kindik
22,Busen::N,агəыҧҳəы,ämchak
23,Brust::N,агəышҧы,ko'krak
24,Schulter::N,ажəҩахыр,elka
25,Arm::N,амахəар,bilak
26,Ellenbogen::N,амашьхəылҵ,tirsak
27,Hand::N,анапы,qo'l
28,Handfläche::N,анапсаргəыҵа,kaft
29,Finger::N,анацəа,barmoq
30,Fingernagel::N,анапхыц,tirnoq
31,Nagel[Anatomie]::N,ашьапхыц,tirnoq
32,Zeh::N,ашьацəа,oyoq barmog'i
33,Fuß::N,ашьапсыргəыҵа,oyoq
34,Ferse::N,ашьхəа,tovon
35,Knie::N,ашьамхы,tiz
36,Oberschenkel::N,ауаҭəа,son
37,Bein::N,ашьапы,oyoq
38,Körper::N,ацəеижь,badna
39,Haut::N,ацəа,teri
40,Blut::N,ашьа,qon
41,Ader::N,ада,qon tomir
42,Sehne::N,адаш,tomir
43,Knochen::N,абаҩ,suyak
44,Gehirn::N,ахшлыбаҩ,miya
45,Gehirn::N,ахшыбаҩ,miya
46,Herz::N,агəы,qalb
47,Magen::N,аца,oshqozon
48,Magen::N,ацар,oshqozon
49,Leber::N,агəаҵəа,bag'ir
50,Atem::N,аҧсыҧлагаҩгара,dam
51,Hunger::N,амла,ochlik
52,Träne::N,алабжыш,yosh
53,Geschmack::N,агьама,tam
54,Geruch::N,афҩы,jid
55,Schlaf::N,ацəа,uyqu
56,Traum::N,аҧхыӡ,tush
57,Himmel::N,ажəҩан,osmon
58,Sonne::N,амра,quyosh
59,Mond::N,амза,oy
60,Stern::N,аеҵəа,yulduz
61,Luft::N,аҳаир,havo
62,Wind::N,аҧша,el
63,Welle::N,ацəқəырҧа,to'lqin
64,Wasser::N,аӡы,suv
65,Stein::N,ахаҳə,tosh
66,Boden::N,адгьыл,tuproq
67,Erde::N,адгьыл,er
68,Staub::N,асаба,chang
69,Rauch::N,алҩа,tutun
70,Funke::N,акəиц,yalt
71,Funke::N,ацҧхь,yalt
72,Feuer::N,амца,o't
73,Licht::N,алашара,yorug'
74,Schatten::N,ашəшьыра,soya
75,Wetter::N,амш,havo
76,Nebel::N,анаҟəа,tuman
77,Wolke::N,аҧсҭҳəа,bulut
78,Regen::N,ақəа,yomg'ir
79,Schnee::N,асы,qor
80,Eis::N,аҵаа,muz
81,Frost::N,аҵаа,ajoz
82,Kälte::N,ахьҭа,ajoz
83,Hitze::N,ашоура,issiq
84,Raureif::N,аҵааҧшқа,qirov
85,Regenbogen::N,ацəаҟəа,kamalak
86,Donner::N,адыд,guldur
87,Strömung::N,аиасра,oqim
88,Strömung::N,амҩасра,oqim
89,Tropfen::N,ацəыкəбар,tomchi
90,Schaum::N,ашəах,ko'pik
91,Schmutz::N,алымт,gard
92,See::N,аӡиа,ko'l
93,Sumpf::N,аӡмах,botqoq
94,Wiese::N,адəы,o'tzor
95,Wald::N,абна,o'rmon
96,Hügel::N,ахəы,tepa
97,Anhöhe::N,аҳаракыра,adir
98,Berg::N,ашьха,tog'
99,Gipfel::N,ацəқəа,cho'qqi
100,Höhle::N,аҳаҧы,kavak
101,Abhang::N,анаара,to'sh
102,Quelle::N,аҵҵырҭа,buloq
103,Bach::N,акəараҷҷа,o'zan
104,Fluss::N,аӡиас,daryo
105,Ufer::N,ахықə,sohil
106,Küste::N,ахықə,qirg'oq
107,Festland::N,абарра,materik
108,Meer::N,амшын,dengiz
109,Bucht::N,аӡбжьахала,qo'ltiq
110,Insel::N,адгьылбжьаха,orol
111,Blume::N,ашəҭ,gul
112,Gras::N,аҳасакьын,sabza
113,Wurzel::N,адац,tub
114,Wurzel::N,адац,tomir
115,Baum::N,аҵла,daraxt
116,Stamm::N,ашьапы,o'simta
117,Rinde::N,ацəа,qobiq
118,Ast::N,амахə,shox
119,Ast::N,амахəҭа,shox
120,Zweig::N,амахə,butoq
121,Zweig::N,амахəҭа,butoq
122,Blatt::N,абҕьы,barg
123,Birke::N,аҵааҵла,qayin
124,Kiefer[Baum]::N,амза,qarag'ay
125,Weide[Baum]::N,аҧслыш,shum
126,Tanne::N,аҧсаӡ,archa
127,Horn::N,атəыҩа,mugiz
128,Feder::N,ахӡы,par
129,Fell::N,ацəа,mo'yna
130,Flügel::N,амҵəыжəа,qanot
131,Klaue::N,ашьапхыц,tirnoq
132,Schwanz::N,аҵыхəа,quyruq
133,Ei::N,акəтаӷь,tuxum
134,Nest::N,аҭра,oshyon
135,Nest::N,аҵысҭра,oshyon
136,Bau::N,аҭыҩра,o'pqon
137,Tier::N,аҧстəы,hayvon
138,Tier::N,агыгшəыг,hayvon
139,Herde::N,агəарҭа,gala
140,Kuh::N,ажə,inak
141,Bulle::N,ацə,ho'kiz
142,Pferd::N,аҽы,ot
143,Schaf::N,ауаса,qo'y
144,Schwein::N,аҳəа,cho'chqa
145,Hund::N,ала,it
146,Katze::N,ацгəы,mushuk
147,Bär::N,амшə,ayiq
148,Eichhörnchen::N,аеш,tiyin
149,Elch::N,аҽаҩа,los
150,Fuchs::N,абгахəыҷы,tulki
151,Hase::N,ажьа,kuyon
152,Maus::N,аҳəынаҧ,sichqon
153,Wolf::N,абгаду,bo'ri
154,Vogel::N,аҧсаатə,qush
155,Huhn::N,акəты,tovuq
156,Hahn::N,арбаҕь,xo'roz
157,Gans::N,аҟыз,g'oz
158,Adler::N,ауарба,burgut
159,Ente::N,акəата,o'rdak
160,Eule::N,аты,boyo'g'li
161,Kranich::N,апҟа,turna
162,Krähe::N,аҟəараан,qarg'a
163,Kuckuck::N,акəыкəу,kakku
164,Schwan::N,агьад,oqkush
165,Fisch::N,аҧсыӡ,baliq
166,Barsch::N,ацəыбла,olabug'a
167,Hecht::N,ахиаала,cho'rtan
168,Schlange[Tier]::N,амаҭ,ilon
169,Wurm::N,ахəа,qurt
170,Wurm::N,ахəац,qurt
171,Spinne::N,абызкаҭаҳа,o'rgimchak
172,Ameise::N,ашышкамс,chumoli
173,Laus::N,аҵа,bit
174,Mücke::N,акəыбры,chivin
175,Fliege::N,амҵ,pashsha
176,Schmetterling::N,аҧарҧалыкь,kapalak
177,Beere::N,аргуц,meva
178,Apfel::N,аҵəа,olma
179,Pilz::N,акəкəбаа,qo'ziqorin
180,Zwiebel::N,аџьымшьы,piyoz
181,Zwiebel::N,аџьымшьхы,piyoz
182,Saat::N,ажəла,äkin
183,Korn::N,арыц,zarra
184,Heu::N,аҭəа,xashak
185,Schale::N,ацəа,po'choq
186,Grube::N,ажра,co'ra
187,Grube::N,атыша,co'ra
188,Falle::N,арыҧҟьа,qopqon
189,Schlinge::N,аҟəараҟəантə,sirtmoq
190,Spur::N,ашьҭа,iz
191,Asche::N,ахəа,kul
192,Dreck::N,аҳəынҵəа,kir
193,Dreck::N,аҟьамсар,kir
194,Eisen::N,аиха,temir
195,Gold::N,ахьы,tilla
196,Silber::N,аразны,kumush
197,Kohle::N,арацəа,ko'mir
198,Glas::N,асаркьа,oyna
199,Lehm::N,анышəаҧшь,loy
200,Sand::N,аҧслымӡ,qum
201,Mensch::N,ауаҩы,odam
202,Mann::N,ахаҵа,ärkak
203,Frau::N,аҧҳəыс,ayol
204,Kind::N,ахəыҷы,bola
205,Kind::N,ахəыҷы,kichkintoy
206,Junge::N,аҷкəын,bola
207,Junge::N,ахаҵарҧыс,bola
208,Mädchen::N,аӡӷаб,qiz
209,Familie::N,аҭаацəа,oila
210,Großvater::N,абду,buva
211,Großvater::N,абду,katta ota
212,Großmutter::N,анду,buvi
213,Großmutter::N,анду,katta oyi
214,Eltern::N,ани аби,ota-ona
215,Vater::N,аб,ota
216,Mutter::N,ан,ona
217,Sohn::N,аҧа,o'g'il
218,Tochter::N,аҧҳа,qiz
219,Bruder::N,аиашьа,og'a
220,Bruder::N,аиашьа,uka
221,Schwester::N,Аҳəшьа,opa
222,Schwester::N,Аҳəшьа,singil
223,Onkel::N,абиашьа,amaki
224,Onkel::N,аншьа,amaki
225,Tante::N,абиаҳəшьа,amma
226,Tante::N,абиаҳəшьа,xola
227,Ehemann::N,ахаҵа,är
228,Ehemann::N,аҧшəма,är
229,Ehefrau::N,аҧҳəыс,rafiqa
230,Freude::N,агəырӷьара,ayish
231,Gelächter::N,ачча,kulgi
232,Gelächter::N,аччара,kulgi
233,Glück::N,аразҟы,saodat
234,Kummer::N,агəырҩа,g'am
235,Wunsch::N,агəхəтəы,orzu
236,Wunsch::N,аҭахра,orzu
237,Lust::N,агəазыҳəара,rag'bat
238,Geist::N,аҧсы,ruh
239,Gedanke::N,ахəыцырҭа,fikr
240,Gedächtnis::N,агəынкылара,äs
241,Verstand::N,ахшыҩ,aql
242,Sinn::N,аҵакы,ma'ni
243,Grund::N,амзыз,sabab
244,Wahrheit::N,аиаша,haq
245,Gespräch::N,аиҿцәажәара,gap
246,Märchen::N,алакə,ärtak
247,Erzählung::N,ажәабжь,rivoyat
248,Nachricht::N,адырраҭара,xabar
249,Neuigkeit::N,ажәабжь ҿыц,yangilik
250,Name::N,ахьӡ,ot
251,Rätsel::N,ацуфара,topishmoq
252,Rede::N,ажәа,nutq
253,Sprache::N,абызшəа,til
254,Stimme::N,абжьы,ovoz
255,Wort::N,ажәа,so'z
256,Zeichen::N,адырга,alomat
257,Ruf::N,аҿҭы,chaqiriq
258,Lärm::N,ашьҭыбжь,taraq
259,Laut::N,ашьҭыбжь,tovush
260,Ton::N,атон,un
261,Lied::N,ашəа,ashula
262,Ruhe::N,аҭынчра,tinchlik
263,Leute::N,ауаа,xaloyiq
264,Volk::N,ажəлар,xalq
265,Arbeit::N,аусура,ish
266,Gast::N,асас,mehmon
267,Geschenk::N,аҳамҭа,hadya
268,Geschenk::N,аҿанҵа,hadya
269,Spiel::N,ахəмарра,o'yin
270,Gesellschaft::N,агəыҧ,jamiyat
271,Hilfe::N,ацхыраара,yordam
272,Freund::N,аҩыза,do'st
273,Kamerad::N,Аҧхнагьла,yo'ldosh
274,Angelegenheit::N,аус,daxl
275,Anzahl::N,ахыҧхьаӡара,son
276,Art::N,ахкы,tur
277,Stück::N,аҽыҭ,parcha
278,Teil::N,ахəҭа,bo'lak
279,Hälfte::N,абжа,yarim
280,Kreis::N,агьагьа,aylana
281,Kreuz::N,аџьар,xoch
282,Linie::N,аицтәар,liniya
283,Strich::N,ацəаҳəа,chiziq
284,Abstand::N,абжьара,oralik
285,Entfernung::N,абжьара,uzoqlik
286,Gegend::N,аҭыҧ,yer
287,Platz::N,аҭыҧ,oralig
288,Ort::N,аҭыҧ,joy
289,Seite::N,аган,yon
290,Mitte::N,агəҭа,o'rta
291,Gegenstand::N,амаҭəар,ashyo
292,Rand::N,аҵкар,chek
293,Kante::N,авардым,tig'
294,Ecke::N,акəакь,burchak
295,Spitze::N,аҧынҵа,uch
296,Ende::N,анаӡара,oxir
297,Loch::N,акылҵəара,teshik
298,Winkel::N,агҿаҩра,go'sha
299,Winkel::N,акəындхə,go'sha
300,Winkel::N,акəакь,go'sha
301,Muster::N,аҟҟа,nusha
302,Größe::N,изаҟароу,kattalik
303,Länge::N,аура,uzunlik
304,Höhe::N,агылара,yuksaklik
305,Gewicht::N,акапан,solmoq
306,Haufen::N,ачаҟəа,uyum
307,Reihe::N,ацəаҳəа,saf
308,Boot::N,анышь,qayiq
309,Ruder::N,ажəҩа,äshkak
310,Schlitten::N,ашəаҩауардын,chana
311,Ski::N,ашəаҩа,chang'i
312,Ski::N,ашьахаха,chang'i
313,Lagerfeuer::N,еиқуу амца,gulxan
314,Last::N,ахьанҭара,yuk
315,Gang::N,аныҟəара,yurish
316,Schritt::N,ашьаҿа,qadam
317,Norden::N,аҩада,shimol
318,Süden::N,алада,janub
319,Westen::N,амраҭашəара,g'arb
320,Osten::N,амрагылара,sharq
321,Holz::N,амҿымаҭəахə,yog'och
322,Brett::N,аӷəы,taxta
323,Platte::N,ахаҳәцәы,tabaqa
324,Stütze::N,аҵаргəа,tayanchi
325,Stütze::N,агəышьаҟа,tayanchi
326,Stange::N,акьат,qo'noq
327,Stock::N,алаба,tayoq
328,Stab::N,акьат,gavron
329,Rohr::N,абыкь,tarnov
330,Haus::N,аҩны,uy
331,Heim::N,аҭаацəа,makon
332,Ofen::N,аҳақə,pechka
333,Ofen::N,ауаџьаҟ,pechka
334,Ofen::N,афрына,pechka
335,Fußboden::N,адашьма,pol
336,Tisch::N,аишәа,mosa
337,Stuhl::N,аҟəардə,o'rindiq
338,Wiege::N,агара,beshik
339,Bett::N,акаруаҭ,yotoq
340,Regal::N,акыӷəра,tokcha
341,Kiste::N,аидчаҧала,sandiq
342,Fenster::N,аҧенџьыр,deraza
343,Tür::N,ашə,äshik
344,Tor::N,агəашə,darvoza
345,Zaun::N,аанда,panjara
346,Dach::N,ахыб,tom
347,Leiter::N,амардуан,narvon
348,Besen::N,аҧссага,supurgi
349,Spaten::N,ажыга,bel
350,Schaufel::N,аҭəарӷəы,kurak
351,Gabel::N,ачқьыҧ,bilka
352,Löffel::N,амҳаҵə,qoshiq
353,Messer::N,аҳəызба,pichoq
354,Nagel::N,аҵəымӷ,mix
355,Netz::N,акаҭа,to'r
356,Haken::N,аҵəаҳə,ilgak
357,Griff::N,амаа,sop
358,Griff::N,амаа,tutqich
359,Schloss::N,асаҧаҭ,qulf
360,Bild::N,асахьа,rasm
361,Figur::N,афигура,shakl
362,Puppe::N,акьанџьа,ko'g'irchoq
363,Beutel::N,асакь,to'rva
364,Bündel::N,аҿаҳəара,bog'lam
365,Tasche::N,арҭмаҟ,kissa
366,Eimer::N,аведра,chelak
367,Deckel::N,ахҩа,qopqoq
368,Geschirr::N,ачысмаҭəа,idish
369,Sack::N,асакь,qop
370,Tasse::N,аҵəца,piyola
371,Topf::N,акаструлиа,tuvak
372,Kessel::N,ачуан,qozon
373,Nahrung::N,афатə,emak
374,Speise::N,афатə,taom
375,Fleisch::N,акəац,go'sht
376,Getreide::N,ачакуа,g'alla
377,Brei::N,ақашь,bo'tqa
378,Brot::N,ача,non
379,Scheibe::N,аҽыҭ,disk
380,Scheibe::N,аҿаҵа,disk
381,Fett::N,ашша,moy
382,Butter::N,ахəша,yog'
383,Öl::N,азеҭ,moy
384,Salz::N,аџьыка,tuz
385,Suppe::N,асуҧ,sho'rva
386,Honig::N,ацха,asal
387,Milch::N,ахш,sut
388,Tee::N,ачаи,choy
389,Leder::N,ацəа,charm
390,Wolle::N,аласа,jun
391,Stoff::N,Аба,mato
392,Nadel::N,агəыр,igna
393,Faden::N,арахəыц,ip
394,Knopf::N,аҳəынҵəра,tugma
395,Knoten::N,аиқəҳəала,tugun
396,Farbe::N,ашəыга,bo'yok
397,Kleidung::N,амаҭəа,kiyim
398,Hemd::N,акьаҿ,ko'ylak
399,Kragen::N,ахəда,yoqa
400,Ärmel::N,амаӷра,yeng
401,Hose::N,аиқəа,shim
402,Gürtel::N,амаҟа,tasma
403,Mütze::N,ахылҧа,shapka
404,Schuh::N,аимаа,but
405,Stiefel::N,амагə,botinka
406,Ring::N,амацəаз,yuzuk
407,Band::N,алента,rishta
408,Kamm::N,ахҳəа,taroq
409,Spiegel::N,асаркьа,ko'zgu
410,Riemen::N,аа,qayish
411,Schnur::N,ашаха,bog'ich
412,Leine::N,аҕура,etak
413,Decke::N,ахыза,odyol
414,Kissen::N,ахчы,yostiq
415,Tuch::N,акасы,gazlama
416,Handtuch::N,ампахьшьы,sochiq
417,Kraft::N,амч,kuch
418,Stärke::N,амч,quvvat
419,Gesundheit::N,агəабзиара,sog'lik
420,Krankheit::N,ачымазара,kasallik
421,Schmerz::N,ахьаа,og'riq
422,Wunde::N,ахəра,yara
423,Fieber::N,ашоура,bezgak
424,Arznei::N,ахəшə,dori
425,Brücke::N,ацҳа,ko'prik
426,Brunnen::N,аҵыџь,buloq
427,Weide::N,аҳəырҭа,yaylov
428,Pfad::N,амхəасҭа,dorojka
429,Weg::N,амҩа,yo'l
430,Straße::N,амҩа,ko'cha
431,Dorf::N,ақыҭа,ovul
432,Stadt::N,ақалақь,shahar
433,Brief::N,ашəҟəы,maktub
434,Buch::N,ашəҟəы,kitob
435,Buchstabe::N,анбан,harf
436,Zeitung::N,агазеҭ,gazet
437,Leben::N,аҧсҭазаара,hayot
438,Tod::N,аҧсра,o'lim
439,Grab::N,анышəынҭра,go'r
440,Kirche::N,ауахəама,cherkov
441,Sünde::N,агəнаҳа,gunoh
442,Gott::N,анцəа,olloh
443,Arbeiter::N,аусуҩ,ishchi
444,Chef::N,Аиҳабы,rais
445,Meister::N,аҟаза,usta
446,Arzt::N,аҳақьым,hakim
447,Lehrer::N,арҵаҩы,muallim
448,Geld::N,аҧара,pul
449,Laden::N,амагазин,do'kon
450,Preis::N,ахə,baho
451,Ware::N,атауар,mol
452,Nutzen::N,ақьар,foyda
453,Reichtum::N,абеиара,boylik
454,Welt::N,адунеи,olam
455,Land::N,атəыла,o'lka
456,Staat::N,аҳəынҭқарра,davlat
457,König::N,акрал,qirol
458,Macht::N,амчра,iqtidor
459,Grenze::N,аҳəаа,chegara
460,Krieg::N,аибашьра,harb
461,Feind::N,Аҕа,dushman
462,Gewalt::N,ақəымчра,zo'rlik
463,Kampf::N,ақəҧара,kurash
464,Bogen[Waffe]::N,ахыц,yoy
