,Concept_ID,pt,ka
0,Auge::N,olho,თვალი
1,Ohr::N,orelha,ყური
2,Nase::N,nariz,ცხვირი
3,Mund::N,boca,პირი
4,Zahn::N,dente,კბილი
5,Zunge::N,língua,ენა
6,Lippe::N,lábio,ბაგე
7,Wange::N,face,ლოყა
8,Gesicht::N,cara,სახე
9,Gesicht::N,rosto,სახე
10,Stirn::N,testa,შუბლი
11,Haar::N,cabelo,თმა
12,Schnurrbart::N,bigode,ულვაში
13,Bart::N,barba,წვერი
14,Kinn::N,queixo,ნიკაპი
15,Kiefer[Anatomie]::N,maxila,ყბა
16,Kiefer[Anatomie]::N,mandíbula,ყბა
17,Kehle::N,garganta,ყელი
18,Hals::N,colo,ყელი
19,Hals::N,colo,კისერი
20,Hals::N,pescoço,ყელი
21,Hals::N,pescoço,კისერი
22,Genick::N,nuca,კეფა
23,Kopf::N,cabeça,თავი
24,Rücken::N,dorso,ზურგი
25,Rücken::N,costas,ზურგი
26,Bauch::N,ventre,მუცელი
27,Bauch::N,barriga,მუცელი
28,Nabel::N,umbigo,ჭიპი
29,Busen::N,seio,ძუძუ
30,Brust::N,peito,მკერდი
31,Schulter::N,ombro,მხარი
32,Schulter::N,ombro,მკლავი
33,Arm::N,braço,ხელი
34,Ellenbogen::N,cotovelo,იდაყვი
35,Hand::N,mão,ხელი
36,Handfläche::N,palma,ნები
37,Handfläche::N,palma,ხელისგული
38,Handfläche::N,palma da mão,ნები
39,Handfläche::N,palma da mão,ხელისგული
40,Finger::N,dedo,თითი
41,Fingernagel::N,unha,ფრჩხილი
42,Nagel[Anatomie]::N,unha,ფრჩხილი
43,Zeh::N,dedo do pé,ფეხის თითი
44,Fuß::N,pé,ტერფი
45,Fuß::N,pé,ფეხისგული
46,Ferse::N,calcanhar,ქუსლი
47,Knie::N,joelho,მუხლი
48,Oberschenkel::N,coxa,ბარძაყი
49,Bein::N,perna,ფეხი
50,Körper::N,corpo,ტანი
51,Körper::N,corpo,სხეული
52,Haut::N,pele,კანი
53,Blut::N,sangue,სისხლი
54,Ader::N,veia,ძარღვი
55,Sehne::N,tendão,მყესი
56,Knochen::N,osso,ძვალი
57,Gehirn::N,cérebro,ტვინი
58,Herz::N,coração,გული
59,Magen::N,estômago,კუჭი
60,Leber::N,fígado,ღვიძლი
61,Atem::N,fôlego,სუნთქვა
62,Hunger::N,fome,შიმშილი
63,Träne::N,lágrima,ცრემლი
64,Geschmack::N,gosto,გემო
65,Geruch::N,odor,სუნი
66,Geruch::N,cheiro,სუნი
67,Schlaf::N,sono,ძილი
68,Traum::N,sonho,სიზმარი
69,Himmel::N,céu,ცა
70,Sonne::N,sol,მზე
71,Mond::N,lua,მთვარე
72,Stern::N,estrela,ვარსკვლავი
73,Luft::N,ar,ჰაერი
74,Wind::N,vento,ქარი
75,Welle::N,onda,ტალღა
76,Wasser::N,água,წყალი
77,Stein::N,pedra,ქვა
78,Boden::N,solo,მიწა
79,Erde::N,terra,ნიადაგი
80,Staub::N,pó,მტვერი
81,Rauch::N,fumo,ბოლი
82,Rauch::N,fumo,კვამლი
83,Funke::N,faísca,ნაკვესი
84,Funke::N,centelha,ნაკვესი
85,Feuer::N,fogo,ცეცხლი
86,Licht::N,luz,შუქი
87,Licht::N,luz,სინათლე
88,Schatten::N,sombra,ლანდი
89,Schatten::N,sombra,ჩრდილი
90,Wetter::N,tempo,ამინდი
91,Nebel::N,nevoeiro,ნისლი
92,Wolke::N,nuvem,ღრუბელი
93,Regen::N,chuva,წვიმა
94,Schnee::N,neve,თოვლი
95,Eis::N,gelo,თოში
96,Eis::N,gelo,ყინული
97,Frost::N,gelo,ყინვა
98,Frost::N,geada,ყინვა
99,Kälte::N,frio,სიცივე
100,Hitze::N,ardor,სიცხე
101,Raureif::N,geada,ჭირხლი
102,Raureif::N,geada,თრთვილი
103,Regenbogen::N,arco-iris,ცისარტყელა
104,Donner::N,trovão,ქუხილი
105,Strömung::N,corrente,დინება
106,Tropfen::N,gota,წვეთი
107,Schaum::N,espuma,ქაფი
108,Schaum::N,espuma,დორბლი
109,Schmutz::N,sujidade,ჭუჭყი
110,Schmutz::N,sujidade,ტალახი
111,Schmutz::N,imundície,ჭუჭყი
112,Schmutz::N,imundície,ტალახი
113,See::N,lago,ტბა
114,Sumpf::N,charco,ჭაობი
115,Sumpf::N,pântano,ჭაობი
116,Moor::N,pântano,ტორფნარი
117,Wiese::N,prado,ველი
