,Concept_ID,hu,eu
0,Auge::N,szem,begi
1,Ohr::N,fül,belarri
2,Nase::N,orr,sudur
3,Mund::N,száj,aho
4,Zahn::N,fog,hortz
5,Zunge::N,nyelv,mihi
6,Lippe::N,ajak,ezpain
7,Wange::N,orca,masail
8,Gesicht::N,arc,aurpegi
9,Stirn::N,homlok,bekoki
10,Haar::N,haj,ile
11,Haar::N,haj,bilo
12,Schnurrbart::N,bajusz,bibote
13,Schnurrbart::N,bajusz,sudurpeko
14,Bart::N,szakáll,bizar
15,Kinn::N,áll,kokots
16,Kiefer[Anatomie]::N,állkapocs,masailezur
17,Kehle::N,gége,eztarri
18,Kehle::N,torok,eztarri
19,Hals::N,nyak,sama
20,Genick::N,tarkó,garondo
21,Kopf::N,fő,buru
22,Kopf::N,fej,buru
23,Rücken::N,hát,bizkar
24,Bauch::N,has,sabel
25,Nabel::N,köldök,zilbor
26,Busen::N,mell,titi
27,Busen::N,mell,ugatz
28,Busen::N,kebel,titi
29,Busen::N,kebel,ugatz
30,Brust::N,mell,bular
31,Schulter::N,váll,besaburu
32,Arm::N,kar,beso
33,Ellenbogen::N,könyök,ukondo
34,Hand::N,kéz,esku
35,Handfläche::N,tenyér,ahur
36,Finger::N,ujj,hatz
37,Fingernagel::N,köröm,azazkal
38,Nagel[Anatomie]::N,köröm,azazkal
39,Zeh::N,lábujj,behatz
40,Fuß::N,láb,oin
41,Ferse::N,sarok,orpo
42,Ferse::N,sarok,oinburu
43,Knie::N,térd,belaun
44,Oberschenkel::N,comb,izter
45,Bein::N,láb,zango
46,Bein::N,lábszár,zango
47,Körper::N,test,soin
48,Haut::N,bőr,azal
49,Blut::N,vér,odol
50,Ader::N,ér,zain
51,Sehne::N,ín,gihar-zain
52,Knochen::N,csont,hezur
53,Gehirn::N,agy,garun
54,Gehirn::N,agy,burmuin
55,Gehirn::N,agyvelő,garun
56,Gehirn::N,agyvelő,burmuin
57,Herz::N,szív,bihotz
58,Magen::N,gyomor,urdail
59,Leber::N,máj,gibel
60,Atem::N,lehelet,hats
61,Atem::N,lehelet,arnasa
62,Atem::N,lélegzet,hats
63,Atem::N,lélegzet,arnasa
64,Hunger::N,éhség,gose
65,Träne::N,könny,malko
66,Geschmack::N,íz,dasta
67,Geruch::N,szag,usain
68,Schlaf::N,álom,lo
69,Schlaf::N,alvás,lo
70,Traum::N,álom,amets
71,Himmel::N,ég,zeru
72,Himmel::N,menny,zeru
73,Sonne::N,nap,eguzki
74,Mond::N,hold,ilargi
75,Stern::N,csillag,izar
76,Luft::N,levegő,aire
77,Wind::N,szél,haize
78,Welle::N,hullám,uhin
79,Welle::N,hullám,olatu
80,Wasser::N,víz,ur
81,Stein::N,kő,harri
82,Boden::N,föld,lur
83,Boden::N,föld,zoru
84,Boden::N,talaj,lur
85,Boden::N,talaj,zoru
86,Erde::N,föld,lur
87,Staub::N,por,hauts
88,Rauch::N,füst,ke
89,Funke::N,szikra,zirta
90,Funke::N,szikra,txinparta
91,Feuer::N,tűz,su
92,Licht::N,fény,argi
93,Schatten::N,árnyék,itzal
94,Schatten::N,árnyék,geriza
95,Wetter::N,idő,eguraldi
96,Wetter::N,időjárás,eguraldi
97,Nebel::N,köd,laino
98,Wolke::N,felhő,hodei
99,Regen::N,eső,euri
100,Schnee::N,hó,elur
101,Eis::N,jég,horma
102,Frost::N,fagy,izotzaldi
103,Kälte::N,hideg,hotz
104,Hitze::N,hő,bero
105,Hitze::N,hőség,bero
106,Raureif::N,zúzmara,antzigar
107,Regenbogen::N,szivárvány,ostadar
108,Regenbogen::N,szivárvány,ortzadar
109,Donner::N,dörgés,ostots
110,Donner::N,dörgés,ihurtzuri
111,Donner::N,mennydörgés,ostots
112,Donner::N,mennydörgés,ihurtzuri
113,Strömung::N,áramlat,laster
114,Tropfen::N,csepp,xorta
115,Schaum::N,hab,bits
116,Schaum::N,tajték,bits
117,Schmutz::N,piszok,lohi
118,Schmutz::N,piszok,zikin
119,See::N,tó,laku
120,See::N,tó,aintzira
121,Sumpf::N,mocsár,zingira
122,Moor::N,láp,zohikaztegi
123,Wiese::N,rét,larre
124,Wiese::N,rét,belardi
125,Wiese::N,mező,larre
126,Wiese::N,mező,belardi
127,Wald::N,erdő,baso
128,Wald::N,erdő,oihan
129,Hügel::N,domb,muino
130,Hügel::N,domb,pentoka
131,Anhöhe::N,magaslat,garai
132,Anhöhe::N,magaslat,goragune
133,Berg::N,hegy,mendi
134,Gipfel::N,csúcs,gain
135,Gipfel::N,csúcs,tontor
136,Höhle::N,barlang,kobazulo
137,Abhang::N,lejtő,aldapa
138,Quelle::N,forrás,iturri
139,Quelle::N,forrás,iturbegi
140,Bach::N,patak,lats
141,Bach::N,patak,erreka
142,Fluss::N,folyó,ibai
143,Fluss::N,folyó,uhaitz
144,Ufer::N,part,bazter
145,Küste::N,tengerpart,itsasalde
146,Festland::N,szárazföld,lehor
147,Meer::N,tenger,itsaso
148,Bucht::N,öböl,golko
149,Insel::N,sziget,irla
150,Insel::N,sziget,uharte
151,Blume::N,virág,lili
152,Gras::N,fű,belar
153,Wurzel::N,gyökér,zuztar
154,Wurzel::N,gyökér,sustrai
155,Baum::N,fa,zuhaitz
156,Stamm::N,tő,enbor
157,Stamm::N,törzs,enbor
158,Rinde::N,kéreg,azal
159,Ast::N,ág,adar
160,Zweig::N,gally,abar
161,Blatt::N,levél,hosto
162,Birke::N,nyír,urki
163,Kiefer[Baum]::N,fenyő,ler
164,Weide[Baum]::N,fűz,zume
165,Weide[Baum]::N,fűz,sahats
166,Tanne::N,fenyő,izei
167,Horn::N,szarv,adar
168,Feder::N,toll,luma
169,Feder::N,toll,hegaki
170,Fell::N,szőr,ile
171,Fell::N,szőr,larru
172,Fell::N,bunda,ile
173,Fell::N,bunda,larru
174,Flügel::N,szárny,hego
175,Klaue::N,köröm,atzapar
176,Kralle::N,karom,erpe
177,Kralle::N,karom,atzapar
178,Schwanz::N,farok,isats
179,Schwanz::N,farok,buztan
180,Ei::N,tojás,arrautza
181,Nest::N,fészek,habia
182,Bau::N,odú,ohantze
183,Tier::N,állat,abere
184,Tier::N,állat,piztia
185,Herde::N,nyáj,saldo
186,Herde::N,nyáj,abere talde
187,Herde::N,csorda,saldo
188,Herde::N,csorda,abere talde
189,Kuh::N,tehén,behi
190,Bulle::N,bika,zezen
191,Pferd::N,ló,zaldi
192,Schaf::N,juh,ardi
193,Schaf::N,birka,ardi
194,Schwein::N,sertés,urde
195,Schwein::N,sertés,txerri
196,Hund::N,eb,txakur
197,Hund::N,kutya,txakur
198,Katze::N,macska,katu
199,Bär::N,medve,hartz
200,Eichhörnchen::N,mókus,urtxintxa
