,Concept_ID,,pt
0,Auge::N,,olho
1,Ohr::N,,orelha
2,Nase::N,,nariz
3,Mund::N,,boca
4,Zahn::N,,dente
5,Zunge::N,,língua
6,Lippe::N,,lábio
7,Wange::N,,face
8,Gesicht::N,,cara
9,Gesicht::N,,rosto
10,Stirn::N,,testa
11,Haar::N,,cabelo
12,Schnurrbart::N,,bigode
13,Bart::N,,barba
14,Kinn::N,,queixo
15,Kiefer[Anatomie]::N,,maxila
16,Kiefer[Anatomie]::N,,mandíbula
17,Kehle::N,,garganta
18,Hals::N,,colo
19,Hals::N,,pescoço
20,Genick::N,,nuca
21,Kopf::N,,cabeça
22,Rücken::N,,dorso
23,Rücken::N,,costas
24,Bauch::N,,ventre
25,Bauch::N,,barriga
26,Nabel::N,,umbigo
27,Busen::N,,seio
28,Brust::N,,peito
29,Schulter::N,,ombro
30,Arm::N,,braço
31,Ellenbogen::N,,cotovelo
32,Hand::N,,mão
33,Handfläche::N,,palma
34,Handfläche::N,,palma da mão
35,Finger::N,,dedo
36,Fingernagel::N,,unha
37,Nagel[Anatomie]::N,,unha
38,Zeh::N,,dedo do pé
39,Fuß::N,,pé
40,Ferse::N,,calcanhar
41,Knie::N,,joelho
42,Oberschenkel::N,,coxa
43,Bein::N,,perna
44,Körper::N,,corpo
45,Haut::N,,pele
46,Blut::N,,sangue
47,Ader::N,,veia
48,Sehne::N,,tendão
49,Knochen::N,,osso
50,Gehirn::N,,cérebro
51,Herz::N,,coração
52,Magen::N,,estômago
53,Leber::N,,fígado
54,Atem::N,,fôlego
55,Hunger::N,,fome
56,Träne::N,,lágrima
57,Geschmack::N,,gosto
58,Geruch::N,,odor
59,Geruch::N,,cheiro
60,Schlaf::N,,sono
61,Traum::N,,sonho
62,Himmel::N,,céu
63,Sonne::N,,sol
64,Mond::N,,lua
65,Stern::N,,estrela
66,Luft::N,,ar
67,Wind::N,,vento
68,Welle::N,,onda
69,Wasser::N,,água
70,Stein::N,,pedra
71,Boden::N,,solo
72,Erde::N,,terra
73,Staub::N,,pó
74,Rauch::N,,fumo
75,Funke::N,,faísca
76,Funke::N,,centelha
77,Feuer::N,,fogo
