,Concept_ID,bg,tr
0,Auge::N,око,göz
1,Ohr::N,ухо,kulak
2,Nase::N,нос,burun
3,Mund::N,уста,ağız
4,Zahn::N,зъб,diş
5,Zunge::N,език,dil
6,Lippe::N,устна,dudak
7,Wange::N,буза,yanak
8,Gesicht::N,лице,yüz
9,Gesicht::N,образ,yüz
10,Stirn::N,чело,alın
11,Haar::N,коса,saç
12,Haar::N,косъм,saç
13,Schnurrbart::N,мустаци,bıyık
14,Bart::N,брада,sakal
15,Kinn::N,брада,çene
16,Kinn::N,брадичка,çene
17,Kiefer[Anatomie]::N,челюст,çene
18,Kehle::N,гърло,boğaz
19,Hals::N,врат,boyun
20,Hals::N,врат,gerdan
21,Genick::N,тил,ense
22,Kopf::N,глава,baş
23,Kopf::N,глава,kafa
24,Rücken::N,гръб,arka
25,Bauch::N,корем,karın
26,Nabel::N,пъп,göbek
27,Busen::N,бозка,koyun
28,Brust::N,гръд,göğüs
29,Schulter::N,рамо,omuz
30,Schulter::N,плещи,omuz
31,Arm::N,ръка,kol
32,Ellenbogen::N,лакът,dirsek
33,Hand::N,ръка,el
34,Hand::N,китка,el
35,Handfläche::N,длан,avuç
36,Handfläche::N,длан,el ayası
37,Finger::N,пръст,parmak
38,Fingernagel::N,нокът,el tırnağı
39,Nagel[Anatomie]::N,нокът,tırnak
40,Zeh::N,пръст на крак,ayak parmağı
41,Fuß::N,крак,ayak
42,Fuß::N,нога,ayak
43,Ferse::N,пета,topuk
44,Knie::N,коляно,diz
45,Oberschenkel::N,бедро,uyluk
46,Bein::N,крак,bacak
47,Bein::N,нога,bacak
48,Körper::N,тяло,vücut
49,Haut::N,кожа,cilt
50,Blut::N,кръв,kan
51,Ader::N,вена,damar
52,Ader::N,артерия,damar
53,Sehne::N,жила,kiriş
54,Sehne::N,сухожилие,kiriş
55,Knochen::N,кост,kemik
56,Gehirn::N,мозък,beyin
57,Herz::N,сърце,kalp
58,Herz::N,сърце,yürek
59,Magen::N,стомах,mide
60,Leber::N,черен дроб,karaciğer
61,Atem::N,дишане,nefes
62,Hunger::N,глад,açlık
63,Träne::N,сълза,gözyaşı
64,Geschmack::N,вкус,tat
65,Geschmack::N,вкус,lezzet
66,Geruch::N,миризма,koku
67,Schlaf::N,сън,uyku
68,Traum::N,сън,düş
69,Traum::N,сън,rüya
70,Himmel::N,небе,gök
71,Sonne::N,слънце,güneş
72,Mond::N,луна,ay
73,Mond::N,месец,ay
74,Stern::N,звезда,yıldız
75,Luft::N,въздух,hava
76,Wind::N,вятър,yel
77,Wind::N,вятър,rüzgâr
78,Welle::N,вълна,dalga
79,Wasser::N,вода,su
80,Stein::N,камък,taş
81,Boden::N,земя,yer
82,Boden::N,земя,zemin
83,Boden::N,почва,yer
