,Concept_ID,fr,de
0,Auge::N,œil,Auge
1,Ohr::N,oreille,Ohr
2,Nase::N,nez,Nase
3,Mund::N,bouche,Mund
4,Zahn::N,dent,Zahn
5,Zunge::N,langue,Zunge
6,Lippe::N,lèvre,Lippe
7,Wange::N,joue,Wange
8,Gesicht::N,face,Gesicht
9,Gesicht::N,visage,Gesicht
10,Stirn::N,front,Stirn
11,Haar::N,cheveu,Haar
12,Schnurrbart::N,moustache,Schnurrbart
13,Bart::N,barbe,Bart
14,Kinn::N,menton,Kinn
15,Kiefer[Anatomie]::N,mâchoire,Kiefer
16,Kehle::N,gorge,Kehle
17,Hals::N,cou,Hals
18,Genick::N,nuque,Genick
19,Kopf::N,tête,Kopf
20,Rücken::N,dos,Rücken
21,Bauch::N,ventre,Bauch
22,Nabel::N,nombril,Nabel
23,Busen::N,sein,Busen
24,Brust::N,poitrine,Brust
25,Schulter::N,épaule,Schulter
26,Arm::N,bras,Arm
27,Ellenbogen::N,coude,Ellenbogen
28,Hand::N,main,Hand
29,Handfläche::N,paume,Handfläche
30,Finger::N,doigt,Finger
31,Fingernagel::N,ongle,Fingernagel
32,Nagel[Anatomie]::N,ongle,Nagel
33,Zeh::N,orteil,Zeh
34,Zeh::N,doigt de pied,Zeh
35,Fuß::N,pied,Fuß
36,Ferse::N,talon,Ferse
37,Knie::N,genou,Knie
38,Oberschenkel::N,cuisse,Oberschenkel
39,Bein::N,jambe,Bein
40,Körper::N,corps,Körper
41,Haut::N,peau,Haut
42,Blut::N,sang,Blut
43,Ader::N,veine,Ader
44,Sehne::N,tendon,Sehne
45,Knochen::N,os,Knochen
46,Gehirn::N,cerveau,Gehirn
47,Herz::N,cœur,Herz
48,Magen::N,estomac,Magen
49,Leber::N,foie,Leber
50,Atem::N,haleine,Atem
51,Hunger::N,faim,Hunger
52,Träne::N,larme,Träne
53,Geschmack::N,goût,Geschmack
54,Geschmack::N,saveur,Geschmack
55,Geruch::N,odeur,Geruch
56,Schlaf::N,sommeil,Schlaf
57,Traum::N,songe,Traum
58,Himmel::N,ciel,Himmel
59,Sonne::N,soleil,Sonne
60,Mond::N,lune,Mond
61,Stern::N,étoile,Stern
62,Luft::N,air,Luft
63,Wind::N,vent,Wind
64,Welle::N,vague,Welle
65,Wasser::N,eau,Wasser
66,Stein::N,pierre,Stein
67,Boden::N,sol,Boden
68,Boden::N,terrain,Boden
69,Erde::N,terre,Erde
70,Staub::N,poussière,Staub
71,Rauch::N,fumée,Rauch
72,Funke::N,étincelle,Funke
73,Feuer::N,feu,Feuer
74,Licht::N,lumière,Licht
75,Schatten::N,ombre,Schatten
76,Wetter::N,temps,Wetter
77,Nebel::N,brume,Nebel
78,Nebel::N,brouillard,Nebel
79,Wolke::N,nuage,Wolke
80,Regen::N,pluie,Regen
81,Schnee::N,neige,Schnee
82,Eis::N,glace,Eis
83,Frost::N,gel,Frost
84,Frost::N,gelée,Frost
85,Kälte::N,froid,Kälte
86,Hitze::N,chaleur,Hitze
87,Raureif::N,givre,Raureif
88,Regenbogen::N,arc-en-ciel,Regenbogen
89,Donner::N,tonnerre,Donner
90,Strömung::N,courant,Strömung
91,Tropfen::N,goutte,Tropfen
92,Schaum::N,écume,Schaum
93,Schaum::N,mousse,Schaum
94,Schmutz::N,boue,Schmutz
95,Schmutz::N,saleté,Schmutz
96,See::N,lac,See
97,Sumpf::N,marais,Sumpf
98,Sumpf::N,marécage,Sumpf
99,Moor::N,tourbière,Moor
100,Wiese::N,pré,Wiese
101,Wald::N,bois,Wald
102,Wald::N,forêt,Wald
103,Hügel::N,coteau,Hügel
104,Hügel::N,colline,Hügel
105,Anhöhe::N,éminence,Anhöhe
106,Anhöhe::N,élévation,Anhöhe
107,Berg::N,mont,Berg
108,Berg::N,montagne,Berg
109,Gipfel::N,cime,Gipfel
110,Gipfel::N,sommet,Gipfel
111,Höhle::N,caverne,Höhle
112,Abhang::N,pente,Abhang
113,Abhang::N,versant,Abhang
114,Quelle::N,source,Quelle
115,Quelle::N,fontaine,Quelle
116,Bach::N,ruisseau,Bach
117,Fluss::N,fleuve,Fluss
118,Fluss::N,rivière,Fluss
119,Ufer::N,bord,Ufer
120,Ufer::N,rivage,Ufer
121,Küste::N,côte,Küste
122,Festland::N,terre ferme,Festland
123,Meer::N,mer,Meer
124,Bucht::N,baie,Bucht
125,Insel::N,île,Insel
126,Blume::N,fleur,Blume
127,Gras::N,herbe,Gras
128,Wurzel::N,racine,Wurzel
129,Baum::N,arbre,Baum
130,Stamm::N,tronc,Stamm
131,Rinde::N,écorce,Rinde
132,Ast::N,branche,Ast
133,Zweig::N,rameau,Zweig
134,Blatt::N,feuille,Blatt
135,Birke::N,bouleau,Birke
136,Kiefer[Baum]::N,pin,Kiefer
137,Weide[Baum]::N,saule,Weide
138,Tanne::N,sapin,Tanne
139,Horn::N,corne,Horn
140,Feder::N,plume,Feder
141,Fell::N,peau,Fell
142,Flügel::N,aile,Flügel
143,Klaue::N,serre,Klaue
144,Kralle::N,ongle,Kralle
145,Kralle::N,griffe,Kralle
146,Schwanz::N,queue,Schwanz
147,Ei::N,œuf,Ei
148,Nest::N,nid,Nest
149,Bau::N,terrier,Bau
150,Tier::N,animal,Tier
151,Herde::N,troupeau,Herde
152,Kuh::N,vache,Kuh
153,Bulle::N,taureau,Bulle
154,Pferd::N,cheval,Pferd
155,Schaf::N,mouton,Schaf
156,Schwein::N,porc,Schwein
157,Schwein::N,cochon,Schwein
158,Hund::N,chien,Hund
159,Katze::N,chat,Katze
160,Bär::N,ours,Bär
161,Eichhörnchen::N,écureuil,Eichhörnchen
162,Elch::N,élan,Elch
163,Fuchs::N,renard,Fuchs
164,Hase::N,lièvre,Hase
165,Maus::N,souris,Maus
166,Wolf::N,loup,Wolf
167,Vogel::N,oiseau,Vogel
168,Schwarm::N,nuée,Schwarm
169,Schwarm::N,volée,Schwarm
170,Huhn::N,poule,Huhn
171,Hahn::N,coq,Hahn
172,Gans::N,oie,Gans
173,Adler::N,aigle,Adler
174,Ente::N,canard,Ente
175,Eule::N,hibou,Eule
176,Kranich::N,grue,Kranich
177,Krähe::N,corneille,Krähe
178,Kuckuck::N,coucou,Kuckuck
179,Schwan::N,cygne,Schwan
180,Fisch::N,poisson,Fisch
181,Barsch::N,perche,Barsch
182,Hecht::N,brochet,Hecht
183,Schlange[Tier]::N,serpent,Schlange
184,Wurm::N,ver,Wurm
185,Spinne::N,araignée,Spinne
186,Ameise::N,fourmi,Ameise
187,Laus::N,pou,Laus
188,Mücke::N,moucheron,Mücke
189,Fliege::N,mouche,Fliege
190,Schmetterling::N,papillon,Schmetterling
191,Beere::N,baie,Beere
192,Apfel::N,pomme,Apfel
193,Pilz::N,champignon,Pilz
194,Zwiebel::N,oignon,Zwiebel
195,Saat::N,semence,Saat
196,Korn::N,grain,Korn
197,Heu::N,foin,Heu
198,Schale::N,pelure,Schale
199,Grube::N,fosse,Grube
200,Falle::N,piège,Falle
201,Schlinge::N,lacs,Schlinge
202,Spur::N,trace,Spur
203,Asche::N,cendre,Asche
204,Dreck::N,crotte,Dreck
205,Eisen::N,fer,Eisen
206,Gold::N,or,Gold
207,Silber::N,argent,Silber
208,Kohle::N,charbon,Kohle
209,Glas::N,verre,Glas
210,Lehm::N,glaise,Lehm
211,Sand::N,sable,Sand
212,Mensch::N,homme,Mensch
213,Mann::N,homme,Mann
214,Frau::N,femme,Frau
215,Kind::N,enfant,Kind
216,Junge::N,garçon,Junge
217,Mädchen::N,fille,Mädchen
218,Mädchen::N,jeune fille,Mädchen
219,Familie::N,famille,Familie
220,Großvater::N,grand-père,Großvater
221,Großmutter::N,grand-mère,Großmutter
222,Eltern::N,parents,Eltern
223,Vater::N,père,Vater
224,Mutter::N,mère,Mutter
225,Sohn::N,fils,Sohn
226,Tochter::N,fille,Tochter
227,Bruder::N,frère,Bruder
228,Schwester::N,sœur,Schwester
229,Onkel::N,oncle,Onkel
230,Tante::N,tante,Tante
231,Ehemann::N,mari,Ehemann
232,Ehemann::N,époux,Ehemann
233,Ehefrau::N,femme,Ehefrau
234,Ehefrau::N,épouse,Ehefrau
235,Freude::N,joie,Freude
236,Freude::N,plaisir,Freude
237,Gelächter::N,rires,Gelächter
238,Glück::N,bonheur,Glück
239,Kummer::N,peine,Kummer
240,Kummer::N,chagrin,Kummer
241,Wunsch::N,désir,Wunsch
242,Lust::N,envie,Lust
243,Geist::N,esprit,Geist
244,Gedanke::N,idée,Gedanke
245,Gedanke::N,pensée,Gedanke
246,Gedächtnis::N,mémoire,Gedächtnis
247,Verstand::N,raison,Verstand
248,Sinn::N,sens,Sinn
249,Grund::N,cause,Grund
250,Grund::N,raison,Grund
251,Wahrheit::N,vérité,Wahrheit
252,Gespräch::N,conversation,Gespräch
253,Märchen::N,conte,Märchen
