,Concept_ID,ps,eu
0,Auge::N,سترګه,begi
1,Ohr::N,غوږ,belarri
2,Nase::N,پوزه,sudur
3,Mund::N,خوله,aho
4,Zahn::N,غاښ,hortz
5,Zunge::N,جبه,mihi
6,Lippe::N,شونډه,ezpain
7,Wange::N,باړخو,masail
8,Gesicht::N,مخ,aurpegi
9,Stirn::N,تندی,bekoki
10,Stirn::N,وچولی,bekoki
11,Haar::N,وېښته,ile
12,Haar::N,وېښته,bilo
13,Schnurrbart::N,برېت,bibote
14,Schnurrbart::N,برېت,sudurpeko
15,Bart::N,ږیره,bizar
16,Kinn::N,زنه,kokots
17,Kiefer[Anatomie]::N,جامه,masailezur
18,Kehle::N,غاړه,eztarri
19,Hals::N,غاړه,sama
20,Genick::N,ورمېږ,garondo
21,Kopf::N,سر,buru
22,Rücken::N,شا,bizkar
23,Bauch::N,نس,sabel
24,Bauch::N,ګېډه,sabel
25,Nabel::N,نوم,zilbor
26,Busen::N,تی,titi
27,Busen::N,تی,ugatz
28,Brust::N,سینه,bular
29,Schulter::N,اوږه,besaburu
30,Arm::N,لاس,beso
31,Ellenbogen::N,څنګل,ukondo
32,Hand::N,لاس,esku
33,Handfläche::N,ورغوی,ahur
34,Finger::N,ګوته,hatz
35,Fingernagel::N,نوک,azazkal
36,Nagel[Anatomie]::N,نوک,azazkal
37,Zeh::N,ګوته,behatz
38,Fuß::N,پښه,oin
39,Ferse::N,پونده,orpo
40,Ferse::N,پونده,oinburu
41,Knie::N,زنګون,belaun
42,Oberschenkel::N,پتون,izter
43,Bein::N,پښه,zango
44,Körper::N,ځان,soin
45,Haut::N,پوټکی,azal
46,Blut::N,وینه,odol
47,Ader::N,رګ,zain
48,Sehne::N,پله,gihar-zain
49,Knochen::N,هډوکی,hezur
50,Gehirn::N,ماغزه,garun
51,Gehirn::N,ماغزه,burmuin
52,Herz::N,زړه,bihotz
53,Magen::N,معده,urdail
54,Leber::N,ينه,gibel
55,Leber::N,ځیګر,gibel
56,Atem::N,نفس,hats
57,Atem::N,نفس,arnasa
58,Hunger::N,ولږه,gose
59,Träne::N,اوښکه,malko
60,Geschmack::N,مزه,dasta
61,Geschmack::N,خوند,dasta
62,Geruch::N,بوی,usain
63,Schlaf::N,خوب,lo
64,Traum::N,خوب,amets
65,Himmel::N,اسمان,zeru
66,Sonne::N,لمر,eguzki
67,Mond::N,سپوږمۍ,ilargi
68,Stern::N,ستوری,izar
69,Luft::N,هوا,aire
70,Wind::N,ورښ,haize
71,Welle::N,موج,uhin
72,Welle::N,موج,olatu
73,Wasser::N,اوبه,ur
74,Stein::N,ډبره,harri
75,Boden::N,مځکه,lur
76,Boden::N,مځکه,zoru
77,Erde::N,خاوره,lur
78,Staub::N,ګرد,hauts
79,Staub::N,خاوره,hauts
80,Rauch::N,دود,ke
81,Rauch::N,لوګی,ke
82,Funke::N,سپرغۍ,zirta
83,Funke::N,سپرغۍ,txinparta
84,Feuer::N,اور,su
85,Licht::N,رڼا,argi
86,Schatten::N,سیوری,itzal
87,Schatten::N,سیوری,geriza
88,Wetter::N,هوا,eguraldi
89,Nebel::N,لړه,laino
90,Wolke::N,ورېځ,hodei
91,Regen::N,وریا,euri
92,Regen::N,باران,euri
93,Schnee::N,واوره,elur
94,Eis::N,یخ,horma
95,Eis::N,کنګل,horma
96,Frost::N,یخ,izotzaldi
97,Kälte::N,ساړه,hotz
98,Hitze::N,تودوخي,bero
99,Raureif::N,سپینه پرخه,antzigar
100,Regenbogen::N,بوډۍ ټال,ostadar
101,Regenbogen::N,بوډۍ ټال,ortzadar
102,Regenbogen::N,سره زرغونه,ostadar
103,Regenbogen::N,سره زرغونه,ortzadar
104,Donner::N,تالنده,ostots
105,Donner::N,تالنده,ihurtzuri
106,Strömung::N,بهېدنه,laster
107,Tropfen::N,قطره,xorta
108,Tropfen::N,څاڅکی,xorta
109,Schaum::N,ځګ,bits
110,Schmutz::N,ناپاکي,lohi
111,Schmutz::N,ناپاکي,zikin
112,See::N,جهیل,laku
113,See::N,جهیل,aintzira
114,Sumpf::N,جبه,zingira
115,Moor::N,جبه,zohikaztegi
116,Wiese::N,چمن,larre
117,Wiese::N,چمن,belardi
118,Wiese::N,شنېلی,larre
119,Wiese::N,شنېلی,belardi
120,Wald::N,ځنګل,baso
121,Wald::N,ځنګل,oihan
122,Hügel::N,تپه,muino
123,Hügel::N,تپه,pentoka
124,Anhöhe::N,غونډۍ,garai
125,Anhöhe::N,غونډۍ,goragune
126,Berg::N,غ‍‍‍‍‍ر,mendi
127,Gipfel::N,څوکه,gain
128,Gipfel::N,څوکه,tontor
129,Höhle::N,کاز,kobazulo
130,Abhang::N,لمن,aldapa
131,Quelle::N,چینه,iturri
132,Quelle::N,چینه,iturbegi
133,Bach::N,واله,lats
134,Bach::N,واله,erreka
135,Fluss::N,سیند,ibai
136,Fluss::N,سیند,uhaitz
137,Ufer::N,غاړه,bazter
138,Küste::N,ساحل,itsasalde
139,Festland::N,وچه,lehor
140,Meer::N,بحر,itsaso
141,Meer::N,سمندر,itsaso
142,Bucht::N,کارۍ,golko
143,Insel::N,ټاپو,irla
144,Insel::N,ټاپو,uharte
145,Insel::N,جزيره,irla
146,Insel::N,جزيره,uharte
147,Blume::N,ګل,lili
148,Gras::N,واښه,belar
149,Wurzel::N,ریښه,zuztar
150,Wurzel::N,ریښه,sustrai
151,Baum::N,ونه,zuhaitz
152,Stamm::N,ډډ,enbor
153,Rinde::N,پوستکی,azal
154,Ast::N,ښاخ,adar
155,Zweig::N,څانګه,abar
156,Blatt::N,پاڼه,hosto
157,Birke::N,توس,urki
158,Kiefer[Baum]::N,نښتر,ler
159,Weide[Baum]::N,وله,zume
160,Weide[Baum]::N,وله,sahats
161,Tanne::N,ناجو,izei
162,Horn::N,ښکر,adar
163,Feder::N,بڼکه,luma
164,Feder::N,بڼکه,hegaki
165,Fell::N,پوستکی,ile
166,Fell::N,پوستکی,larru
167,Flügel::N,وزر,hego
168,Klaue::N,پنجه,atzapar
169,Klaue::N,منګول,atzapar
170,Kralle::N,پنجه,erpe
171,Kralle::N,پنجه,atzapar
172,Kralle::N,منګول,erpe
173,Kralle::N,منګول,atzapar
174,Schwanz::N,لکۍ,isats
175,Schwanz::N,لکۍ,buztan
176,Ei::N,وۍ,arrautza
177,Ei::N,هګۍ,arrautza
178,Nest::N,جاله,habia
179,Bau::N,کاز,ohantze
180,Tier::N,ژوی,abere
181,Tier::N,ژوی,piztia
182,Tier::N,حیوان,abere
183,Tier::N,حیوان,piztia
184,Herde::N,رمه,saldo
185,Herde::N,رمه,abere talde
186,Herde::N,غېله,saldo
187,Herde::N,غېله,abere talde
188,Kuh::N,غوا,behi
189,Bulle::N,غوئی,zezen
190,Pferd::N,آس,zaldi
191,Schaf::N,پسه,ardi
192,Schwein::N,سرکوزی,urde
193,Schwein::N,سرکوزی,txerri
194,Hund::N,سپی,txakur
195,Katze::N,پشه,katu
196,Bär::N,خرس,hartz
197,Eichhörnchen::N,خړ لمی,urtxintxa
198,Elch::N,ګوزن,altze
199,Fuchs::N,سپلم,azeri
200,Hase::N,سوی,erbi
201,Maus::N,مږک,sagu
202,Wolf::N,لېوه,otso
203,Vogel::N,مرغه,txori
204,Vogel::N,مرغه,hegazti
205,Schwarm::N,سېل,aldra
206,Huhn::N,چرګه,oilo
207,Hahn::N,چرګ,oilar
208,Gans::N,بته,antzara
209,Adler::N,عقاب,arrano
210,Ente::N,ایلۍ,ahate
211,Eule::N,ګونګی,hontza
212,Kranich::N,کلنګ,kurrilo
213,Krähe::N,کارغه,bele
214,Kuckuck::N,فاخته,kuku
215,Schwan::N,قو,beltxarga
216,Fisch::N,کب,arrain
217,Fisch::N,ماهی,arrain
218,Schlange[Tier]::N,مار,suge
219,Wurm::N,چینجی,har
220,Spinne::N,غڼه,armiarma
221,Spinne::N,تارکښ,armiarma
222,Ameise::N,مېږی,inurri
223,Laus::N,سپږه,zorri
224,Mücke::N,ماشی,eltxo
225,Fliege::N,مچ,euli
226,Schmetterling::N,پتنګ,pinpirin
227,Schmetterling::N,پتنګ,tximeleta
228,Beere::N,مېوۍ,baia
229,Apfel::N,مڼه,sagar
230,Pilz::N,خرېړی,onddo
231,Pilz::N,خرېړی,perretxiko
232,Zwiebel::N,پیاز,tipula
233,Saat::N,تخم,haziak
234,Korn::N,تخم,ale
235,Korn::N,تخم,pikor
236,Korn::N,دانه,ale
237,Korn::N,دانه,pikor
238,Heu::N,بوس,belar ondu
239,Heu::N,پروړه,belar ondu
240,Schale::N,پوستکی,azal
241,Grube::N,کنده,hobi
242,Falle::N,دام,harrapagailu
243,Falle::N,لومه,harrapagailu
244,Schlinge::N,کړۍ,bilur
245,Schlinge::N,کړۍ,xedera
246,Spur::N,نښه,lorratz
247,Asche::N,آس,errauts
248,Asche::N,ایره,errauts
249,Dreck::N,ناپاکي,satsukeria
250,Eisen::N,اوسپنه,burdina
251,Gold::N,سره زر,urre
252,Gold::N,سره زر,urregorri
253,Silber::N,نقره,zilar
254,Silber::N,نقره,urrezuri
255,Silber::N,سپین زر,zilar
256,Silber::N,سپین زر,urrezuri
257,Kohle::N,سکور,ikatz
258,Kohle::N,سکاره,ikatz
259,Glas::N,ښيښه,beira
260,Lehm::N,خټه,buztin
261,Sand::N,شګه,harea
262,Sand::N,شګه,hondar
263,Mensch::N,انسان,gizaki
264,Mann::N,سړی,gizon
265,Mann::N,نارینه,gizon
266,Frau::N,ښځه,andere
267,Frau::N,ښځه,emakume
268,Kind::N,بچی,haur
269,Kind::N,ماشوم,haur
270,Junge::N,هلک,mutil
271,Mädchen::N,نجلۍ,neska
272,Familie::N,کورنۍ,sendi
273,Familie::N,کورنۍ,familia
274,Großvater::N,بابا,aitona
275,Großvater::N,بابا,aitatxi
276,Großmutter::N,انا,amona
277,Großmutter::N,انا,amatxi
278,Eltern::N,مور او پلار,gurasoak
279,Vater::N,پلار,aita
280,Mutter::N,مور,ama
281,Sohn::N,زوی,seme
282,Tochter::N,لور,alaba
283,Bruder::N,ورور,neba
284,Bruder::N,ورور,anaia
285,Schwester::N,خور,ahizpa
286,Onkel::N,تره,osaba
287,Onkel::N,ماما,osaba
288,Tante::N,خاله,izeba
289,Ehemann::N,مېړه,senar
290,Ehefrau::N,مېرمن,emazte
291,Freude::N,خوشحالي,poz
292,Freude::N,خوشحالي,pozkari
293,Gelächter::N,خندا,barre
294,Gelächter::N,خندا,karkara
295,Glück::N,بخت,zori
296,Kummer::N,غم,xangrin
297,Kummer::N,غم,atsekabe
298,Wunsch::N,هيله,nahi
299,Wunsch::N,هيله,nahikunde
300,Wunsch::N,غوښتنه,nahi
301,Wunsch::N,غوښتنه,nahikunde
302,Lust::N,شوق,gogo
303,Lust::N,مینه,gogo
304,Geist::N,روح,gogo
305,Gedanke::N,فکر,gogoeta
306,Gedächtnis::N,یاد,oroimen
307,Gedächtnis::N,یاد,gogoramen
308,Gedächtnis::N,حافظه,oroimen
309,Gedächtnis::N,حافظه,gogoramen
310,Verstand::N,عقل,adimen
311,Verstand::N,عقل,ulermen
312,Verstand::N,شعور,adimen
313,Verstand::N,شعور,ulermen
314,Sinn::N,معنی,zentzu
315,Grund::N,علت,zergati
316,Grund::N,اساس,zergati
317,Wahrheit::N,حقیقت,egia
318,Gespräch::N,مرکه,hizketa
319,Gespräch::N,مرکه,elkarrizketa
320,Gespräch::N,خبرې اترې,hizketa
321,Gespräch::N,خبرې اترې,elkarrizketa
322,Märchen::N,افسانه,ipuin
323,Erzählung::N,قصه,edesti
324,Erzählung::N,قصه,kontakizun
325,Erzählung::N,کیسه,edesti
326,Erzählung::N,کیسه,kontakizun
327,Nachricht::N,خبر,albiste
328,Neuigkeit::N,نوی خبر,berri
329,Name::N,نوم,izen
330,Rätsel::N,کیسۍ,asmakizun
331,Rätsel::N,چیستان,asmakizun
332,Rede::N,وینا,hitzaldi
333,Rede::N,وینا,mintzaldi
334,Sprache::N,ژبه,hizkuntza
335,Stimme::N,غږ,ahots
336,Stimme::N,اواز,ahots
337,Wort::N,لغت,hitz
338,Wort::N,کلمه,hitz
339,Zeichen::N,نښه,agerbide
340,Zeichen::N,نښه,agergarri
341,Zeichen::N,اشاره,agerbide
342,Zeichen::N,اشاره,agergarri
343,Ruf::N,ږغ,dei
344,Ruf::N,بلنه,dei
345,Lärm::N,غالمغال,zarata
346,Lärm::N,غالمغال,harrabots
347,Laut::N,ږغ,hots
348,Ton::N,اواز,tonu
349,Ton::N,اواز,soinu
350,Lied::N,غزله,abesti
351,Lied::N,سندره,abesti
352,Ruhe::N,ارامي,nasaitasun
353,Leute::N,خلک,jende
354,Volk::N,ولس,herri
355,Volk::N,ولس,populu
356,Arbeit::N,کار,lan
357,Gast::N,مېلمه,arrotz
358,Gast::N,مېلمه,apopilo
359,Geschenk::N,تحفه,opari
360,Geschenk::N,سوغات,opari
361,Spiel::N,لوبه,jolas
362,Gesellschaft::N,ډله,gizarte
363,Hilfe::N,کومک,helpide
364,Hilfe::N,کومک,laguntza
365,Hilfe::N,مرسته,helpide
366,Hilfe::N,مرسته,laguntza
367,Freund::N,ملګری,lagun
368,Kamerad::N,انډيوال,adiskide
369,Kamerad::N,انډيوال,lagunkide
370,Angelegenheit::N,موضوع,afera
371,Anzahl::N,شمېر,kopuru
372,Anzahl::N,تعداد,kopuru
373,Art::N,ډول,mota
374,Stück::N,ټوټه,puska
375,Teil::N,برخه,atal
376,Hälfte::N,نیم,erdi
377,Kreis::N,دایره,biribilki
378,Kreuz::N,صلیب,gurutze
379,Linie::N,خط,linea
380,Linie::N,لیکه,linea
381,Strich::N,کرښه,marra
382,Abstand::N,فاصله,tarte
383,Entfernung::N,واټن,urrunera
384,Gegend::N,سیمه,alderdi
385,Gegend::N,سیمه,eskualde
386,Gegend::N,منطقه,alderdi
387,Gegend::N,منطقه,eskualde
388,Platz::N,ځای,leku
389,Ort::N,ځای,toki
390,Seite::N,مخ,albo
391,Seite::N,اړخ,albo
392,Mitte::N,وسط,erdi
393,Mitte::N,مینځ,erdi
394,Gegenstand::N,شی,gauzaki
395,Sache::N,شی,gauza
396,Sache::N,څيز,gauza
397,Rand::N,څنډه,ertz
398,Rand::N,کناره,ertz
399,Kante::N,اړخ,ertz
