,Concept_ID,az,ar
0,Auge::N,göz,عين
1,Ohr::N,qulaq,أذن
2,Nase::N,burun,أنف
3,Mund::N,ağız,فم
4,Zahn::N,diş,سن
5,Zunge::N,dil,لسان
6,Lippe::N,dodaq,شفة
7,Wange::N,yanaq,خد
8,Wange::N,yanaq,وجنة
9,Gesicht::N,üz,وجه
10,Stirn::N,alın,جبين
11,Haar::N,saç,شعر
12,Schnurrbart::N,bığ,شارب
13,Bart::N,saqqal,لحية
14,Kinn::N,çənə,ذقن
15,Kiefer[Anatomie]::N,çənə,فك
16,Kehle::N,boğaz,حلق
17,Hals::N,boyun,عنق
18,Hals::N,boyun,رقبة
19,Genick::N,ənsə,قفا
20,Kopf::N,baş,رأس
21,Rücken::N,bel,ظهر
22,Bauch::N,qarın,بطن
23,Nabel::N,göbək,سرة
24,Busen::N,məmə,ثدي
25,Brust::N,döş,صدر
26,Schulter::N,çiyin,كتف
27,Arm::N,qol,ذراع
28,Ellenbogen::N,dirsək,كوع
29,Hand::N,əl,يد
30,Handfläche::N,ovuc,كف
31,Finger::N,barmaq,إصبع
32,Fingernagel::N,barmaq dırnağı,ظفر
33,Nagel[Anatomie]::N,dırnak,ظفر
34,Zeh::N,ayaq barmağı,إصبع القدم
35,Fuß::N,ayaq,قدم
36,Ferse::N,daban,كعب
37,Knie::N,diz,ركبة
38,Oberschenkel::N,bud,فخذ
39,Bein::N,qıç,ساق
40,Körper::N,əndam,جسم
41,Haut::N,dəri,بشرة
42,Blut::N,qan,دم
43,Ader::N,damar,عرق
44,Sehne::N,vətər,طنب
45,Knochen::N,sümük,عظم
46,Gehirn::N,beyin,دماغ
47,Herz::N,ürək,قلب
48,Magen::N,mədə,معدة
49,Leber::N,qara ciyər,كبد
50,Atem::N,nəfəs,نفس
51,Hunger::N,aclıq,جوع
52,Träne::N,göz yaşı,دمعة
53,Geschmack::N,tam,طعم
54,Geschmack::N,tam,مذاق
55,Geschmack::N,ləzzət,طعم
56,Geschmack::N,ləzzət,مذاق
57,Geruch::N,qoxu,رائحة
58,Schlaf::N,yuxu,نوم
59,Schlaf::N,yuxu,منام
60,Traum::N,röya,حلم
61,Himmel::N,göy,سماء
62,Himmel::N,səma,سماء
63,Sonne::N,günəş,شمس
64,Mond::N,ay,قمر
65,Stern::N,ulduz,نجم
66,Stern::N,ulduz,كوكب
67,Luft::N,hava,هواء
68,Wind::N,yel,ريح
69,Wind::N,külək,ريح
70,Welle::N,dalğa,موجة
71,Wasser::N,su,ماء
72,Stein::N,daş,حجر
73,Boden::N,yer,تراب
74,Boden::N,zəmin,تراب
75,Erde::N,yer torpaq,أرض
76,Staub::N,toz,غبار
77,Rauch::N,tüstü,دخان
78,Funke::N,qığılcım,شرارة
79,Feuer::N,od,نار
80,Licht::N,işıq,نور
81,Licht::N,işıq,ضوء
82,Schatten::N,kölgə,ظل
83,Schatten::N,kölgə,فيء
84,Wetter::N,hava,جو
85,Wetter::N,hava,طقس
86,Nebel::N,duman,ضباب
87,Wolke::N,bulud,غيمة
88,Wolke::N,bulud,سحابة
89,Regen::N,yağış,مطر
90,Regen::N,yağmur,مطر
91,Schnee::N,qar,ثلج
92,Eis::N,buz,جليد
93,Frost::N,ayaz,صقيع
94,Kälte::N,soyuq,برد
95,Hitze::N,coşğunluq,حر
96,Hitze::N,coşğunluq,حرارة
97,Raureif::N,qırov,صقيع
98,Regenbogen::N,göy qurşağı,قوس قزح
99,Donner::N,göy gurultusu,رعد
100,Strömung::N,axın,تيار
101,Tropfen::N,damcı,قطرة
102,Schaum::N,köpük,زبد
103,Schaum::N,köpük,رغوة
104,Schmutz::N,çamır,وسخ
105,See::N,göl,بحيرة
106,Sumpf::N,bataqlıq,مستنقع
107,Moor::N,bataqlıq,مستنقع
108,Wiese::N,çəmən,مرج
109,Wald::N,meşə,غابة
110,Hügel::N,təpə,تل
111,Anhöhe::N,təpə,تل
112,Berg::N,dağ,جبل
113,Gipfel::N,zirvə,قمة
114,Höhle::N,mağara,كهف
115,Abhang::N,yamac,منحدر
116,Quelle::N,bulaq,منبع
117,Bach::N,kiçik çay,مجرى
118,Fluss::N,çay,نهر
119,Ufer::N,kənar,ضفة
120,Küste::N,sahil,ساحل
121,Festland::N,materik,بر
122,Meer::N,dəniz,بحر
123,Bucht::N,körfəz,خليج
124,Insel::N,ada,جزيرة
125,Blume::N,çiçək,زهرة
126,Gras::N,ot,حشيش
127,Wurzel::N,kök,أصل
128,Baum::N,ağac,شجرة
129,Stamm::N,gövdə,جذع
130,Rinde::N,qabıq,قشرة
131,Ast::N,şax,فرع
132,Zweig::N,budaq,غصن
133,Blatt::N,yarpaq,ورقة
134,Birke::N,tozağacı,قضبان
135,Kiefer[Baum]::N,şam,صنوبرة
136,Weide[Baum]::N,söyüd,صفصاف
137,Tanne::N,küknar,شوح
138,Tanne::N,küknar,تبوب
139,Horn::N,buynuz,قرن
140,Feder::N,tük,ريشة
141,Feder::N,lələk,ريشة
142,Fell::N,xəz,فرو
143,Flügel::N,qanad,جناح
144,Klaue::N,pəncə,مخلب
145,Kralle::N,dırnaq,مخلب
146,Schwanz::N,quyruq,ذيل
147,Ei::N,yumurta,بيض
148,Nest::N,yuva,عش
149,Bau::N,yuva,جحر
150,Tier::N,heyvan,حيوان
151,Herde::N,sürü,قطيع
152,Kuh::N,inək,بقرة
153,Bulle::N,öküz,ثور
154,Pferd::N,at,خيل
155,Schaf::N,qoyun,شاة
156,Schwein::N,donuz,خنزير
157,Hund::N,it,كلب
158,Hund::N,köpək,كلب
159,Katze::N,pişik,قطة
160,Bär::N,ayı,دب
161,Eichhörnchen::N,dələ,سنجاب
162,Elch::N,sığın,موظ
163,Fuchs::N,tülkü,ثعلب
164,Hase::N,dovşan,أرنب
165,Maus::N,siçan,فأرة
166,Wolf::N,qurd,ذئب
167,Vogel::N,quş,طير
168,Schwarm::N,sürü,سرب
169,Huhn::N,toyuq,دجاجة
170,Hahn::N,xoruz,ديك
171,Gans::N,qaz,وزة
172,Adler::N,qartal,نسر
173,Adler::N,qaraquş,نسر
174,Ente::N,ördək,بطة
175,Eule::N,bayquş,بوم
176,Kranich::N,durna,كركي
177,Krähe::N,qarğa,غراب
178,Kuckuck::N,ququ,وقواق
179,Schwan::N,qu quşu,إوز عراقي
180,Fisch::N,balıq,سمك
181,Barsch::N,tar,فرخ أوربي
182,Hecht::N,durnabalığı,سمك الكراكي
183,Schlange[Tier]::N,ilan,حية
184,Schlange[Tier]::N,ilan,ثعبان
185,Wurm::N,qurd,دودة
186,Spinne::N,hörümçək,عنكبوت
187,Ameise::N,qarışqa,نملة
188,Laus::N,bit,قملة
189,Mücke::N,ağcaqanad,ناموسة
190,Fliege::N,milçək,ذبابة
191,Schmetterling::N,kəpənək,فراشة
192,Beere::N,gilə,حبة
193,Apfel::N,alma,تفاح
194,Pilz::N,göbələk,فطر
195,Zwiebel::N,soğan,بصل
196,Saat::N,əkin,زرع
197,Korn::N,taxıl,حبة
198,Heu::N,quru ot,دريس
199,Schale::N,qabıq,قشرة
200,Grube::N,çuxur,نقرة
201,Falle::N,tələ,فخ
202,Falle::N,tələ,مصيدة
203,Falle::N,duzaq,فخ
204,Falle::N,duzaq,مصيدة
205,Schlinge::N,ilmək,عروة
206,Spur::N,iz,أثر
207,Asche::N,kül,رماد
208,Dreck::N,kir,قذر
209,Eisen::N,dəmir,حديد
210,Gold::N,altun,ذهب
211,Silber::N,gümüş,فضة
212,Kohle::N,kömür,فحم
