,Concept_ID,ta,kl
0,Auge::N,கண்,isi
1,Ohr::N,காது,siut
2,Nase::N,மூக்கு,
3,Mund::N,வாய்,paaq
4,Mund::N,வாய்,qaneq
5,Zahn::N,பல்,kigut
6,Zunge::N,நாக்கு,oqaq
7,Lippe::N,உதடு,qarloq
8,Wange::N,கன்னம்,ersaq
9,Gesicht::N,முகம்,kiinaq
10,Stirn::N,முன்னெற்றி,qaaq
11,Haar::N,முடி,meqqoq
12,Schnurrbart::N,மீசை,
13,Bart::N,தாடி,umik
14,Kinn::N,கீழதாடை,talloq
15,Kiefer[Anatomie]::N,தாடை,alleroq
16,Kehle::N,தொண்டை,malaq
17,Hals::N,கழுத்து,qungaseq
18,Genick::N,கழுத்து,pukusuk
19,Kopf::N,தலை,niaqoq
20,Rücken::N,முதுகு,qimerlut
21,Bauch::N,வயிறு,naaq
22,Nabel::N,தொப்புள்,qalaseq
23,Busen::N,மார்பகம்,iviangeq
24,Brust::N, மார்பு,iviangeq
25,Schulter::N,தோள்பட்டை,ersik
26,Schulter::N,தோள்பட்டை,assaqqoq
27,Arm::N,கரம்,taleq
28,Ellenbogen::N,முழங்கை,ikusik
29,Hand::N,கை,assak
30,Handfläche::N,உள்ளங்கை,itumak
31,Finger::N,விரல்,inuak
32,Fingernagel::N,விரல் நகம்,kikiak
33,Nagel[Anatomie]::N,நகம்,kukik
34,Zeh::N,கால்விரல்,isigak
35,Fuß::N,கால்,
36,Ferse::N,குதிகால்,kimmik
37,Knie::N,முழங்கால்,seeqqoq
38,Oberschenkel::N,தொடை,uppat
39,Oberschenkel::N,தொடை,quttoraq
40,Bein::N,கால்,isigak
41,Körper::N,உடல்,timi
42,Haut::N,சருமம்,mattak
43,Blut::N,இரத்தம்,aak
44,Ader::N,நாளம்,taqaq
45,Sehne::N,தசைநார்,ujalu
46,Sehne::N,தசைநார்,ujaloq
47,Knochen::N,எலுமபு,saanikut
48,Gehirn::N,மூனை,qarasaq
49,Herz::N,இதயம,uummat
50,Magen::N,வயிறு,aqajaroq
51,Leber::N,கல்லீரல்,tinguk
52,Atem::N,மூச்சு,anerneq
53,Hunger::N,பசி,kaanneq
54,Träne::N,கண்ணீர்,qia
55,Träne::N,கண்ணீர்,qiak
56,Geschmack::N,நறுமணம்,qilanaartuut
57,Geruch::N,துர்நாற்றம்,tipi
58,Geruch::N,துர்நாற்றம்,tipik
59,Schlaf::N,தூக்கம்,
60,Traum::N,கனவு,sinnattoq
61,Traum::N,கனவு,sinnattugaq
62,Himmel::N,வானம்,qilak
63,Sonne::N,சூரியன்,seqineq
64,Mond::N,சந்திரன்,qaammat
65,Stern::N,நட்சத்திரம்,ulloriaq
66,Luft::N,காறறு,silaannaq
67,Wind::N,காற்று,anori
68,Wind::N,காற்று,anorsarik
69,Welle::N,அலை,aalappaa
70,Wasser::N,நீர்,imeq
71,Stein::N,கல்,ujarak
72,Boden::N,தரை,nateq
73,Erde::N,மண்,issoq
74,Staub::N,தூசி,pujualanerit
75,Staub::N,தூசி,pujoralanerit
76,Rauch::N,புகை,iseq
77,Rauch::N,புகை,pujoq
78,Funke::N,தீப்பொறி,illoorneq
79,Feuer::N,தீ,inneq
80,Licht::N,வெளிச்சம்,qaamaneq
81,Schatten::N,நிழல்,tarraq
82,Wetter::N,வானிலை,sila
83,Nebel::N,பனிமூட்டம்,pujoq
84,Wolke::N,மேகம்,nuia
85,Regen::N,மழை,sialuk
86,Schnee::N,உறைபனி,aput
87,Eis::N,பனிக்கட்டி,siku
88,Frost::N,உறைபனி,issi
89,Frost::N,உறைபனி,issik
90,Kälte::N,குளிர்ந்த,issi
91,Hitze::N,சூடு,kianneq
92,Hitze::N,சூடு,kiassuseq
93,Raureif::N,உறைபனி வெண்திரை,kaneq
94,Regenbogen::N,வானவில்,neriusaaq
95,Donner::N,இடி,kalleq
96,Strömung::N,நீரோட்டம்,
97,Tropfen::N,துளி,kuseriarneq
98,Schaum::N,நுரை,qapuk
99,Schmutz::N,அழுக்கு,minguk
100,See::N,ஏரி,taseq
101,Sumpf::N,சதுப்பு நிலம்,maqulluk
102,Moor::N,முட்புதற்காடு,
103,Wiese::N,பசும் புல்தரை,masarsuk
104,Wald::N,காடு,
105,Hügel::N,குன்று,qattuneq
106,Hügel::N,குன்று,majuariaq
107,Hügel::N,குன்று,majorajaaq
108,Hügel::N,குன்று,qaqqannguaq
109,Anhöhe::N,பதுக்கை,
110,Berg::N,மலை,qaqqaq
111,Gipfel::N,உச்சி மாநாடு,
112,Höhle::N,குகை,qaarusuk
113,Abhang::N,சரிவு,ippik
114,Abhang::N,சரிவு,sivinganeq
115,Abhang::N,சரிவு,sivingajaaq
