,Concept_ID,ta,el
0,Auge::N,கண்,μάτι
1,Auge::N,கண்,οφθαλμός
2,Ohr::N,காது,αυτί
3,Nase::N,மூக்கு,μύτη
4,Mund::N,வாய்,στόμα
5,Zahn::N,பல்,δόντι
6,Zunge::N,நாக்கு,γλώσσα
7,Lippe::N,உதடு,χείλος
8,Wange::N,கன்னம்,παρειά
9,Wange::N,கன்னம்,μάγουλο
10,Gesicht::N,முகம்,πρόσωπο
11,Stirn::N,முன்னெற்றி,μέτωπο
12,Haar::N,முடி,μαλλιά
13,Schnurrbart::N,மீசை,μουστάκι
14,Bart::N,தாடி,γένια
15,Kinn::N,கீழதாடை,πιγούνι
16,Kiefer[Anatomie]::N,தாடை,σαγόνι
17,Kehle::N,தொண்டை,λαρύγγι
18,Hals::N,கழுத்து,λαιμός
19,Genick::N,கழுத்து,σβέρκος
20,Kopf::N,தலை,κεφάλι
21,Rücken::N,முதுகு,ράχη
22,Bauch::N,வயிறு,κοιλιά
23,Nabel::N,தொப்புள்,αφαλός
24,Busen::N,மார்பகம்,στήθος
25,Brust::N, மார்பு,στήθος
26,Schulter::N,தோள்பட்டை,ώμος
27,Arm::N,கரம்,χέρι
28,Arm::N,கரம்,μπράτςο
29,Ellenbogen::N,முழங்கை,αγκώνας
30,Hand::N,கை,χέρι
31,Handfläche::N,உள்ளங்கை,παλάμη
32,Finger::N,விரல்,δάχτυλο
33,Fingernagel::N,விரல் நகம்,νύχι
34,Nagel[Anatomie]::N,நகம்,νύχι
35,Zeh::N,கால்விரல்,δάχτυλο του ποδιού
36,Fuß::N,கால்,πόδι
37,Ferse::N,குதிகால்,φτέρνα
38,Knie::N,முழங்கால்,γόνατο
39,Oberschenkel::N,தொடை,μηρός
40,Bein::N,கால்,πόδι
41,Körper::N,உடல்,σώμα
42,Körper::N,உடல்,κορμί
43,Haut::N,சருமம்,πετσί
44,Blut::N,இரத்தம்,αίμα
45,Ader::N,நாளம்,φλέβα
46,Sehne::N,தசைநார்,νεύρο
47,Sehne::N,தசைநார்,τένοντας
48,Knochen::N,எலுமபு,οστό
49,Knochen::N,எலுமபு,κόκκαλο
50,Gehirn::N,மூனை,μυαλό
51,Gehirn::N,மூனை,εγκέφαλος
52,Herz::N,இதயம,καρδιά
53,Magen::N,வயிறு,στομάχι
54,Leber::N,கல்லீரல்,ήπαρ
55,Leber::N,கல்லீரல்,συκωτί
56,Atem::N,மூச்சு,αναπνοή
57,Hunger::N,பசி,πείνα
58,Träne::N,கண்ணீர்,δάκρυ
59,Geschmack::N,நறுமணம்,γεύση
60,Geruch::N,துர்நாற்றம்,οσμή
61,Geruch::N,துர்நாற்றம்,μυρωδία
62,Schlaf::N,தூக்கம்,ύπνος
63,Traum::N,கனவு,όνειρο
64,Himmel::N,வானம்,ουρανός
65,Sonne::N,சூரியன்,ήλιος
66,Mond::N,சந்திரன்,σελήνη
67,Mond::N,சந்திரன்,φεγγάρι
68,Stern::N,நட்சத்திரம்,άστρο
69,Stern::N,நட்சத்திரம்,αστέρι
70,Luft::N,காறறு,αέρας
71,Wind::N,காற்று,αέρας
72,Wind::N,காற்று,άνεμος
73,Welle::N,அலை,κύμα
74,Wasser::N,நீர்,νερό
75,Stein::N,கல்,πέτρα
76,Boden::N,தரை,χώμα
77,Erde::N,மண்,γη
78,Staub::N,தூசி,σκόνη
79,Rauch::N,புகை,καπνός
80,Funke::N,தீப்பொறி,σπίθα
81,Funke::N,தீப்பொறி,σπινθήρας
82,Feuer::N,தீ,φωτιά
83,Licht::N,வெளிச்சம்,φως
84,Schatten::N,நிழல்,σκιά
85,Schatten::N,நிழல்,ίσκιος
86,Wetter::N,வானிலை,καιρός
87,Nebel::N,பனிமூட்டம்,ομίχλη
