,Concept_ID,pl,ja
0,Auge::N,oko,目
1,Ohr::N,ucho,耳
2,Nase::N,nos,鼻
3,Mund::N,usta,口
4,Zahn::N,ząb,歯
5,Zunge::N,język,舌
6,Lippe::N,warga,唇
7,Wange::N,policzek,頬
8,Gesicht::N,twarz,顔
9,Stirn::N,czoło,額
10,Haar::N,włos,髪
11,Haar::N,włosy,髪
12,Schnurrbart::N,wąsy,口髭
13,Bart::N,broda,髭
14,Kinn::N,podbródek,顎
15,Kiefer[Anatomie]::N,czeluść,顎
16,Kehle::N,gardło,喉
17,Hals::N,szyja,首
18,Genick::N,kark,首
19,Kopf::N,głowa,頭
20,Rücken::N,plecy,背中
21,Rücken::N,grzbiet,背中
22,Bauch::N,brzuch,腹
23,Bauch::N,brzuch,お腹
24,Nabel::N,pępek,へそ
25,Busen::N,biust,乳房
26,Brust::N,pierś,胸
27,Schulter::N,bark,肩
28,Schulter::N,ramię,肩
29,Arm::N,ręka,腕
30,Arm::N,ramię,腕
31,Ellenbogen::N,łokieć,肘
32,Hand::N,dłoń,手
33,Handfläche::N,dłoń,手のひら
34,Finger::N,palec,指
35,Fingernagel::N,paznokieć,爪
36,Nagel[Anatomie]::N,paznokieć,爪
37,Zeh::N,palec,足の指
38,Fuß::N,stopa,足
39,Ferse::N,pięta,かかと
40,Knie::N,kolano,膝
41,Oberschenkel::N,udo,上腿
42,Bein::N,noga,足
43,Körper::N,ciało,体
44,Haut::N,skóra,皮膚
45,Blut::N,krew,血
46,Ader::N,żyła,血管
47,Sehne::N,ścięgno,腱
48,Knochen::N,kość,骨
49,Gehirn::N,mózg,脳
50,Herz::N,serce,心
51,Herz::N,serce,心臓
52,Magen::N,żołądek,胃
53,Leber::N,wątroba,肝臓
54,Atem::N,dech,息
55,Atem::N,dech,呼吸
56,Atem::N,oddech,息
57,Atem::N,oddech,呼吸
58,Hunger::N,głód,空腹
59,Träne::N,łza,涙
60,Geschmack::N,smak,味
61,Geruch::N,woń,匂い
62,Geruch::N,zapach,匂い
63,Schlaf::N,sen,睡眠
64,Traum::N,sen,夢
65,Himmel::N,niebo,空
66,Sonne::N,słońce,太陽
67,Mond::N,księżyc,月
68,Stern::N,gwiazda,星
69,Luft::N,powietrze,空気
70,Wind::N,wiatr,風
71,Welle::N,fala,波
72,Wasser::N,woda,水
73,Stein::N,kamień,石
74,Boden::N,grunt,土地
75,Erde::N,ziemia,土
76,Staub::N,pył,埃
77,Staub::N,kurz,埃
78,Rauch::N,dym,煙
79,Funke::N,iskra,火花
80,Feuer::N,ogień,火
81,Licht::N,światło,光
82,Schatten::N,cień,陰
83,Wetter::N,pogoda,天気
84,Nebel::N,mgła,霧
85,Wolke::N,obłok,雲
86,Wolke::N,chmura,雲
87,Regen::N,deszcz,雨
88,Schnee::N,śnieg,雪
89,Eis::N,lód,氷
90,Frost::N,mróz,霜
91,Kälte::N,chłód,寒さ
92,Hitze::N,gorąco,暑さ
93,Raureif::N,szron,霧氷
94,Regenbogen::N,tęcza,虹
95,Donner::N,grzmot,雷
96,Strömung::N,nurt,流れ
97,Tropfen::N,kropla,滴
98,Schaum::N,piana,泡
99,Schmutz::N,brud,汚れ
100,See::N,jezioro,湖
101,Sumpf::N,bagno,沼
102,Moor::N,bagno,湿原
103,Wiese::N,łąka,草原
104,Wald::N,las,森
105,Hügel::N,pagórek,丘
106,Anhöhe::N,wzgórze,高み
107,Berg::N,góra,山
108,Gipfel::N,szczyt,頂上
109,Gipfel::N,wierzchołek,頂上
110,Höhle::N,pieczara,洞窟
111,Abhang::N,stok,斜面
112,Abhang::N,zbocze,斜面
113,Quelle::N,zdrój,泉
114,Quelle::N,źródło,泉
115,Bach::N,potok,小川
116,Bach::N,strumień,小川
117,Fluss::N,rzeka,川
118,Ufer::N,brzeg,岸
119,Küste::N,wybrzeże,海岸
120,Festland::N,ląd,陸
121,Meer::N,morze,海
122,Bucht::N,zatoka,湾
123,Insel::N,wyspa,島
124,Blume::N,kwiat,花
125,Gras::N,trawa,草
126,Wurzel::N,korzeń,根
127,Baum::N,drzewo,木
128,Stamm::N,pień,幹
129,Rinde::N,kora,皮層
130,Ast::N,gałąź,枝
131,Zweig::N,gałąź,小枝
132,Blatt::N,liść,葉
133,Birke::N,brzoza,樺
134,Kiefer[Baum]::N,sosna,松
135,Weide[Baum]::N,wierzba,柳
136,Tanne::N,jodła,樅
137,Horn::N,róg,角
138,Feder::N,pióro,羽根
139,Fell::N,futro,毛皮
140,Flügel::N,skrzydło,羽
141,Klaue::N,szpon,鉤爪
142,Kralle::N,pazur,爪
143,Schwanz::N,ogon,尻尾
144,Ei::N,jajko,卵
145,Nest::N,gniazdo,巣
146,Bau::N,nora,穴
147,Tier::N,zwierzę,動物
148,Herde::N,stado,群れ
149,Herde::N,trzoda,群れ
150,Kuh::N,krowa,牛
151,Bulle::N,byk,雄牛
152,Pferd::N,koń,馬
153,Schaf::N,owca,羊
154,Schwein::N,świnia,豚
155,Hund::N,pies,犬
156,Katze::N,kot,猫
157,Katze::N,kotka,猫
158,Bär::N,niedźwiedż,熊
159,Eichhörnchen::N,wiewiórka,栗鼠
160,Elch::N,łóś,ヘラジカ
161,Fuchs::N,lis,狐
162,Hase::N,zając,兎
163,Maus::N,mysz,鼠
164,Wolf::N,wilk,狼
165,Vogel::N,ptak,鳥
166,Schwarm::N,stado,群れ
167,Huhn::N,kura,鶏
168,Hahn::N,kogut,雄鶏
169,Gans::N,gęś,ガチョウ
170,Adler::N,orzeł,鷲
171,Ente::N,kaczka,鴨
172,Eule::N,sowa,フクロウ
173,Kranich::N,żuraw,鶴
174,Krähe::N,wrona,烏
175,Kuckuck::N,kukułka,郭公
176,Schwan::N,łabędż,白鳥
177,Fisch::N,ryba,魚
178,Barsch::N,okoń,鱸
179,Hecht::N,szczupak,川魳
180,Schlange[Tier]::N,wąż,蛇
181,Schlange[Tier]::N,żmija,蛇
182,Wurm::N,robak,虫
183,Spinne::N,pająk,蜘蛛
184,Ameise::N,mrówka,蟻
185,Laus::N,wesz,虱
186,Mücke::N,komar,蚊
187,Fliege::N,mucha,蝿
188,Schmetterling::N,motyl,蝶
189,Beere::N,jagoda,漿果
190,Apfel::N,jabłko,林檎
191,Pilz::N,grzyb,茸
192,Zwiebel::N,cebula,玉葱
193,Saat::N,siew,種
194,Korn::N,ziarno,粒
195,Heu::N,siano,干し草
196,Schale::N,łupina,皮
197,Grube::N,dół,穴
198,Grube::N,jama,穴
199,Falle::N,pułapka,わな
200,Schlinge::N,sidła,輪
201,Spur::N,ślad,跡
202,Asche::N,popiół,灰
203,Dreck::N,brud,泥
204,Eisen::N,żelazo,鉄
