,Concept_ID,el,ca
0,Auge::N,μάτι,ull
1,Auge::N,οφθαλμός,ull
2,Ohr::N,αυτί,orella
3,Nase::N,μύτη,nas
4,Mund::N,στόμα,boca
5,Zahn::N,δόντι,dent
6,Zunge::N,γλώσσα,llēngua
7,Lippe::N,χείλος,llavi
8,Wange::N,παρειά,galta
9,Wange::N,μάγουλο,galta
10,Gesicht::N,πρόσωπο,cara
11,Stirn::N,μέτωπο,front
12,Haar::N,μαλλιά,cabēll
13,Schnurrbart::N,μουστάκι,bigoti
14,Bart::N,γένια,barba
15,Kinn::N,πιγούνι,mentó
16,Kinn::N,πιγούνι,barbeta
17,Kiefer[Anatomie]::N,σαγόνι,queix
18,Kiefer[Anatomie]::N,σαγόνι,mandíbula
19,Kehle::N,λαρύγγι,gola
20,Kehle::N,λαρύγγι,gorja
21,Hals::N,λαιμός,coll
22,Genick::N,σβέρκος,nuca
23,Kopf::N,κεφάλι,cap
24,Rücken::N,ράχη,esquena
25,Bauch::N,κοιλιά,panxa
26,Nabel::N,αφαλός,llombrígol
27,Busen::N,στήθος,pit
28,Busen::N,στήθος,mama
29,Brust::N,στήθος,pit
30,Schulter::N,ώμος,espatlla
31,Arm::N,χέρι,braç
32,Arm::N,μπράτςο,braç
33,Ellenbogen::N,αγκώνας,colze
34,Hand::N,χέρι,mà
35,Handfläche::N,παλάμη,palma
36,Finger::N,δάχτυλο,dit
37,Fingernagel::N,νύχι,ungla
38,Nagel[Anatomie]::N,νύχι,ungla
39,Zeh::N,δάχτυλο του ποδιού,dit del peu
40,Fuß::N,πόδι,peu
41,Ferse::N,φτέρνα,taló
42,Knie::N,γόνατο,genoll
43,Oberschenkel::N,μηρός,cuixa
44,Bein::N,πόδι,cama
45,Körper::N,σώμα,cos
46,Körper::N,κορμί,cos
47,Haut::N,πετσί,pell
48,Blut::N,αίμα,sang
49,Ader::N,φλέβα,vena
50,Sehne::N,νεύρο,tendó
51,Sehne::N,τένοντας,tendó
52,Knochen::N,οστό,os
53,Knochen::N,κόκκαλο,os
54,Gehirn::N,μυαλό,cervell
55,Gehirn::N,εγκέφαλος,cervell
56,Herz::N,καρδιά,cor
57,Magen::N,στομάχι,estómac
58,Leber::N,ήπαρ,fetge
59,Leber::N,συκωτί,fetge
60,Atem::N,αναπνοή,alè
61,Atem::N,αναπνοή,hàlit
62,Hunger::N,πείνα,fam
63,Hunger::N,πείνα,gana
64,Träne::N,δάκρυ,llàgrima
65,Geschmack::N,γεύση,gust
66,Geschmack::N,γεύση,sabor
67,Geruch::N,οσμή,olor
68,Geruch::N,μυρωδία,olor
69,Schlaf::N,ύπνος,son
70,Traum::N,όνειρο,somni
71,Himmel::N,ουρανός,celm
72,Sonne::N,ήλιος,sol
73,Mond::N,σελήνη,lluna
74,Mond::N,φεγγάρι,lluna
75,Stern::N,άστρο,estel
76,Stern::N,άστρο,estrella
77,Stern::N,αστέρι,estel
78,Stern::N,αστέρι,estrella
79,Luft::N,αέρας,aire
80,Wind::N,αέρας,vent
81,Wind::N,άνεμος,vent
82,Welle::N,κύμα,ona
83,Wasser::N,νερό,āigua
84,Stein::N,πέτρα,pedra
85,Boden::N,χώμα,sòl
86,Erde::N,γη,terra
87,Staub::N,σκόνη,pols
88,Rauch::N,καπνός,fum
89,Funke::N,σπίθα,guspira
90,Funke::N,σπίθα,centella
91,Funke::N,σπινθήρας,guspira
92,Funke::N,σπινθήρας,centella
93,Feuer::N,φωτιά,foc
94,Licht::N,φως,llum
95,Schatten::N,σκιά,ombra
96,Schatten::N,ίσκιος,ombra
97,Wetter::N,καιρός,temps
98,Nebel::N,ομίχλη,boira
99,Wolke::N,σύννεφο,núvol
100,Regen::N,βροχή,pluja
101,Schnee::N,χιόνι,neu
102,Eis::N,πάγος,gel
103,Eis::N,πάγος,glaç
104,Frost::N,παγωνία,glaçada
105,Kälte::N,κρύο,fred
106,Kälte::N,ψύχος,fred
107,Hitze::N,ζέστη,calor
108,Raureif::N,πάχνη,gebre
109,Regenbogen::N,ουράνιο τόξο,arc iris
110,Donner::N,βροντή,tro
111,Strömung::N,ρεύμα,corrent
112,Tropfen::N,στάλα,gota
113,Schaum::N,αφρός,escuma
114,Schmutz::N,βρωμιά,brutícia
115,See::N,λίμνη,llac
116,Sumpf::N,βάλτος,pantà
117,Moor::N,έλος,pantà
118,Wiese::N,λιβάδι,prat
119,Wiese::N,λιβάδι,prada
120,Wald::N,δάσος,bosc
121,Hügel::N,λόφος,puig
122,Hügel::N,λόφος,pujol
123,Anhöhe::N,ύψωμα,turó
124,Berg::N,όρος,muntanya
125,Berg::N,βουνό,muntanya
126,Gipfel::N,κορυφή,cim
127,Höhle::N,σπηλιά,cova
128,Abhang::N,πλαγιά,coster
129,Quelle::N,πηγή,font
130,Quelle::N,βρύση,font
131,Bach::N,ρυάκι,riera
132,Fluss::N,ποτάμι,riu
133,Fluss::N,ποταμός,riu
134,Ufer::N,όχθη,riba
135,Küste::N,ακτή,costa
136,Küste::N,ακρογιαλιά,costa
137,Festland::N,στεριά,terra ferma
138,Meer::N,θάλασσα,mar
139,Bucht::N,κόλπος,cala
140,Bucht::N,κόλπος,badia
141,Insel::N,νησί,illa
142,Insel::N,νήσος,illa
143,Blume::N,άνθος,flor
144,Blume::N,λουλούδι,flor
145,Gras::N,χόρτο,herba
146,Gras::N,χορτάρι,herba
147,Wurzel::N,ρίζα,rel
148,Wurzel::N,ρίζα,arrel
149,Baum::N,δέντρο,arbre
150,Stamm::N,κορμός,tronc
151,Rinde::N,φλούδα,escorça
152,Ast::N,κλαδί,branca
153,Zweig::N,κλαδί,ram
154,Zweig::N,κλάδος,ram
155,Blatt::N,φύλλο,fulla
156,Birke::N,σημύδα,bedoll
157,Kiefer[Baum]::N,πεύκο,pi
158,Weide[Baum]::N,ιτιά,salze
159,Tanne::N,έλατο,avet
160,Horn::N,κέρας,corn
161,Horn::N,κέρας,banya
162,Horn::N,κέρατο,corn
163,Horn::N,κέρατο,banya
164,Feder::N,φτερό,ploma
165,Fell::N,δέρμα,pell
166,Fell::N,τομάρι,pell
167,Flügel::N,πτερύγιο,ala
168,Klaue::N,κουλό,urpa
169,Kralle::N,νύχι,grapa
170,Schwanz::N,ουρά,cua
171,Ei::N,αβγό,ou
172,Nest::N,φωλιά,niu
173,Bau::N,φωλιά,cau
174,Tier::N,ζώο,animāl
175,Herde::N,κοπάδι,ramat
176,Kuh::N,αγελάδα,vaca
177,Bulle::N,ταύρος,toro
178,Pferd::N,άλογο,cavāll
179,Schaf::N,πρόβατο,be
180,Schaf::N,πρόβατο,ovella
181,Schwein::N,γουρούνι,bacó
182,Hund::N,σκυλί,ca
183,Hund::N,σκυλί,gos
184,Hund::N,σκύλος,ca
185,Hund::N,σκύλος,gos
186,Katze::N,γάτα,gat
187,Bär::N,άρκτος,ós
188,Bär::N,αρκούδα,ós
189,Eichhörnchen::N,βερβερίτσα,esquirol
190,Elch::N,άλκη,ant
191,Fuchs::N,αλεπού,guilla
192,Hase::N,λαγός,llebre
193,Maus::N,ποντικός,ratolí
194,Wolf::N,λύκος,llop
195,Vogel::N,πουλί,au
196,Vogel::N,πουλί,ocēll
197,Schwarm::N,σμήνος,bandada
198,Huhn::N,κότα,gallina
199,Huhn::N,όρνιθα,gallina
200,Hahn::N,πετεινός,gall
201,Gans::N,χήνα,oca
202,Adler::N,αετός,àguila
203,Ente::N,πάπια,ànec
204,Eule::N,κουκουβάγια,òliba
205,Eule::N,κουκουβάγια,mussol
206,Kranich::N,γερανός,grua
207,Krähe::N,καρακάξα,cornella
208,Kuckuck::N,κούκος,cucut
209,Schwan::N,κύκνος,cigne
210,Fisch::N,ψάρι,peix
211,Barsch::N,πέρκα,perca
212,Hecht::N,λούτσος,lluç
213,Schlange[Tier]::N,φίδι,serp
214,Wurm::N,σκουλήκι,cuc
215,Spinne::N,αράχνη,aranya
216,Ameise::N,μυρμήγκι,formiga
217,Laus::N,ψείρα,poll
218,Mücke::N,κουνούπι,mosquit
219,Fliege::N,μύγα,mosca
220,Schmetterling::N,πεταλούδα,papallona
221,Beere::N,ρόγα,baia
222,Apfel::N,μήλο,poma
223,Pilz::N,μανιτάρι,bolet
224,Zwiebel::N,κρεμμύδι,ceba
225,Saat::N,σπόρος,sembra
226,Korn::N,σπυρί,gra
227,Heu::N,σανός,fenc
228,Schale::N,τσόφλι,closca
229,Grube::N,λάκκος,sot
230,Grube::N,λάκκος,clot
231,Falle::N,παγίδα,trampa
232,Schlinge::N,θηλειά,baga
233,Spur::N,ίχνος,traça
234,Asche::N,στάχτη,cendra
235,Dreck::N,βρωμιά,llot
236,Eisen::N,σίδερο,ferro
237,Gold::N,μάλαμα,or
238,Gold::N,χρυσάφι,or
239,Silber::N,ασήμι,plata
240,Silber::N,άργυρος,plata
241,Kohle::N,κάρβουνο,carbó
242,Glas::N,γυαλί,vidre
243,Lehm::N,πηλός,fang
244,Lehm::N,πηλός,argila
245,Sand::N,άμμος,arena
246,Mensch::N,άνθρωπος,humà
247,Mensch::N,άνθρωπος,persona
248,Mann::N,άνδρας,home
249,Frau::N,γυναίκα,dona
250,Kind::N,παιδί,nen
251,Junge::N,αγόρι,noi
252,Mädchen::N,κοπέλα,noia
253,Mädchen::N,κορίτσι,noia
254,Familie::N,οικογένεια,família
255,Großvater::N,παππούς,avi
256,Großmutter::N,γιαγιά,àvia
257,Eltern::N,γονείς,pares
258,Vater::N,πατέρας,pare
259,Mutter::N,μητέρα,mare
260,Sohn::N,γιος,fill
261,Tochter::N,κόρη,filla
262,Bruder::N,αδελφός,germà
263,Schwester::N,αδελφή,germana
264,Onkel::N,θείος,oncle
265,Tante::N,θεία,tia
266,Ehemann::N,σύζυγος,espòs
267,Ehefrau::N,σύζυγος,muller
268,Freude::N,χαρά,goig
269,Freude::N,χαρά,alegria
270,Gelächter::N,γέλια,riallada
271,Glück::N,ευτυχία,felicitat
272,Kummer::N,έγνοια,pena
273,Wunsch::N,επιθυμία,desig
274,Lust::N,όρεξη,ganes
275,Geist::N,πνέυμα,ment
276,Geist::N,πνέυμα,esperit
277,Gedanke::N,σκέψη,pensament
278,Gedächtnis::N,μνήμη,memòria
279,Verstand::N,νους,raó
280,Verstand::N,νους,seny
281,Sinn::N,νόημα,solta
282,Sinn::N,νόημα,sentit
283,Grund::N,λόγος,raó
284,Grund::N,λόγος,causa
285,Wahrheit::N,αλήθεια,veritāt
286,Gespräch::N,συνομιλία,conversa
287,Märchen::N,παραμύθι,conte
288,Erzählung::N,διήγημα,narració
289,Nachricht::N,είδηση,missatge
290,Neuigkeit::N,νέο,novetat
291,Name::N,όνομα,nom
292,Rätsel::N,αίνιγμα,endevinalla
293,Rede::N,λόγος,discurs
294,Rede::N,ομιλία,discurs
295,Sprache::N,γλώσσα,llēngua
296,Stimme::N,φωνή,veu
297,Wort::N,λέξη,mot
298,Wort::N,λέξη,paraula
299,Zeichen::N,σημείο,signe
300,Zeichen::N,σημείο,senyal
301,Ruf::N,κραυγή,crida
302,Lärm::N,θόρυβος,sorōll
303,Laut::N,ήχος,so
304,Ton::N,ήχος,to
305,Ton::N,τόνος,to
306,Lied::N,τραγούδι,cançó
307,Ruhe::N,ησυχία,calma
308,Ruhe::N,ησυχία,silenci
309,Leute::N,κόσμος,gent
310,Leute::N,άνθρωποι,gent
311,Volk::N,λαός,poble
312,Arbeit::N,εργασία,labor
313,Arbeit::N,εργασία,treball
314,Gast::N,επισκέπτης,hoste
315,Geschenk::N,δώρο,regal
316,Geschenk::N,δώρο,obsequi
317,Spiel::N,παιχνίδι,joc
318,Gesellschaft::N,κοινωνία,companyia
319,Hilfe::N,βοήθεια,ajut
320,Freund::N,φίλος,amīc
321,Kamerad::N,σύντροφος,company
322,Kamerad::N,σύντροφος,camarada
323,Angelegenheit::N,υπόθεση,afer
324,Angelegenheit::N,υπόθεση,assumpte
325,Anzahl::N,αριθμός,nombre
326,Anzahl::N,αριθμός,quantitat
327,Art::N,είδος,tipus
328,Art::N,είδος,classe
329,Stück::N,κομμάτι,peça
330,Teil::N,μέρος,part
331,Hälfte::N,μισό,meitat
332,Kreis::N,κύκλος,cercle
333,Kreuz::N,σταυρός,creu
334,Linie::N,γραμμή,línia
335,Strich::N,γραμμή,traç
