,Concept_ID,cy,ar
0,Auge::N,llygad,عين
1,Ohr::N,clust,أذن
2,Nase::N,trwyn,أنف
3,Mund::N,ceg,فم
4,Zahn::N,dant,سن
5,Zunge::N,tafod,لسان
6,Lippe::N,gwefus,شفة
7,Wange::N,boch,خد
8,Wange::N,boch,وجنة
9,Gesicht::N,wyneb,وجه
10,Stirn::N,talcen,جبين
11,Haar::N,blew,شعر
12,Schnurrbart::N,mwstas,شارب
13,Bart::N,barf,لحية
14,Kinn::N,gên,ذقن
15,Kiefer[Anatomie]::N,gên,فك
16,Kehle::N,gwddf,حلق
17,Hals::N,gwddf,عنق
18,Hals::N,gwddf,رقبة
19,Genick::N,gwar,قفا
20,Genick::N,gwegil,قفا
21,Kopf::N,pen,رأس
22,Rücken::N,cefn,ظهر
23,Bauch::N,bol,بطن
24,Nabel::N,bogail,سرة
25,Busen::N,bron,ثدي
26,Brust::N,brest,صدر
27,Schulter::N,ysgwydd,كتف
28,Arm::N,braich,ذراع
29,Ellenbogen::N,penelin,كوع
30,Hand::N,llaw,يد
31,Handfläche::N,palf,كف
32,Finger::N,bys,إصبع
33,Fingernagel::N,ewin,ظفر
34,Nagel[Anatomie]::N,ewin,ظفر
35,Zeh::N,bys troed,إصبع القدم
36,Fuß::N,troed,قدم
37,Ferse::N,sawdl,كعب
38,Knie::N,glin,ركبة
39,Oberschenkel::N,clun,فخذ
40,Bein::N,coes,ساق
41,Körper::N,corff,جسم
42,Haut::N,croen,بشرة
43,Blut::N,gwaed,دم
44,Ader::N,gwythïen,عرق
45,Sehne::N,gewyn,طنب
46,Knochen::N,asgwrn,عظم
47,Gehirn::N,ymennydd,دماغ
48,Herz::N,calon,قلب
49,Magen::N,cylla,معدة
50,Magen::N,stumog,معدة
51,Leber::N,iau,كبد
52,Atem::N,anadl,نفس
53,Hunger::N,newyn,جوع
54,Träne::N,deigryn,دمعة
55,Geschmack::N,cyflas,طعم
56,Geschmack::N,cyflas,مذاق
57,Geruch::N,aroglau,رائحة
58,Schlaf::N,cwsg,نوم
59,Schlaf::N,cwsg,منام
60,Traum::N,breuddwyd,حلم
61,Himmel::N,awyr,سماء
62,Sonne::N,haul,شمس
63,Mond::N,lleuad,قمر
64,Stern::N,seren,نجم
