,Concept_ID,la,en
0,Auge::N,oculus,eye
1,Ohr::N,auris,ear
2,Nase::N,nasus,nose
3,Mund::N,os,mouth
4,Zahn::N,dens,tooth
5,Zunge::N,lingua,tongue
6,Lippe::N,labrum,lip
7,Wange::N,gena,cheek
8,Gesicht::N,vultus,face
9,Stirn::N,frons,forehead
10,Haar::N,capillus,hair
11,Schnurrbart::N,barba labri superioris,moustache
12,Bart::N,barba,beard
13,Kinn::N,mentum,chin
14,Kiefer[Anatomie]::N,mala,jaw
15,Kehle::N,iugulums,throat
16,Hals::N,collum,neck
17,Genick::N,cervices,nape
18,Kopf::N,caput,head
19,Rücken::N,tergum,back
20,Rücken::N,tergum,spine
21,Bauch::N,venter,belly
22,Nabel::N,umbilicus,navel
23,Busen::N,sinus,bosom
24,Brust::N,pectus,chest
25,Brust::N,pectus,breast
26,Schulter::N,umerus,shoulder
27,Arm::N,bracchium,arm
28,Ellenbogen::N,cubitum,elbow
29,Hand::N,manus,hand
30,Handfläche::N,palma,palm
31,Finger::N,digitus,finger
32,Fingernagel::N,unguiculus,fingernail
33,Nagel[Anatomie]::N,unguis,nail
34,Zeh::N,digitus,toe
35,Fuß::N,pes,foot
36,Ferse::N,calx,heel
37,Knie::N,genu,knee
38,Oberschenkel::N,femur,thigh
39,Bein::N,crus,leg
40,Körper::N,corpus,body
41,Haut::N,cutis,skin
42,Haut::N,pellis,skin
43,Blut::N,sanguis,blood
44,Ader::N,vena,vein
45,Sehne::N,nervus,sinew
46,Knochen::N,os,bone
47,Gehirn::N,cerebrum,brain
48,Herz::N,cor,heart
49,Herz::N,animus,heart
50,Magen::N,stomachus,stomach
51,Leber::N,iecur,liver
52,Atem::N,spiritus,breath
53,Hunger::N,fames,hunger
54,Träne::N,lacrima,tear
55,Geschmack::N,sapor,flavour
56,Geschmack::N,sapor,flavor
57,Geschmack::N,gustus,flavour
58,Geschmack::N,gustus,flavor
59,Geruch::N,odor,odour
60,Geruch::N,odor,odor
61,Schlaf::N,somnus,sleep
62,Traum::N,somnium,dream
63,Himmel::N,caelum,sky
64,Sonne::N,sol,sun
65,Mond::N,luna,moon
66,Stern::N,sidus,star
67,Stern::N,stella,star
68,Luft::N,aer,air
69,Wind::N,ventus,wind
70,Welle::N,unda,wave
71,Wasser::N,aqua,water
72,Stein::N,lapis,stone
73,Boden::N,solum,soil
74,Boden::N,solum,ground
75,Erde::N,terra,earth
76,Staub::N,pulvis,dust
77,Rauch::N,fumus,smoke
78,Funke::N,scintilla,spark
79,Feuer::N,ignis,fire
80,Licht::N,lux,light
81,Licht::N,lumen,light
82,Schatten::N,umbra,shadow
83,Wetter::N,caelum,weather
84,Wetter::N,tempestas,weather
85,Nebel::N,nebula,fog
86,Wolke::N,nubes,cloud
87,Regen::N,imber,rain
88,Regen::N,pluvia,rain
89,Schnee::N,nix,snow
90,Eis::N,glacies,ice
91,Frost::N,gelu,frost
92,Kälte::N,frigus,chill
93,Hitze::N,calor,heat
94,Hitze::N,aestus,heat
95,Raureif::N,pruina,hoarfrost
96,Regenbogen::N,arcus,rainbow
97,Donner::N,tonitrus,thunder
98,Strömung::N,fluctus,current
99,Tropfen::N,gutta,drop
100,Schaum::N,spuma,foam
101,Schmutz::N,sordes,dirt
102,Schmutz::N,squalor,dirt
103,See::N,lacus,lake
104,Sumpf::N,palus,swamp
105,Moor::N,palus,moor
106,Wiese::N,pratum,meadow
107,Wald::N,silva,forest
108,Hügel::N,collis,hill
109,Anhöhe::N,specula,elevation
110,Berg::N,mons,mountain
111,Gipfel::N,vertex,summit
112,Höhle::N,caverna,cave
113,Höhle::N,spelunca,cave
114,Abhang::N,declivum,slope
115,Quelle::N,fons,source
116,Bach::N,rivus,brook
117,Fluss::N,flumen,river
118,Ufer::N,ripa,shore
119,Küste::N,litus,coast
120,Festland::N,continens,land
121,Meer::N,mare,sea
122,Bucht::N,sinus,cove
123,Insel::N,insula,island
124,Blume::N,flos,flower
125,Gras::N,herba,grass
126,Gras::N,gramen,grass
127,Wurzel::N,radix,root
128,Baum::N,arbor,tree
129,Stamm::N,truncus,trunk
130,Rinde::N,cortex,bark
131,Ast::N,ramus,limb
132,Zweig::N,ramus,branch
133,Blatt::N,folium,leaf
134,Birke::N,betulla,birch
135,Kiefer[Baum]::N,pinus,pine
136,Weide[Baum]::N,salix,willow
137,Tanne::N,abies,fir
138,Horn::N,cornu,horn
139,Feder::N,penna,feather
140,Fell::N,pellis,fur
141,Flügel::N,ala,wing
142,Klaue::N,unguis,claw
143,Kralle::N,unguis,claw
144,Schwanz::N,cauda,tail
145,Ei::N,ovum,egg
146,Nest::N,nidus,nest
147,Bau::N,cavum,lair
148,Bau::N,latibulum,lair
149,Tier::N,bestia,animal
150,Herde::N,grex,flock
151,Kuh::N,vacca,cow
152,Bulle::N,taurus,bull
153,Pferd::N,equus,horse
154,Schaf::N,ovis,sheep
155,Schwein::N,sus,pig
156,Schwein::N,porcus,pig
157,Hund::N,canis,dog
158,Katze::N,felis,cat
159,Bär::N,ursus,bear
160,Eichhörnchen::N,sciurus,squirrel
161,Elch::N,alces,elk
162,Fuchs::N,vulpes,fox
163,Hase::N,lepus,hare
164,Maus::N,mus,mouse
165,Wolf::N,lupus,wolf
166,Vogel::N,avis,bird
167,Schwarm::N,examen,swarm
168,Huhn::N,gallina,chicken
169,Hahn::N,gallus,cock
170,Gans::N,anser,goose
171,Adler::N,aquila,eagle
172,Ente::N,anas,duck
173,Eule::N,ulula,owl
174,Eule::N,noctua,owl
175,Kranich::N,grus,crane
176,Krähe::N,cornix,crow
177,Kuckuck::N,cuculus,cuckoo
178,Schwan::N,olor,swan
179,Schwan::N,cycnus,swan
180,Fisch::N,piscis,fish
181,Barsch::N,perca,perch
182,Hecht::N,esox,pike
183,Schlange[Tier]::N,serpens,snake
184,Wurm::N,vermis,worm
185,Spinne::N,aranea,spider
186,Ameise::N,formica,ant
187,Laus::N,pediculus,louse
188,Mücke::N,culex,midge
189,Fliege::N,musca,fly
190,Schmetterling::N,papilio,butterfly
191,Beere::N,baca,berry
192,Apfel::N,malum,apple
193,Pilz::N,fungus,mushroom
194,Zwiebel::N,cepa,onion
195,Saat::N,seges,seed
196,Korn::N,granum,grain
197,Heu::N,faenum,hay
198,Schale::N,putamen,husk
199,Grube::N,fovea,pit
200,Falle::N,pedica,trap
201,Schlinge::N,laqueus,noose
202,Spur::N,vestigium,track
203,Asche::N,cinis,ashes
204,Dreck::N,lutum,filth
205,Eisen::N,ferrum,iron
206,Gold::N,aurum,gold
207,Silber::N,argentum,silver
208,Kohle::N,carbo,coal
209,Glas::N,vitrum,glass
210,Lehm::N,lutum,clay
211,Sand::N,arena,sand
212,Mensch::N,homo,human
213,Mann::N,vir,man
214,Frau::N,mulier,woman
215,Kind::N,puer,child
216,Kind::N,infans,child
217,Junge::N,puer,boy
218,Mädchen::N,puella,girl
219,Familie::N,familia,family
220,Großvater::N,avus,grandfather
221,Großmutter::N,avia,grandmother
222,Eltern::N,parentes,parents
223,Vater::N,pater,father
224,Mutter::N,mater,mother
225,Sohn::N,filius,son
226,Tochter::N,filia,daughter
227,Bruder::N,frater,brother
228,Schwester::N,soror,sister
229,Onkel::N,patruus,uncle
230,Onkel::N,avunculus,uncle
231,Tante::N,amita,aunt
232,Ehemann::N,maritus,husband
233,Ehefrau::N,uxor,wife
234,Freude::N,gaudium,joy
235,Freude::N,laetitia,joy
236,Gelächter::N,risus,laughter
237,Glück::N,felicitas,happiness
238,Kummer::N,aegritudo,grief
239,Wunsch::N,voluntas,wish
240,Wunsch::N,desiderium,wish
241,Lust::N,libido,desire
242,Lust::N,voluptas,desire
243,Geist::N,mens,spirit
244,Geist::N,animus,spirit
245,Gedanke::N,sententia,thought
246,Gedächtnis::N,memoria,memory
247,Verstand::N,ratio,mind
248,Verstand::N,ingenium,mind
249,Sinn::N,sensus,meaning
250,Grund::N,causa,reason
251,Wahrheit::N,veritas,truth
252,Gespräch::N,sermo,talk
253,Märchen::N,fabula,fairy tale
254,Erzählung::N,fabula,story
255,Erzählung::N,narratio,story
256,Nachricht::N,nuntius,message
257,Neuigkeit::N,novitas,news
258,Name::N,nomen,name
259,Rätsel::N,aenigma,puzzle
260,Rede::N,oratio,speech
261,Sprache::N,lingua,language
262,Stimme::N,vox,voice
263,Wort::N,verbum,word
264,Wort::N,vocabulum,word
265,Zeichen::N,signum,sign
266,Ruf::N,clamor,call
267,Lärm::N,strepitus,noise
268,Laut::N,sonus,sound
269,Ton::N,sonus,tone
270,Lied::N,carmen,song
271,Ruhe::N,quies,calm
272,Leute::N,homines,people
273,Volk::N,populus,nation
274,Arbeit::N,labor,work
275,Gast::N,hospes,guest
276,Gast::N,conviva,guest
277,Geschenk::N,munus,gift
278,Spiel::N,ludus,game
279,Gesellschaft::N,societas,company
280,Hilfe::N,auxilium,help
281,Hilfe::N,subsidium,help
282,Freund::N,amicus,friend
283,Kamerad::N,socius,companion
284,Angelegenheit::N,res,matter
285,Anzahl::N,numerus,count
286,Art::N,genus,sort
287,Stück::N,frustum,piece
288,Stück::N,fragmentum,piece
289,Teil::N,pars,part
290,Hälfte::N,dimidium,half
291,Kreis::N,orbis,circle
292,Kreis::N,circus,circle
293,Kreuz::N,crux,cross
294,Linie::N,linea,line
295,Strich::N,lineamentum,stroke
296,Abstand::N,intervallum,gap
297,Entfernung::N,spatium,distance
298,Gegend::N,loca,area
299,Gegend::N,regio,area
300,Platz::N,locus,space
301,Ort::N,locus,place
302,Seite::N,latus,side
303,Mitte::N,medium,middle
304,Gegenstand::N,res,item
305,Sache::N,res,thing
306,Rand::N,margo,fringe
307,Kante::N,angulus,edge
308,Ecke::N,angulus,corner
309,Spitze::N,cacumen,tip
310,Ende::N,caput,end
311,Loch::N,foramen,hole
312,Winkel::N,angulus,angle
313,Muster::N,exemplum,pattern
314,Größe::N,magnitudo,size
315,Länge::N,longitudo,length
316,Höhe::N,altitudo,height
317,Gewicht::N,pondus,weight
318,Menge::N,copia,amount
319,Haufen::N,acervus,heap
320,Reihe::N,ordo,row
321,Boot::N,navicula,boat
322,Ruder::N,remus,oar
323,Schlitten::N,sclodia,sleigh
324,Ski::N,narta,ski
325,Lagerfeuer::N,ignis,campfire
326,Last::N,onus,load
327,Gang::N,cursus,walk
328,Schritt::N,gradus,step
329,Norden::N,septentriones,north
330,Süden::N,meridies,south
331,Westen::N,occidens,west
332,Osten::N,oriens,east
333,Holz::N,lignum,wood
334,Brett::N,tabula,board
335,Platte::N,lamina,slab
336,Stütze::N,adminiculum,bracket
337,Stange::N,pertica,pole
338,Stock::N,baculum,stick
339,Stab::N,scipio,staff
340,Rohr::N,tubus,pipe
341,Haus::N,aedes,house
342,Heim::N,domicilium,home
343,Ofen::N,fornax,stove
344,Fußboden::N,solum,floor
345,Tisch::N,mensa,table
346,Stuhl::N,sella,chair
347,Wiege::N,cunae,cradle
348,Bett::N,lectus,bed
349,Regal::N,foruli,shelf
350,Kiste::N,cista,box
351,Fenster::N,fenestra,window
352,Tür::N,ianua,door
353,Tor::N,porta,gate
354,Zaun::N,saepes,fence
355,Dach::N,tectum,roof
356,Leiter::N,scalae,ladder
357,Besen::N,scopae,broom
358,Spaten::N,pala,spade
359,Schaufel::N,pala,shovel
360,Gabel::N,fuscinula,fork
361,Löffel::N,coclear,spoon
362,Messer::N,culter,knife
363,Nagel::N,clavus,nail
364,Netz::N,rete,net
365,Haken::N,hamus,hook
366,Griff::N,manubrium,handle
367,Schloss::N,claustra,lock
368,Bild::N,tabula,picture
369,Bild::N,pictura,picture
370,Figur::N,statunculum,figure
371,Puppe::N,pupa,doll
372,Beutel::N,sacculus,pouch
373,Bündel::N,fascis,bundle
374,Tasche::N,sacculus,bag
375,Eimer::N,situla,bucket
376,Deckel::N,operculum,cover
377,Geschirr::N,vasa,dishes
378,Sack::N,saccus,sack
379,Tasse::N,pocillum,cup
380,Topf::N,olla,pot
381,Kessel::N,aenum,kettle
382,Essen::N,cena,meal
383,Nahrung::N,cibus,food
384,Nahrung::N,alimenta,food
385,Speise::N,cibus,dish
386,Fleisch::N,caro,meat
387,Getreide::N,frumentum,corn
388,Brei::N,puls,mush
389,Brot::N,panis,bread
390,Scheibe::N,frustum,slice
391,Fett::N,pingue,fat
392,Butter::N,butȳrum,butter
393,Öl::N,oleum,oil
394,Salz::N,sal,salt
395,Suppe::N,ius,soup
396,Honig::N,mel,honey
397,Milch::N,lac,milk
398,Tee::N,thea,tea
399,Leder::N,corium,leather
400,Wolle::N,lana,wool
401,Stoff::N,textum,cloth
402,Nadel::N,acus,needle
403,Faden::N,filum,thread
404,Knopf::N,bulla,button
405,Knoten::N,nodus,knot
406,Farbe::N,pigmentum,paint
407,Kleidung::N,vestimenta,clothes
408,Hemd::N,tunica,shirt
409,Kragen::N,collare,collar
410,Ärmel::N,manica,sleeve
411,Hose::N,bracae,trousers
412,Gürtel::N,cingulum,belt
413,Mütze::N,pilleus,cap
414,Schuh::N,calceus,shoe
415,Stiefel::N,pero,boot
416,Stiefel::N,caliga,boot
417,Ring::N,anulus,ring
418,Band::N,redimiculum,ribbon
419,Kamm::N,pecten,comb
420,Spiegel::N,speculum,mirror
421,Riemen::N,lorum,strap
422,Schnur::N,linum,string
423,Leine::N,retinaculum,leash
424,Decke::N,lodix,blanket
425,Kissen::N,pulvinus,pillow
426,Tuch::N,velum,scarf
427,Handtuch::N,mantele,towel
428,Kraft::N,vis,force
429,Stärke::N,robur,strength
430,Gesundheit::N,valetudo,health
431,Krankheit::N,morbus,illness
432,Schmerz::N,dolor,pain
433,Wunde::N,vulnus,wound
434,Fieber::N,febris,fever
435,Arznei::N,remedium,medicine
436,Brücke::N,pons,bridge
437,Brunnen::N,puteus,well
438,Weide::N,pascua,pasture
439,Pfad::N,semita,path
440,Weg::N,iter,way
441,Straße::N,via,road
442,Dorf::N,vicus,village
443,Stadt::N,urbs,town
444,Stadt::N,oppidum,town
445,Brief::N,epistula,letter
446,Buch::N,liber,book
447,Buchstabe::N,littera,character
448,Zeitung::N,diurnum,newspaper
449,Leben::N,vita,life
450,Tod::N,mors,death
451,Grab::N,sepulcrum,grave
452,Kirche::N,ecclesia,church
453,Sünde::N,peccatum,sin
454,Gott::N,deus,god
455,Arbeiter::N,operarius,worker
456,Chef::N,praefectus,boss
457,Meister::N,magister,master
458,Arzt::N,medicus,doctor
459,Lehrer::N,magister,teacher
460,Geld::N,aes,money
461,Geld::N,pecunia,money
462,Geschäft::N,negotium,business
463,Laden::N,taberna,shop
464,Preis::N,pretium,price
465,Ware::N,merx,ware
466,Nutzen::N,utilitas,profit
467,Reichtum::N,opes,wealth
468,Reichtum::N,divitiae,wealth
469,Welt::N,mundus,world
470,Land::N,terra,country
471,Staat::N,res publica,state
472,König::N,rex,king
473,Macht::N,potestas,power
474,Grenze::N,limes,border
475,Krieg::N,bellum,war
476,Feind::N,inimicus,enemy
477,Gewalt::N,vis,violence
478,Kampf::N,pugna,fight
479,Bogen[Waffe]::N,arcus,bow
480,Pfeil::N,sagitta,arrow
481,Gewehr::N,sclopetum,gun
482,Fehler::N,error,mistake
483,Lüge::N,mendacium,lie
484,Schaden::N,damnum,damage
485,Schaden::N,detrimentum,damage
486,Unglück::N,miseria,misfortune
487,Unglück::N,calamitas,misfortune
488,Schuld::N,culpa,fault
489,Alter::N,aetas,age
490,Schluss::N,finis,conclusion
491,Zeit::N,tempus,time
492,Tag::N,dies,day
493,Morgen::N,mane,morning
494,Mittag::N,meridies,noon
495,Abend::N,vesper,evening
496,Nacht::N,nox,night
497,Woche::N,septimana,week
498,Monat::N,mensis,month
499,Jahr::N,annus,year
500,Frühling::N,ver,spring
