,Concept_ID,sl,ro
0,Auge::N,okó,ochi
1,Ohr::N,uhó,ureche
2,Nase::N,nós,nas
3,Mund::N,ústa,gură
4,Zahn::N,zób,dinte
5,Zunge::N,jêzik,limbă
6,Lippe::N,ústnica,buză
7,Wange::N,líce,bucă
8,Wange::N,líce,obraz
9,Gesicht::N,oblíčje,față
10,Gesicht::N,oblíčje,figură
11,Stirn::N,čêlo,frunte
12,Haar::N,lás,păr
13,Schnurrbart::N,bŕki,mustață
14,Bart::N,bráda,barbă
15,Kinn::N,bráda,bărbie
16,Kiefer[Anatomie]::N,čeljúst,falcă
17,Kehle::N,gŕlo,beregată
18,Hals::N,vrát,gât
19,Genick::N,zatílnik,ceafă
20,Kopf::N,gláva,cap
21,Rücken::N,hrbèt,dos
22,Rücken::N,hrbèt,spate
23,Rücken::N,hrbèt,spinare
24,Bauch::N,trébuh,burtă
25,Bauch::N,trébuh,pântece
26,Nabel::N,pópek,buric
27,Busen::N,nédrja,sân
28,Brust::N,pŕsi,piept
29,Schulter::N,ráma,umăr
30,Schulter::N,ráma,spate
31,Schulter::N,plêče,umăr
32,Schulter::N,plêče,spate
33,Arm::N,rôka,braț
34,Ellenbogen::N,komólec,cot
35,Hand::N,rôka,mână
36,Handfläche::N,dlán,palmă
37,Finger::N,pŕst,deget
38,Fingernagel::N,nóht na rôki,unghie
39,Nagel[Anatomie]::N,nóht,unghie
40,Zeh::N,pŕst na nôgi,deget de la picior
41,Fuß::N,nôga,picior
42,Ferse::N,pêta,călcâi
43,Knie::N,koléno,genunchi
44,Oberschenkel::N,stêgno,coapsă
45,Bein::N,nôga,picior
46,Körper::N,teló,corp
47,Haut::N,kóža,piele
48,Blut::N,krí,sânge
49,Ader::N,žíla,vână
50,Ader::N,žíla,arteră
51,Sehne::N,kíta,tendon
52,Knochen::N,kóst,os
53,Gehirn::N,možgáni,creier
54,Herz::N,srcé,inimă
55,Magen::N,želódec,stomac
56,Leber::N,jétra,ficat
57,Atem::N,díh,răsuflare
58,Atem::N,díh,respirație
59,Hunger::N,glád,foame
60,Träne::N,sólza,lacrimă
61,Geschmack::N,okús,gust
62,Geruch::N,vónj,miros
63,Schlaf::N,sèn,somn
64,Schlaf::N,spánec,somn
65,Traum::N,sánje,vis
66,Himmel::N,nebó,cer
67,Sonne::N,sónce,soare
68,Mond::N,lúna,lună
69,Mond::N,mésec,lună
70,Stern::N,zvézda,stea
71,Luft::N,zràk,aer
72,Wind::N,véter,vânt
73,Welle::N,vál,val
74,Welle::N,vál,undă
75,Wasser::N,vôda,apă
