,Concept_ID,ba,be
0,Auge::N,күҙ,вока
1,Ohr::N,ҡолаҡ,вуха
2,Nase::N,танау,нос
3,Mund::N,ауыҙ,рот
4,Zahn::N,теш,зуб
5,Zunge::N,тел,язык
6,Lippe::N,ирен,губа
7,Wange::N,яцаҡтар,шчака
8,Gesicht::N,бит,твар
9,Stirn::N,маңлай,лоб
10,Haar::N,сәс,волас
11,Haar::N,сәс,валасы
12,Schnurrbart::N,мылтыҡ,вус
13,Schnurrbart::N,мылтыҡ,вусы
14,Bart::N,һаҡал,барада
15,Kinn::N,эйэк,падбародак
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,сківіца
17,Kehle::N,тамаҡ,горла
18,Hals::N,муйын,шыя
19,Genick::N,соңҡа,патыліца
20,Kopf::N,баш,галава
21,Rücken::N,арҡа,спіна
22,Bauch::N,ҡорһаҡ,жывот
23,Nabel::N,кендек,пупок
24,Busen::N,күкрәк,грудзі
25,Brust::N,түш,грудзі
26,Schulter::N,яурын,плячо
27,Arm::N,ҡул,рука
28,Ellenbogen::N,терһәк,локаць
29,Hand::N,ҡул,кісць
30,Hand::N,ҡул суғы,кісць
31,Handfläche::N,ус төбө,далонь
32,Finger::N,бармаҡ,палец
33,Fingernagel::N,тырнаҡ,ногаць
34,Nagel[Anatomie]::N,тырнаҡ,ногаць
35,Zeh::N,бармаҡ,палец
36,Fuß::N,табан,нага
37,Ferse::N,үксә,пята
38,Ferse::N,үксә,пятка
39,Knie::N,тубыҡ,калена
40,Oberschenkel::N,сандыр,бядро
41,Oberschenkel::N,сандыр,сцягно
42,Bein::N,аяҡ,нага
43,Körper::N,тән,цела
44,Haut::N,тире,скура
45,Blut::N,ҡан,кроў
46,Ader::N,тамыр,вена
47,Ader::N,тамыр,сасуд
48,Sehne::N,һеңер,жыла
49,Sehne::N,һеңер,цеціва
50,Sehne::N,һеңер,сухажылле
51,Sehne::N,тарамыш,жыла
52,Sehne::N,тарамыш,цеціва
53,Sehne::N,тарамыш,сухажылле
54,Knochen::N,һойәк,косць
55,Gehirn::N,мейе,мозг
56,Herz::N,йорәк,сэрца
57,Magen::N,ашҡаҙан,страўнік
58,Leber::N,бауыр,печань
59,Atem::N,һулыш,дыханне
60,Hunger::N,аслыҡ,голад
61,Träne::N,күҙ иәше,сляза
62,Geschmack::N,тәм,смак
63,Geruch::N,еҫ,пах
64,Schlaf::N,йоҡлау,сон
65,Traum::N,төш,сон
66,Himmel::N,күк,неба
67,Sonne::N,ҡояш,сонца
68,Mond::N,ай,месяц
69,Stern::N,йондоҙ,зорка
70,Luft::N,һауа,паветра
71,Wind::N,ел,вецер
72,Welle::N,тулҡын,хваля
73,Wasser::N,һыу,вада
74,Stein::N,таш,камень
75,Boden::N,тупраҡ,глеба
76,Erde::N,балсҡ,зямля
77,Staub::N,туҙан,пыл
78,Rauch::N,төтөн,дым
79,Funke::N,осҡон,іскра
80,Feuer::N,ут,агонь
81,Licht::N,яҡтылыҡ,святло
82,Schatten::N,күләгә,цень
83,Wetter::N,һауа торошо,пагода
84,Wetter::N,һауа торошо,надворʼе
85,Nebel::N,төман,туман
86,Wolke::N,болот,воблака
87,Regen::N,ямғыр,дождж
88,Schnee::N,ҡар,снег
89,Eis::N,боҙ,лёд
90,Frost::N,һалҡын,мароз
91,Kälte::N,һыуыҡ,холад
92,Hitze::N,томра,спёка
93,Hitze::N,эҫелек,спёка
94,Raureif::N,ҡырау,іней
95,Regenbogen::N,йәйғор,вясёлка
96,Donner::N,күк күкрәү,гром
97,Strömung::N,ағым,цячэнне
98,Tropfen::N,тамсы,кропля
99,Schaum::N,күбек,пена
100,Schmutz::N,батҡаҡ,гразь
101,See::N,күл,возера
102,Sumpf::N,һаҙлык,багна
103,Moor::N,һаҙ,балота
104,Wiese::N,болон,луг
105,Wald::N,урман,лес
106,Hügel::N,түбә,узгорак
107,Anhöhe::N,түбә,узвышша
108,Anhöhe::N,ҡалҡыулыҡ,узвышша
109,Berg::N,тау,гара
110,Gipfel::N,түбә,вяршыня
111,Höhle::N,мәмерйә,пячора
112,Abhang::N,ипкен,схіл
113,Quelle::N,шишмә,крыніца
114,Bach::N,шишмә,ручай
115,Fluss::N,йылға,рака
116,Ufer::N,яр,бераг
117,Küste::N,яр буйы,узбярэжжа
118,Festland::N,ҡоро ер,суша
119,Meer::N,диңгез,мора
120,Bucht::N,бухта,бухта
121,Insel::N,үтрау,востраў
122,Blume::N,сәскә,кветка
123,Gras::N,үлән,трава
124,Wurzel::N,тамыр,корань
125,Baum::N,ағас,дрэва
126,Stamm::N,олон,ствол
127,Stamm::N,көбәк,ствол
128,Rinde::N,ҡабыҡ,кара
129,Ast::N,ботаҡ,сук
130,Zweig::N,ботаҡ,галіна
131,Zweig::N,тармаҡ,галіна
132,Blatt::N,япраҡ,ліст
133,Birke::N,ҡайын,бяроза
134,Kiefer[Baum]::N,ҡарғай,хвоя
135,Kiefer[Baum]::N,ҡарғай,сасна
136,Weide[Baum]::N,тал,вярба
137,Tanne::N,шыршы,яліна
138,Horn::N,мөғөҙ,рог
139,Feder::N,ҡауырһын,пяро
140,Fell::N,тире,шкура
141,Flügel::N,ҡанат,крыло
142,Klaue::N,тырнаҡ,кіпцюр
143,Kralle::N,аяҡ,лапа
144,Schwanz::N,ҡойроҡ,хвост
145,Ei::N,йомортҡа,яйка
146,Nest::N,оя,гняздо
147,Bau::N,оң,нара
148,Tier::N,жайуан,жывёла
149,Tier::N,йыртҡыс,жывёла
150,Herde::N,көтөү,статак
151,Kuh::N,һыйыр,карова
152,Bulle::N,үгеҙ,бык
153,Pferd::N,ат,конь
154,Schaf::N,һарыҡ,авечка
155,Schwein::N,сусҡа,свіння
156,Hund::N,эт,сабака
157,Katze::N,бесәй,кошка
158,Bär::N,айыу,мядзведзь
159,Eichhörnchen::N,тейен,вавёрка
160,Elch::N,мышы,лось
161,Fuchs::N,төлкө,ліса
162,Hase::N,ҡуян,заяц
163,Maus::N,сысҡан,мыш
164,Wolf::N,бүре,воўк
165,Vogel::N,ҡош,птах
166,Vogel::N,ҡош,птушка
167,Schwarm::N,көтөү,чарада
168,Huhn::N,тауыҡ,курыца
169,Hahn::N,әтәс,певень
170,Gans::N,ҡаҙ,гусь
171,Adler::N,бөркөт,арол
172,Ente::N,өйрәк,качка
173,Eule::N,өкө,сава
174,Eule::N,ябалаҡ,сава
175,Kranich::N,торна,жораў
