,Concept_ID,pl,ga
0,Auge::N,oko,súil
1,Ohr::N,ucho,cluas
2,Nase::N,nos,soc
3,Mund::N,usta,béal
4,Zahn::N,ząb,fiacail
5,Zunge::N,język,teanga
6,Lippe::N,warga,liopa
7,Wange::N,policzek,grua
8,Wange::N,policzek,leiceann
9,Gesicht::N,twarz,éadan
10,Gesicht::N,twarz,aghaidh
11,Stirn::N,czoło,baithis
12,Stirn::N,czoło,clár éadain
13,Haar::N,włos,gruaig
14,Haar::N,włosy,gruaig
15,Schnurrbart::N,wąsy,croiméal
16,Bart::N,broda,féasóg
17,Kinn::N,podbródek,smig
18,Kiefer[Anatomie]::N,czeluść,giall
19,Kehle::N,gardło,scornach
20,Hals::N,szyja,muinéal
21,Genick::N,kark,baic
22,Kopf::N,głowa,ceann
23,Rücken::N,plecy,droim
24,Rücken::N,grzbiet,droim
25,Bauch::N,brzuch,bolg
26,Nabel::N,pępek,imleacán
27,Busen::N,biust,cíoch
28,Brust::N,pierś,brollach
29,Schulter::N,bark,gualainn
30,Schulter::N,ramię,gualainn
31,Arm::N,ręka,lámh
32,Arm::N,ramię,lámh
33,Ellenbogen::N,łokieć,uillinn
34,Hand::N,dłoń,lámh
35,Handfläche::N,dłoń,bos
36,Finger::N,palec,méar
37,Fingernagel::N,paznokieć,ionga
38,Nagel[Anatomie]::N,paznokieć,ionga
39,Zeh::N,palec,ladhar
40,Fuß::N,stopa,cos
41,Fuß::N,stopa,troigh
42,Ferse::N,pięta,sáil
43,Knie::N,kolano,glúin
44,Oberschenkel::N,udo,ceathrú
45,Bein::N,noga,cos
46,Körper::N,ciało,corp
47,Körper::N,ciało,colainn
48,Haut::N,skóra,cneas
49,Haut::N,skóra,craiceann
50,Blut::N,krew,fuil
51,Ader::N,żyła,
52,Sehne::N,ścięgno,teannán
53,Sehne::N,ścięgno,féitheog
54,Knochen::N,kość,cnámh
55,Gehirn::N,mózg,inchinn
56,Herz::N,serce,croí
57,Magen::N,żołądek,bolg
58,Magen::N,żołądek,goile
59,Leber::N,wątroba,ae
60,Atem::N,dech,anáil
61,Atem::N,oddech,anáil
62,Hunger::N,głód,ocras
63,Träne::N,łza,deoir
64,Geschmack::N,smak,blas
65,Geruch::N,woń,boladh
66,Geruch::N,zapach,boladh
67,Schlaf::N,sen,suan
68,Schlaf::N,sen,codladh
69,Traum::N,sen,taibhreamh
70,Himmel::N,niebo,spéir
71,Sonne::N,słońce,grian
72,Mond::N,księżyc,ré
73,Mond::N,księżyc,gealach
74,Stern::N,gwiazda,rinn
75,Stern::N,gwiazda,réalta
76,Luft::N,powietrze,aer
77,Wind::N,wiatr,gaoth
78,Welle::N,fala,tonn
79,Wasser::N,woda,uisce
80,Stein::N,kamień,cloch
81,Boden::N,grunt,talamh
82,Erde::N,ziemia,cré
83,Erde::N,ziemia,ithir
84,Staub::N,pył,dusta
85,Staub::N,pył,deannach
86,Staub::N,kurz,dusta
87,Staub::N,kurz,deannach
88,Rauch::N,dym,toit
89,Rauch::N,dym,deatach
90,Funke::N,iskra,drithle
91,Feuer::N,ogień,tine
92,Licht::N,światło,solas
93,Schatten::N,cień,scáth
94,Wetter::N,pogoda,aimsir
95,Nebel::N,mgła,ceo
96,Wolke::N,obłok,néal
97,Wolke::N,obłok,scamall
98,Wolke::N,chmura,néal
99,Wolke::N,chmura,scamall
100,Regen::N,deszcz,báisteach
101,Regen::N,deszcz,fearthainn
102,Schnee::N,śnieg,sneachta
103,Eis::N,lód,oighear
104,Frost::N,mróz,sioc
105,Kälte::N,chłód,fuacht
106,Hitze::N,gorąco,teas
107,Hitze::N,gorąco,teocht
108,Raureif::N,szron,sioc bán
109,Regenbogen::N,tęcza,stua ceatha
110,Regenbogen::N,tęcza,bogha báistí
111,Donner::N,grzmot,toirneach
112,Strömung::N,nurt,sruth
113,Tropfen::N,kropla,deoir
114,Schaum::N,piana,cúr
115,Schmutz::N,brud,salachar
116,See::N,jezioro,loch
117,Sumpf::N,bagno,portach
118,Moor::N,bagno,caorán
119,Moor::N,bagno,móinteán
120,Wiese::N,łąka,cluain
121,Wiese::N,łąka,móinéar
122,Wald::N,las,coill
123,Wald::N,las,foraois
124,Hügel::N,pagórek,ard
125,Anhöhe::N,wzgórze,ard
126,Anhöhe::N,wzgórze,ardán
127,Berg::N,góra,sliabh
128,Gipfel::N,szczyt,barr
129,Gipfel::N,szczyt,mullach
130,Gipfel::N,wierzchołek,barr
131,Gipfel::N,wierzchołek,mullach
132,Höhle::N,pieczara,uaimh
133,Höhle::N,pieczara,pluais
134,Abhang::N,stok,fána
135,Abhang::N,zbocze,fána
136,Quelle::N,zdrój,foinse
137,Quelle::N,źródło,foinse
138,Bach::N,potok,sruthán
139,Bach::N,strumień,sruthán
140,Fluss::N,rzeka,abhainn
141,Ufer::N,brzeg,bruach
142,Küste::N,wybrzeże,cósta
143,Küste::N,wybrzeże,cladach
144,Festland::N,ląd,míntír
145,Meer::N,morze,muir
146,Meer::N,morze,farraige
147,Bucht::N,zatoka,bá
148,Bucht::N,zatoka,cuan
149,Insel::N,wyspa,inis
150,Insel::N,wyspa,oileán
151,Blume::N,kwiat,bláth
152,Gras::N,trawa,féar
153,Wurzel::N,korzeń,rúta
154,Wurzel::N,korzeń,fréamh
155,Baum::N,drzewo,crann
156,Stamm::N,pień,stoc
157,Stamm::N,pień,tamhan
158,Rinde::N,kora,coirt
159,Rinde::N,kora,craiceann
160,Ast::N,gałąź,géag
161,Zweig::N,gałąź,géag
162,Zweig::N,gałąź,craobh
163,Blatt::N,liść,duille
164,Blatt::N,liść,duilleog
165,Birke::N,brzoza,beith
166,Birke::N,brzoza,crann beithe
167,Kiefer[Baum]::N,sosna,péine
