,Concept_ID,eu,eu
0,Auge::N,begi,begi
1,Ohr::N,belarri,belarri
2,Nase::N,sudur,sudur
3,Mund::N,aho,aho
4,Zahn::N,hortz,hortz
5,Zunge::N,mihi,mihi
6,Lippe::N,ezpain,ezpain
7,Wange::N,masail,masail
8,Gesicht::N,aurpegi,aurpegi
9,Stirn::N,bekoki,bekoki
10,Haar::N,ile,ile
11,Haar::N,ile,bilo
12,Haar::N,bilo,ile
13,Haar::N,bilo,bilo
14,Schnurrbart::N,bibote,bibote
15,Schnurrbart::N,bibote,sudurpeko
16,Schnurrbart::N,sudurpeko,bibote
17,Schnurrbart::N,sudurpeko,sudurpeko
18,Bart::N,bizar,bizar
19,Kinn::N,kokots,kokots
20,Kiefer[Anatomie]::N,masailezur,masailezur
21,Kehle::N,eztarri,eztarri
22,Hals::N,sama,sama
23,Genick::N,garondo,garondo
24,Kopf::N,buru,buru
25,Rücken::N,bizkar,bizkar
26,Bauch::N,sabel,sabel
27,Nabel::N,zilbor,zilbor
28,Busen::N,titi,titi
29,Busen::N,titi,ugatz
30,Busen::N,ugatz,titi
31,Busen::N,ugatz,ugatz
32,Brust::N,bular,bular
33,Schulter::N,besaburu,besaburu
34,Arm::N,beso,beso
35,Ellenbogen::N,ukondo,ukondo
36,Hand::N,esku,esku
37,Handfläche::N,ahur,ahur
38,Finger::N,hatz,hatz
39,Fingernagel::N,azazkal,azazkal
40,Nagel[Anatomie]::N,azazkal,azazkal
41,Zeh::N,behatz,behatz
42,Fuß::N,oin,oin
43,Ferse::N,orpo,orpo
44,Ferse::N,orpo,oinburu
45,Ferse::N,oinburu,orpo
46,Ferse::N,oinburu,oinburu
47,Knie::N,belaun,belaun
48,Oberschenkel::N,izter,izter
49,Bein::N,zango,zango
50,Körper::N,soin,soin
51,Haut::N,azal,azal
52,Blut::N,odol,odol
53,Ader::N,zain,zain
54,Sehne::N,gihar-zain,gihar-zain
55,Knochen::N,hezur,hezur
56,Gehirn::N,garun,garun
57,Gehirn::N,garun,burmuin
58,Gehirn::N,burmuin,garun
59,Gehirn::N,burmuin,burmuin
60,Herz::N,bihotz,bihotz
61,Magen::N,urdail,urdail
62,Leber::N,gibel,gibel
63,Atem::N,hats,hats
64,Atem::N,hats,arnasa
65,Atem::N,arnasa,hats
66,Atem::N,arnasa,arnasa
67,Hunger::N,gose,gose
68,Träne::N,malko,malko
69,Geschmack::N,dasta,dasta
70,Geruch::N,usain,usain
71,Schlaf::N,lo,lo
72,Traum::N,amets,amets
73,Himmel::N,zeru,zeru
74,Sonne::N,eguzki,eguzki
75,Mond::N,ilargi,ilargi
76,Stern::N,izar,izar
77,Luft::N,aire,aire
78,Wind::N,haize,haize
79,Welle::N,uhin,uhin
80,Welle::N,uhin,olatu
81,Welle::N,olatu,uhin
82,Welle::N,olatu,olatu
83,Wasser::N,ur,ur
84,Stein::N,harri,harri
85,Boden::N,lur,lur
86,Boden::N,lur,zoru
87,Boden::N,zoru,lur
88,Boden::N,zoru,zoru
89,Erde::N,lur,lur
90,Staub::N,hauts,hauts
91,Rauch::N,ke,ke
92,Funke::N,zirta,zirta
93,Funke::N,zirta,txinparta
94,Funke::N,txinparta,zirta
95,Funke::N,txinparta,txinparta
96,Feuer::N,su,su
97,Licht::N,argi,argi
98,Schatten::N,itzal,itzal
99,Schatten::N,itzal,geriza
100,Schatten::N,geriza,itzal
101,Schatten::N,geriza,geriza
102,Wetter::N,eguraldi,eguraldi
103,Nebel::N,laino,laino
104,Wolke::N,hodei,hodei
105,Regen::N,euri,euri
106,Schnee::N,elur,elur
107,Eis::N,horma,horma
108,Frost::N,izotzaldi,izotzaldi
109,Kälte::N,hotz,hotz
110,Hitze::N,bero,bero
111,Raureif::N,antzigar,antzigar
112,Regenbogen::N,ostadar,ostadar
113,Regenbogen::N,ostadar,ortzadar
114,Regenbogen::N,ortzadar,ostadar
115,Regenbogen::N,ortzadar,ortzadar
116,Donner::N,ostots,ostots
117,Donner::N,ostots,ihurtzuri
118,Donner::N,ihurtzuri,ostots
119,Donner::N,ihurtzuri,ihurtzuri
120,Strömung::N,laster,laster
121,Tropfen::N,xorta,xorta
122,Schaum::N,bits,bits
123,Schmutz::N,lohi,lohi
124,Schmutz::N,lohi,zikin
125,Schmutz::N,zikin,lohi
126,Schmutz::N,zikin,zikin
127,See::N,laku,laku
128,See::N,laku,aintzira
129,See::N,aintzira,laku
130,See::N,aintzira,aintzira
131,Sumpf::N,zingira,zingira
132,Moor::N,zohikaztegi,zohikaztegi
133,Wiese::N,larre,larre
134,Wiese::N,larre,belardi
135,Wiese::N,belardi,larre
136,Wiese::N,belardi,belardi
137,Wald::N,baso,baso
138,Wald::N,baso,oihan
139,Wald::N,oihan,baso
140,Wald::N,oihan,oihan
141,Hügel::N,muino,muino
