,Concept_ID,nl,sv
0,Auge::N,oog,öga
1,Ohr::N,oor,öra
2,Nase::N,neus,näsa
3,Mund::N,mond,mun
4,Zahn::N,tand,tand
5,Zunge::N,tong,tunga
6,Lippe::N,lip,läpp
7,Wange::N,wang,kind
8,Gesicht::N,gelaat,syn
9,Gesicht::N,gelaat,ansikte
10,Gesicht::N,gezicht,syn
11,Gesicht::N,gezicht,ansikte
12,Stirn::N,voorhoofd,panna
13,Haar::N,haar,hår
14,Schnurrbart::N,snor,mustasch
15,Bart::N,baard,skägg
16,Kinn::N,kin,haka
17,Kiefer[Anatomie]::N,kaak,käke
18,Kehle::N,keel,strupe
19,Kehle::N,strot,strupe
20,Hals::N,hals,hals
21,Genick::N,nek,nacke
22,Kopf::N,hoofd,huvud
23,Rücken::N,rug,rygg
24,Bauch::N,buik,buk
25,Bauch::N,buik,mage
26,Nabel::N,navel,navel
27,Busen::N,boezem,barm
28,Brust::N,borst,bröst
29,Schulter::N,schouder,skuldra
30,Arm::N,arm,arm
31,Ellenbogen::N,elleboog,armbåge
32,Hand::N,hand,hand
33,Handfläche::N,handpalm,handflata
34,Finger::N,vinger,finger
35,Fingernagel::N,nagel,fingernagel
36,Nagel[Anatomie]::N,nagel,nagel
37,Zeh::N,teen,tå
38,Fuß::N,voet,fot
39,Ferse::N,hak,häl
40,Ferse::N,hiel,häl
41,Knie::N,knie,knä
42,Oberschenkel::N,dij,lår
43,Bein::N,been,ben
44,Körper::N,lichaam,kropp
45,Haut::N,huid,hud
46,Haut::N,huid,skinn
47,Blut::N,bloed,blod
48,Ader::N,ader,åder
49,Sehne::N,pees,sena
50,Knochen::N,bot,ben
51,Knochen::N,been,ben
52,Knochen::N,knook,ben
53,Gehirn::N,hersenen,hjärna
54,Herz::N,hart,hjärta
55,Magen::N,maag,mage
56,Leber::N,lever,lever
57,Atem::N,adem,anda
58,Atem::N,adem,andedräkt
59,Hunger::N,honger,svält
60,Hunger::N,honger,hunger
61,Träne::N,traan,tår
62,Geschmack::N,smaak,smak
63,Geruch::N,geur,lukt
64,Schlaf::N,slaap,sömn
65,Traum::N,droom,dröm
66,Himmel::N,hemel,himmel
67,Sonne::N,zon,sol
68,Mond::N,maan,måne
69,Stern::N,ster,stjärna
70,Luft::N,lucht,luft
71,Wind::N,wind,vind
72,Welle::N,golf,våg
73,Welle::N,golf,bölja
74,Wasser::N,water,vatten
75,Stein::N,steen,sten
76,Boden::N,grond,mark
77,Erde::N,aarde,jord
78,Staub::N,stof,damm
79,Rauch::N,rook,rök
80,Funke::N,vonk,gnista
81,Feuer::N,vuur,eld
82,Licht::N,licht,ljus
83,Schatten::N,schaduw,skugga
84,Wetter::N,weer,väder
85,Nebel::N,mist,dimma
86,Nebel::N,mist,töcken
87,Nebel::N,nevel,dimma
88,Nebel::N,nevel,töcken
89,Wolke::N,wolk,sky
90,Wolke::N,wolk,moln
91,Regen::N,regen,regn
92,Schnee::N,sneeuw,snö
93,Eis::N,ijs,is
94,Frost::N,vorst,frost
95,Kälte::N,kou,köld
96,Kälte::N,koude,köld
97,Hitze::N,hitte,hetta
98,Raureif::N,rijp,rimfrost
99,Regenbogen::N,regenboog,regnbåge
100,Donner::N,donder,åska
101,Donner::N,donder,dunder
102,Strömung::N,stroming,strömning
103,Tropfen::N,druppel,dropper
104,Schaum::N,schuim,skum
105,Schmutz::N,vuil,lort
106,Schmutz::N,vuil,smuts
107,See::N,meer,sjö
108,Sumpf::N,moeras,träsk
109,Moor::N,veen,myr
110,Moor::N,veen,mosse
111,Wiese::N,wei,äng
112,Wiese::N,weide,äng
113,Wald::N,bos,skog
114,Hügel::N,heuvel,höjd
115,Hügel::N,heuvel,kulle
116,Anhöhe::N,hoogte,höjd
117,Anhöhe::N,hoogte,backe
118,Berg::N,berg,berg
119,Berg::N,berg,fjäll
120,Gipfel::N,top,topp
121,Höhle::N,hol,håla
122,Höhle::N,hol,grotta
123,Abhang::N,helling,slänt
124,Abhang::N,helling,sluttning
125,Quelle::N,bron,källa
126,Bach::N,beek,bäck
127,Fluss::N,stroom,älv
128,Fluss::N,stroom,flod
129,Ufer::N,wal,strand
130,Ufer::N,oever,strand
131,Küste::N,kust,kust
132,Festland::N,vasteland,fastland
133,Meer::N,zee,hav
134,Bucht::N,baai,vik
135,Bucht::N,baai,bukt
136,Bucht::N,inham,vik
137,Bucht::N,inham,bukt
138,Insel::N,eiland,ö
139,Blume::N,bloem,blomma
140,Blume::N,bloem,blomster
141,Gras::N,gras,gräs
142,Wurzel::N,wortel,rot
143,Baum::N,boom,träd
144,Stamm::N,stam,stam
145,Rinde::N,schors,bark
146,Ast::N,tak,gren
147,Zweig::N,twijg,kvist
148,Blatt::N,blad,löv
149,Blatt::N,blad,blad
150,Birke::N,berk,björk
151,Kiefer[Baum]::N,den,tall
152,Weide[Baum]::N,wilg,pil
153,Weide[Baum]::N,wilg,vide
154,Tanne::N,spar,gran
155,Horn::N,hoorn,horn
156,Feder::N,veer,fjäder
157,Feder::N,pluim,fjäder
158,Fell::N,vel,fäll
159,Fell::N,vel,skinn
160,Flügel::N,vleugel,vinge
161,Klaue::N,klauw,klöv
162,Kralle::N,klauw,klo
163,Schwanz::N,staart,svans
164,Schwanz::N,staart,stjärt
165,Ei::N,ei,ägg
166,Nest::N,nest,rede
167,Nest::N,nest,näste
168,Bau::N,hol,bo
169,Tier::N,dier,djur
170,Herde::N,kudde,flock
171,Kuh::N,koe,ko
172,Bulle::N,stier,tjur
173,Pferd::N,paard,häst
174,Schaf::N,schaap,får
175,Schwein::N,varken,svin
176,Hund::N,hond,hund
177,Katze::N,kat,katt
178,Bär::N,beer,björn
179,Eichhörnchen::N,eekhoorntje,ekorre
180,Elch::N,eland,älg
181,Fuchs::N,vos,räv
182,Hase::N,haas,hare
183,Maus::N,muis,mus
184,Wolf::N,wolf,varg
185,Vogel::N,vogel,fågel
186,Schwarm::N,zwerm,svärm
187,Huhn::N,kip,höns
188,Huhn::N,hoen,höns
189,Hahn::N,haan,tupp
190,Gans::N,gans,gås
191,Adler::N,arend,örn
192,Ente::N,eend,anka
193,Eule::N,uil,uggla
194,Kranich::N,kraanvogel,trana
195,Krähe::N,kraai,kråka
196,Kuckuck::N,koekoek,gök
197,Schwan::N,zwaan,svan
198,Fisch::N,vis,fisk
199,Barsch::N,baars,abborre
200,Hecht::N,snoek,gädda
201,Schlange[Tier]::N,slang,orm
202,Wurm::N,worm,mask
203,Spinne::N,spin,spindel
204,Ameise::N,mier,myra
205,Laus::N,luis,lus
206,Mücke::N,mug,mygga
207,Fliege::N,vlieg,fluga
208,Schmetterling::N,vlinder,fjäril
209,Beere::N,bes,bär
210,Apfel::N,appel,äpple
211,Pilz::N,paddestoel,svamp
212,Zwiebel::N,ui,lök
213,Saat::N,zaad,sådd
214,Korn::N,graan,korn
215,Korn::N,korrel,korn
216,Heu::N,hooi,hö
217,Schale::N,schil,skal
218,Grube::N,kuil,grop
219,Falle::N,val,fälla
220,Schlinge::N,strop,snara
221,Spur::N,spoor,spår
222,Asche::N,as,aska
223,Dreck::N,drek,lort
224,Eisen::N,ijzer,järn
225,Gold::N,goud,guld
226,Silber::N,zilver,silver
227,Kohle::N,kool,kol
228,Glas::N,glas,glas
229,Lehm::N,klei,lera
230,Sand::N,zand,sand
231,Mensch::N,mens,människa
232,Mann::N,man,man
233,Frau::N,vrouw,kvinna
234,Kind::N,kind,barn
235,Junge::N,jongen,pojke
236,Mädchen::N,meisje,flicka
237,Familie::N,gezin,familj
238,Familie::N,familie,familj
239,Großvater::N,grootvader,morfar
240,Großmutter::N,grootmoeder,farmor
241,Eltern::N,ouders,föräldrar
242,Vater::N,vader,far
243,Mutter::N,moeder,mor
244,Sohn::N,zoon,son
245,Tochter::N,dochter,dotter
246,Bruder::N,broer,bror
247,Bruder::N,broeder,bror
248,Schwester::N,zus,syster
249,Schwester::N,zuster,syster
250,Onkel::N,oom,morbror
251,Tante::N,tante,tant
252,Ehemann::N,echtgenoot,äkta man
253,Ehefrau::N,echtgenote,hustru
254,Freude::N,vreugde,fröjd
255,Freude::N,vreugde,glädje
256,Gelächter::N,gelach,åtlöje
257,Glück::N,geluk,lycka
258,Kummer::N,verdriet,sorg
259,Wunsch::N,wens,önskan
260,Wunsch::N,verlangen,önskan
261,Lust::N,zin,lust
262,Lust::N,lust,lust
263,Geist::N,geest,ande
264,Gedanke::N,gedachte,tanke
265,Gedächtnis::N,geheugen,minne
266,Verstand::N,verstand,förstånd
267,Sinn::N,betekenis,mening
268,Sinn::N,betekenis,betydelse
269,Grund::N,reden,skäl
270,Grund::N,reden,grund
271,Wahrheit::N,waarheid,sanning
272,Gespräch::N,gesprek,samtal
273,Märchen::N,sprookje,saga
274,Erzählung::N,verhaal,berättelse
275,Nachricht::N,tijding,meddelande
276,Neuigkeit::N,nieuws,nyhet
277,Neuigkeit::N,nieuwtje,nyhet
278,Name::N,naam,namn
279,Rätsel::N,raadsel,gåta
280,Rede::N,rede,tal
281,Sprache::N,taal,språk
282,Stimme::N,stem,stämma
283,Wort::N,woord,ord
284,Zeichen::N,teken,tecken
285,Ruf::N,roep,rop
286,Lärm::N,lawaai,bråk
287,Lärm::N,lawaai,oväsen
288,Laut::N,klank,ljud
289,Laut::N,geluid,ljud
290,Ton::N,toon,ton
291,Ton::N,klank,ton
292,Lied::N,lied,sång
293,Ruhe::N,rust,ro
294,Ruhe::N,rust,lugn
295,Ruhe::N,stilte,ro
296,Ruhe::N,stilte,lugn
297,Leute::N,lui,folk
298,Leute::N,mensen,folk
299,Volk::N,volk,folk
300,Arbeit::N,werk,arbete
301,Arbeit::N,arbeid,arbete
